NUMBER	ENGLISH	CONCEPTICON_ID	TBL_ID	SRCID	SRCGLOSS
187	to blow (of wind)	175	1738	493	1. pound, crush, knock, forge, blow (on a horn or flute) 2. lam dumma drive cattle (vt-4 [1: dup- 2: dupp- 3: dum-])
188	to burn [intransitive]	1428	1269	1199	burn (of fire or light) (vi-4 [1: tit- 2: ti:- 3: tin-])
189	to buy	1869	1516	708	buy (vt-5 [1: khet- 2: khett- 3: khei- 4: khen- 5: khe:-])
190	to chew	321	1424	1100	chew (vt-4 [1: kham- 2: khamm- 3: kham-])
191	to come	1446	1491	1169	come (from whatever direction) (vi-7 [1: tɔi- 2: tɔ- 3: tai- 4: ta-])
192	to count	1420	1640	471	count (vt-1 [1: Nir- ])
193	to cry (weep)	1420	1485	471	count (vt-1 [1: Nir- ])
194	to die	1494	1651	321	die (vi-3 [1: si:- 2: si-])
195	to dig	1418	1698	432	dig (vt-8 [1: dɔi- 2: dɔ- 3: dǝi- 4: dǝ- 5: dui- 6: du- 7: da- 8: dɔk-])
196	to drink	1401	1370	495	drink (vt-4 [1: duN- 2: duNN- 3: du:-])
197	to eat	1336	1198	93	eat (vt-7 [1: cɔi- 2: cɔ- 3: cǝi- 4: cǝ- 5: cai- 6: ca-])
198	to fight	1423	1234	710	quarrel, fight (vi-3 [1: khei- 2: khe-])
199	to float	1574	1553		
200	to flow	2003	1502	1029	flow (of a river) (vi-1 [1: el-])
201	to fly (move through air)	1441	1318	1127	fly (vi-1 [1: per-])
202	to forget	1523	1704	994	forget (vt-5 [1: mat- 2: matt- 3: mai- 4: man- 5: ma:-])
203	to give	1447	1345	640	give (vt-4 [1: pi:- 2: pi:y- 3: pi-])
204	to hear	1408	1682	1403	hear (vt-2 [1: yen- 2: ye:-])
205	to hide (conceal)	602	1169	347	hide, conceal (vt-4 [1: sul- 2: sull- 3: sul-])
206	to hold	1448	1709	46	grab, hold, catch, seize, grasp, khalamba lamma catch a cold (vt-4 [1: lap- 2: lapp- 3: lam-])
207	to hunt	1435	1230	34	chase, pursue, drive off (cattle, people), push, follow, take a road (vt-4 [1: kǝl- 2: kǝll- 3: kǝl-])
208	to kill	1417	1602	1053	kill, extinguish (fire), put off (vt-5 [1: set- 2: sett- 3: sei- 4: sen- 5: se:-])
209	to knead	274	1594	216	knead (vt-3 [1: cǝk- 2: cɔ:- 3: cɔk-])
210	to know (something)	1410	1398	253	know (a fact, person, way), recognize (vt-5 [1: chet- 2: chett- 3: chei- 4: cen- 5: ce:-])
211	to laugh	1355	1735	272	laugh (vi-3 [1: ges- 2: ge-])
212	to learn	504	1742	198	learn (vr [1: i- 2: it-])
212	to learn	504	1742	1012	learn (vt-5 [1: dǝt- 2: dǝtt- 3: dǝi- 4: dǝn- 5: dǝ:-])
213	to lick	319	1674	1451	lick (vt-3 [1: lɔk- 2: lɔ:- 3: lɔk-])
214	to lie down	215	1661	564	lie down, fall, topple (vi-6 [1: ut- 2: ui- 3: utt- 4: un- 5: u:-])
215	to marry (a man marries a woman)	2164	1578		
216	to plant (vegetals, rice)	1486	1774	60	plant, pour out (vt-5 [1: let- 2: lett- 3: lei- 4: len- 5: le:-])
217	to play	1413	1703	293	feel itself, play (vi-7 [1: lɔi- 2: lɔ- 3: lǝi- 4: lǝ-])
218	to pull	1455	1568		
219	to push	1452	1689	385	push, shove (vt-4 [1: tǝl- 2: tǝll- 3: tǝl-])
220	to reside (live)	1099	1452		
221	to run	1519	1544	1325	run (vi-3 [1: buls- 2: bul-])
222	to scratch	1436	1530	563	scratch (vt-5 [1: ui- 2: uiy- 3: ui- 4: un- 5: u:-])
223	to see	1409	1471	1233	see (vt-4 [1: khɔN- 2: khɔNN- 3: khɔ:-])
224	to shoot (an arrow)	1172	1611	1432	shoot
225	to sing	1261	1184	695	make noise, shout, squeal (pig, goat), sing (of a bird), rumble (of one's belly) (vi-7 [1: kɔi- 2: kɔ- 3: kai- 4: ka-])
226	to sleep	1585	1646	195	sleep (vi-3 [1: ims- 2: im-])
227	to smell (perceive odor) [transitive]	1586	1707	821	smell, sniff (vt-2 [1: naps- 2: nam-])
228	to sow (broadcast, scatter seeds)	748	1597	629	sow (vt-5 [1: phui- 2: phuiy- 3: phui- 4: phun- 5: phu:-])
229	to spit	1440	1688	439	throw, spit (vt-2 [1: dɔks- 2: dɔ:-])
230	to stand	1442	1784	1422	stand (vi-3 [1: thɔ rep- 2: thɔ rem-])
231	to steal	713	1686	1368	steal (vt-4 [1: khus- 2: khuss- 3: khu-])
232	to think (reflect)	1415	1726	1112	think (vi-3 [1: min- 2: mi:-])
233	to throw	1456	1687	409	throw, throw away (vt-2 [1: hɔks- 2: hɔ:-])
234	to vomit	1278	1535	889	vomit (vi-3 [1: pas- 2: pa-])
235	to walk	1443	1815	44	walk (vi-1 [1: lam dum-])
236	to wipe	1454	1163	1243	wipe, wipe up (vt-5 [1: khui- 2: khuiy- 3: khui- 4: khun- 5: khu:-])
237	today	1283	738	1034	today (adv.)
238	tomorrow	1329	742	1008	tomorrow (adv.)
239	twenty	1710	816	1090	score, e.g. ik-khal twenty. (num.)
240	two	1498	798	473	two (num.)
241	we [first person plural inclusive]	1131	930	21	we (pron.)
241	we [first person plural inclusive]	1131	930	22	we (pron.)
242	wet	1726	1029	319	be wet (vi-3 [1: ci:- 2: ci-])
243	what	1236	954	575	with what?, what? (erg) (pron.)
244	where	1237	955	1276	where? (pron.)
245	white	1335	1006	969	white (adj.)
246	who	1235	953	1437	who (pron.)
247	yellow	1424	1008	856	yellow (adj.)
248	yesterday	1174	739	1036	yesterday (adv.)
249	you [second person plural]	1213	933	1403	hear (vt-2 [1: yen- 2: ye:-])
250	young	1207	1059	864	blue, green, young (of firewood), unripe, uncooked (adj.)
