# Wordlist

# DATA
ID	DOCULECT	CONCEPT	GLOSS_IN_SOURCE	IPA	TOKENS	SOURCE	COGID	TBL_ID	NOTE
81	Kulung	the flower	flower (n.)	buN	b u ŋ	Tolsma1999	0	377	Nepali: phūl. (Tolsma1999)
#
82	Kulung	the fog	mist (n.)	phuiki	pʰ u i k i	Tolsma1999	0	16	Nepali: kuiro. (Tolsma1999)
#
83	Kulung	the foot	leg, foot (n.)	lɔN	l ɔ ŋ	Tolsma1999	0	103	Nepali: khuṭṭā. (Tolsma1999)
#
84	Kulung	the forest	forest (n.)	sɔ:gɔ	s ɔ: g ɔ	Tolsma1999	0	50	Nepali: ban. (Tolsma1999)
#
85	Kulung	the frog	frog, toad (n.)	bɔrɔ	b ɔ r ɔ	Tolsma1999	0	349	Nepali: khasre, bhyāguto. (Tolsma1999)
#
86	Kulung	the front (front side)	front (n.)	lais	l a i s	Tolsma1999	0	712	
#
87	Kulung	the frost	frost (n.)	chawa	tsʰ a w a	Tolsma1999	0	14	Nepali: tusāro. (Tolsma1999)
#
88	Kulung	the fruit	fruit (n.)	se	s e	Tolsma1999	0	378	Nepali: phalphūl. (Tolsma1999)
#
89	Kulung	the goat	goat (n.)	chara	tsʰ a r a	Tolsma1999	0	276	Nepali: bākhro. (Tolsma1999)
#
90	Kulung	the grass	grass, where a broom is made of. (n.)	serbɔ	s e r b ɔ	Tolsma1999	0	436	
#
91	Kulung	the hail	hail (n.)	mulu	m u l u	Tolsma1999	0	13	Nepali: asinā. (Tolsma1999)
#
92	Kulung	the hair (of the head)	grow (crops, hair), begin to sprout (vi-1 [1: lim-])	limma	l i m m a	Tolsma1999	0	75	Nepali: umranu, palāunu. (Tolsma1999)
#
93	Kulung	the head	head (n.)	tɔN	t ɔ ŋ	Tolsma1999	0	74	Nepali: ṭāuko. (Tolsma1999)
#
94	Kulung	the heart	heart (n.)	cɔwa	ts ɔ w a	Tolsma1999	0	144	Nepali: muṭu. (Tolsma1999)
#
95	Kulung	the horn (keratinized skin)	horn (n.)	pittɔ	p i t t ɔ	Tolsma1999	0	263	Nepali: siŋ. (Tolsma1999)
#
96	Kulung	the house	house (n.)	khim	kʰ i m	Tolsma1999	0	494	Nepali: ghar. (Tolsma1999)
#
97	Kulung	the husband	husband (n.)	tuppɔ	t u p p ɔ	Tolsma1999	0	247	Nepali: logne. (Tolsma1999)
#
98	Kulung	the ice	snow, ice (n.)	nɔ:N	n ɔ: ŋ	Tolsma1999	0	17	Nepali: hiuṃ. (Tolsma1999)
#
99	Kulung	the knee	knee (n.)	tumchi	t u m tsʰ i	Tolsma1999	0	101	Nepali: ghuṃḍā. (Tolsma1999)
#
100	Kulung	the leaf	leaf (n.)	si:bɔ	s i: b ɔ	Tolsma1999	0	376	Nepali: pāt. (Tolsma1999)
#
101	Kulung	the lip (the lips)	lip (n.)	Nǝcǝsuwa	ŋ ǝ ts ǝ s u w a	Tolsma1999	0	85	Nepali: oṭh. (Tolsma1999)
#
102	Kulung	the liver	liver (n.)	luma	l u m a	Tolsma1999	0	145	Nepali: kalejo. (Tolsma1999)
#
