NUMBER	ENGLISH	CONCEPTICON_ID	TBL_ID	SRCID	SRCGLOSS
105	the heart	1223	144	1912	liver; heart (n.)
106	the hoof	152	264		???
107	the horn (keratinized skin)	1393	263	1368	horn (n.)
108	the horse	615	268		???
109	the house	1252	494	2180	house, home. (n.)
110	the husband	1200	247		???
111	the ice	617	17		???
112	the knee	1371	101	873	bend (vi.)
113	the lake	624	31		???
#<<<
114	the leaf	628	376	609	field, terrace (in slope farming). (n.)
114	the leaf	628	376	734	leaf (n.)
114	the leaf	628	376	2210	leaf (n.)
#>>>
115	the lip (the lips)	478	85		???
116	the liver	1224	145		???
117	the louse	1392	356		???
118	the lung	688	143		???
119	the man (male human)	2106	173	590	man, person. (n.)
120	the meat	634	443		???
121	the moon	1313	4	1110	moon (n.)
122	the mosquito	1509	360		???
123	the mother	1216	219	1878	mother, (also familiarly: mother-in-law). (n.)
#<<<
124	the mountain	639	23	33	highland, the mountains, the mountainous regions (n.adv.)
124	the mountain	639	23	1019	mountain, peak. (n.)
#>>>
125	the mouse or rat	2139	320		???
126	the mouth	674	84	2345	stop up, shut, cork (a bottle), close (bottle, mouth; not a window) (vt.)
127	the mud	640	46		???
128	the nail (fingernail or claw)	2128	113	2126	toenail, fingernail; talon, claw (n.)
129	the name	1405	687		???
#<<<
130	the neck	1333	89	29	throat, the front of the neck (n.)
130	the neck	1333	89	91	neck, throat; the neck as a whole (n.)
#>>>
131	the needle (for sewing)	1382	578		???
132	the nit	267	357		???
#<<<
133	the nose	1221	80	1026	nose (n.)
133	the nose	1221	80	1508	smell (vi.)
133	the nose	1221	80	1509	smell (vt.)
133	the nose	1221	80	1515	stink, smell (vi.)
133	the nose	1221	80	1810	smell, aroma (n.)
133	the nose	1221	80	1812	smell, aroma (n.)
#>>>
134	the otter	15	317		???
135	the pig	1337	284	311	hog, castrated boar raised for its meat (n.)
136	the rain	658	10	190	rain (n.)
137	the rainbow	1733	11	1819	rainbow; rainbowring around the sun (the latter type of rainbow is interpreted to be a gathering of deities (maNhaʔ) who debate on the death of some important person. The side of the rainbow which fades away first indicates the geographical direction in which the death is to occur) (n.)
138	the rice plant	2026	439		???
139	the river	666	30	197	river (n.)
#<<<
140	the road	667	38	309	road (n.)
140	the road	667	38	527	path, trail (n.)
140	the road	667	38	1468	clay or stone terrace or bench alongside the road or path, ideally underneath a tree. (n.)
#>>>
141	the root	670	375		???
#<<<
142	the rope	1218	619	89	rope, string. (n.)
142	the rope	1218	619	797	string, rope (n.)
#>>>
143	the salt	1274	61	72	salt (n.)
144	the sand	671	44		???
145	the sea	1474	32		???
146	the seed	714	405	1704	pit, seed, kernel (of husked grain). (n.)
147	the sheep	1331	275		???
#<<<
148	the shit	676	151	391	shit, defaecate (vt.)
148	the shit	676	151	391	shit, defaecate (vt.)
#>>>
#<<<
149	the shoulder	1482	90	228	again; back (adv.)
149	the shoulder	1482	90	1825	shoulder (n.)
#>>>
#<<<
150	the sickle	341	624	639	be cutting, be sharp (of a knife or sickle) (vi.)
150	the sickle	341	624	944	sickle, smaller than a waphe:ʔ. (n.)
#>>>
#<<<
151	the skin	763	120	18	hide, conceal. (vt.)
151	the skin	763	120	1705	hide, leather. (n.)
#>>>
#<<<
152	the sky	1732	1	968	1) adhesive 'to be'; be suspended, hang (fruits in a tree, clouds in the sky); remain sticking to (eg. smegma) 2) be situated (of a heavenly body, the sky or body parts); be or become manifest; 3) be (an amount). (vi.)
152	the sky	1732	1	1785	heavens, firmament, sky (n.)
#>>>
153	the smoke	778	19	1154	smoke (n.)
154	the snake	730	347	1299	snake, serpent. (n.)
155	the snow	784	12	2071	snow (n.)
156	the son	1620	220		???
157	the sparrow	1854	336		???
#<<<
158	the spider	843	361	283	spider (n.)
158	the spider	843	361	285	spider (n.f.)
#>>>
#<<<
159	the star	1430	5	415	star (n.)
159	the star	1430	5	417	star (n.)
#>>>
#<<<
160	the stick	1295	586	27	stick, rod, staff. (n.)
160	the stick	1295	586	1207	stick (n.)
160	the stick	1295	586	2162	stick (vt.)
160	the stick	1295	586	2170	stick (vi.)
160	the stick	1295	586	1427	stick, twigs, kindling (n.)
#>>>
#<<<
161	the stone (a piece of)	857	379	1084	stone or rock of micaceous earth, considered to be a poor quality, albeit widely used, building stone, ubiquitous throughout Limbuvān. (n.)
161	the stone (a piece of)	857	379	1905	stone, rock. (n.)
#>>>
#<<<
