# EDICTOR
@modified: 2015-02-02 16:0
#
ID	IPA	SOURCE	WOLD	TOWEROFBABEL	SCAID	NOTE	CONCEPT	ENTRY_IN_SOURCE	CHINESE	SWADESH_1952	COGID	SWADESH_1955	HANZI	DOCULECT	BORROWING	ALIGNMENT	TOKENS	ABVD	OMEGAWIKI	GLOSS_IN_SOURCE	POS	IELEX	SUBGROUP	MORPHEME_STRUCTURE	PARADIGM_1	PARADIGM_3	PARADIGM_4	PARADIGM_2	DUPLICATES
181			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Achang_Luxi				ashes (146)	264		Noun	ashes (5)	Burmish						
182			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Atsi				ashes (146)	264		Noun	ashes (5)	Burmish						
183			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Bola				ashes (146)	264		Noun	ashes (5)	Burmish						
184	pra		1.84	ashes(43)	0		the ashes	pra	灰	ashes(4)	188	ashes(2)	灰	Burmese			p r a	ashes (146)	264	ash	Noun	ashes (5)	Burmish						
185			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Hpun				ashes (146)	264		Noun	ashes (5)	Burmish						
186			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Lashi				ashes (146)	264		Noun	ashes (5)	Burmish						
187			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Maru				ashes (146)	264		Noun	ashes (5)	Burmish						
188			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Old_Burmese				ashes (146)	264		Noun	ashes (5)	Burmish						
189			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Xiandau				ashes (146)	264		Noun	ashes (5)	Burmish						
190			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Dumi				ashes (146)	264		Noun	ashes (5)	Kiranti						
191	pʉjʉ		1.84	ashes(43)	0		the ashes	pʉjʉ	灰	ashes(4)	191	ashes(2)	灰	Khaling			p ʉ j ʉ	ashes (146)	264	ash	Noun	ashes (5)	Kiranti						
192	khappu		1.84	ashes(43)	0		the ashes	khappu	灰	ashes(4)	190	ashes(2)	灰	Limbu			kʰ a pp u	ashes (146)	264	ash	Noun	ashes (5)	Kiranti						
193			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Wambule				ashes (146)	264		Noun	ashes (5)	Kiranti						
194			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Yakkha				ashes (146)	264		Noun	ashes (5)	Kiranti						
195			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Yamphu				ashes (146)	264		Noun	ashes (5)	Kiranti						
