NUMBER	OWID	GLOSS	POS	ABVD	IELEX	WOLD
210	5459	thou [second person singular]	Function word	thou (183)	thou (175)	http://wold.clld.org/meaning/2-92
211	156096	three	Function word	Three (199)	three (176)	http://wold.clld.org/meaning/13-03
212	6072	to throw	Verb	to throw (94)	throw (177)	http://wold.clld.org/meaning/10-25
213	509787	the thunder	Noun	thunder (134)		http://wold.clld.org/meaning/1-56
214	844574	to tie (together)	Verb	to tie up, fasten (66)	tie (178)	http://wold.clld.org/meaning/9-16
215	5440	the tongue	Noun	tongue (32)	tongue (179)	http://wold.clld.org/meaning/4-26
216	5946	the tooth (front)	Noun	tooth (31)	tooth (180)	http://wold.clld.org/meaning/4-27
217	3854	the tree	Noun		tree (181)	http://wold.clld.org/meaning/8-6
218	6055	to turn (around)	Verb	to turn (8)	turn (182)	http://wold.clld.org/meaning/10-12
219	7013	twenty	Function word	Twenty (207)		http://wold.clld.org/meaning/13104
220	6248	two	Function word	Two (198)	two (183)	http://wold.clld.org/meaning/13-02
221	5617	to vomit	Verb	to vomit (35)	vomit (184)	http://wold.clld.org/meaning/4-57
222	6054	to walk	Verb	to walk (5)	walk (185)	http://wold.clld.org/meaning/10-45
223	5485	warm (hot)	Adjective	warm (138)	warm (186)	http://wold.clld.org/meaning/15851
224	6069	to wash	Verb		wash (187)	http://wold.clld.org/meaning/9-36
225	4118	the water	Noun	water (122)	water (188)	http://wold.clld.org/meaning/1-31
226	5455	we [first person plural]	Function word	we (185)	we (189)	http://wold.clld.org/meaning/2-94
227	7027	wet	Adjective	wet (141)	wet (190)	http://wold.clld.org/meaning/15-83
228	5491	what	Function word	what? (188)	what (191)	http://wold.clld.org/meaning/17-64
229	5493	when	Function word	when? (170)	when (192)	http://wold.clld.org/meaning/17-65
230	5492	where	Function word	where? (181)	where (193)	http://wold.clld.org/meaning/17-66
231	5825	white	Adjective	white (148)	white (194)	http://wold.clld.org/meaning/15-64
232	5490	who	Function word	who? (189)	who (195)	http://wold.clld.org/meaning/17-68
233	5502	wide	Adjective	wide (159)	wide (196)	http://wold.clld.org/meaning/12-61
234	5429	the wife	Noun	wife (58)	wife (197)	http://wold.clld.org/meaning/2-32
235	4160	the wind	Noun	wind (136)	wind (198)	http://wold.clld.org/meaning/1-72
236	5528	the wing	Noun	wing (100)	wing (199)	http://wold.clld.org/meaning/4392
237	4165	the woman	Noun	woman/female (55)	woman (202)	http://wold.clld.org/meaning/2-22
238	741520	the wood (material)	Noun	stick/wood (79)		http://wold.clld.org/meaning/1-43
239	471303	the work	Verb	to work (83)		http://wold.clld.org/meaning/
240	5466	the worm	Noun	worm (earthworm) (107)	worm (204)	http://wold.clld.org/meaning/3-84
241	441371	to yawn	Verb	to yawn (47)		http://wold.clld.org/meaning/4-52
242	5478	the year	Noun	year (169)	year (205)	http://wold.clld.org/meaning/14-73
243	6031	yellow	Adjective	yellow (150)	yellow (206)	http://wold.clld.org/meaning/15-69
244	5456	you [second person plural]	Function word	you (186)	you (207)	http://wold.clld.org/meaning/2-95
