NUMBER	GLOSS
0714	outside
0715	inside
0716	corner / angle (noun)
0717	point / tip (noun)
0718	edge / rim / margin (noun)
0719	surroundings (noun)
0720	vicinity / nearby
0721	boundary line / demarcation line (noun)
0722	upper part of / upper reaches (noun)
0723	lower part of / lower reaches (noun)
0724	on (the table)
0725	under (the table)
0726	in (the sky)
0727	under (the sky)
0728	on (the wall)
0729	on top (of the roof)
0730	at the bottom of (a hill)
0731	over / above
0732	below / under
0733	upwards
0734	downwards
0735	upper half of the body (noun)
0736	lower half of the body (noun)
0737	time (noun)
0738	today
0739	yesterday
0740	day before yesterday
0741	three days ago
0742	tomorrow
0743	day after tomorrow
0744	three days from now
0745	tonight
0746	tomorrow night / evening
0747	yesterday evening / last night
0748	day (time) (noun)
0749	morning (noun)
0750	noon (noun)
0751	dusk / twilight (noun)
0752	night, at / evening, in the
0753	night, at
0754	midnight
0755	year of the mouse (noun)
0756	year of the ox (noun)
0757	year of the tiger (noun)
0758	year of the rabbit (noun)
0759	year of the dragon (noun)
0760	year of the snake (noun)
0761	year of the horse (noun)
0762	year of the ram (noun)
0763	year of the monkey (noun)
0764	year of the chicken (noun)
0765	year of the dog (noun)
0766	year of the pig (noun)
0767	animals (twelve) representing the twelve years (noun)
0768	date (time) (noun)
0769	day (first of lunar month) (noun)
0770	day (second of lunar month) (noun)
0771	month (noun)
0772	January (noun)
0773	February (noun)
0774	beginning of a month (noun)
0775	middle of a month (noun)
0776	end of a month (noun)
0777	year (noun)
0778	this year
0779	last year
0780	year before last
0781	next year
0782	year after next
0783	past, in the
0784	ancient times, in
0785	present, the (time) (noun)
0786	recently / lately
0787	future (noun)
0788	initially / beginning, in the
0789	Monday
0790	Tuesday
0791	spring (season) (noun)
0792	summer (noun)
0793	fall / autumn (noun)
0794	winter (noun)
0795	New Year's Day (noun)
0796	festival (noun)
0797	one
0798	two
0799	three
0800	four
0801	five
0802	six
0803	seven
0804	eight
0805	nine
0806	ten
0807	eleven
0808	twelve
0809	thirteen
0810	fourteen
0811	fifteen
0812	sixteen
0813	seventeen
0814	eighteen
0815	nineteen
0816	twenty
0817	thirty
0818	forty
0819	fifty
0820	sixty
0821	seventy
0822	eighty
0823	ninety
0824	hundred
0825	one hundred and one
0826	thousand
0827	ten thousand
0828	one hundred thousand
0829	million
0830	ten million
0831	billion
0832	half
0833	first
0834	second
0835	classifier for people
0836	classifier for bowls
0837	classifier for river
0838	classifier for rope
0839	sheet (of paper)
0840	page
0841	classifier for eggs
0842	classifier for birds
0843	classifier for sticks
0844	blade (of grass)
0845	grain (of rice)
0846	classifier for brooms
0847	classifier for knives
0848	classifier for trees
0849	classifier for books
0850	line (of wheat)
0851	classifier for bridges
0852	bunch / bundle (of vegetable)
0853	handful (of rice)
0854	classifier for pens
0855	pile (of excrement)
0856	bucket (of water)
0857	bowl (of cooked rice)
0858	patch (of ground / field)
0859	classifier for rocks, stones
0860	classifier for leaves
0861	classifier for flowers
0862	sentence (of speech)
0863	classifier for songs
0864	classifier for garments
0865	pair (of shoes)
0866	pair (of rabbits)
0867	flock (of sheep)
0868	section (of road / journey)
0869	section (of bamboo between two joints)
0870	day's (journey)
0871	classifier for one of a pair
0872	roll (of cloth)
0873	bolt (of cloth)
0874	square (area unit for selling cloth)
0875	basketful (of vegetable)
0876	load (of firewood) on the back
0877	bundle / sheaf
0878	load of cupped-hands
0879	classifier for age of animals
0880	load on an animal's back
0881	bowl (of tobacco)
0882	team / line (of people (&animals))
0883	row (of houses)
0884	string (of beads)
0885	drop (of oil)
0886	classifier for flags
0887	story (of building)
0888	classifier for letters
0889	classifier for rooms
0890	parcel / sack (of things)
0891	bottle (of wine)
0892	puddle (of mud)
0893	measure of weight (=1 / 2 kilogram)
0894	tael (=50 grams)
0895	measure of weight (=0.1 tael)
0896	unit of dry measure for grain (=1 decaliter)
0897	liter
0898	mile (=0.5 kilometer)
0899	fathom
0900	foot (=1 / 3 meter)
0901	span (thumb to middle finger)
0902	fingersbreadth
0903	cubit
0904	team (of oxen)
0905	inch
0906	yuan (Chinese money)
0907	ten cents
0908	hectare, 1 / 15 of
0909	while, a
0910	day's (work)
0911	night's (work)
0912	month's (work)
0913	year's (work)
0914	classifier for age
0915	lifetime
0916	step / stride
0917	time / instance (of going somewhere)
0918	meal
0919	shout
0920	time / instance (of hitting)
0921	time / instance (of kicking)
0922	time / instance (of biting)
0923	some
0924	several / few, a
0925	every day
0926	each / every
0927	double / twice
0928	I
0929	we (two)
0930	we
0931	you
0932	you two
0933	you (pl.)
0934	he
0935	they two
0936	they
0937	we (inclusive)
0938	we (dual, inclusive)
0939	we all
0940	oneself
0941	other person(s)
0942	this
0943	these
0944	here
0945	this side / here
0946	thus / this (way) / (like) this
0947	that
0948	that (over yonder)
0949	those
0950	there
0951	that side / there
0952	that (way) / (like) that
0953	who
0954	what
0955	where
0956	when
0957	how
0958	how many / how much
0959	how many (a small number)
0960	others / miscellaneous
0961	respective / individual / each
0962	all / everything
0963	all / whole, the
0964	big / large
0965	small
0966	wide (in diameter) / coarse
0967	thin (in diameter) / fine / tiny
0968	high / tall
0969	low / short
0970	protruding / raised
0971	sunken / dented
0972	long
0973	short
0974	far / distant
0975	near
0976	wide / broad
0977	narrow
0978	spacious / commodious
0979	cramped / narrow
0980	thick
0981	thin
0982	deep
0983	shallow
0984	full
0985	empty
0986	shrivelled / shrunken
0987	many / much
0988	few / little
0989	square / rectangular
0990	circle / circular
0991	flat / shallow
0992	pointed
0993	bald / bare
0994	level / flat
0995	wrinkled / creased
0996	right / obverse side (noun)
0997	reverse side (noun)
0998	hit sthg on the target (verb)
0999	slanting / leaning
1000	askew / awry / slanting
1001	horizontal
1002	vertical
1003	straight
1004	curved / crooked / bent
1005	black
1006	white
1007	red
1008	yellow
1009	green
1010	blue
1011	grey
1012	bright
1013	dark
1014	heavy
1015	light (weight)
1016	quick / fast
1017	slow
1018	early
1019	late
1020	sharp
1021	blunt / dull
1022	clear (water)
1023	muddy / turbid
1024	fat
1025	fat (pig)
1026	thin
1027	poor (land)
1028	dry
1029	wet
1030	thick (porridge)
1031	watery / thin (porridge)
1032	woven, tightly (fabric)
1033	thin (hair)
1034	hard
1035	soft
1036	sticky / glutinous
1037	smooth / glossy / sleek
1038	rough / coarse
1039	slippery (road)
1040	tense / tight / taut
1041	lax / loose / slack
1042	crisp / brittle
1043	solid
1044	chaotic / disorderly / messy
1045	right / correct
1046	wrong
1047	true
1048	false
1049	uncooked / raw
1050	new
1051	used / old
1052	good
1053	bad
1054	expensive
1055	cheap
1056	overgrown (plant)
1057	tender young (plant)
1058	old / elderly
1059	young
1060	beautiful
1061	ugly
1062	hot
1063	cold (weather, water)
1064	lukewarm (water)
1065	warm
1066	cool, pleasantly
1067	difficult
1068	easy
1069	fragrant (smell)
1070	stinking / smelly
1071	savory / appetizing
1072	sour
1073	sweet
1074	bitter
1075	hot / spicy
1076	salty
1077	tasteless / insipid
1078	astringent
1079	fishy-smelling
1080	greasy / oily
1081	idle / not busy
1082	busy
1083	rich
1084	poor
1085	clean
1086	dirty
1087	living (adj.)
1088	fresh
1089	dead
1090	clear / lucid
1091	tasty / delicious
1092	pleasant to the ears
1093	beautiful / pleasant to the eyes
1094	loud
1095	hard / laborious
1096	bored
1097	hurriedly / hastily
1098	multicolored / patterned (cloth)
1099	clever
1100	stupid
1101	honest / well-behaved
1102	sly / cunning
1103	careful / attentive
1104	gentle / amiable
1105	arrogant / conceited
1106	suitable
1107	fierce / ferocious
1108	severe / fierce / sharp
1109	polite / courteous
1110	stingy
1111	industrious / hardworking
1112	lazy
1113	clumsy / awkward
1114	well-behaved / lovable (child)
1115	hardworking / exerting oneself
1116	pitiable / pitiful
1117	happy / excited
1118	blissful
1119	safe and sound
1120	sad
1121	affectionate / intimate
1122	bothersome / disagreeable
1123	alone
1124	cliffy / precipitous
1125	near / close to
1126	love / like
1127	like (to eat)
1128	install
1129	press (with palm or finger)
1130	decoct (herbal medicine)
1131	pull up (weeds)
1132	rake (the fields)
1133	grasp (with the fingers and thumb of both hands)
1134	put in order / arrange
1135	swing / sway
1136	lose / defeated
1137	worship / make obeisance to
1138	move (house)
1139	move (a stool)
1140	help
1141	bind / tie up
1142	wrap (verb)
1143	shell (peanuts) (verb)
1144	skin (cattle) (verb)
1145	peel off (paint)
1146	secret, keep
1147	protect
1148	eaten one's fill, have
1149	hug / hold in the arms
1150	dig
1151	carry (a child) on the back)
1152	spout / burst forth
1153	force / compel
1154	compare
1155	close (the mouth)
1156	plait (verb)
1157	weave (a basket)
1158	change
1159	alter
1160	ill, to be
1161	patch (clothing)
