GLOSS	AMBIGUITY	COVERAGE	SOURCES
classifier for rooms		1	TBL
classifier for rope		1	TBL
classifier for songs		1	TBL
classifier for sticks		1	TBL
classifier for sticks (big)		1	TBL
classifier for sticks (small)		1	TBL
classifier for two birds		1	TBL
classifier for two books		1	TBL
claw / talon		1	TBL
claw / talon (chicken's rear claws)		1	TBL
clear / lucid		1	TBL
clear, be (weather) / sunny		1	TBL
clever		1	TBL
cliffy / precipitous		1	TBL
climb (a mountain)		1	TBL
climb up (a tree)		1	TBL
close (a book)		1	TBL
close (an umbrella)		1	TBL
close (the door)		1	TBL
close (the mouth)		1	TBL
close (the mouth) lightly		1	TBL
cloth (Tibetan, woollen)		1	TBL
cloth (colorful, worn on the head)		1	TBL
cloth (colorful, worn on the head) (for women)		1	TBL
cloth (woollen)		1	TBL
cloth (woollen) (tweed native to area)		1	TBL
clothing / garment		1	TBL
cloudy, be (sky) / overcast		1	TBL
clumsy / awkward		1	TBL
coax / fool		1	TBL
cockscomb		1	TBL
cold (water)		1	TBL
cold (weather)		1	TBL
cold (weather, water)		1	TBL
collapse / cave in / fall down		1	TBL
collar		1	TBL
collide / run into		1	TBL
color		1	TBL
come (1sg)		1	TBL
come (future)		1	TBL
come (imperative)		1	TBL
come (past)		1	TBL
come loose (shoelace)		1	TBL
come out		1	TBL
come out (future)		1	TBL
come out (past)		1	TBL
come out (the sun)		1	TBL
commend / praise		1	TBL
common people		1	TBL
compare		1	TBL
compare ('than'--functor)		1	TBL
compensate		1	TBL
complain about s.b. to his sup		1	TBL
complete, be		1	TBL
conduit (open, for water)		1	TBL
conform (cause to) / satisfy		1	TBL
connect / join		1	TBL
consult / discuss		1	TBL
container (measuring, 1-liter-volume)		1	TBL
container for measuring grain (=1 decaliter)		1	TBL
cook / boil		1	TBL
cook / boil (water, meat)		1	TBL
cooked, be (rice) / done		1	TBL
cool, pleasantly		1	TBL
copper (brass, red (pure))		1	TBL
copper (cupronickel)		1	TBL
copper (red; pure copper)		1	TBL
coral		1	TBL
corner / angle		1	TBL
corner / angle (edge, convex)		1	TBL
corner / angle (nook, concave)		1	TBL
corpse		1	TBL
count (numbers)		1	TBL
cover (the mouth)		1	TBL
cover / hide from view		1	TBL
cover up (objects)		1	TBL
crack / rift / fissure		1	TBL
crack / rift / fissure (in a board, stone, wall, etc.)		1	TBL
cramped / narrow		1	TBL
crane		1	TBL
crawl (of babies)		1	TBL
crawl (of insects)		1	TBL
crawl (of insects, horizontally)		1	TBL
crawl (of insects, upwards)		1	TBL
crawl (of people)		1	TBL
crawl (upwards)		1	TBL
crazy, become		1	TBL
crisp / brittle		1	TBL
cross (a bridge)		1	TBL
cross (a river)		1	TBL
cross / pass		1	TBL
crow (of cocks)		1	TBL
crow (of hens)		1	TBL
crupper-strap		1	TBL
crush to pieces		1	TBL
cry		1	TBL
cry / chirp (of birds)		1	TBL
cubit		1	TBL
cuckoo		1	TBL
cuddle / embrace		1	TBL
cupboard / cabinet		1	TBL
curved / crooked / bent		1	TBL
curved, become / bent		1	TBL
cut (cloth)		1	TBL
cut (meat)		1	TBL
cut (paper)		1	TBL
cut (paper, cloth)		1	TBL
cut / gouge out		1	TBL
cut / rip open		1	TBL
cut off / sever		1	TBL
cut off / sever (intransitive)		1	TBL
cut off / sever (transitive)		1	TBL
cut up (meat)		1	TBL
cut up (melon)		1	TBL
cut up (vegetable)		1	TBL
cymbals		1	TBL
cypress		1	TBL
cypress (big)		1	TBL
cypress (small)		1	TBL
damage / spoil		1	TBL
damage / spoil (intransitive)		1	TBL
damage / spoil (simplex)		1	TBL
damage / spoil (transitive)		1	TBL
damaged, be (house) / cave in		1	TBL
dance (guo1zhuang1, a Tibetan dance)		1	TBL
dance (step, tap)		1	TBL
dance (the 'guo1zhuang1')		1	TBL
dance (xian2zi dance, 3-stringed plucked instr)		1	TBL
danger		1	TBL
dark, get		1	TBL
date (time)		1	TBL
daughter-in-law (address)		1	TBL
daughter-in-law (reference)		1	TBL
dawn (the day)		1	TBL
day (first of lunar month)		1	TBL
day (second of lunar month)		1	TBL
day (time)		1	TBL
day's (journey)		1	TBL
day's (work)		1	TBL
dead		1	TBL
deaf, be		1	TBL
deceive / cheat		1	TBL
deceive / cheat (people)		1	TBL
deceived, be / cheated, be		1	TBL
decoct (herbal medicine)		1	TBL
decoct (porridge / conjee)		1	TBL
deer (female)		1	TBL
deer (male)		1	TBL
deer (river)		1	TBL
deer (river) (female)		1	TBL
deer (river) (male)		1	TBL
deposit / leave with		1	TBL
destroy (cause to)		1	TBL
destroy / exterminate		1	TBL
develop (a career / undertaking)		1	TBL
develop (career / undertaking)		1	TBL
diarrhea, have		1	TBL
die out (of fire)		1	TBL
difference / distinction		1	TBL
dig / excavate		1	TBL
dig / scoop out		1	TBL
dig out with finger		1	TBL
digest		1	TBL
dike / embankment		1	TBL
dilute / add water		1	TBL
dilute water		1	TBL
direction / orientation		1	TBL
dirt / filth		1	TBL
disappear / vanish		1	TBL
disappear / vanish (lit. 'not seen anymore')		1	TBL
dislocate (a joint)		1	TBL
display structure		1	TBL
dissolve		1	TBL
dissolve (cause to)		1	TBL
ditch / gully		1	TBL
divide / share (things)		1	TBL
divide family property and live apart (offspring)		1	TBL
dizzy, feel / giddy		1	TBL
do / be in business		1	TBL
do / make		1	TBL
do / make (future)		1	TBL
do / make (past)		1	TBL
done, be / accomplished		1	TBL
door (front) / door (entrance)		1	TBL
double / twice		1	TBL
doubt		1	TBL
downstairs		1	TBL
downstairs (first floor, the draught animal pen)		1	TBL
downwards		1	TBL
doze / nod off		1	TBL
drag for / dredge up		1	TBL
dragon (water)		1	TBL
drape (a garment) over one's shoulders		1	TBL
draw (a picture)		1	TBL
draw out / stretch		1	TBL
draw out / stretchdraw out / stret		1	TBL
dregs / sediment		1	TBL
drench		1	TBL
drill		1	TBL
drill / auger		1	TBL
drive out / expel		1	TBL
drop (of oil)		1	TBL
drum (big)		1	TBL
drum (small, hand-drum)		1	TBL
drunk, be		1	TBL
drunk, get		1	TBL
dry (clothes) in the air		1	TBL
dry (clothes) in the sun		1	TBL
dry (grain) in the sun		1	TBL
dry (inside of object)		1	TBL
dry (of damp objects: become dry)		1	TBL
dry by fire		1	TBL
dry, be		1	TBL
duck (domestic)		1	TBL
duck (mallard)		1	TBL
dung (cow)		1	TBL
dung (cow) (dry)		1	TBL
dung (cow) (wet)		1	TBL
dung (goat)		1	TBL
dung (goat, sheep)		1	TBL
dung (horse)		1	TBL
dung (pig)		1	TBL
dung (sheep)		1	TBL
dusk / twilight		1	TBL
dye (stuff)		1	TBL
each / every		1	TBL
each / every (person)		1	TBL
each / every (thing)		1	TBL
eagle / vulture		1	TBL
ear / spike		1	TBL
earrings		1	TBL
earrings (big)		1	TBL
earrings (female's)		1	TBL
earrings (male's)		1	TBL
earrings (small)		1	TBL
earth / ground		1	TBL
east (lit. 'sun rise place')		1	TBL
eat (meat, corn, etc.)		1	TBL
eat (rice, etc.)		1	TBL
eaten one's fill, have		1	TBL
eaves		1	TBL
edge / rim / margin		1	TBL
elder brother		1	TBL
elder brother (address)		1	TBL
elder brother (addressed by y. brother)		1	TBL
elder brother (addressed by y. sister)		1	TBL
elder brother (reference by y. brother)		1	TBL
elder brother (reference by y. sister)		1	TBL
elder brother (reference)		1	TBL
elder sister		1	TBL
elder sister (address by y. brother)		1	TBL
elder sister (address by y. sister)		1	TBL
elder sister (address)		1	TBL
elder sister (reference by y. brother)		1	TBL
elder sister (reference by y. sister)		1	TBL
elder sister (reference)		1	TBL
embrace / hug		1	TBL
embrace a child cheek to cheek		1	TBL
embroider		1	TBL
emperor		1	TBL
empty the bowels		1	TBL
end of a month		1	TBL
endure / be patient		1	TBL
enemy (personal) / antagonizer		1	TBL
enough, be		1	TBL
enter (a house)		1	TBL
enter (a house) (future)		1	TBL
enter (a house) (past)		1	TBL
envy		1	TBL
escape / run away		1	TBL
every day		1	TBL
expand / swell		1	TBL
extend / elongate		1	TBL
extract (oil)		1	TBL
fabric (satin)		1	TBL
fabric (silk)		1	TBL
face (features of)		1	TBL
face (self-respect)		1	TBL
fake (goods)		1	TBL
fall (rain)		1	TBL
fall / autumn		1	TBL
fall / tumble down		1	TBL
fall down (a house) / collapse		1	TBL
fall down (a wall) / topple		1	TBL
fall over / down		1	TBL
false (words)		1	TBL
familiar with, be / know sthg. o		1	TBL
fan (winnowing)		1	TBL
far / distant		1	TBL
fat (adult pig)		1	TBL
fat (adult)		1	TBL
fat (infant)		1	TBL
fat (pig)		1	TBL
fat (young pig)		1	TBL
father (address)		1	TBL
father (reference)		1	TBL
fathom		1	TBL
feather / plume		1	TBL
feather / plume (bird)		1	TBL
feather / plume (chicken)		1	TBL
feed (pig) / pigwash		1	TBL
fence (bamboo / twig)		1	TBL
ferment		1	TBL
fertilizer / manure		1	TBL
festival		1	TBL
fetch / draw (water)		1	TBL
fever, have		1	TBL
few / little		1	TBL
fields (wheat etc.)		1	TBL
fields (wheat etc., slashed)		1	TBL
fierce / ferocious		1	TBL
fight ('mutually hit')		1	TBL
fight / vie for		1	TBL
fight / vie for (contend)		1	TBL
file (tool)		1	TBL
fill (a bowl with porridge)		1	TBL
fill (a bowl with rice)		1	TBL
fill (with medicine)		1	TBL
fill (with water)		1	TBL
fill (with water) (field)		1	TBL
fill (with water) (kettle)		1	TBL
fill up (a hollow)		1	TBL
filter / strain		1	TBL
find / look for		1	TBL
finger (little)		1	TBL
finger (middle)		1	TBL
fingersbreadth		1	TBL
finish / be over		1	TBL
fir (China)		1	TBL
fir (China) (high-elevation spruce)		1	TBL
fir (China) (mid-elevation 'hanging' fir)		1	TBL
fire (a shot)		1	TBL
fishy-smelling		1	TBL
fist (hollow, empty)		1	TBL
fist (solid)		1	TBL
flat / shallow		1	TBL
flatland		1	TBL
flatland (grassland)		1	TBL
flesh / muscle		1	TBL
flight of steps		1	TBL
fling / toss		1	TBL
flint		1	TBL
flock (of sheep)		1	TBL
flow (of water)		1	TBL
flute (bamboo)		1	TBL
flute (bamboo, vertical)		1	TBL
flute (bamboo, vertical, of reed or rice stalks)		1	TBL
flute (bamboo,vertical)		1	TBL
fodder / feed (horse)		1	TBL
fold up (a quilt)		1	TBL
foodstuff / grain		1	TBL
fool / blockhead		1	TBL
fool / blockhead (female)		1	TBL
fool / blockhead (male)		1	TBL
foot (=1 / 3 meter)		1	TBL
force / compel		1	TBL
fortune / luck		1	TBL
found / located		1	TBL
foundation		1	TBL
fragrant (smell)		1	TBL
freeze (meat)		1	TBL
freeze / ice up		1	TBL
fresh		1	TBL
friend (female-to-female)		1	TBL
friend (male-to-male)		1	TBL
frighten / scare		1	TBL
frostbitten, be (hand)		1	TBL
fruit (lit. 'pear peach apricot')		1	TBL
fry (cold rice)		1	TBL
full, be / filled up		1	TBL
fungus (edible)		1	TBL
fungus (edible) (lit. 'mouse's ear')		1	TBL
fungus (edible) (lit. 'old person's ear')		1	TBL
future (near)		1	TBL
gall bladder		1	TBL
gap / crevice		1	TBL
garbage / rubbish		1	TBL
garden (plot)		1	TBL
gather ( of water) / build up		1	TBL
gather (firewood)		1	TBL
gather / assemble		1	TBL
genitals (female)		1	TBL
genitals (male)		1	TBL
gentle / amiable		1	TBL
germinate / sprout		1	TBL
gesticulate		1	TBL
get / acquire		1	TBL
get / fetch		1	TBL
get / gain		1	TBL
get together, all / assemble		1	TBL
get up (out of bed)		1	TBL
ghost / spirit		1	TBL
gift / present		1	TBL
gift / present (offered as a gift)		1	TBL
gift / present (offered as tribute)		1	TBL
give (as a gift)		1	TBL
give (hand over)		1	TBL
glue / gum		1	TBL
gluttonous		1	TBL
gnaw / nibble		1	TBL
go (to market / a fair)		1	TBL
go / leave		1	TBL
go / leave (future)		1	TBL
go / leave (past)		1	TBL
go by (two years) / pass		1	TBL
go downstairs		1	TBL
go out (future)		1	TBL
go out (past)		1	TBL
go up (water level) / rise		1	TBL
go upstairs		1	TBL
go upstairs (future)		1	TBL
go upstairs (past)		1	TBL
goat (female)		1	TBL
goat (male)		1	TBL
god of rain / Dragon King		1	TBL
good (quality of material)		1	TBL
good (thought)		1	TBL
goods / merchandise		1	TBL
goose (wild)		1	TBL
grab / seize / catch		1	TBL
grain (of rice)		1	TBL
grandfather (address)		1	TBL
grandfather (reference)		1	TBL
grandmother (address)		1	TBL
grandmother (by marriage)		1	TBL
grandmother (reference)		1	TBL
grandmother (used by women of her gen.)		1	TBL
grasp (with the fingers and thumb of both hands)		1	TBL
grass (eaten by draught animals)		1	TBL
grass (long-stemmed)		1	TBL
grass (not eaten by draught animals)		1	TBL
grass (small)		1	TBL
greasy / oily		1	TBL
greasy / oily (food)		1	TBL
grey		1	TBL
grey (deep)		1	TBL
grey (lit. 'pigeon color')		1	TBL
grind (flour)		1	TBL
grind / pestle (medicine)		1	TBL
grip / handle		1	TBL
grit one's teeth		1	TBL
grow (a boil)		1	TBL
grow (appear)		1	TBL
grow (mature)		1	TBL
grow up		1	TBL
grow up (of animals)		1	TBL
grow up (of plants)		1	TBL
growl (of tigers)		1	TBL
growl (of wild animals)		1	TBL
gruel / porridge		1	TBL
grunt (of pigs)		1	TBL
guard / defend		1	TBL
guess (a riddle)		1	TBL
guessed right, have		1	TBL
gum		1	TBL
gun / rifle		1	TBL
hair / down		1	TBL
hair / down (of yak)		1	TBL
halter / bridle		1	TBL
hammer		1	TBL
hammer (big)		1	TBL
hammer (small)		1	TBL
hammer in (a nail		1	TBL
hammer in (a nail)		1	TBL
hand down (to posterity)		1	TBL
handful (of rice)		1	TBL
handle (of a knife)		1	TBL
handle (specifically of a knife)		1	TBL
hang		1	TBL
hang (on the wall)		1	TBL
hang down / droop		1	TBL
happy / excited		1	TBL
hard / laborious		1	TBL
hardworking / exerting oneself		1	TBL
harvest / reap		1	TBL
harvest / reap (the ear / tassel)		1	TBL
harvest / reap (the root)		1	TBL
hat (men's)		1	TBL
hat (women's long-tubed hat)		1	TBL
hatch / incubate		1	TBL
have (eyes)		1	TBL
have (money)		1	TBL
have, do not		1	TBL
head-cloth / turban		1	TBL
head-cloth / turban (for men)		1	TBL
healed, have (of a wound)		1	TBL
heap / stack (hay, grass)		1	TBL
heat up (cold rice)		1	TBL
hectare, 1 / 15 of		1	TBL
hedgehog		1	TBL
hemp		1	TBL
hiccup		1	TBL
hide (sthg.)		1	TBL
hide oneself		1	TBL
high / tall (of person's physique)		1	TBL
high / tall (of trees)		1	TBL
hill / mountain		1	TBL
hillside / mountain slope		1	TBL
himself / herself		1	TBL
hire / employ		1	TBL
hire / employ (a draught animal)		1	TBL
hire / employ (a person)		1	TBL
hit (a person)		1	TBL
hit (a person) (with a fist)		1	TBL
hit sthg on the target		1	TBL
hit, have (the target)		1	TBL
hoe (digging)		1	TBL
hoe (pointed)		1	TBL
hoe (small)		1	TBL
hoe up (weeds)		1	TBL
hold (a pen)		1	TBL
hold danglingly in the mouth		1	TBL
hold up / delay		1	TBL
hold, can		1	TBL
honest / well-behaved		1	TBL
hoof (even number)		1	TBL
hoof (odd number)		1	TBL
hoop / band		1	TBL
hoop / band (bamboo)		1	TBL
hoop / band (iron)		1	TBL
horn (woodwind)		1	TBL
horn (woodwind) (long)		1	TBL
horn (woodwind) (made of human bone)		1	TBL
horn (woodwind) (suo3na4--Mand. term)		1	TBL
horseshoe		1	TBL
host / master		1	TBL
hot (water)		1	TBL
hot (weather)		1	TBL
hot / spicy		1	TBL
hound		1	TBL
household		1	TBL
how many (a small number)		1	TBL
how many (a small number) (people)		1	TBL
how many (a small number) (things)		1	TBL
how many / how much		1	TBL
howl (of wolves)		1	TBL
howl (of wolves) (lit. 'cry')		1	TBL
howl (of wolves) (lit. 'groan / moan')		1	TBL
huddle / curl up		1	TBL
hug / hold in the arms		1	TBL
hug / hold in the arms (a child)		1	TBL
human being		1	TBL
hunchback		1	TBL
hung, be		1	TBL
hungry, be		1	TBL
hunter		1	TBL
hurriedly / hastily		1	TBL
hurt (the foot from grit in the shoe)		1	TBL
hurt (the foot from grit in the shoe) (causative)		1	TBL
hurt (the foot from grit in the shoe) (simplex)		1	TBL
hurt by stinging		1	TBL
husband (address)		1	TBL
husband (proper, honorable)		1	TBL
husband (reference)		1	TBL
husband (vulgo)		1	TBL
idea / opinion		1	TBL
idle / not busy		1	TBL
idle, be / unoccupied		1	TBL
ill, to be		1	TBL
immerse / submerge		1	TBL
in (the sky)		1	TBL
increase / gain		1	TBL
industrious / hardworking		1	TBL
infect		1	TBL
inhale		1	TBL
initially / beginning, in the		1	TBL
injure / hurt (the arm)		1	TBL
injure / hurt (the arm, by chopping)		1	TBL
ink (Chinese)		1	TBL
insect / worm (crawling)		1	TBL
insect / worm (flying)		1	TBL
inside (a room)		1	TBL
inside (the sea, a well)		1	TBL
install		1	TBL
instrument (two-stringed, bowed)		1	TBL
interest (financial)		1	TBL
intestine		1	TBL
itch / tickle		1	TBL
jab / poke / stab		1	TBL
