184 	 shoulder [noun] 	 2454 	 shoulder
185 	 shy 	 1519 	 shy, be / bashful
186 	 sick 	 ?	?
187 	 sing [verb] 	 2457 	 sing
188 	 sit [verb] 	 1532 	 sit down
189 	 six 	 2191 	 six
190 	 skin [noun] 	 2458 	 skin
191 	 sky [noun] 	 2460 	 sky
192 	 sleep [verb] 	 2461 	 sleep
193 	 small 	 2463 	 small
194 	 smell (perceive odor) [transitive] [verb] 	 2464 	 smell
195 	 smoke [noun] 	 2465 	 smoke
196 	 smooth 	 1548 	 smooth / glossy / sleek
197 	 snake [noun] 	 2466 	 snake
198 	 snow [noun] 	 2467 	 snow
199 	 some 	 2198 	 some
200 	 spider [noun] 	 2474 	 spider
201 	 spit [verb] 	 2475 	 spit
202 	 split [verb] 	 1589 	 split open / rend
203 	 squeeze [verb] 	 1606 	 squeeze (for milk)
204 	 stab [verb] 	 929 	 jab / poke / stab
205 	 stand [verb] 	 2476 	 stand
206 	 star [noun] 	 2477 	 star
207 	 steal [verb] 	 2478 	 steal
208 	 stick [noun] 	 1429 	 rod / stick
209 	 stone (a piece of) [noun] 	 2209 	 stone
210 	 straight 	 2479 	 straight
211 	 suck [verb] 	 2211 	 suck
212 	 sun [noun] 	 2482 	 sun
213 	 swell [verb] 	 622 	 expand / swell
214 	 swim [verb] 	 2213 	 swim
215 	 tail [noun] 	 2488 	 tail
216 	 ten 	 2217 	 ten
217 	 that 	 2490 	 that
218 	 there 	 2491 	 there
219 	 they [third person plural] 	 2492 	 they
220 	 thick 	 2494 	 thick
221 	 thin 	 2496 	 thin
222 	 think (reflect) [verb] 	 2498 	 think
223 	 this 	 2499 	 this
224 	 thou [second person singular] 	 ?	?
225 	 three 	 2223 	 three
226 	 throw [verb] 	 1754 	 throw / hurl
227 	 thunder [noun] 	 2502 	 thunder
228 	 tie (together) [verb] 	 147 	 bind / tie up
229 	 tongue [noun] 	 2507 	 tongue
230 	 tooth (front) [noun] 	 2508 	 tooth
231 	 tree [noun] 	 2509 	 tree
232 	 turn (around) [verb] 	 1447 	 s.b.'s turn
233 	 twenty 	 2230 	 twenty
234 	 two 	 2511 	 two
235 	 vomit [verb] 	 1759 	 throw up / vomit
236 	 walk [verb] 	 2520 	 walk
237 	 warm (hot) 	 2233 	 warm
238 	 wash [verb] 	 2522 	 wash (clothes)
239 	 water [noun] 	 2523 	 water
240 	 we [first person plural] 	 2234 	 we
241 	 wet 	 2526 	 wet
242 	 what 	 2237 	 what
243 	 when 	 1906 	 when
244 	 where 	 2239 	 where
245 	 white 	 2527 	 white
246 	 who 	 2241 	 who
247 	 wide 	 1916 	 wide / broad
248 	 wife [noun] 	 2528 	 wife
249 	 wind [noun] 	 2529 	 wind
250 	 wing [noun] 	 2531 	 wing
251 	 wipe 	 1925 	 wipe (the table)
252 	 with 	 1040 	 make friends with
253 	 woman [noun] 	 2534 	 woman
254 	 wood (material) [noun] 	 1935 	 wood / log
255 	 work [noun] 	 2247 	 work / labor
256 	 worm [noun] 	 2092 	 insect / worm
257 	 yawn [verb] 	 1952 	 yawn
258 	 year [noun] 	 2537 	 year
259 	 yellow 	 2538 	 yellow
260 	 you [second person plural] 	 2253 	 you
