ID	rn	reflex	GLOSS	x	srcabbr	lgid	language	srcid
98	465247	ang-se	husband (n)		RB-LMMG	1945	Garo (Bangladesh)	6.614-II:idx
99	465248	ang-su	grandchild (n)		RB-LMMG	1945	Garo (Bangladesh)	6.617-II:idx
100	465249	a-no	yolk (n)		RB-LMMG	1945	Garo (Bangladesh)	4.475-II:idx
101	465250	a-no	cousin sister; sister, younger (n)		RB-LMMG	1945	Garo (Bangladesh)	6.615-II:idx
102	465251	an•-tam	afternoon; evening (n)		RB-LMMG	1945	Garo (Bangladesh)	2.52-II:idx
103	465252	an•-tam-git-tu	dusk (n)		RB-LMMG	1945	Garo (Bangladesh)	2.52-II:idx
104	465253	a-pa	father (n)		RB-LMMG	1945	Garo (Bangladesh)	6.611-II:idx
105	465254	a-pa-cha-bak	paternal (n)		RB-LMMG	1945	Garo (Bangladesh)	6.63-II:idx
106	465255	ap-chon-a	narrow (vi)		RB-LMMG	1945	Garo (Bangladesh)	2.211-II:idx
107	465256	ap-dal-a	wide (vi)		RB-LMMG	1945	Garo (Bangladesh)	2.211-II:idx
108	465257	ap-grang-a	spaced; widely; widely spaced (vi)		RB-LMMG	1945	Garo (Bangladesh)	2.38-II:idx
109	465258	a-pi	clam (n)		RB-LMMG	1945	Garo (Bangladesh)	4.458-II:idx
110	465259	ap-san	alike; same; together (n)		RB-LMMG	1945	Garo (Bangladesh)	3.433-II:idx
111	465260	ap-si-si	narrow (adv)		RB-LMMG	1945	Garo (Bangladesh)	2.211-II:idx
112	465261	a-pu	snail (n)		RB-LMMG	1945	Garo (Bangladesh)	4.458-II:idx
113	465262	ar	and (conj)		RB-LMMG	1945	Garo (Bangladesh)	1.4-II:idx
114	465263	a-ra-ra-a	lacking (vi)		RB-LMMG	1945	Garo (Bangladesh)	5.401-II:idx
115	465264	a-rat-a	bored; tired of (vi)		RB-LMMG	1945	Garo (Bangladesh)	7.94-II:idx
116	465265	-a-ri-	just; merely; simply (aa)		RB-LMMG	1945	Garo (Bangladesh)	3.344-II:idx
117	465266	a-ring-ga	lizard (n)		RB-LMMG	1945	Garo (Bangladesh)	4.441-II:idx
118	465267	a-ro	additional; again; more (adv)		RB-LMMG	1945	Garo (Bangladesh)	3.348-II:idx
119	465268	a-ro-ba	moreover (conj)		RB-LMMG	1945	Garo (Bangladesh)	1.4-II:idx
120	465269	a-sa	expectation; hope (n)		RB-LMMG	1945	Garo (Bangladesh)	7.725-II:idx
121	465270	a•-sam	edge (n)		RB-LMMG	1945	Garo (Bangladesh)	5.87-II:idx
122	465271	a•-sam-o	beside; next (pp)		RB-LMMG	1945	Garo (Bangladesh)	1.11-II:idx
123	465272	a-sek-ki	star (n)		RB-LMMG	1945	Garo (Bangladesh)	4.212-II:idx
124	465273	a•-sel	because; reason (pp)		RB-LMMG	1945	Garo (Bangladesh)	1.13-II:idx
125	465274	a-si	augury; fate; fortune; luck; omens (n)		RB-LMMG	1945	Garo (Bangladesh)	8.52-II:idx
126	465275	a-sol-e	actually; really; truly (adv)		RB-LMMG	1945	Garo (Bangladesh)	3.44-II:idx
127	465276	a-song-a	sit (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.345-II:idx
128	465277	a-ta	flour (n)		RB-LMMG	1945	Garo (Bangladesh)	5.405-II:idx
129	465278	a-ta-pol	custard apple (n)		RB-LMMG	1945	Garo (Bangladesh)	5.22-II:idx
130	465279	a-ta-sil	ladle (n)		RB-LMMG	1945	Garo (Bangladesh)	5.436-II:idx
131	465280	at-cha	okay (int)		RB-LMMG	1945	Garo (Bangladesh)	0.66-II:idx
132	465281	at-chi-a	born (vi)		RB-LMMG	1945	Garo (Bangladesh)	6.77-II:idx
133	465282	at-ching-a	sneeze (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.45-II:idx
134	465283	at-chi-pil•-a	reborn (vi)		RB-LMMG	1945	Garo (Bangladesh)	8.52-II:idx
135	465284	at-chi-ram	birthplace (n)		RB-LMMG	1945	Garo (Bangladesh)	6.77-II:idx
136	465285	at-chong-a	sit (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.345-II:idx
137	465286	at-chong-ti-ti-a	perch (vi)		RB-LMMG	1945	Garo (Bangladesh)	9.345-II:idx
138	465287	at-chu	grandfather (n)		RB-LMMG	1945	Garo (Bangladesh)	6.611-II:idx
139	465288	a-tom	stomach (n)		RB-LMMG	1945	Garo (Bangladesh)	6.27-II:idx
140	465289	a•-tot	property, individual (n)		RB-LMMG	1945	Garo (Bangladesh)	8.423-II:idx
141	465290	at-tak-ka	quickly; suddenly (adv)		RB-LMMG	1945	Garo (Bangladesh)	2.728-II:idx
142	465291	a-wa	baby; infant (n)		RB-LMMG	1945	Garo (Bangladesh)	6.822-II:idx
143	465292	a-wa git-chak	baby; infant; new born (n)		RB-LMMG	1945	Garo (Bangladesh)	6.822-II:idx
144	465293	a-wang	uncle (FaYoBr) (n)		RB-LMMG	1945	Garo (Bangladesh)	6.611-II:idx
145	465294	a-wek-a	soft; sticking (vi)		RB-LMMG	1945	Garo (Bangladesh)	3.668-II:idx
