ID	rn	reflex	GLOSS	gfn	srcabbr	lgid	language	srcid
116	473269	bagu	cloth for man worn around the waist	n	SVB-GA	1973	Atong	
117	473270	bagukhawa	turban with a knot on the front side of the head	n	SVB-GA	1973	Atong	
118	473271	baguriwa	rainbow	n	SVB-GA	1973	Atong	
119	473272	bai	border	n	SVB-GA	1973	Atong	
120	473273	bai•	friend, kin	n	SVB-GA	1973	Atong	
121	473274	bai•-	break	v	SVB-GA	1973	Atong	
122	473275	bai•khop	type of big broad green and purple bean	n	SVB-GA	1973	Atong	
123	473276	bai•siga	friend	n	SVB-GA	1973	Atong	
124	473277	bai•sega	friend	n	SVB-GA	1973	Atong	
125	473278	baibai	the same	adj2	SVB-GA	1973	Atong	
126	473279	baidam	some (people)	n	SVB-GA	1973	Atong	
127	473280	baik	bike	n	SVB-GA	1973	Atong	
128	473281	baisykyl	bicycle	n	SVB-GA	1973	Atong	
129	473282	baji	hour	n	SVB-GA	1973	Atong	
130	473283	baju	friend	n	SVB-GA	1973	Atong	
131	473284	bak-	run after someone or something	v	SVB-GA	1973	Atong	
132	473285	bak-	attempt, to try	v	SVB-GA	1973	Atong	
133	473286	bak-	catch up with, to overtake	v	SVB-GA	1973	Atong	
134	473287	bak-	scrape with a spade	v	SVB-GA	1973	Atong	
135	473288	bak-	make barren, to weed out all the plants	v	SVB-GA	1973	Atong	
136	473289	bakbak	easily	adv	SVB-GA	1973	Atong	
137	473290	baket	bucket	n	SVB-GA	1973	Atong	
138	473291	baki	credit	n	SVB-GA	1973	Atong	
139	473292	bal-	speak, to tell, to say	v	SVB-GA	1973	Atong	
140	473293	balaga	outside	n	SVB-GA	1973	Atong	
141	473294	balgyto•	orchid	n	SVB-GA	1973	Atong	
142	473295	balphak-	blow away	v	SVB-GA	1973	Atong	
143	473296	Balphakram	land of the spirits of the dead, national park in the South Garo Hills District	n	SVB-GA	1973	Atong	
144	473297	balpisa	place to piss	n	SVB-GA	1973	Atong	
145	473298	balsem-	talk very long	v	SVB-GA	1973	Atong	
146	473299	balsyruk-	whisper	v	SVB-GA	1973	Atong	
147	473300	balwa	wind, air	n	SVB-GA	1973	Atong	
148	473301	balwa-	blow (of the wind)	vS1	SVB-GA	1973	Atong	
149	473302	bam-	brood, to sit on an egg	v	SVB-GA	1973	Atong	
150	473303	bam-	obey, to surrender	vdat	SVB-GA	1973	Atong	
151	473304	ban-	trap, to catch in a trap	v	SVB-GA	1973	Atong	
152	473305	ban-	flow (of rivers)	v	SVB-GA	1973	Atong	
153	473306	bando	tree house	n	SVB-GA	1973	Atong	
154	473307	banga	five	num	SVB-GA	1973	Atong	
155	473308	bangbang	empty	adv	SVB-GA	1973	Atong	
156	473309	bangbol	type of fish	n	SVB-GA	1973	Atong	
157	473310	Banggal	Bengali, non-Garo/Atong person	n	SVB-GA	1973	Atong	
158	473311	bangganai	type of fish	n	SVB-GA	1973	Atong	
159	473312	bangka	fan	n	SVB-GA	1973	Atong	
160	473313	Banglades	Bangladesh	n	SVB-GA	1973	Atong	
161	473314	bangphak	posts at the entrance of the bachelors' house	n	SVB-GA	1973	Atong	
162	473315	bangsi	flute	n	SVB-GA	1973	Atong	
163	473316	banthai	bachelor, unmarried man	n	SVB-GA	1973	Atong	
164	473317	bapai-	drop	v	SVB-GA	1973	Atong	
165	473318	bara-	put in a hole, pan, wa•sung, bag etc.	v	SVB-GA	1973	Atong	
