# Wordlist

# DATA
ID	ABVD	ALIGNMENT	BORROWED	BORROWING	CHINESE	COGID	CONCEPT	DOCULECT	DUPLICATES	ENTRY_IN_SOURCE	GLOSS_IN_SOURCE	HANZI	IELEX	IPA	MORPHEME_STRUCTURE	NOTE	OMEGAWIKI	PARADIGM_1	PARADIGM_2	PARADIGM_3	PARADIGM_4	POS	SCAID	SOURCE	SUBGROUP	SWADESH_1952	SWADESH_1955	TOKENS	TOWEROFBABEL	WOLD
34	above (175)	-			-	0	above	Wambule		-	-	-	-	-		-	7064					Function word	0	-	Kiranti	-	-	-	-	12081
35	above (175)	-			-	0	above	Yakkha		-	-	-	-	-		-	7064					Function word	0	-	Kiranti	-	-	-	-	12081
36	above (175)	-			-	0	above	Yamphu		-	-	-	-	-		-	7064					Function word	0	-	Kiranti	-	-	-	-	12081
37	above (175)	-			-	0	above	Dulong		-	-	-	-	-		-	7064					Function word	0	-	Nungish	-	-	-	-	12081
38	above (175)	-			-	0	above	Jingpo		-	-	-	-	-		-	7064					Function word	0	-	SAL	-	-	-	-	12081
39	above (175)	-			-	0	above	Beijing		-	-	-	-	-		-	7064					Function word	0	-	Sinitic	-	-	-	-	12081
40	above (175)	-			-	0	above	Caijia		-	-	-	-	-		-	7064					Function word	0	-	Sinitic	-	-	-	-	12081
41	above (175)	-			-	0	above	Changsha		-	-	-	-	-		-	7064					Function word	0	-	Sinitic	-	-	-	-	12081
43	above (175)	-			-	0	above	Guangzhou		-	-	-	-	-		-	7064					Function word	0	-	Sinitic	-	-	-	-	12081
44	above (175)	-			-	0	above	Meixian		-	-	-	-	-		-	7064					Function word	0	-	Sinitic	-	-	-	-	12081
45	above (175)	-			-	5	above	Old_Chinese		*[d]aŋʔ-s	above	上	-	*[d]aŋʔ-s		-	7064					Function word	0	-	Sinitic	-	-	d a ŋ ʔ ◦ s	-	12081
46	above (175)	-			-	0	above	Xiamen		-	-	-	-	-		-	7064					Function word	0	-	Sinitic	-	-	-	-	12081
47	above (175)	-			-	0	above	Guiqiong		-	-	-	-	-		-	7064					Function word	0	-	rGyalrongic	-	-	-	-	12081
48	above (175)	-			-	4	above	Japhug		ɯ-taʁ	-	-	-	ɯ-taʁ		-	7064					Function word	0	-	rGyalrongic	-	-	ɯ ◦ t a ʁ	-	12081
