# EDICTOR
@modified: 2015-01-20 10:39
#
ID	DOCULECT	CONCEPT	IPA	TOKENS	ALIGNMENT	ENTRY_IN_SOURCE	GLOSS_IN_SOURCE	SOURCE	ID_IN_SOURCE	COGID	CHINESE_GLOSS	PST	POS
71	Ega	bamboo	t͡ɕu₄₄	t͡ɕ u ₄₄	t͡ɕ u ₄₄ ( - - - )	tɕu44	bamboo	Wang2006a	389	123	?	CVT	?
72	Jinman	bamboo	t͡ɕu₅₅	t͡ɕ u ₅₅	t͡ɕ u ₅₅ ( - - - )	tɕu55	bamboo	Wang2006a	389	123	?	CVT	?
73	Jinxing	bamboo	t͡sɤ₄₄	t͡s ɤ ₄₄	t͡s ɤ ₄₄ ( - - - )	tsv44	bamboo	Wang2006a	389	123	?	CVT	?
74	Dashi	bamboo	t͡ʂo₃₃	t͡ʂ o ₃₃	t͡ʂ o ₃₃ ( - - - )	tʂo33	bamboo	Wang2006a	389	123	?	CVT	?
75	Zhoucheng	bamboo	t͡sɤ₄₄	t͡s ɤ ₄₄	t͡s ɤ ₄₄ ( - - - )	tsv44	bamboo	Wang2006a	389	123	?	CVT	?
76	Mazhelong	bamboo	t͡su₄₄	t͡s u ₄₄	t͡s u ₄₄ ( - - - )	tsu44	bamboo	Wang2006a	389	123	?	CVT	?
77	Jianchuan	bamboo	t͡sɤ₄₄	t͡s ɤ ₄₄	t͡s ɤ ₄₄ ( - - - )	tsɤ44	bamboo	Allen2007	92	123	竹子	CVT	?
78	Eryuan	bamboo	t͡ʂɤ₄₄	t͡ʂ ɤ ₄₄	t͡ʂ ɤ ₄₄ ( - - - )	tʂɤ44	bamboo	Allen2007	92	123	竹子	CVT	?
79	Heqi	bamboo	t͡suɔ₄₄	t͡s uɔ ₄₄	t͡s uɔ ₄₄ ( - - - )	tsuɔ44	bamboo	Allen2007	92	123	竹子	CVT	?
80	Lanping	bamboo	t͡sao₅₅t͡sɯ₃₃	t͡s ao ₅₅ t͡s ɯ ₃₃	t͡s ao ₅₅ ( t͡s ɯ ₃₃ )	tsao55tsɯ33	bamboo	Allen2007	92	123	竹子	CVTCVT	?
81	Qiliqiao	bamboo	t͡sɤ₄₄	t͡s ɤ ₄₄	t͡s ɤ ₄₄ ( - - - )	tsɤ44	bamboo	Allen2007	92	123	竹子	CVT	?
82	Yunlong	bamboo	t͡sɤ₄₄	t͡s ɤ ₄₄	t͡s ɤ ₄₄ ( - - - )	tsɤ44	bamboo	Allen2007	92	123	竹子	CVT	?
83	Xiangyun	bamboo	t͡sɛ₄₄	t͡s ɛ ₄₄	t͡s ɛ ₄₄ ( - - - )	tsɛ44	bamboo	Allen2007	92	123	竹子	CVT	?
84	Luobenzhuo	bamboo	t͡ɕo₅₅ɖɯ₃₁	t͡ɕ o ₅₅ ɖ ɯ ₃₁	t͡ɕ o ₅₅ ( ɖ ɯ ₃₁ )	tɕo55ɖɯ31	bamboo	Allen2007	92	123	竹子	CVTCVT	?
#
85	Tuoluo	bark	ʐo₄₂	ʐ o ₄₂	ʐ o ₄₂	ʐo42	to bark	Wang2006a	1438	2620	?	CVT	verb
86	Gongxing	bark	d͡ʑua₂₁	d͡ʑ ua ₂₁	d͡ʑ ua ₂₁	dʑua21	to bark	Wang2006a	1438	363	?	CVT	verb
87	Enqi	bark	pia₂₁	p ia ₂₁	p ia ₂₁	pia21	to bark	Wang2006a	1438	363	?	CVT	verb
