# Wordlist

# META
@modified:2015-01-20 10:39

# DATA
ID	IPA	SOURCE	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	POS	DOCULECT	CONCEPT	OMEGAWIKI	CHINESE_GLOSS
5430	pǝɯ₂₁	Wang2006a, 1553	float	pǝɯ21	?	Mazhelong	float	6457	?
5422	bɯ₃₅	Wang2006a, 1553	float	bɯ35	?	Tuoluo	float	6457	?
5423	bu₁₂	Wang2006a, 1553	float	bu12	?	Gongxing	float	6457	?
5424	bɯ₂₁	Wang2006a, 1553	float	bɯ21	?	Enqi	float	6457	?
#
6201	xo₃₅	Allen2007, 118	flower / 花	xo35	?	Xiangyun	flower	1487	花
6195	xou₅₅	Allen2007, 118	flower / 花	xou55	?	Jianchuan	flower	1487	花
6196	xɔ₃₅	Allen2007, 118	flower / 花	xɔ35	?	Eryuan	flower	1487	花
6197	xuɔ₃₅	Allen2007, 118	flower / 花	xuɔ35	?	Heqi	flower	1487	花
6198	xu₅₅	Allen2007, 118	flower / 花	xu55	?	Lanping	flower	1487	花
6199	xuɔ₃₅	Allen2007, 118	flower / 花	xuɔ35	?	Qiliqiao	flower	1487	花
6200	xao₃₃	Allen2007, 118	flower / 花	xao33	?	Yunlong	flower	1487	花
6202	χu₅₅	Allen2007, 118	flower / 花	χu55	?	Luobenzhuo	flower	1487	花
#
1108	fɚ₅₅	Wang2006a, 1318	fly	fɚ55	verb	Tuoluo	fly	6052	?
1109	pfu₅₅	Wang2006a, 1318	fly	pfu55	verb	Gongxing	fly	6052	?
1110	fɛ₂₄	Wang2006a, 1318	fly	fE24	verb	Enqi	fly	6052	?
1111	xuɛ₅₅	Wang2006a, 1318	fly	xuɛ55	verb	Ega	fly	6052	?
1112	fi₅₅	Wang2006a, 1318	fly	fi55	verb	Jinman	fly	6052	?
1113	fɤ₅₅	Wang2006a, 1318	fly	fv55	verb	Jinxing	fly	6052	?
1114	fɤ₃₅	Wang2006a, 1318	fly	fv35	verb	Dashi	fly	6052	?
1115	fɤ₃₅	Wang2006a, 1318	fly	fv35	verb	Zhoucheng	fly	6052	?
1116	pi₅₅	Wang2006a, 1318	fly	pi55	verb	Mazhelong	fly	6052	?
#
5779	mɯ₂₁kõ₄₂	Allen2007, 13	fog / 雾	mɯ21kõ42	?	Jianchuan	fog	1502	雾
5780	pɯ₃₁kɔ₂₁	Allen2007, 13	fog / 雾	pɯ31kɔ21	?	Eryuan	fog	1502	雾
5781	mɯ₃₁kɔ̃₄₂	Allen2007, 13	fog / 雾	mɯ31kɔ̃42	?	Heqi	fog	1502	雾
5783	u₅₅lu₅₅	Allen2007, 13	fog / 雾	u55lu55	?	Qiliqiao	fog	1502	雾
5784	mɯ₃₁kao₄₂	Allen2007, 13	fog / 雾	mɯ31kao42	?	Yunlong	fog	1502	雾
5785	mu₃₁kã₄₂	Allen2007, 13	fog / 雾	mu31kã42	?	Xiangyun	fog	1502	雾
5786	mɯ̃₃₁kao₄₂	Allen2007, 13	fog / 雾	mɯ̃31kao42	?	Luobenzhuo	fog	1502	雾
5782	nɔ̃₂₁kɔ̃₂₁wɛ̃₄₂	Allen2007, 13	fog / 雾	nɔ̃21kɔ̃21wɛ̃42	?	Lanping	fog	1502	雾
#
1117	ko₄₂	Wang2006a, 103	foot	ko42	?	Tuoluo	foot	5672	?
1118	ku₂₄	Wang2006a, 103	foot	ku24	?	Gongxing	foot	5672	?
1119	ku₅₅	Wang2006a, 103	foot	ku55	?	Enqi	foot	5672	?
1120	ku₄₄	Wang2006a, 103	foot	ku44	?	Ega	foot	5672	?
1121	ko₅₅	Wang2006a, 103	foot	ko55	?	Jinman	foot	5672	?
1122	kou₄₄	Wang2006a, 103	foot	kou44	?	Jinxing	foot	5672	?
1123	kou₄₄	Wang2006a, 103	foot	kou44	?	Dashi	foot	5672	?
1124	ko₄₄	Wang2006a, 103	foot	ko44	?	Zhoucheng	foot	5672	?
1125	ko₄₄	Wang2006a, 103	foot	ko44	?	Mazhelong	foot	5672	?
1126	kou₄₄	Allen2007, 142	foot / 脚	kou44	?	Jianchuan	foot	5672	脚
1127	ko₄₄	Allen2007, 142	foot / 脚	ko44	?	Eryuan	foot	5672	脚
1128	kou₄₄	Allen2007, 142	foot / 脚	kou44	?	Heqi	foot	5672	脚
1129	kɔ₅₅	Allen2007, 142	foot / 脚	kɔ55	?	Lanping	foot	5672	脚
1130	ko₄₄	Allen2007, 142	foot / 脚	ko44	?	Qiliqiao	foot	5672	脚
1131	ku₃₃	Allen2007, 142	foot / 脚	ku33	?	Yunlong	foot	5672	脚
1132	kɔ₄₄	Allen2007, 142	foot / 脚	kɔ44	?	Xiangyun	foot	5672	脚
1133	qu₅₅	Allen2007, 142	foot / 脚	qu55	?	Luobenzhuo	foot	5672	脚
#
3943	diɯ₂₁koŋ̯̥	Wang2006a, 50	forest	diɯ21koŋ̯̥	?	Tuoluo	forest	1533	?
3944	dʐi₁₂goŋ₅₅	Wang2006a, 50	forest	dʐi12goŋ55	?	Gongxing	forest	1533	?
3945	diɯ₄₃kɯ₄₃	Wang2006a, 50	forest	diɯ43kɯ43	?	Enqi	forest	1533	?
3946	d͡ʑi₄₂kɯ₄₂	Wang2006a, 50	forest	dʑi42kɯ42	?	Ega	forest	1533	?
3947	ɖɯ₄₂kɯ̃₄₂	Wang2006a, 50	forest	ɖɯ42kɯ̃42	?	Jinman	forest	1533	?
3948	t͡sɯ₃₁suɑ̃₅₅	Wang2006a, 50	forest	tsɯ31suɑ̃55	?	Jinxing	forest	1533	?
3949	t͡ʂɯ₂₁jɚ₅₅	Wang2006a, 50	forest	tʂɯ21jɚ55	?	Dashi	forest	1533	?
3950	t͡sɯ₃₁sua₃₅	Wang2006a, 50	forest	tsɯ31sua35	?	Zhoucheng	forest	1533	?
3951	ɕen₅₅koŋ₃₃	Wang2006a, 50	forest	ɕen55koŋ33	?	Mazhelong	forest	1533	?
#
1185	ɕioŋ₅₅	Wang2006a, 14	frost	ɕioŋ55	?	Tuoluo	frost	6042	?
1186	soŋ₅₅	Wang2006a, 14	frost	soŋ55	?	Gongxing	frost	6042	?
1187	ɕio₂₄	Wang2006a, 14	frost	ɕio24	?	Enqi	frost	6042	?
1188	ɕuoŋ₅₅	Wang2006a, 14	frost	ɕuoŋ55	?	Ega	frost	6042	?
1189	ɕiõ₅₅	Wang2006a, 14	frost	ɕiõ55	?	Jinman	frost	6042	?
1190	sõ₅₅	Wang2006a, 14	frost	sõ55	?	Jinxing	frost	6042	?
1191	ʂou₄₄	Wang2006a, 14	frost	ʂou44	?	Dashi	frost	6042	?
1192	sou₅₅	Wang2006a, 14	frost	sou55	?	Zhoucheng	frost	6042	?
1193	soŋ₅₅	Wang2006a, 14	frost	soŋ55	?	Mazhelong	frost	6042	?
1194	sõ₅₅	Allen2007, 12	frost / 霜	sõ55	?	Jianchuan	frost	6042	霜
1195	ʂɔ₅₅	Allen2007, 12	frost / 霜	ʂɔ55	?	Eryuan	frost	6042	霜
1196	sʰɔu₅₅	Allen2007, 12	frost / 霜	sʰɔu55	?	Heqi	frost	6042	霜
1197	sõ₅₅	Allen2007, 12	frost / 霜	sõ55	?	Lanping	frost	6042	霜
1198	so₅₅	Allen2007, 12	frost / 霜	so55	?	Qiliqiao	frost	6042	霜
1199	so₃₃	Allen2007, 12	frost / 霜	so33	?	Yunlong	frost	6042	霜
1200	sou₅₅	Allen2007, 12	frost / 霜	sou55	?	Xiangyun	frost	6042	霜
1201	ɕõ₃₃	Allen2007, 12	frost / 霜	ɕõ33	?	Luobenzhuo	frost	6042	霜
#
6209	kʰo₃₃	Allen2007, 119	fruit / 果	kʰo33	?	Xiangyun	fruit	6280	果
6210	bo₅₅qʰao₃₃	Allen2007, 119	fruit / 果	bo55qʰao33	?	Luobenzhuo	fruit	6280	果
6203	kou₃₃	Allen2007, 119	fruit / 果	kou33	?	Jianchuan	fruit	6280	果
6204	kʰɔ₃₃	Allen2007, 119	fruit / 果	kʰɔ33	?	Eryuan	fruit	6280	果
6205	kʰuɔ₃₃	Allen2007, 119	fruit / 果	kʰuɔ33	?	Heqi	fruit	6280	果
6206	kʰu₃₃	Allen2007, 119	fruit / 果	kʰu33	?	Lanping	fruit	6280	果
6207	kʰuɔ₃₃	Allen2007, 119	fruit / 果	kʰuɔ33	?	Qiliqiao	fruit	6280	果
6208	kʰao₃₃	Allen2007, 119	fruit / 果	kʰao33	?	Yunlong	fruit	6280	果
#
7475	ma₃₃	Allen2007, 412	full / 满	ma33	?	Jianchuan	full	6040	满
7476	ma₃₃	Allen2007, 412	full / 满	ma33	?	Eryuan	full	6040	满
7478	ma₃₃	Allen2007, 412	full / 满	ma33	?	Lanping	full	6040	满
7479	ma₂₁	Allen2007, 412	full / 满	ma21	?	Qiliqiao	full	6040	满
7480	ma₃₃	Allen2007, 412	full / 满	ma33	?	Yunlong	full	6040	满
7481	ma₃₃	Allen2007, 412	full / 满	ma33	?	Xiangyun	full	6040	满
7482	mĩɛ̃₃₃	Allen2007, 412	full / 满	mĩɛ̃33	?	Luobenzhuo	full	6040	满
7477	ma₃₃	Allen2007, 412	full / 满	ma33	?	Heqi	full	6040	满
#
1218	zi₂₁	Wang2006a, 1345	give	zi21	verb	Tuoluo	give	6059	?
1219	zi₄₂	Wang2006a, 1345	give	zi42	verb	Gongxing	give	6059	?
1220	t͡sɿ₄₃	Wang2006a, 1345	give	tsɿ43	verb	Enqi	give	6059	?
1221	zi₄₂	Wang2006a, 1345	give	zi42	verb	Ega	give	6059	?
1222	zi₄₂	Wang2006a, 1345	give	zi42	verb	Jinman	give	6059	?
1223	si₃₁	Wang2006a, 1345	give	si31	verb	Jinxing	give	6059	?
1224	zi₂₁	Wang2006a, 1345	give	zi21	verb	Dashi	give	6059	?
1225	zɯ₄₂	Wang2006a, 1345	give	zɯ42	verb	Zhoucheng	give	6059	?
1226	zǝɯ₂₁	Wang2006a, 1345	give	zǝɯ21	verb	Mazhelong	give	6059	?
#
1244	diaŋ₃₅	Wang2006a, 1052	good	diaŋ35	?	Tuoluo	good	443659	?
1245	d͡zan₁₂	Wang2006a, 1052	good	dzan12	?	Gongxing	good	443659	?
1246	diæ₂₁	Wang2006a, 1052	good	diæ21	?	Enqi	good	443659	?
1247	xo₅₅	Wang2006a, 1052	good	xo55	?	Ega	good	443659	?
1248	xo₂₂	Wang2006a, 1052	good	xo22	?	Jinman	good	443659	?
1249	xu₃₃	Wang2006a, 1052	good	xu33	?	Jinxing	good	443659	?
1250	xu₃₃	Wang2006a, 1052	good	xu33	?	Dashi	good	443659	?
1251	xu₃₃	Wang2006a, 1052	good	xu33	?	Zhoucheng	good	443659	?
1252	xǝ₃₃	Wang2006a, 1052	good	xǝ33	?	Mazhelong	good	443659	?
1253	t͡ɕʰõ₅₅	Allen2007, 416	good / 好	tɕʰõ55/ɕo31/xu33	?	Jianchuan	good	443659	好
1254	fe₃₅	Allen2007, 416	good / 好	fe35	?	Eryuan	good	443659	好
1255	xu₃₃	Allen2007, 416	good / 好	xu33	?	Heqi	good	443659	好
1256	ɕo₄₂	Allen2007, 416	good / 好	ɕo42/xu33	?	Lanping	good	443659	好
1257	xu₃₃	Allen2007, 416	good / 好	xu33	?	Qiliqiao	good	443659	好
1258	xu₃₃	Allen2007, 416	good / 好	xu33	?	Yunlong	good	443659	好
1259	xu₃₃	Allen2007, 416	good / 好	xu33	?	Xiangyun	good	443659	好
1260	xɯ̃₃₃	Allen2007, 416	good / 好	xɯ̃33/ɴ̣33	?	Luobenzhuo	good	443659	好
#
6179	t͡sʰu₃₃	Allen2007, 112	grass / 草	tsʰu33	?	Jianchuan	grass	1675	草
6180	t͡sʰɔ₃₃	Allen2007, 112	grass / 草	tsʰɔ33	?	Eryuan	grass	1675	草
6181	t͡sʰu₃₃	Allen2007, 112	grass / 草	tsʰu33	?	Heqi	grass	1675	草
6182	t͡sʰu₃₃	Allen2007, 112	grass / 草	tsʰu33	?	Lanping	grass	1675	草
6183	ʧʰu₃₃	Allen2007, 112	grass / 草	ʧʰu33	?	Qiliqiao	grass	1675	草
6184	t͡sʰu₃₃	Allen2007, 112	grass / 草	tsʰu33	?	Yunlong	grass	1675	草
6185	t͡sʰu₃₃	Allen2007, 112	grass / 草	tsʰu33	?	Xiangyun	grass	1675	草
6186	ʧʰʊ₄₄	Allen2007, 112	grass / 草	ʧʰʊ44	?	Luobenzhuo	grass	1675	草
#
7469	luɔ₄₄	Allen2007, 411	green / 绿	luɔ44	?	Heqi	green	6032	绿
7473	lɯ₄₄	Allen2007, 411	green / 绿	lɯ44	?	Xiangyun	green	6032	绿
7472	lɤ₃₃	Allen2007, 411	green / 绿	lɤ33	?	Yunlong	green	6032	绿
7467	lu₄₄	Allen2007, 411	green / 绿	lu44	?	Jianchuan	green	6032	绿
7468	lɤ₄₄	Allen2007, 411	green / 绿	lɤ44	?	Eryuan	green	6032	绿
7470	lao₄₄	Allen2007, 411	green / 绿	lao44	?	Lanping	green	6032	绿
7471	nɤ₃₃	Allen2007, 411	green / 绿	nɤ33	?	Qiliqiao	green	6032	绿
7474	pa₄₄t͡ɕʰã₃₁	Allen2007, 411	green / 绿	pa44tɕʰã31	?	Luobenzhuo	green	6032	绿
#
7365	tɔu₄₂	Allen2007, 377	grow(of people) / 长（长大）	tɔu42	?	Heqi	grow(of people)	154737	长（长大）
7366	to₃₁kʰɯ₅₅	Allen2007, 377	grow(of people) / 长（长大）	to31kʰɯ55	?	Lanping	grow(of people)	154737	长（长大）
7369	kuɔ₃₅	Allen2007, 377	grow(of people) / 长（长大）	kuɔ35	?	Xiangyun	grow(of people)	154737	长（长大）
7370	dao₄₂	Allen2007, 377	grow(of people) / 长（长大）	dao42	?	Luobenzhuo	grow(of people)	154737	长（长大）
7368	kɔ₃₅dao₃₁	Allen2007, 377	grow(of people) / 长（长大）	kɔ35dao31	?	Yunlong	grow(of people)	154737	长（长大）
7367	kuɔ₃₅	Allen2007, 377	grow(of people) / 长（长大）	kuɔ35	?	Qiliqiao	grow(of people)	154737	长（长大）
7363	kou₅₅	Allen2007, 377	grow(of people) / 长（长大）	kou55/tou42	?	Jianchuan	grow(of people)	154737	长（长大）
7364	kɔ₃₅	Allen2007, 377	grow(of people) / 长（长大）	kɔ35	?	Eryuan	grow(of people)	154737	长（长大）
#
1295	diɯ₃₅me₅₅	Wang2006a, 75	hair	[diɯ35me55]	?	Tuoluo	hair	446278	?
1296	di₂₄miɛ₁₂	Wang2006a, 75	hair	[di24miɛ12]	?	Gongxing	hair	446278	?
1297	tiɯ₂₁miɛ₂₄	Wang2006a, 75	hair	[tiɯ21miE24]	?	Enqi	hair	446278	?
1298	ti₂₁mi₅₅	Wang2006a, 75	hair	[ti21mi55]	?	Ega	hair	446278	?
1299	ʈe₂₁me₅₅	Wang2006a, 75	hair	[ʈe21me55]	?	Jinman	hair	446278	?
1300	ɕɔ₄₄	Wang2006a, 75	hair	ɕɔ44	?	Jinxing	hair	446278	?
1301	ɕa₄₄	Wang2006a, 75	hair	ɕa44	?	Dashi	hair	446278	?
1302	tɯ₂₁ma₃₅	Wang2006a, 75	hair	[tɯ21ma35]	?	Zhoucheng	hair	446278	?
1303	tɛ₂₁mɛ	Wang2006a, 75	hair	[tɛ21mɛ]	?	Mazhelong	hair	446278	?
1304	tɯ₂₁ma₅₅	Allen2007, 125	hair / 头发	tɯ21ma55	?	Jianchuan	hair	446278	头发
1305	tɯ₂₁ma₃₅	Allen2007, 125	hair / 头发	tɯ21ma35	?	Eryuan	hair	446278	头发
1306	ɕa₄₄	Allen2007, 125	hair / 头发	ɕa44	?	Heqi	hair	446278	头发
1307	tiɯ₃₃ma₅₅	Allen2007, 125	hair / 头发	tiɯ33ma55	?	Lanping	hair	446278	头发
1308	tɯ₂₁ma₃₅	Allen2007, 125	hair / 头发	tɯ21ma35	?	Qiliqiao	hair	446278	头发
1309	dɯ₂₁ma₃₅	Allen2007, 125	hair / 头发	dɯ21ma35	?	Yunlong	hair	446278	头发
1310	tou₂₁ma₃₅	Allen2007, 125	hair / 头发	tou21ma35	?	Xiangyun	hair	446278	头发
1311	te₃₁me₅₅	Allen2007, 125	hair / 头发	te31me55	?	Luobenzhuo	hair	446278	头发
#
1312	ɕiɯ₃₃	Wang2006a, 107	hand	ɕiɯ33	?	Tuoluo	hand	5616	?
1313	ʂi₂₂	Wang2006a, 107	hand	ʂi22	?	Gongxing	hand	5616	?
1314	ɕiɯ₂₂	Wang2006a, 107	hand	ɕiɯ22	?	Enqi	hand	5616	?
1315	ɕi₂₂	Wang2006a, 107	hand	ɕi22	?	Ega	hand	5616	?
1316	ɕi₂₂	Wang2006a, 107	hand	ɕi22	?	Jinman	hand	5616	?
1317	sɯ₃₃	Wang2006a, 107	hand	sɯ33	?	Jinxing	hand	5616	?
1318	ʂʰɯ₃₃	Wang2006a, 107	hand	ʂʰɯ33	?	Dashi	hand	5616	?
1319	sɯ₃₃	Wang2006a, 107	hand	sɯ33	?	Zhoucheng	hand	5616	?
1320	sǝɯ₃₃	Wang2006a, 107	hand	sǝɯ33	?	Mazhelong	hand	5616	?
1321	sɯ₃₃	Allen2007, 135	hand / 手	sɯ33	?	Jianchuan	hand	5616	手
1322	ʂɯ₃₃	Allen2007, 135	hand / 手	ʂɯ33	?	Eryuan	hand	5616	手
1323	sʰɯ₃₃	Allen2007, 135	hand / 手	sʰɯ33	?	Heqi	hand	5616	手
1324	sɯ₃₃pʰao₃₃	Allen2007, 135	hand / 手	sɯ33pʰao33	?	Lanping	hand	5616	手
1325	sɯ₃₃	Allen2007, 135	hand / 手	sɯ33	?	Qiliqiao	hand	5616	手
1326	ʃɤ₃₃	Allen2007, 135	hand / 手	ʃɤ33	?	Yunlong	hand	5616	手
1327	sou₃₃	Allen2007, 135	hand / 手	sou33	?	Xiangyun	hand	5616	手
1328	ɕi₃₃	Allen2007, 135	hand / 手	ɕi33	?	Luobenzhuo	hand	5616	手
#
1346	diɯ₃₅	Wang2006a, 74	head	diɯ35	?	Tuoluo	head	5527	?
1347	di₂₁	Wang2006a, 74	head	di21	?	Gongxing	head	5527	?
1348	tiu₂₁	Wang2006a, 74	head	tiu21	?	Enqi	head	5527	?
1349	t͡ɕu₂₂	Wang2006a, 74	head	tɕu22	?	Ega	head	5527	?
1350	ʈo₂₂	Wang2006a, 74	head	ʈo22	?	Jinman	head	5527	?
1351	tǝ₃₁	Wang2006a, 74	head	tǝ31	?	Jinxing	head	5527	?
1352	ti₄₂	Wang2006a, 74	head	ti42	?	Dashi	head	5527	?
1353	tɯ₃₁	Wang2006a, 74	head	tɯ31	?	Zhoucheng	head	5527	?
1354	ta₄₂	Wang2006a, 74	head	ta42	?	Mazhelong	head	5527	?
1355	tɯ₂₁po₂₁	Allen2007, 124	head / 头	tɯ21po21	?	Jianchuan	head	5527	头
1356	tɯ₂₁pɔ₂₁	Allen2007, 124	head / 头	tɯ21pɔ21	?	Eryuan	head	5527	头
1357	tɯ₂₁pɔ₂₁	Allen2007, 124	head / 头	tɯ21pɔ21	?	Heqi	head	5527	头
1358	tiɯ₃₃pao₃₁	Allen2007, 124	head / 头	tiɯ33pao31	?	Lanping	head	5527	头
1359	tɯ₂₁pɔ₂₁	Allen2007, 124	head / 头	tɯ21pɔ21	?	Qiliqiao	head	5527	头
1360	dɯ₂₁pao₂₁	Allen2007, 124	head / 头	dɯ21pao21	?	Yunlong	head	5527	头
1361	tou₂₁po₂₁	Allen2007, 124	head / 头	tou21po21	?	Xiangyun	head	5527	头
1362	ʈʊ₃₃pao₃₁	Allen2007, 124	head / 头	ʈʊ33pao31	?	Luobenzhuo	head	5527	头
#
1363	ɕien₅₅	Wang2006a, 144	heart	ɕien55	?	Tuoluo	heart	5475	?
1364	ɕin₅₅	Wang2006a, 144	heart	ɕin55	?	Gongxing	heart	5475	?
1365	si₂₄	Wang2006a, 144	heart	si24	?	Enqi	heart	5475	?
1366	sɛ₅₅	Wang2006a, 144	heart	sɛ55	?	Ega	heart	5475	?
1367	sẽ₅₅	Wang2006a, 144	heart	sẽ55	?	Jinman	heart	5475	?
1368	ɕien₅₅	Wang2006a, 144	heart	ɕien55	?	Jinxing	heart	5475	?
1369	ɕien₅₅	Wang2006a, 144	heart	ɕien55	?	Dashi	heart	5475	?
1370	ɕi₃₅	Wang2006a, 144	heart	ɕi35	?	Zhoucheng	heart	5475	?
1371	ɕen₅₅	Wang2006a, 144	heart	ɕen55	?	Mazhelong	heart	5475	?
1372	ɕĩ₅₅	Allen2007, 149	heart / 心	ɕĩ55	?	Jianchuan	heart	5475	心
1373	ɕi₅₅	Allen2007, 149	heart / 心	ɕi55	?	Eryuan	heart	5475	心
1374	ɕʰĩ₅₅	Allen2007, 149	heart / 心	ɕʰĩ55	?	Heqi	heart	5475	心
1375	ɕĩ₅₅	Allen2007, 149	heart / 心	ɕĩ55	?	Lanping	heart	5475	心
1376	ɕi₃₅	Allen2007, 149	heart / 心	ɕi35	?	Qiliqiao	heart	5475	心
1377	se₅₅	Allen2007, 149	heart / 心	se55	?	Yunlong	heart	5475	心
1378	ɕĩ₅₅	Allen2007, 149	heart / 心	ɕĩ55	?	Xiangyun	heart	5475	心
1379	sẽ₅₅	Allen2007, 149	heart / 心	sẽ55	?	Luobenzhuo	heart	5475	心
#
1380	ʐɤŋ₃₃	Wang2006a, 1014	heavy	ʐvŋ33	?	Tuoluo	heavy	5451	?
1381	d͡zoŋ₂₂	Wang2006a, 1014	heavy	dzoŋ22	?	Gongxing	heavy	5451	?
1382	dʐo₂₂	Wang2006a, 1014	heavy	dʐo22	?	Enqi	heavy	5451	?
1383	d͡ʑo₂₂	Wang2006a, 1014	heavy	dʑo22	?	Ega	heavy	5451	?
1384	d͡ʑõ₂₂	Wang2006a, 1014	heavy	dʑõ22	?	Jinman	heavy	5451	?
1385	t͡sɤ̃₃₃	Wang2006a, 1014	heavy	tsṽ33	?	Jinxing	heavy	5451	?
1386	t͡ʂo|n₃₃	Wang2006a, 1014	heavy	tʂo|n33	?	Dashi	heavy	5451	?
1387	t͡sɤ₃₃	Wang2006a, 1014	heavy	tsv33	?	Zhoucheng	heavy	5451	?
1388	t͡sõ₂₁	Wang2006a, 1014	heavy	tsõ21	?	Mazhelong	heavy	5451	?
1389	t͡sɤ̃₃₃	Allen2007, 402	heavy / 重	tsɤ̃33	?	Jianchuan	heavy	5451	重
1390	t͡ʂɤ₃₃	Allen2007, 402	heavy / 重	tʂɤ33	?	Eryuan	heavy	5451	重
1391	t͡sũɔ̃₃₃	Allen2007, 402	heavy / 重	tsũɔ̃33	?	Heqi	heavy	5451	重
1392	t͡sõ₃₃	Allen2007, 402	heavy / 重	tsõ33	?	Lanping	heavy	5451	重
1393	t͡sɤ₃₃	Allen2007, 402	heavy / 重	tsɤ33	?	Qiliqiao	heavy	5451	重
1394	d͡zɤ₃₃	Allen2007, 402	heavy / 重	dzɤ33	?	Yunlong	heavy	5451	重
1395	jɛ̃₃₃	Allen2007, 402	heavy / 重	jɛ̃33	?	Xiangyun	heavy	5451	重
1396	ʥɔ̃₃₃	Allen2007, 402	heavy / 重	ʥɔ̃33	?	Luobenzhuo	heavy	5451	重
#
7756	a₅₅ta₄₄	Allen2007, 485	here / 这里	a55ta44	?	Eryuan	here	1287831	这里
7757	ta₄₄lɯ₃₃	Allen2007, 485	here / 这里	ta44lɯ33	?	Heqi	here	1287831	这里
7758	a₅₅la₅₅	Allen2007, 485	here / 这里	a55la55	?	Lanping	here	1287831	这里
7759	a₅₅ta₄₄	Allen2007, 485	here / 这里	a55ta44	?	Qiliqiao	here	1287831	这里
7760	a₅₅ta₄₄	Allen2007, 485	here / 这里	a55ta44	?	Yunlong	here	1287831	这里
7761	a₅₅ta₄₄	Allen2007, 485	here / 这里	a55ta44	?	Xiangyun	here	1287831	这里
7755	a₅₅ta₄₄	Allen2007, 485	here / 这里	a55ta44	?	Jianchuan	here	1287831	这里
7762	nɔ₄₄pæ̃₅₅xɯ̃₃₃	Allen2007, 485	here / 这里	nɔ44pæ̃55xɯ̃33	?	Luobenzhuo	here	1287831	这里
#
1411	zoŋ₃₅	Wang2006a, 1169	hide	zoŋ35	verb	Tuoluo	hide	161806	?
1412	d͡zoŋ₁₂	Wang2006a, 1169	hide	dzoŋ12	verb	Gongxing	hide	161806	?
1413	t͡so₂₁	Wang2006a, 1169	hide	tso21	verb	Enqi	hide	161806	?
1414	t͡su₂₁	Wang2006a, 1169	hide	tsu21	verb	Ega	hide	161806	?
1415	t͡sõ₄₂	Wang2006a, 1169	hide	tsõ42	verb	Jinman	hide	161806	?
1416	t͡sõ₂₁	Wang2006a, 1169	hide	tsõ21	verb	Jinxing	hide	161806	?
1417	t͡soŋ₂₁	Wang2006a, 1169	hide	tsoŋ21	verb	Dashi	hide	161806	?
1418	t͡sou₂₁	Wang2006a, 1169	hide	tsou21	verb	Zhoucheng	hide	161806	?
1419	t͡soŋ₂₁	Wang2006a, 1169	hide	tsoŋ21	verb	Mazhelong	hide	161806	?
1420	t͡sõ₂₁	Allen2007, 326	hide / 藏	tsõ21	verb	Jianchuan	hide	161806	藏
1421	t͡sɔ₂₁	Allen2007, 326	hide / 藏	tsɔ21	verb	Eryuan	hide	161806	藏
1422	t͡sɔ̃u₂₁	Allen2007, 326	hide / 藏	tsɔ̃u21	verb	Heqi	hide	161806	藏
1423	t͡sɔ̃₂₁	Allen2007, 326	hide / 藏	tsɔ̃21	verb	Lanping	hide	161806	藏
1424	t͡so₂₁	Allen2007, 326	hide / 藏	tso21	verb	Qiliqiao	hide	161806	藏
1425	t͡sɔ₂₁	Allen2007, 326	hide / 藏	tsɔ21	verb	Yunlong	hide	161806	藏
1426	t͡sã₂₁	Allen2007, 326	hide / 藏	tsã21	verb	Xiangyun	hide	161806	藏
1427	t͡sɔ̃₃₁	Allen2007, 326	hide / 藏	tsɔ̃31	verb	Luobenzhuo	hide	161806	藏
#
6811	po₄₄	Allen2007, 270	hit(table) / 拍（桌子）	po44	?	Jianchuan	hit(table)	6044	拍（桌子）
6812	po₄₄	Allen2007, 270	hit(table) / 拍（桌子）	po44	?	Eryuan	hit(table)	6044	拍（桌子）
6813	pɔu₄₄	Allen2007, 270	hit(table) / 拍（桌子）	pɔu44	?	Heqi	hit(table)	6044	拍（桌子）
6814	pao₄₄	Allen2007, 270	hit(table) / 拍（桌子）	pao44	?	Lanping	hit(table)	6044	拍（桌子）
6815	po₄₄	Allen2007, 270	hit(table) / 拍（桌子）	po44	?	Qiliqiao	hit(table)	6044	拍（桌子）
6816	po₄₄	Allen2007, 270	hit(table) / 拍（桌子）	po44	?	Yunlong	hit(table)	6044	拍（桌子）
6817	pɔu₄₄	Allen2007, 270	hit(table) / 拍（桌子）	pɔu44	?	Xiangyun	hit(table)	6044	拍（桌子）
6818	po₃₃	Allen2007, 270	hit(table) / 拍（桌子）	po33	?	Luobenzhuo	hit(table)	6044	拍（桌子）
#
6803	ne₄₄	Allen2007, 269	hold / 拿	ne44	verb	Jianchuan	hold;take	6060	拿
6804	na₃₅	Allen2007, 269	hold / 拿	na35	verb	Eryuan	hold;take	6060	拿
6806	tã₅₅	Allen2007, 269	hold / 拿	tã55/nẽ55	verb	Lanping	hold;take	6060	拿
6807	ne₄₄	Allen2007, 269	hold / 拿	ne44	verb	Qiliqiao	hold;take	6060	拿
6808	la₅₅	Allen2007, 269	hold / 拿	la55	verb	Yunlong	hold;take	6060	拿
6809	kã₃₃	Allen2007, 269	hold / 拿	kã33	verb	Xiangyun	hold;take	6060	拿
6810	qʰæ₅₅	Allen2007, 269	hold / 拿	qʰæ55	verb	Luobenzhuo	hold;take	6060	拿
6805	kʰe₄₄	Allen2007, 269	hold / 拿	kʰe44	verb	Heqi	hold;take	6060	拿
#
