# Wordlist

# META
@modified:2015-01-20 10:39

# DATA
ID	IPA	SOURCE	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	POS	DOCULECT	CONCEPT	OMEGAWIKI	CHINESE_GLOSS
4671	pɛ₃₃	Wang2006a, 752	at night; in the evening	pɛ33	?	Tuoluo	at night; in the evening	5486	?
4675	ɕia₅₅xɯ̃₄₂	Wang2006a, 752	at night; in the evening	(ɕia55xɯ̃42)	?	Jinman	at night; in the evening	5486	?
4672	ja₅₅xɯ₄₂	Wang2006a, 752	at night; in the evening	(ja55xɯ42)	?	Gongxing	at night; in the evening	5486	?
4674	ɲi₄₄u₂₂	Wang2006a, 752	at night; in the evening	(ɲi44u22)	?	Ega	at night; in the evening	5486	?
4673	ɕia₂₄xɯ₂₂	Wang2006a, 752	at night; in the evening	(ɕia24xɯ22)	?	Enqi	at night; in the evening	5486	?
4676	pẽ₅₅	Wang2006a, 752	at night; in the evening	pẽ55	?	Jinxing	at night; in the evening	5486	?
4677	pe₃₃	Wang2006a, 752	at night; in the evening	pe33	?	Dashi	at night; in the evening	5486	?
4678	pe₃₃	Wang2006a, 752	at night; in the evening	pe33	?	Zhoucheng	at night; in the evening	5486	?
4679	ɕɚ₅₅pʰo₅₅	Wang2006a, 752	at night; in the evening	(ɕɚ55pʰo55)	?	Mazhelong	at night; in the evening	5486	?
#
52	quɛ₂₁	Wang2006a, 1053	bad (things)	quɛ21	?	Tuoluo	bad	5650	?
53	quɛ₄₂	Wang2006a, 1053	bad (things)	quɛ42	?	Gongxing	bad	5650	?
54	quɛ₄₃	Wang2006a, 1053	bad (things)	quE43	?	Enqi	bad	5650	?
55	quɛ₄₂	Wang2006a, 1053	bad (things)	quɛ42	?	Ega	bad	5650	?
56	que₄₂	Wang2006a, 1053	bad (things)	que42	?	Jinman	bad	5650	?
57	kua₄₄	Wang2006a, 1053	bad (things)	kua44	?	Jinxing	bad	5650	?
58	kue₄₂	Wang2006a, 1053	bad (things)	kue42	?	Dashi	bad	5650	?
59	kuɛ₄₄	Wang2006a, 1053	bad (things)	kuɛ44	?	Mazhelong	bad	5650	?
60	xe₄₄	Allen2007, 417	bad / 坏	xe44	?	Jianchuan	bad	5650	坏
61	xe₄₄	Allen2007, 417	bad / 坏	xe44	?	Eryuan	bad	5650	坏
62	xe₃₃	Allen2007, 417	bad / 坏	xe33	?	Heqi	bad	5650	坏
63	xe₄₄	Allen2007, 417	bad / 坏	xe44	?	Lanping	bad	5650	坏
64	xe₄₄	Allen2007, 417	bad / 坏	xe44	?	Qiliqiao	bad	5650	坏
65	xɛ₃₃	Allen2007, 417	bad / 坏	xɛ33	?	Yunlong	bad	5650	坏
66	xɛ₄₄	Allen2007, 417	bad / 坏	xɛ44	?	Xiangyun	bad	5650	坏
67	ʈʰɯ₃₃	Allen2007, 417	bad / 坏	ʈʰɯ33	?	Luobenzhuo	bad	5650	坏
#
85	ʐo₄₂	Wang2006a, 1438	to bark	ʐo42	verb	Tuoluo	bark	5439	?
86	d͡ʑua₂₁	Wang2006a, 1438	to bark	dʑua21	verb	Gongxing	bark	5439	?
87	pia₂₁	Wang2006a, 1438	to bark	pia21	verb	Enqi	bark	5439	?
88	t͡ɕya₂₁	Wang2006a, 1438	to bark	tɕya21	verb	Ega	bark	5439	?
89	t͡ɕua₅₃	Wang2006a, 1438	to bark	tɕua53	verb	Jinman	bark	5439	?
90	pio₄₂	Wang2006a, 1438	to bark	pio42	verb	Jinxing	bark	5439	?
91	pia₄₂	Wang2006a, 1438	to bark	pia42	verb	Dashi	bark	5439	?
92	pia₄₂	Wang2006a, 1438	to bark	pia42	verb	Zhoucheng	bark	5439	?
93	pʰia₄₂	Wang2006a, 1438	to bark	pʰia42	verb	Mazhelong	bark	5439	?
94	pia₄₂	Allen2007, 382	bark(of dog) / 吠	pia42	verb	Jianchuan	bark	5439	吠
95	pia₄₂	Allen2007, 382	bark(of dog) / 吠	pia42	verb	Eryuan	bark	5439	吠
96	pia₄₂	Allen2007, 382	bark(of dog) / 吠	pia42	verb	Heqi	bark	5439	吠
97	pia₄₂	Allen2007, 382	bark(of dog) / 吠	pia42	verb	Lanping	bark	5439	吠
98	pia₄₂	Allen2007, 382	bark(of dog) / 吠	pia42	verb	Qiliqiao	bark	5439	吠
99	pia₄₂	Allen2007, 382	bark(of dog) / 吠	pia42	verb	Yunlong	bark	5439	吠
100	pia₄₂	Allen2007, 382	bark(of dog) / 吠	pia42	verb	Xiangyun	bark	5439	吠
101	ʧua₄₄	Allen2007, 382	bark(of dog) / 吠	ʧua44	verb	Luobenzhuo	bark	5439	吠
#
187	dɔ₂₁	Wang2006a, 964	big	dɔ21	?	Tuoluo	big	5437	?
188	da₄₂	Wang2006a, 964	big	da42	?	Gongxing	big	5437	?
189	da₄₃	Wang2006a, 964	big	da43	?	Enqi	big	5437	?
190	do₄₂	Wang2006a, 964	big	do42	?	Ega	big	5437	?
191	do₄₂	Wang2006a, 964	big	do42	?	Jinman	big	5437	?
192	tou₄₂	Wang2006a, 964	big	tou42	?	Jinxing	big	5437	?
193	tou₄₂	Wang2006a, 964	big	tou42	?	Dashi	big	5437	?
194	to₄₂	Wang2006a, 964	big	to42	?	Zhoucheng	big	5437	?
195	do₄₂	Wang2006a, 964	big	do42	?	Mazhelong	big	5437	?
196	tou₄₂	Allen2007, 386	big / 大	tou42	?	Jianchuan	big	5437	大
197	tɔ₃₁	Allen2007, 386	big / 大	tɔ31	?	Eryuan	big	5437	大
198	tɔu₄₂	Allen2007, 386	big / 大	tɔu42	?	Heqi	big	5437	大
199	to₃₁	Allen2007, 386	big / 大	to31	?	Lanping	big	5437	大
200	tɔ₃₁	Allen2007, 386	big / 大	tɔ31	?	Qiliqiao	big	5437	大
201	dao₃₁	Allen2007, 386	big / 大	dao31	?	Yunlong	big	5437	大
202	tɔu₂₁	Allen2007, 386	big / 大	tɔu21	?	Xiangyun	big	5437	大
203	ʈao₄₄	Allen2007, 386	big / 大	ʈao44	?	Luobenzhuo	big	5437	大
#
4978	vɚ₄₂	Wang2006a, 1141	bind; tie up	vɚ42	?	Tuoluo	bind; tie up	844574	?
4979	bɤu₂₁	Wang2006a, 1141	bind; tie up	bvu21	?	Gongxing	bind; tie up	844574	?
4980	fo₂₁	Wang2006a, 1141	bind; tie up	fo21	?	Enqi	bind; tie up	844574	?
4981	u₄₂	Wang2006a, 1141	bind; tie up	u42	?	Ega	bind; tie up	844574	?
4982	u₂₁	Wang2006a, 1141	bind; tie up	u21	?	Jinman	bind; tie up	844574	?
4983	fɤ₄₂	Wang2006a, 1141	bind; tie up	fv42	?	Jinxing	bind; tie up	844574	?
4984	fɤ₄₂	Wang2006a, 1141	bind; tie up	fv42	?	Dashi	bind; tie up	844574	?
4985	v₄₂	Wang2006a, 1141	bind; tie up	v42	?	Zhoucheng	bind; tie up	844574	?
4986	pʰǝɯ₄₂	Wang2006a, 1141	bind; tie up	pʰǝɯ42	?	Mazhelong	bind; tie up	844574	?
#
204	t͡su₄₂	Wang2006a, 326	bird	tsu42	?	Tuoluo	bird	400	?
205	t͡su₂₄	Wang2006a, 326	bird	tsu24	?	Gongxing	bird	400	?
206	t͡su₅₅	Wang2006a, 326	bird	tsu55	?	Enqi	bird	400	?
207	t͡su₄₄	Wang2006a, 326	bird	tsu44	?	Ega	bird	400	?
208	t͡so₅₅	Wang2006a, 326	bird	tso55	?	Jinman	bird	400	?
209	t͡sou₄₄	Wang2006a, 326	bird	tsou44	?	Jinxing	bird	400	?
210	t͡sou₃₃	Wang2006a, 326	bird	tsou33	?	Dashi	bird	400	?
211	t͡sou₄₄	Wang2006a, 326	bird	tsou44	?	Zhoucheng	bird	400	?
212	t͡so₄₄	Wang2006a, 326	bird	tso44	?	Mazhelong	bird	400	?
213	t͡sou₄₄t͡sɿ₃₃	Allen2007, 61	bird / 鸟	tsou44tsɿ33	?	Jianchuan	bird	400	鸟
214	t͡sɔ₅₅	Allen2007, 61	bird / 鸟	tsɔ55	?	Eryuan	bird	400	鸟
215	t͡sou₄₄t͡sɿ₃₃	Allen2007, 61	bird / 鸟	tsou44tsɿ33	?	Heqi	bird	400	鸟
216	t͡su₅₅t͡sɿ₅₅	Allen2007, 61	bird / 鸟	tsu55tsɿ55	?	Lanping	bird	400	鸟
217	t͡so₄₄	Allen2007, 61	bird / 鸟	tso44	?	Qiliqiao	bird	400	鸟
218	t͡su₄₄	Allen2007, 61	bird / 鸟	tsu44	?	Yunlong	bird	400	鸟
219	t͡sɔ₄₄	Allen2007, 61	bird / 鸟	tsɔ44	?	Xiangyun	bird	400	鸟
220	t͡suɔ₅₅	Allen2007, 61	bird / 鸟	tsuɔ55	?	Luobenzhuo	bird	400	鸟
