rn	reflex	gloss	gfn	srcabbr	lgid	language	srcid
499682	kho•ʔ◦wa	diarrhea	n	RR-Yamphu	1873	Yamphu	551.2
499683	khu◦daŋ	pork lard	n	RR-Yamphu	1873	Yamphu	551.23
499684	khup◦ma	claw of a bird; hoof	n	RR-Yamphu	1873	Yamphu	551.24
499685	khur◦gik	species of bird	n	RR-Yamphu	1873	Yamphu	551.26
499686	khwaŋ	species of tree	n	RR-Yamphu	1873	Yamphu	551.3
499687	la	moon	n	RR-Yamphu	1873	Yamphu	552.01
499688	la◦bu◦a◦ma	bat	n	RR-Yamphu	1873	Yamphu	552.02
499689	la◦hat◦ta	spinning wheel	n	RR-Yamphu	1873	Yamphu	552.03
499690	la◦luŋ◦gi◦ya	unground eye or germ of a maize grain	n	RR-Yamphu	1873	Yamphu	552.05
499691	la◦mi•ʔ◦ma	second wife, concubine	n	RR-Yamphu	1873	Yamphu	552.09
499692	laŋ	leg (only in the expression for 'go on foot')	n	RR-Yamphu	1873	Yamphu	552.1
499693	laŋ◦gam	friend, companion, mate, etc.	n	RR-Yamphu	1873	Yamphu	552.12
499694	lap◦khæʔ◦wa	wing	n	RR-Yamphu	1873	Yamphu	552.13
499695	lap◦pr̂aŋ	wing	n	RR-Yamphu	1873	Yamphu	552.15
499696	la◦wa	shadow; spirit, presence of mind, soul	n	RR-Yamphu	1873	Yamphu	552.16
499697	læk◦ku◦ma	armpit	n	RR-Yamphu	1873	Yamphu	552.2
499698	læʔ◦lup	species of frog	n	RR-Yamphu	1873	Yamphu	552.24
499699	læʔ◦wa	wet	adj	RR-Yamphu	1873	Yamphu	553.02
499700	læʔ◦wa◦si•◦si	wet from dew or rain	adj	RR-Yamphu	1873	Yamphu	553.03
499701	læ•k◦pu◦jik	worm	n	RR-Yamphu	1873	Yamphu	553.04
499702	læ•◦ŋa	testicles	n	RR-Yamphu	1873	Yamphu	553.05
499703	lem	tongue	n	RR-Yamphu	1873	Yamphu	553.11
499704	len◦da	afternoon (i.e. time between breakfast and about four o'clock)	n	RR-Yamphu	1873	Yamphu	553.15
499705	len◦da◦wæʔ	in the afternoon	adv	RR-Yamphu	1873	Yamphu	553.16
499706	liŋ◦ghiʔ	kind of bug	n	RR-Yamphu	1873	Yamphu	553.23
499707	liʔ◦lik◦kum◦ma	species of bird	n	RR-Yamphu	1873	Yamphu	553.24
499708	loʔ◦wæ	leech	n	RR-Yamphu	1873	Yamphu	554.03
499709	ma	mother (bound morph)	n	RR-Yamphu	1873	Yamphu	554.09
499710	ma◦ba	parents, mother and father	n	RR-Yamphu	1873	Yamphu	554.12
499711	ma◦da•ŋ	female animal with young	n	RR-Yamphu	1873	Yamphu	554.13
499712	mak◦kham	earth, ground, land	n	RR-Yamphu	1873	Yamphu	554.14
499713	mak◦ma	burn (v.i., v.t.)	v	RR-Yamphu	1873	Yamphu	554.15
499714	mak◦ma	dream	v	RR-Yamphu	1873	Yamphu	554.16
499715	mak◦mi◦wæʔ	in the morning	adv	RR-Yamphu	1873	Yamphu	554.17
499716	mak◦mis◦sel◦la	early in the morning	adv	RR-Yamphu	1873	Yamphu	554.18
499717	mak◦miʔ	morning	n	RR-Yamphu	1873	Yamphu	554.19
499718	mak◦sa	son-in-law; husband of a younger sister	n	RR-Yamphu	1873	Yamphu	554.21
499719	maŋ◦ba	witch doctor, shaman	n	RR-Yamphu	1873	Yamphu	554.22
499720	maŋ◦gai◦ma	kind of tree (Vigna catjang)	n	RR-Yamphu	1873	Yamphu	554.23
499721	maŋ◦gik	flea	n	RR-Yamphu	1873	Yamphu	554.25
499722	maŋ◦liŋ◦sa	parasitic worm (any of the species of worms which can afflict human beings)	n	RR-Yamphu	1873	Yamphu	554.26
499723	maŋ◦ma	female shaman	n	RR-Yamphu	1873	Yamphu	554.28
499724	maŋ◦siʔ◦wa	species of bee	n	RR-Yamphu	1873	Yamphu	554.29
499725	ma◦raŋ◦ma	thumb (OBSOLETE)	n	RR-Yamphu	1873	Yamphu	555.03
499726	mar◦chu	spanish pepper, red pepper, Capsicum annum	n	RR-Yamphu	1873	Yamphu	555.04
499727	mar◦chu◦wa	spicy side-dish, pickles, chutney	n	RR-Yamphu	1873	Yamphu	555.05
499728	ma◦ruʔ◦ma	female	n	RR-Yamphu	1873	Yamphu	555.06
499729	ma◦yæ•k	term used to refer to Tibetans or Chinese	n	RR-Yamphu	1873	Yamphu	555.08
499730	maʔ◦luŋ	hilltops, higher parts of the hills	n	RR-Yamphu	1873	Yamphu	555.1
499731	maʔ◦luŋ◦raʔ◦wa	raven	n	RR-Yamphu	1873	Yamphu	555.12
499732	maʔ◦ma	grandmother	n	RR-Yamphu	1873	Yamphu	555.13
499733	maʔ◦niŋ	middle-aged woman	n	RR-Yamphu	1873	Yamphu	555.14
499734	ma•k◦ma	moss, lichen	n	RR-Yamphu	1873	Yamphu	555.15
499735	ma•k◦sa	bear	n	RR-Yamphu	1873	Yamphu	555.16
499736	ma•◦ma	mother, mom	n	RR-Yamphu	1873	Yamphu	555.18
499737	ma•◦sik	lentils	n	RR-Yamphu	1873	Yamphu	555.22
499738	ma•◦sik◦khæŋ	lentil curry	n	RR-Yamphu	1873	Yamphu	555.23
499739	ma•ʔ◦laŋ◦ma	species of bird	n	RR-Yamphu	1873	Yamphu	555.24
499740	maik	black	adj	RR-Yamphu	1873	Yamphu	555.25
499741	mæk◦khu	smoke	n	RR-Yamphu	1873	Yamphu	555.26
499742	mæʔ◦lok◦ki	species of tree (Erythryna indica)	n	RR-Yamphu	1873	Yamphu	555.31
499743	mæ•ʔ◦ma	goat	n	RR-Yamphu	1873	Yamphu	555.36
499744	meʔ◦na◦mip◦pu◦sa	daughter	n	RR-Yamphu	1873	Yamphu	556.09
499745	meʔ◦na◦miʔ	woman	n	RR-Yamphu	1873	Yamphu	556.1
499746	mi	fire	n	RR-Yamphu	1873	Yamphu	556.13
499747	mi◦buʔ◦lu◦ŋa	smoldering firewood	n	RR-Yamphu	1873	Yamphu	556.15
499748	mi◦gæ◦ŋa	glow or warmth of a fire	n	RR-Yamphu	1873	Yamphu	556.16
499749	mi◦jæʔ◦wa	species of tree, Mountain ebony (Bauhenia variegata)	n	RR-Yamphu	1873	Yamphu	556.17
499750	mi◦juʔ◦liŋ	flame	n	RR-Yamphu	1873	Yamphu	556.19
499751	mik	eye	n	RR-Yamphu	1873	Yamphu	556.2
499752	mik◦taŋ◦ghuʔ◦wa	eyebrow; eyelash	n	RR-Yamphu	1873	Yamphu	556.22
