# EDICTOR
@modified: 2015-02-10 12:26
#
ID	IPA	CONCEPT	CHINESE	COGID	DOCULECT	TOKENS	OMEGAWIKI
266	kue₄₂	bad	坏	16	Dashi	k u e ⁴²	5650
267		bad	坏	0	Zhaozhuang		5650
268	quɛ₄₂	bad	坏	16	Ega	q u ɛ ⁴²	5650
269	quɛ₄₃	bad	坏	16	Enqi	q u ɛ ⁴³	5650
270	xe₄₄	bad	坏	16	Eryuan	x e ⁴⁴	5650
271	quɛ₄₂	bad	坏	16	Gongxing	q u ɛ ⁴²	5650
272	xe₃₃	bad	坏	16	Heqi	x e ³³	5650
273	xe₄₄	bad	坏	16	Jianchuan	x e ⁴⁴	5650
274	que₄₂	bad	坏	16	Jinman	q u e ⁴²	5650
275	kua₄₄	bad	坏	16	Jinxing	k u a ⁴⁴	5650
276	ʈʰɯ₃₃	bad	坏	7	Luobenzhuo	ʈʰ ɯ ³³	5650
277	kuɛ₄₄	bad	坏	16	Mazhelong	k u ɛ ⁴⁴	5650
278	xe₄₄	bad	坏	16	Qiliqiao	x e ⁴⁴	5650
279	xɛ₄₄	bad	坏	16	Xiangyun	x ɛ ⁴⁴	5650
280	xɛ₃₃	bad	坏	16	Yunlong	x ɛ ³³	5650
281		bad	坏	0	Zhoucheng		5650
282		bad	坏	0	Cone_Tibetan		5650
283		bad	坏	0	Lhasa_Tibetan		5650
284	ŋan-	bad	坏	0	Old_Tibetan		5650
285		bad	坏	0	Achang_Lianghe		5650
286		bad	坏	0	Achang_Longchuan		5650
287		bad	坏	0	Achang_Luxi		5650
288		bad	坏	0	Atsi		5650
289		bad	坏	0	Bola		5650
290		bad	坏	0	Burmese		5650
291		bad	坏	0	Hpun		5650
292		bad	坏	0	Lashi		5650
293		bad	坏	0	Maru		5650
294		bad	坏	0	Old_Burmese		5650
295		bad	坏	0	Xiandau		5650
296		bad	坏	0	Dumi		5650
297		bad	坏	0	Khaling		5650
298		bad	坏	0	Limbu		5650
299		bad	坏	0	Wambule		5650
300		bad	坏	0	Yakkha		5650
301		bad	坏	0	Yamphu		5650
302		bad	坏	0	Dulong		5650
303		bad	坏	0	Jingpo		5650
304		bad	坏	0	Beijing		5650
305		bad	坏	0	Caijia		5650
306		bad	坏	0	Changsha		5650
307		bad	坏	0	Ganzhou		5650
308		bad	坏	0	Guangzhou		5650
309		bad	坏	0	Meixian		5650
310	*ʔˤak	bad	坏	834	Old_Chinese	ʔˤ a k	5650
311		bad	坏	0	Xiamen		5650
312		bad	坏	0	Guiqiong		5650
313	ŋɤn	bad	坏	15	Japhug	ŋ ɤ n	5650
314		bad	坏	0	Khroskyabs_Wobzi		5650
315		bad	坏	0	Muya		5650
316		bad	坏	0	Stau		5650
317		bad	坏	0	Tangut		5650
318		bad	坏	0	Zbu		5650
#
319	pia₄₂	to bark	树皮	194	Dashi	p i a ⁴²	5439
321	t͡ɕya₂₁	to bark	树皮	194	Ega	t͡ɕ y a ²¹	5439
322	pia₂₁	to bark	树皮	194	Enqi	p i a ²¹	5439
323	pia₄₂	to bark	树皮	194	Eryuan	p i a ⁴²	5439
324	d͡ʑua₂₁	to bark	树皮	194	Gongxing	d͡ʑ u a ²¹	5439
325	pia₄₂	to bark	树皮	194	Heqi	p i a ⁴²	5439
326	pia₄₂	to bark	树皮	194	Jianchuan	p i a ⁴²	5439
327	t͡ɕua₅₃	to bark	树皮	194	Jinman	t͡ɕ u a ⁵³	5439
328	pio₄₂	to bark	树皮	194	Jinxing	p i o ⁴²	5439
329	ʧua₄₄	to bark	树皮	194	Luobenzhuo	ʧ u a ⁴⁴	5439
330	pʰia₄₂	to bark	树皮	194	Mazhelong	pʰ i a ⁴²	5439
331	pia₄₂	to bark	树皮	194	Qiliqiao	p i a ⁴²	5439
332	pia₄₂	to bark	树皮	194	Xiangyun	p i a ⁴²	5439
333	pia₄₂	to bark	树皮	194	Yunlong	p i a ⁴²	5439
334	pia₄₂	to bark	树皮	194	Zhoucheng	p i a ⁴²	5439
#
320	ʦɯ³¹pe²¹	the bark	树皮	0	Zhaozhuang	ʦ ɯ ³¹ p e ²¹	5439
335		the bark	树皮	0	Cone_Tibetan		5439
336		the bark	树皮	0	Lhasa_Tibetan		5439
337	ɕiŋ.lpags	the bark	树皮	198	Old_Tibetan	ɕ i ŋ l p a gs	5439
338		the bark	树皮	0	Achang_Lianghe		5439
339		the bark	树皮	0	Achang_Longchuan		5439
340		the bark	树皮	0	Achang_Luxi		5439
341		the bark	树皮	0	Atsi		5439
342		the bark	树皮	0	Bola		5439
343	khok	the bark	树皮	197	Burmese	kʰ o k	5439
344		the bark	树皮	0	Hpun		5439
345		the bark	树皮	0	Lashi		5439
346		the bark	树皮	0	Maru		5439
347		the bark	树皮	0	Old_Burmese		5439
348		the bark	树皮	0	Xiandau		5439
