# Wordlist

# DATA
ID	SRCABBR	STEDT_GLOSS	CONCEPT	RN	GFN	SRCID	LGID	DOCULECT	REFLEX
46504	ZMYYC	Chinese	Chinese	196061		315.24	1664	Yi (Nanhua)	ɕe̱³³pho²¹
47508	ZMYYC	Chinese	Chinese	196035		315.23	1666	Yi (Nanjian)	xa²¹pa²¹
48512	ZMYYC	Chinese	Chinese	196034		315.21	1670	Yi (Xide)	he³³ŋga⁵⁵
49516	ZMYYC	Chinese	Chinese	196038		315.29	1676	Naxi (Yongning)	xa³³
50520	ZMYYC	Chinese	Chinese	196070		315.42	1693	Atsi [Zaiwa]	mji²¹va²¹
51525	ZMYYC	Chinese	Chinese	196057		315.16	1699	Queyu (Yajiang) [Zhaba]	dʑa³⁵
#
87	ZMYYC	December	December	184416		87.41	200	Achang (Longchuan)	tɕhe⁵⁵sək⁵⁵pau⁵¹l̥ɔ³⁵
1091	ZMYYC	December	December	184443		87.44	269	Anong	thi³¹tshɑ⁵³ɑ³¹ȵi⁵⁵sɯ³¹lɑ⁵
2095	ZMYYC	December	December	184414		87.37	311	Bai (Bijiang)	tʂeʴ⁴²ku³³ŋuɑ⁴⁴
3099	ZMYYC	December	December	184413		87.35	314	Bai (Dali)	jɑ⁴²uɑ⁴⁴
4103	ZMYYC	December	December	184439		87.36	317	Bai (Jianchuan)	jɑ̃⁴²ŋuɑ⁴⁴
5107	ZMYYC	December	December	184421		87.51	368	Bokar Lhoba	*
6111	ZMYYC	December	December	184415		87.39	411	Burmese (Written)	tɑ¹pɔŋ³
7115	ZMYYC	December	December	184436		87.30	418	Hani (Caiyuan)	la³¹je³³
8119	ZMYYC	December	December	184420		87.49	509	Darang [Taraon]	xɑ⁵⁵lo⁵³xɑ⁵⁵lɯ⁵⁵kɑ³¹n̩⁵⁵
9123	ZMYYC	December	December	184411		87.31	510	Hani (Dazhai)	xu̱³¹ø⁵⁵
10127	ZMYYC	December	December	184444		87.46	537	Trung [Dulong]	ti⁵⁵tsɑ̆l⁵⁵ɑ³¹ni⁵⁵sɯ³¹lɑ⁵
11131	ZMYYC	December	December	184428		87.14	557	Ergong (Danba)	vtɕɔ ȵi pa
12135	ZMYYC	December	December	184430		87.18	561	Ersu	la⁵⁵i⁵⁵ɬɑ³³
13140	ZMYYC	December	December	184445		87.48	592	Kaman [Miju]	lɑi⁵³kiɑp⁵⁵mu⁵³kɯ³¹jin⁵⁵
14144	ZMYYC	December	December	184404		87.17	595	Guiqiong	bi³³li⁵⁵si³³
15148	ZMYYC	December	December	184446		87.50	662	Idu	e⁵⁵lɑ⁵⁵ho⁵⁵lo⁵⁵ni⁵⁵
16152	ZMYYC	December	December	184419		87.47	690	Jingpho	mă⁵⁵ka⁵¹ta̱³³
17156	ZMYYC	December	December	184438		87.34	696	Jinuo	tshɯ³¹ni⁵⁵ɬɔ³³
18160	ZMYYC	December	December	184412		87.33	851	Lahu (Black)	lᴀ³¹ze³³xᴀ³³pᴀ³³
19164	ZMYYC	December	December	184435		87.28	908	Naxi (Lijiang)	ndɑ³³uɑ³³
