ID	DOCULECT	CONCEPT	RGEN	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	IPA	TOKENS
149	Ukhrul	the thunder	526080	1150	8	thunder	kʰə-ŋə-ʃum	kʰ ə + ŋ ə + ʃ u m
150	Ukhrul	the tiger	528754	846	304	tiger	ʃaŋ-ku	ʃ a ŋ + k u
152	Ukhrul	the tongue	526899	1205	139	tongue	mə-lej	m ə + l e j
153	Ukhrul	the tooth (front)	526733	1380	137	tooth	ʔa-ha	ʔ a + h a
154	Ukhrul	the tree	526101	906	372	tree	tʰiŋ◦roŋ	tʰ i ŋ + r o ŋ
156	Ukhrul	the water	525870	948	47	water	ta-ru	t a + r u
158	Ukhrul	the wind	525824	960	9	wind	mə-ʃi	m ə + ʃ i
159	Ukhrul	the wind	525949	960	9	wind	kʰə-nej	kʰ ə + n e j
161	Ukhrul	the wing	526918	1257	298	wing	ʔa-ŋə-caŋ	ʔ a + ŋ ə + c a ŋ
162	Ukhrul	the woman	526751	962	174	child; woman	ʃi-naw	ʃ i + n a w
163	Ukhrul	the year	525863	1226	777	year	tsiŋkum	ts i ŋ k u m
165	Ukhrul	thick	525750	1244	980	thick	kə-ʃa	k ə + ʃ a
167	Ukhrul	thin (object)	526075	2307	981	thin (objects)	kə-ŋə-va	k ə + ŋ ə + v a
168	Ukhrul	thou [second person singular]	526720	1215	931	thou	nɐ	n ɐ
169	Ukhrul	three	526798	492	799	three	kə-tʰum	k ə + tʰ u m
170	Ukhrul	to be alive	526654	1422	1087	alive (be v.)	kʰə-riŋ	kʰ ə + r i ŋ
171	Ukhrul	to bite	526655	1403	1753	bite	kʰə-mə-kej	kʰ ə + m ə + k e j
172	Ukhrul	to blow (of wind)	526153	175	1738	blow (wind)	kə-pʰan	k ə + pʰ a n
174	Ukhrul	to burn [intransitive]	526753	1428	1269	burn, ignite; burning fire	kə-cuj	k ə + c u j
176	Ukhrul	to buy	527872	1869	1516	buy	kʰə-ro	kʰ ə + r o
177	Ukhrul	to chew	527007	321	1424	chew	kə-ʃɐj	k ə + ʃ ɐ j
178	Ukhrul	to come	525948	1446	1491	come	kʰə-ra	kʰ ə + r a
179	Ukhrul	to count	527401	1420	1640	count	kə-cak	k ə + c a k
180	Ukhrul	to cry (weep)	525768	1839	1485	weep, cry	kə-cap	k ə + c a p
182	Ukhrul	to die	526757	1494	1651	die	kə-tʰi	k ə + tʰ i
183	Ukhrul	to dig	526652	1418	1698	dig	kə-cuj	k ə + c u j
184	Ukhrul	to drink	525756	1401	1370	drink	kʰə-maŋ	kʰ ə + m a ŋ
186	Ukhrul	to eat	526792	1336	1198	eat (rice)	pʰɐ-kə-tsa	pʰ ɐ + k ə + ts a
187	Ukhrul	to eat	525983	1336	1198	eat	ʃaj	ʃ a j
188	Ukhrul	to fight	526077	1423	1234	fight (with one another)	kʰə-ŋə-mu	kʰ ə + ŋ ə + m u
189	Ukhrul	to float	527279	1574	1553	float (v.i.)	kə-kʰɐj	k ə + kʰ ɐ j
190	Ukhrul	to flow	527892	2003	1502	flow (water)	kʰə-roŋ	kʰ ə + r o ŋ
191	Ukhrul	to fly (move through air)	528257	1441	1318	fly	kʰə-joŋ	kʰ ə + j o ŋ
192	Ukhrul	to forget	525753	1523	1704	forget	mə-|laj-kə-taj	m ə + + l a j + k ə + t a j
193	Ukhrul	to forget	526705	1523	1704	forget	kʰə-mə-|laj	kʰ ə + m ə + + l a j
194	Ukhrul	to give	526640	1447	1345	give	kʰə-mi	kʰ ə + m i
195	Ukhrul	to hear	526056	1408	1682	hear	kə-ʃa	k ə + ʃ a
196	Ukhrul	to hide (conceal)	528399	602	1169	hide; to take shelter	kʰə-ŋə-jin	kʰ ə + ŋ ə + j i n
197	Ukhrul	to hold	526167	1448	1709	hold	kə-siŋ	k ə + s i ŋ
198	Ukhrul	to hold	527607	1448	1709	hold	kə-pok	k ə + p o k
199	Ukhrul	to hunt	527844	1435	1230	hunt	kʰə-reŋ	kʰ ə + r e ŋ
200	Ukhrul	to hunt	528163	1435	1230	hunt	kə-kə-tsuŋ	k ə + k ə + ts u ŋ
201	Ukhrul	to kill	525744	1417	1602	kill	sa-kə-tʰat	s a + k ə + tʰ a t
203	Ukhrul	to knead	526121	274	1594	knead	kʰə-naj	kʰ ə + n a j
205	Ukhrul	to know (something)	526730	1410	1398	know; see	kə-tʰej	k ə + tʰ e j
206	Ukhrul	to laugh	526777	1355	1735	laugh	kʰə-mə-nu	kʰ ə + m ə + n u
207	Ukhrul	to learn	528529	504	1742	learn	kə-tɐm	k ə + t ɐ m
208	Ukhrul	to lick	525787	319	1674	lick	kʰə-mə-|lek	kʰ ə + m ə + + l e k
210	Ukhrul	to lie down	528395	215	1661	lie down	kʰə-ŋə-jaj	kʰ ə + ŋ ə + j a j
211	Ukhrul	to lie down	526803	215	1661	sleep; lie down	kə-pi	k ə + p i
212	Ukhrul	to marry (a man marries a woman)	526029	2164	1578	marry (speaking of the man or woman)	ʃak kə-tsa	ʃ a k k ə + ts a
213	Ukhrul	to plant (vegetals, rice)	527119	1486	1774	plant; put stones for hearth	kə-ʃom	k ə + ʃ o m
214	Ukhrul	to play	527858	1413	1703	play	kʰə-ŋə-rew	kʰ ə + ŋ ə + r e w
215	Ukhrul	to pull	527312	1455	1568	drag, pull (v.)	kʰə-ŋə-kʰun	kʰ ə + ŋ ə + kʰ u n
216	Ukhrul	to pull	527005	1455	1568	pull, smoke	kə-ʃɐj	k ə + ʃ ɐ j
217	Ukhrul	to push	526040	1452	1689	press, stuff, push	kʰə-nam	kʰ ə + n a m
218	Ukhrul	to reside (live)	526066	1099	1452	sit, reside; do continuously (postp.)	kə-pam	k ə + p a m
219	Ukhrul	to run	525765	1519	1544	run	kə-joŋ	k ə + j o ŋ
220	Ukhrul	to run	526079	1519	1544	run	kʰə-ŋə-sam	kʰ ə + ŋ ə + s a m
221	Ukhrul	to scratch	525799	1436	1530	scratch / scrape	kə-kʰot	k ə + kʰ o t
222	Ukhrul	to see	528560	1409	1471	see	kə-tʰɐj	k ə + tʰ ɐ j
223	Ukhrul	to shoot (an arrow)	526656	1172	1611	shoot	kə-kap	k ə + k a p
224	Ukhrul	to sleep	526803	1585	1646	sleep; lie down	kə-pi	k ə + p i
225	Ukhrul	to smell (perceive odor) [transitive]	526651	1586	1707	smell	kʰə-ŋə-nɐm	kʰ ə + ŋ ə + n ɐ m
226	Ukhrul	to spit	526074	1440	1688	spit	kʰə-mə-co	kʰ ə + m ə + c o
227	Ukhrul	to spit	527107	1440	1688	spit	kʰə-mə-ʃo	kʰ ə + m ə + ʃ o
228	Ukhrul	to stand	526643	1442	1784	stand; be proud	kʰə-ŋə-niŋ	kʰ ə + ŋ ə + n i ŋ
229	Ukhrul	to steal	526648	713	1686	steal	kʰə-li	kʰ ə + l i
231	Ukhrul	to think (reflect)	526662	1415	1726	think	kə-pʰə-niŋ	k ə + pʰ ə + n i ŋ
232	Ukhrul	to throw	525950	1456	1687	throw	kə-tʰam	k ə + tʰ a m
234	Ukhrul	to vomit	526907	1278	1535	vomit	kʰə-mə-law	kʰ ə + m ə + l a w
236	Ukhrul	to walk	528143	1443	1815	walk, go	kə-tsɐt	k ə + ts ɐ t
237	Ukhrul	tomorrow	525982	1329	742	tomorrow	ʔa-kʰama	ʔ a + kʰ a m a
238	Ukhrul	two	526773	1498	798	two	kʰə-ni	kʰ ə + n i
239	Ukhrul	wet	526170	1726	1029	wet	kʰə-ju	kʰ ə + j u
240	Ukhrul	white	525748	1335	1006	white	kə-car	k ə + c a r
241	Ukhrul	who	525963	1235	953	who	kʰi-pa	kʰ i + p a
242	Ukhrul	yesterday	525952	1174	739	yesterday	ʔa-ja	ʔ a + j a
