ID	ENGLISH	SEMANTIC_TAG	TBL_ID	CONCEPTICON_ID	VANBIK_ID	VANBIK_GLOSS	SIMILARITY
164	the root	body, animal	375	670	12604	root (n.)	3
165	the rope	object, tool	619	1218	12607	rope (n.)	3
166	round	characterization, form	990	1395	12638	round (adj.)	4
167	to run	action	1544	1519	12699	run (v.)	3
168	the salt	object, food	61	1274	12798	salt (n.)	3
169	salty	characterisation, taste	1076	1091	12802	salty (adj.)	4
170	the sand	nature, substance	44	671	12828	sand (n.)	3
171	to scratch	action	1530	1436	13047	scratch (v.)	3
172	the sea	nature, geography	32	1474	13090	sea (n.)	3
173	to see	action	1471	1409	13170	see (v.)	3
174	the seed	object, food	405	714	13172	seed (n.)	3
175	seven	number	803	1704	13366	seven (num.)	4
176	sharp	characterization, form	1020	1396	13432	sharp (adj.)	4
177	the sheep	animal	275	1331	13452	sheep (n.)	3
178	to shoot (an arrow)	action	1611	1172	13533	shoot (v.)	3
179	short	characterization, quantity	973	1645	13549	short (n., adj.)	4
180	the shoulder	body	90	1482	13568	shoulder (n.)	3
181	shy	characterization, character	1365	487	13624	shy (adj.)	4
182	the sickle	object, tool	624	341	13635	sickle (n.)	3
183	to sing	action	1184	1261	13726	sing (v.)	3
184	six	number	802	1703	13770	six (num.)	4
185	the skin	body	120	763	13807	skin (n.)	3
186	the sky	nature, geography	1	1732	13821	sky (n.)	3
187	to sleep	action	1646	1585	13870	sleep (v.)	3
188	small	characterization, quantity	965	1246	13949	small (adj.)	4
189	to smell (perceive odor) [transitive]	action	1707	1586	13958	smell (v.)	3
190	the smoke	nature	19	778	13970	smoke (n.)	3
191	smooth	characterization, form	1037	1234	13972	smooth (adj.)	4
192	the snake	animal	347	730	13991	snake (n.)	3
193	the snow	nature, object	12	784	14027	snow (n.)	3
194	soft	characterisation, form	1035	1856	14084	soft (adj.)	4
195	the son	kinship	220	1620	14149	son (n.)	3
196	the sparrow	animal	336	1854	14257	sparrow (n.)	3
197	the spider	animal	361	843	14340	spider (n.)	3
198	to spit	action	1688	1440	14381	spit (v.)	3
199	to stand	action	1784	1442	14576	stand (v.)	3
200	the star	nature, geography	5	1430	9067	star (n.)	3
201	to steal	action	1686	713	14652	steal (v.)	3
202	the stick	object, tool	586	1295	14714	stick (n.)	3
203	the stone (a piece of)	nature, substance	43	857	14780	stone (n.)	3
204	straight	characterization, form	1003	1404	14821	straight (adv.)	4
205	the sun	object, geography	2	1343	15134	sun (n.)	3
206	the tail	body, animal	267	1220	15423	tail (n.)	3
207	ten	number	806	1515	15585	ten (num.)	4
208	that	pronoun	947	78	15676	that (pron.)	4
209	there	location	950	1937	15713	there (pron.)	4
210	thick	characterization, quantity	980	1244	15737	thick (adj.)	4
211	the thigh	body	100	800	15750	thigh (n.)	3
212	thin (object)	characterization, form	981	2307	15752	thin (adj.)	4
213	to think (reflect)	action	1726	1415	15755	think (v.)	3
214	this	pronoun	942	1214	15765	this (pron.)	4
215	thou [second person singular]	pronoun	931	1215	15780	thou (pron.)	4
216	three	number	799	492	15798	three (num.)	4
217	to throw	action	1687	1456	15822	throw (v.)	3
218	the thunder	object, phenomenon	8	1150	15832	thunder (n.)	3
219	the tiger	animal	304	846	15869	tiger (n.)	3
220	today	time	738	1283	15942	today (adv.)	4
221	tomorrow	time	742	1329	15976	tomorrow (n., adv.)	4
222	the tongue	body	139	1205	15982	tongue (n.)	3
223	the tooth (front)	body	137	1380	15996	tooth (n.)	3
223	the tooth (front)	body	137	1380	17830	tooth (n.)	3
224	the tree	nature, object	372	906	16207	tree (n.)	3
225	twenty	number	816	1710	16411	twenty (num.)	4
226	two	number	798	1498	16427	two (num.)	4
227	to vomit	action	1535	1278	17345	vomit (v.)	3
228	to walk	action	1815	1443	17408	walk (v.)	3
229	the water	nature, substance	47	948	17489	water (n.)	3
230	we [first person plural inclusive]	pronoun	930	1131	17538	we (pron.)	4
231	wet	characterisation, state	1029	1726	17633	wet (adj.)	4
232	what	pronoun, question	954	1236	17643	what (pron.)	4
233	the wheat	object, food	410	1077	17648	wheat (n.)	3
234	where	pronoun, question	955	1237	17661	where (adv.)	4
235	white	characterisation, color	1006	1335	17712	white (adj.)	4
236	who	pronoun, question	953	1235	17729	who (pron.)	4
237	the wife	kinship	248	1199	17767	wife (n.)	3
238	the wind	nature, phenomenon	9	960	17796	wind (n.)	3
239	the wing	body, animal	298	1257	17811	wing (n.)	3
240	to wipe	action	1163	1454	17823	wipe (v.)	3
241	the wolf	animal	324	522	17880	wolf (n.)	3
242	the woman	human being	174	962	17885	woman (n.)	3
243	the wood (material)	plant, substance	511	1803	17906	wood (n.)	3
244	to sow (broadcast, scatter seeds)	action	1597	748	14233	sow (v.)	3
245	the year	time	777	1226	18055	year (n.)	3
246	yellow	characterisation, color	1008	1424	18063	yellow (adj.)	4
247	yesterday	time	739	1174	18070	yesterday (n., adv.)	4
248	you [second person plural]	pronoun	933	1213	18089	you (pron.)	4
249	young	characterisation, age	1059	1207	18091	young (adj.)	4
250	the shit	body, substance	151	676	4381	excrement (n.)	
