# Wordlist

# META
@modified:2015-01-20 10:39
@tree:(((Luobenzhuo,(Enqi,(Ega,Jinman))),(Gongxing,Tuoluo)),(Mazhelong,((Xiangyun,((Qiliqiao,(Eryuan,Yunlong)),(Lanping,(Heqi,Jianchuan)))),(Zhoucheng,(Dashi,Jinxing)))));

# DATA
ID	GLOSS_IN_SOURCE	SOURCE	ENTRY_IN_SOURCE	POS	CHINESE_GLOSS	DOCULECT	IPA	CONCEPT	ID_IN_SOURCE	PST	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES
1721	lead(cow)	Allen2007	kʰẽ55	verb	牵（牛）	Lanping	kʰẽ₅₅	lead;pull	299	CVT	kʰ ẽ ₅₅	1 7 8	AXT	KE5	10	10.K.C 10.E.V 10.5.T	1.6 3.0 1.0	0
1722	lead(cow)	Allen2007	kʰe55	verb	牵（牛）	Qiliqiao	kʰe₅₅	lead;pull	299	CVT	kʰ e ₅₅	1 7 8	AXT	KE5	13	13.K.C 13.E.V 13.5.T	1.6 3.0 1.0	0
1723	lead(cow)	Allen2007	kʰe55	verb	牵（牛）	Yunlong	kʰe₅₅	lead;pull	299	CVT	kʰ e ₅₅	1 7 8	AXT	KE5	16	16.K.C 16.E.V 16.5.T	1.6 3.0 1.0	0
1724	lead(cow)	Allen2007	kʰẽ55	verb	牵（牛）	Xiangyun	kʰẽ₅₅	lead;pull	299	CVT	kʰ ẽ ₅₅	1 7 8	AXT	KE5	15	15.K.C 15.E.V 15.5.T	1.6 3.0 1.0	0
1725	lead(cow)	Allen2007	qʰẽ33	verb	牵（牛）	Luobenzhuo	qʰẽ₃₃	lead;pull	299	CVT	qʰ ẽ ₃₃	1 7 8	AXT	KE4	11	11.K.C 11.E.V 11.4.T	1.6 3.0 1.0	0
#
1726	leaf	Wang2006a	qʰɔ33	?	?	Tuoluo	qʰɔ₃₃	leaf	376	CVT	qʰ ɔ ₃₃	1 7 8	AXT	KU4	14	14.K.C 14.U.V 14.4.T	1.6 3.0 1.0	0
1727	leaf	Wang2006a	qʰo55	?	?	Enqi	qʰo₅₅	leaf	376	CVT	qʰ o ₅₅	1 7 8	AXT	KU5	3	3.K.C 3.U.V 3.5.T	1.6 3.0 1.0	0
1728	leaf	Wang2006a	(dʑi42lɛ21)	?	?	Ega	d͡ʑi₄₂lɛ₂₁	leaf	376	CVTCVT	d͡ʑ i ₄₂ l ɛ ₂₁	2 7 8 5 7 8	AXTBYT	CI3LE3	2	2.C.C 2.I.V 2.3.T 2.L.C 2.E.V 2.3.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1729	leaf	Wang2006a	kʰou33	?	?	Jinxing	kʰou₃₃	leaf	376	CVT	kʰ o u ₃₃	1 7 7 8	AXYT	KUY4	9	9.K.C 9.U.V 9.Y.V 9.4.T	1.6 3.0 3.0 1.0	0
1730	leaf	Wang2006a	[ɕui33kuo33]	?	?	Dashi	ɕui₃₃kuo₃₃	leaf	376	CVTCVT	ɕ u i ₃₃ k u o ₃₃	3 7 7 8 1 7 7 8	AXYTBYYT	SYI4KYU4	1	1.S.C 1.Y.V 1.I.V 1.4.T 1.K.C 1.Y.V 1.U.V 1.4.T	1.6 3.0 3.0 1.0 1.3 3.0 3.0 1.0	0
1731	leaf	Wang2006a	(ɕyi33li55ta21ko33)	?	?	Zhoucheng	ɕyi₃₃li₅₅ta₂₁ko₃₃	leaf	376	CVTCVTCVTCVT	ɕ y i ₃₃ l i ₅₅ t a ₂₁ k o ₃₃	3 7 7 8 5 7 8 1 7 8 1 7 8	AXYTBYTBYTBYT	SYI4LI5TA3KU4	17	17.S.C 17.Y.V 17.I.V 17.4.T 17.L.C 17.I.V 17.5.T 17.T.C 17.A.V 17.3.T 17.K.C 17.U.V 17.4.T	1.6 3.0 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	0
1732	leaf	Wang2006a	kʰo33	?	?	Mazhelong	kʰo₃₃	leaf	376	CVT	kʰ o ₃₃	1 7 8	AXT	KU4	12	12.K.C 12.U.V 12.4.T	1.6 3.0 1.0	0
1733	leaf	Allen2007	se44	?	叶	Jianchuan	se₄₄	leaf	116	CVT	s e ₄₄	3 7 8	AXT	SE5	7	7.S.C 7.E.V 7.5.T	1.6 3.0 1.0	0
1734	leaf	Allen2007	ʂe44	?	叶	Eryuan	ʂe₄₄	leaf	116	CVT	ʂ e ₄₄	3 7 8	AXT	SE5	4	4.S.C 4.E.V 4.5.T	1.6 3.0 1.0	0
1735	leaf	Allen2007	sʰe44	?	叶	Heqi	sʰe₄₄	leaf	116	CVT	sʰ e ₄₄	3 7 8	AXT	SE5	6	6.S.C 6.E.V 6.5.T	1.6 3.0 1.0	0
1736	leaf	Allen2007	se44	?	叶	Lanping	se₄₄	leaf	116	CVT	s e ₄₄	3 7 8	AXT	SE5	10	10.S.C 10.E.V 10.5.T	1.6 3.0 1.0	0
1737	leaf	Allen2007	se44	?	叶	Qiliqiao	se₄₄	leaf	116	CVT	s e ₄₄	3 7 8	AXT	SE5	13	13.S.C 13.E.V 13.5.T	1.6 3.0 1.0	0
1738	leaf	Allen2007	sɛ44	?	叶	Yunlong	sɛ₄₄	leaf	116	CVT	s ɛ ₄₄	3 7 8	AXT	SE5	16	16.S.C 16.E.V 16.5.T	1.6 3.0 1.0	1
1739	leaf	Allen2007	se44	?	叶	Xiangyun	se₄₄	leaf	116	CVT	s e ₄₄	3 7 8	AXT	SE5	15	15.S.C 15.E.V 15.5.T	1.6 3.0 1.0	0
1740	leaf	Allen2007	ʂɛ44	?	叶	Luobenzhuo	ʂɛ₄₄	leaf	116	CVT	ʂ ɛ ₄₄	3 7 8	AXT	SE5	11	11.S.C 11.E.V 11.5.T	1.6 3.0 1.0	0
#
1741	leech	Wang2006a	tɕi42	?	?	Tuoluo	t͡ɕi₄₂	leech	364	CVT	t͡ɕ i ₄₂	2 7 8	AXT	CI3	14	14.C.C 14.I.V 14.3.T	1.6 3.0 1.0	0
1742	leech	Wang2006a	tɕi42	?	?	Gongxing	t͡ɕi₄₂	leech	364	CVT	t͡ɕ i ₄₂	2 7 8	AXT	CI3	5	5.C.C 5.I.V 5.3.T	1.6 3.0 1.0	0
1743	leech	Wang2006a	tsi55	?	?	Enqi	t͡si₅₅	leech	364	CVT	t͡s i ₅₅	2 7 8	AXT	CI5	3	3.C.C 3.I.V 3.5.T	1.6 3.0 1.0	0
1744	leech	Wang2006a	tsi44	?	?	Ega	t͡si₄₄	leech	364	CVT	t͡s i ₄₄	2 7 8	AXT	CI5	2	2.C.C 2.I.V 2.5.T	1.6 3.0 1.0	0
1745	leech	Wang2006a	tsi55	?	?	Jinman	t͡si₅₅	leech	364	CVT	t͡s i ₅₅	2 7 8	AXT	CI5	8	8.C.C 8.I.V 8.5.T	1.6 3.0 1.0	0
1746	leech	Wang2006a	tɕi44	?	?	Jinxing	t͡ɕi₄₄	leech	364	CVT	t͡ɕ i ₄₄	2 7 8	AXT	CI5	9	9.C.C 9.I.V 9.5.T	1.6 3.0 1.0	0
1747	leech	Wang2006a	tɕi44	?	?	Dashi	t͡ɕi₄₄	leech	364	CVT	t͡ɕ i ₄₄	2 7 8	AXT	CI5	1	1.C.C 1.I.V 1.5.T	1.6 3.0 1.0	0
1748	leech	Wang2006a	tɕi44	?	?	Zhoucheng	t͡ɕi₄₄	leech	364	CVT	t͡ɕ i ₄₄	2 7 8	AXT	CI5	17	17.C.C 17.I.V 17.5.T	1.6 3.0 1.0	0
1749	leech	Wang2006a	tɕi44	?	?	Mazhelong	t͡ɕi₄₄	leech	364	CVT	t͡ɕ i ₄₄	2 7 8	AXT	CI5	12	12.C.C 12.I.V 12.5.T	1.6 3.0 1.0	0
1750	leech	Allen2007	tɕi44	?	水蛭	Jianchuan	t͡ɕi₄₄	leech	82	CVT	t͡ɕ i ₄₄	2 7 8	AXT	CI5	7	7.C.C 7.I.V 7.5.T	1.6 3.0 1.0	0
1751	leech	Allen2007	tɕi44	?	水蛭	Eryuan	t͡ɕi₄₄	leech	82	CVT	t͡ɕ i ₄₄	2 7 8	AXT	CI5	4	4.C.C 4.I.V 4.5.T	1.6 3.0 1.0	0
1752	leech	Allen2007	tɕi44	?	水蛭	Heqi	t͡ɕi₄₄	leech	82	CVT	t͡ɕ i ₄₄	2 7 8	AXT	CI5	6	6.C.C 6.I.V 6.5.T	1.6 3.0 1.0	0
1753	leech	Allen2007	kã55tɕĩ33	?	水蛭	Lanping	kã₅₅t͡ɕĩ₃₃	leech	82	CVTCVT	k ã ₅₅ t͡ɕ ĩ ₃₃	1 7 8 2 7 8	AXTBYT	KA5CI4	10	10.K.C 10.A.V 10.5.T 10.C.C 10.I.V 10.4.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1754	leech	Allen2007	tɕi44	?	水蛭	Qiliqiao	t͡ɕi₄₄	leech	82	CVT	t͡ɕ i ₄₄	2 7 8	AXT	CI5	13	13.C.C 13.I.V 13.5.T	1.6 3.0 1.0	0
1755	leech	Allen2007	tɕi44	?	水蛭	Yunlong	t͡ɕi₄₄	leech	82	CVT	t͡ɕ i ₄₄	2 7 8	AXT	CI5	16	16.C.C 16.I.V 16.5.T	1.6 3.0 1.0	0
1756	leech	Allen2007	tɕi42	?	水蛭	Xiangyun	t͡ɕi₄₂	leech	82	CVT	t͡ɕ i ₄₂	2 7 8	AXT	CI3	15	15.C.C 15.I.V 15.3.T	1.6 3.0 1.0	0
1757	leech	Allen2007	qa55tɕi55	?	水蛭	Luobenzhuo	qa₅₅t͡ɕi₅₅	leech	82	CVTCVT	q a ₅₅ t͡ɕ i ₅₅	1 7 8 2 7 8	AXTBYT	KA5CI5	11	11.K.C 11.A.V 11.5.T 11.C.C 11.I.V 11.5.T	1.6 3.0 1.0 1.3 3.0 1.0	0
#
1758	left	Wang2006a	tɕy55	?	?	Tuoluo	t͡ɕy₅₅	left side	710	CVT	t͡ɕ y ₅₅	2 7 8	AXT	CY5	14	14.C.C 14.Y.V 14.5.T	1.6 3.0 1.0	0
1759	left	Wang2006a	tjen55	?	?	Gongxing	tjen₅₅	left side	710	CCVcT	t j e n ₅₅	1 6 7 4 8	ACXLT	TJEN5	5	5.T.C 5.J.C 5.E.V 5.N.c 5.5.T	1.6 1.2 3.0 1.1 1.0	0
1760	left	Wang2006a	tsuE24	?	?	Enqi	t͡suɛ₂₄	left side	710	CVT	t͡s u ɛ ₂₄	2 7 7 8	AXYT	CYE2	3	3.C.C 3.Y.V 3.E.V 3.2.T	1.6 3.0 3.0 1.0	1
1761	left	Wang2006a	(la55tɕo44tɕo44pʰo55)	?	?	Ega	la₅₅t͡ɕo₄₄t͡ɕo₄₄pʰo₅₅	left side	710	CVTCVTCVTCVT	l a ₅₅ t͡ɕ o ₄₄ t͡ɕ o ₄₄ pʰ o ₅₅	5 7 8 2 7 8 2 7 8 1 7 8	AXTBYTBYTBYT	LA5CU5CU5PU5	2	2.L.C 2.A.V 2.5.T 2.C.C 2.U.V 2.5.T 2.C.C 2.U.V 2.5.T 2.P.C 2.U.V 2.5.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	0
1762	left	Wang2006a	(lo55tɕyẽ55)	?	?	Jinman	lo₅₅t͡ɕyẽ₅₅	left side	710	CVTCVT	l o ₅₅ t͡ɕ y ẽ ₅₅	5 7 8 2 7 7 8	AXTBYYT	LU5CYE5	8	8.L.C 8.U.V 8.5.T 8.C.C 8.Y.V 8.E.V 8.5.T	1.6 3.0 1.0 1.3 3.0 3.0 1.0	0
1763	left	Wang2006a	pi55	?	?	Jinxing	pi₅₅	left side	710	CVT	p i ₅₅	1 7 8	AXT	PI5	9	9.P.C 9.I.V 9.5.T	1.6 3.0 1.0	1
1764	left	Wang2006a	piǝ35	?	?	Dashi	piǝ₃₅	left side	710	CVT	p i ǝ ₃₅	1 7 7 8	AXYT	PIE2	1	1.P.C 1.I.V 1.E.V 1.2.T	1.6 3.0 3.0 1.0	0
1765	left	Wang2006a	pi35	?	?	Zhoucheng	pi₃₅	left side	710	CVT	p i ₃₅	1 7 8	AXT	PI2	17	17.P.C 17.I.V 17.2.T	1.6 3.0 1.0	1
1766	left	Wang2006a	pi55	?	?	Mazhelong	pi₅₅	left side	710	CVT	p i ₅₅	1 7 8	AXT	PI5	12	12.P.C 12.I.V 12.5.T	1.6 3.0 1.0	0
1767	left(side)	Allen2007	pi55fɤ33	?	左边	Jianchuan	pi₅₅fɤ₃₃	left side	27	CVTCVT	p i ₅₅ f ɤ ₃₃	1 7 8 3 7 8	AXTBYT	PI5BE4	7	7.P.C 7.I.V 7.5.T 7.B.C 7.E.V 7.4.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1768	left(side)	Allen2007	pi35pɔ31	?	左边	Eryuan	pi₃₅pɔ₃₁	left side	27	CVTCVT	p i ₃₅ p ɔ ₃₁	1 7 8 1 7 8	AXTBYT	PI2PU3	4	4.P.C 4.I.V 4.2.T 4.P.C 4.U.V 4.3.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1769	left(side)	Allen2007	pi55fɤ33	?	左边	Heqi	pi₅₅fɤ₃₃	left side	27	CVTCVT	p i ₅₅ f ɤ ₃₃	1 7 8 3 7 8	AXTBYT	PI5BE4	6	6.P.C 6.I.V 6.5.T 6.B.C 6.E.V 6.4.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1770	left(side)	Allen2007	fɯ̃44pĩɛ̃55pʰao44	?	左边	Lanping	fɯ̃₄₄pĩɛ̃₅₅pʰao₄₄	left side	27	CVTCVTCVT	f ɯ̃ ₄₄ p ĩ ɛ̃ ₅₅ pʰ a o ₄₄	3 7 8 1 7 7 8 1 7 7 8	AXTBYYTBYYT	BI5PIE5PAU5	10	10.B.C 10.I.V 10.5.T 10.P.C 10.I.V 10.E.V 10.5.T 10.P.C 10.A.V 10.U.V 10.5.T	1.6 3.0 1.0 1.3 3.0 3.0 1.0 1.3 3.0 3.0 1.0	0
1771	left(side)	Allen2007	pi35pɔ21	?	左边	Qiliqiao	pi₃₅pɔ₂₁	left side	27	CVTCVT	p i ₃₅ p ɔ ₂₁	1 7 8 1 7 8	AXTBYT	PI2PU3	13	13.P.C 13.I.V 13.2.T 13.P.C 13.U.V 13.3.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1772	left(side)	Allen2007	pi35pɔ31	?	左边	Yunlong	pi₃₅pɔ₃₁	left side	27	CVTCVT	p i ₃₅ p ɔ ₃₁	1 7 8 1 7 8	AXTBYT	PI2PU3	16	16.P.C 16.I.V 16.2.T 16.P.C 16.U.V 16.3.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1773	left(side)	Allen2007	pi35sɛ̃21	?	左边	Xiangyun	pi₃₅sɛ̃₂₁	left side	27	CVTCVT	p i ₃₅ s ɛ̃ ₂₁	1 7 8 3 7 8	AXTBYT	PI2SE3	15	15.P.C 15.I.V 15.2.T 15.S.C 15.E.V 15.3.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1774	left(side)	Allen2007	la44tɕỹ55	?	左边	Luobenzhuo	la₄₄t͡ɕỹ₅₅	left side	27	CVTCVT	l a ₄₄ t͡ɕ ỹ ₅₅	5 7 8 2 0 8	AXTLLT	LA5C05	11	11.L.C 11.A.V 11.5.T 11.C.c 11.0.c 11.5.T	1.6 3.0 1.0 1.1 1.1 1.0	0
#
1775	light	Wang2006a	tʰiaŋ55	?	?	Tuoluo	tʰiaŋ₅₅	light 1	1015	CVcT	tʰ i a ŋ ₅₅	1 7 7 4 8	AXYLT	TIAN5	14	14.T.C 14.I.V 14.A.V 14.N.c 14.5.T	1.6 3.0 3.0 1.1 1.0	0
1776	light	Wang2006a	tsʰan55	?	?	Gongxing	t͡sʰan₅₅	light 1	1015	CVcT	t͡sʰ a n ₅₅	1 7 4 8	AXLT	TAN5	5	5.T.C 5.A.V 5.N.c 5.5.T	1.6 3.0 1.1 1.0	0
1777	light	Wang2006a	tʰiæ24	?	?	Enqi	tʰiæ₂₄	light 1	1015	CVT	tʰ i æ ₂₄	1 7 7 8	AXYT	TIE2	3	3.T.C 3.I.V 3.E.V 3.2.T	1.6 3.0 3.0 1.0	0
1778	light	Wang2006a	tɕʰa55	?	?	Ega	t͡ɕʰa₅₅	light 1	1015	CVT	t͡ɕʰ a ₅₅	1 7 8	AXT	TA5	2	2.T.C 2.A.V 2.5.T	1.6 3.0 1.0	0
1779	light	Wang2006a	ʈʰã55	?	?	Jinman	ʈʰã₅₅	light 1	1015	CVT	ʈʰ ã ₅₅	1 7 8	AXT	TA5	8	8.T.C 8.A.V 8.5.T	1.6 3.0 1.0	0
1780	light	Wang2006a	tsʰan55	?	?	Jinxing	t͡sʰan₅₅	light 1	1015	CVcT	t͡sʰ a n ₅₅	1 7 4 8	AXLT	TAN5	9	9.T.C 9.A.V 9.N.c 9.5.T	1.6 3.0 1.1 1.0	0
1781	light	Wang2006a	tʂʰɚ̃55	?	?	Dashi	t͡ʂʰɚ̃₅₅	light 1	1015	CVT	t͡ʂʰ ɚ̃ ₅₅	1 7 8	AXT	TE5	1	1.T.C 1.E.V 1.5.T	1.6 3.0 1.0	0
1782	light	Wang2006a	tsʰɛ55	?	?	Zhoucheng	t͡sʰɛ₅₅	light 1	1015	CVT	t͡sʰ ɛ ₅₅	1 7 8	AXT	TE5	17	17.T.C 17.E.V 17.5.T	1.6 3.0 1.0	0
1783	light	Wang2006a	tsʰɚ55	?	?	Mazhelong	t͡sʰɚ₅₅	light 1	1015	CVT	t͡sʰ ɚ ₅₅	1 7 8	AXT	TE5	12	12.T.C 12.E.V 12.5.T	1.6 3.0 1.0	0
1784	light(not heavy)	Allen2007	tsʰɛ̃55	?	轻	Jianchuan	t͡sʰɛ̃₅₅	light 1	401	CVT	t͡sʰ ɛ̃ ₅₅	1 7 8	AXT	TE5	7	7.T.C 7.E.V 7.5.T	1.6 3.0 1.0	0
1785	light(not heavy)	Allen2007	tsʰɛ55	?	轻	Eryuan	t͡sʰɛ₅₅	light 1	401	CVT	t͡sʰ ɛ ₅₅	1 7 8	AXT	TE5	4	4.T.C 4.E.V 4.5.T	1.6 3.0 1.0	0
1786	light(not heavy)	Allen2007	tsʰɛ̃55	?	轻	Heqi	t͡sʰɛ̃₅₅	light 1	401	CVT	t͡sʰ ɛ̃ ₅₅	1 7 8	AXT	TE5	6	6.T.C 6.E.V 6.5.T	1.6 3.0 1.0	0
1787	light(not heavy)	Allen2007	tsʰɛ̃55	?	轻	Lanping	t͡sʰɛ̃₅₅	light 1	401	CVT	t͡sʰ ɛ̃ ₅₅	1 7 8	AXT	TE5	10	10.T.C 10.E.V 10.5.T	1.6 3.0 1.0	0
1788	light(not heavy)	Allen2007	tsʰɛ55	?	轻	Qiliqiao	t͡sʰɛ₅₅	light 1	401	CVT	t͡sʰ ɛ ₅₅	1 7 8	AXT	TE5	13	13.T.C 13.E.V 13.5.T	1.6 3.0 1.0	0
1789	light(not heavy)	Allen2007	tsʰɛ55	?	轻	Yunlong	t͡sʰɛ₅₅	light 1	401	CVT	t͡sʰ ɛ ₅₅	1 7 8	AXT	TE5	16	16.T.C 16.E.V 16.5.T	1.6 3.0 1.0	0
1790	light(not heavy)	Allen2007	tsʰɛ̃55	?	轻	Xiangyun	t͡sʰɛ̃₅₅	light 1	401	CVT	t͡sʰ ɛ̃ ₅₅	1 7 8	AXT	TE5	15	15.T.C 15.E.V 15.5.T	1.6 3.0 1.0	0
1791	light(not heavy)	Allen2007	ʈʰã55	?	轻	Luobenzhuo	ʈʰã₅₅	light 1	401	CVT	ʈʰ ã ₅₅	1 7 8	AXT	TA5	11	11.T.C 11.A.V 11.5.T	1.6 3.0 1.0	0
#
1792	listen	Wang2006a	tɕʰiaŋ55	verb	?	Tuoluo	t͡ɕʰiaŋ₅₅	listen;hear	1681	CVcT	t͡ɕʰ i a ŋ ₅₅	1 7 7 4 8	AXYLT	TIAN5	14	14.T.C 14.I.V 14.A.V 14.N.c 14.5.T	1.6 3.0 3.0 1.1 1.0	0
1793	listen	Wang2006a	tɕʰian55	verb	?	Gongxing	t͡ɕʰian₅₅	listen;hear	1681	CVcT	t͡ɕʰ i a n ₅₅	1 7 7 4 8	AXYLT	TIAN5	5	5.T.C 5.I.V 5.A.V 5.N.c 5.5.T	1.6 3.0 3.0 1.1 1.0	1
1794	listen	Wang2006a	tɕʰiæ24	verb	?	Enqi	t͡ɕʰiæ₂₄	listen;hear	1681	CVT	t͡ɕʰ i æ ₂₄	1 7 7 8	AXYT	TIE2	3	3.T.C 3.I.V 3.E.V 3.2.T	1.6 3.0 3.0 1.0	0
1795	listen	Wang2006a	tɕʰia55	verb	?	Ega	t͡ɕʰia₅₅	listen;hear	1681	CVT	t͡ɕʰ i a ₅₅	1 7 7 8	AXYT	TIA5	2	2.T.C 2.I.V 2.A.V 2.5.T	1.6 3.0 3.0 1.0	0
1796	listen	Wang2006a	tɕʰiã55	verb	?	Jinman	t͡ɕʰiã₅₅	listen;hear	1681	CVT	t͡ɕʰ i ã ₅₅	1 7 7 8	AXYT	TIA5	8	8.T.C 8.I.V 8.A.V 8.5.T	1.6 3.0 3.0 1.0	0
1797	listen	Wang2006a	tɕʰian55	verb	?	Jinxing	t͡ɕʰian₅₅	listen;hear	1681	CVcT	t͡ɕʰ i a n ₅₅	1 7 7 4 8	AXYLT	TIAN5	9	9.T.C 9.I.V 9.A.V 9.N.c 9.5.T	1.6 3.0 3.0 1.1 1.0	0
1798	listen	Wang2006a	tɕʰiɚ|en,55	verb	?	Dashi	t͡ɕʰiɚ|en,₅₅	listen;hear	1681	CVccT	t͡ɕʰ i ɚ| e n , ₅₅	1 7 7 7 4 0 8	AXYYLLT	TIEEN05	1	1.T.C 1.I.V 1.E.V 1.E.V 1.N.c 1.0.c 1.5.T	1.6 3.0 3.0 3.0 1.1 1.1 1.0	0
1799	listen	Wang2006a	tɕʰiɛ55	verb	?	Zhoucheng	t͡ɕʰiɛ₅₅	listen;hear	1681	CVT	t͡ɕʰ i ɛ ₅₅	1 7 7 8	AXYT	TIE5	17	17.T.C 17.I.V 17.E.V 17.5.T	1.6 3.0 3.0 1.0	0
1800	listen	Wang2006a	tɕʰɚ̃55	verb	?	Mazhelong	t͡ɕʰɚ̃₅₅	listen;hear	1681	CVT	t͡ɕʰ ɚ̃ ₅₅	1 7 8	AXT	TE5	12	12.T.C 12.E.V 12.5.T	1.6 3.0 1.0	0
1801	listen	Allen2007	tɕʰɛ̃55	verb	听	Jianchuan	t͡ɕʰɛ̃₅₅	listen;hear	258	CVT	t͡ɕʰ ɛ̃ ₅₅	1 7 8	AXT	TE5	7	7.T.C 7.E.V 7.5.T	1.6 3.0 1.0	0
1802	listen	Allen2007	kʲɛ55	verb	听	Eryuan	kʲɛ₅₅	listen;hear	258	CVT	kʲ ɛ ₅₅	1 7 8	AXT	KE5	4	4.K.C 4.E.V 4.5.T	1.6 3.0 1.0	0
1803	listen	Allen2007	tɕʰɛ̃55	verb	听	Heqi	t͡ɕʰɛ̃₅₅	listen;hear	258	CVT	t͡ɕʰ ɛ̃ ₅₅	1 7 8	AXT	TE5	6	6.T.C 6.E.V 6.5.T	1.6 3.0 1.0	0
1804	listen	Allen2007	tɕʰɛ̃44	verb	听	Lanping	t͡ɕʰɛ̃₄₄	listen;hear	258	CVT	t͡ɕʰ ɛ̃ ₄₄	1 7 8	AXT	TE5	10	10.T.C 10.E.V 10.5.T	1.6 3.0 1.0	0
1805	listen	Allen2007	tɕʰɛ55	verb	听	Qiliqiao	t͡ɕʰɛ₅₅	listen;hear	258	CVT	t͡ɕʰ ɛ ₅₅	1 7 8	AXT	TE5	13	13.T.C 13.E.V 13.5.T	1.6 3.0 1.0	0
1806	listen	Allen2007	tɕʰɛ55	verb	听	Yunlong	t͡ɕʰɛ₅₅	listen;hear	258	CVT	t͡ɕʰ ɛ ₅₅	1 7 8	AXT	TE5	16	16.T.C 16.E.V 16.5.T	1.6 3.0 1.0	0
1807	listen	Allen2007	tɕʰɛ̃55	verb	听	Xiangyun	t͡ɕʰɛ̃₅₅	listen;hear	258	CVT	t͡ɕʰ ɛ̃ ₅₅	1 7 8	AXT	TE5	15	15.T.C 15.E.V 15.5.T	1.6 3.0 1.0	0
1808	listen	Allen2007	tɕʰɔ̃55	verb	听	Luobenzhuo	t͡ɕʰɔ̃₅₅	listen;hear	258	CVT	t͡ɕʰ ɔ̃ ₅₅	1 7 8	AXT	TU5	11	11.T.C 11.U.V 11.5.T	1.6 3.0 1.0	0
#
1809	liver	Wang2006a	qɔŋ55	?	?	Tuoluo	qɔŋ₅₅	liver	145	CVcT	q ɔ ŋ ₅₅	1 7 4 8	AXLT	KUN5	14	14.K.C 14.U.V 14.N.c 14.5.T	1.6 3.0 1.1 1.0	0
1810	liver	Wang2006a	qaŋ55	?	?	Gongxing	qaŋ₅₅	liver	145	CVcT	q a ŋ ₅₅	1 7 4 8	AXLT	KAN5	5	5.K.C 5.A.V 5.N.c 5.5.T	1.6 3.0 1.1 1.0	0
1811	liver	Wang2006a	qa24	?	?	Enqi	qa₂₄	liver	145	CVT	q a ₂₄	1 7 8	AXT	KA2	3	3.K.C 3.A.V 3.2.T	1.6 3.0 1.0	0
1812	liver	Wang2006a	qo55	?	?	Ega	qo₅₅	liver	145	CVT	q o ₅₅	1 7 8	AXT	KU5	2	2.K.C 2.U.V 2.5.T	1.6 3.0 1.0	0
1813	liver	Wang2006a	qã55	?	?	Jinman	qã₅₅	liver	145	CVT	q ã ₅₅	1 7 8	AXT	KA5	8	8.K.C 8.A.V 8.5.T	1.6 3.0 1.0	0
1814	liver	Wang2006a	kɑ55	?	?	Jinxing	kɑ₅₅	liver	145	CVT	k ɑ ₅₅	1 7 8	AXT	KA5	9	9.K.C 9.A.V 9.5.T	1.6 3.0 1.0	0
1815	liver	Wang2006a	kã35	?	?	Dashi	kã₃₅	liver	145	CVT	k ã ₃₅	1 7 8	AXT	KA2	1	1.K.C 1.A.V 1.2.T	1.6 3.0 1.0	0
1816	liver	Wang2006a	ka35	?	?	Zhoucheng	ka₃₅	liver	145	CVT	k a ₃₅	1 7 8	AXT	KA2	17	17.K.C 17.A.V 17.2.T	1.6 3.0 1.0	0
1817	liver	Wang2006a	kaŋ55	?	?	Mazhelong	kaŋ₅₅	liver	145	CVcT	k a ŋ ₅₅	1 7 4 8	AXLT	KAN5	12	12.K.C 12.A.V 12.N.c 12.5.T	1.6 3.0 1.1 1.0	0
1818	liver	Allen2007	kã55	?	肝	Jianchuan	kã₅₅	liver	150	CVT	k ã ₅₅	1 7 8	AXT	KA5	7	7.K.C 7.A.V 7.5.T	1.6 3.0 1.0	0
1819	liver	Allen2007	ka35	?	肝	Eryuan	ka₃₅	liver	150	CVT	k a ₃₅	1 7 8	AXT	KA2	4	4.K.C 4.A.V 4.2.T	1.6 3.0 1.0	0
1820	liver	Allen2007	kã55	?	肝	Heqi	kã₅₅	liver	150	CVT	k ã ₅₅	1 7 8	AXT	KA5	6	6.K.C 6.A.V 6.5.T	1.6 3.0 1.0	0
1821	liver	Allen2007	kã55	?	肝	Lanping	kã₅₅	liver	150	CVT	k ã ₅₅	1 7 8	AXT	KA5	10	10.K.C 10.A.V 10.5.T	1.6 3.0 1.0	0
1822	liver	Allen2007	ka35	?	肝	Qiliqiao	ka₃₅	liver	150	CVT	k a ₃₅	1 7 8	AXT	KA2	13	13.K.C 13.A.V 13.2.T	1.6 3.0 1.0	0
1823	liver	Allen2007	ka35	?	肝	Yunlong	ka₃₅	liver	150	CVT	k a ₃₅	1 7 8	AXT	KA2	16	16.K.C 16.A.V 16.2.T	1.6 3.0 1.0	0
