# Wordlist

# META
@modified:2015-01-20 10:39
@tree:(((Luobenzhuo,(Enqi,(Ega,Jinman))),(Gongxing,Tuoluo)),(Mazhelong,((Xiangyun,((Qiliqiao,(Eryuan,Yunlong)),(Lanping,(Heqi,Jianchuan)))),(Zhoucheng,(Dashi,Jinxing)))));

# DATA
ID	GLOSS_IN_SOURCE	SOURCE	ENTRY_IN_SOURCE	POS	CHINESE_GLOSS	DOCULECT	IPA	CONCEPT	ID_IN_SOURCE	PST	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES
22	ant	Wang2006a	tɕi21pɯ21	?	?	Jinman	t͡ɕi₂₁pɯ₂₁	ant	365	CVTCVT	t͡ɕ i ₂₁ p ɯ ₂₁	2 7 8 1 7 8	AXTBYT	CI3PI3	8	8.C.C 8.I.V 8.3.T 8.P.C 8.I.V 8.3.T	1.6 3.0 1.0 1.3 3.0 1.0	0
23	ant	Wang2006a	pien21põ21	?	?	Jinxing	pien₂₁põ₂₁	ant	365	CVcTCVT	p i e n ₂₁ p õ ₂₁	1 7 7 4 8 1 7 8	AXYLTBYT	PIEN3PU3	9	9.P.C 9.I.V 9.E.V 9.N.c 9.3.T 9.P.C 9.U.V 9.3.T	1.6 3.0 3.0 1.1 1.0 1.3 3.0 1.0	0
24	ant	Wang2006a	pi21po21	?	?	Dashi	pi₂₁po₂₁	ant	365	CVTCVT	p i ₂₁ p o ₂₁	1 7 8 1 7 8	AXTBYT	PI3PU3	1	1.P.C 1.I.V 1.3.T 1.P.C 1.U.V 1.3.T	1.6 3.0 1.0 1.3 3.0 1.0	0
25	ant	Wang2006a	pi21pɯ21	?	?	Zhoucheng	pi₂₁pɯ₂₁	ant	365	CVTCVT	p i ₂₁ p ɯ ₂₁	1 7 8 1 7 8	AXTBYT	PI3PI3	17	17.P.C 17.I.V 17.3.T 17.P.C 17.I.V 17.3.T	1.6 3.0 1.0 1.3 3.0 1.0	0
26	ant	Wang2006a	pi55pǝɯ21	?	?	Mazhelong	pi₅₅pǝɯ₂₁	ant	365	CVTCVT	p i ₅₅ p ǝ ɯ ₂₁	1 7 8 1 7 7 8	AXTBYYT	PI5PEI3	12	12.P.C 12.I.V 12.5.T 12.P.C 12.E.V 12.I.V 12.3.T	1.6 3.0 1.0 1.3 3.0 3.0 1.0	0
27	ant	Allen2007	pĩ21po21tsɿ33	?	蚂蚁	Jianchuan	pĩ₂₁po₂₁t͡sɿ₃₃	ant	74	CVTCVTCVT	p ĩ ₂₁ p o ₂₁ t͡s ɿ ₃₃	1 7 8 1 7 8 2 7 8	AXTBYTBYT	PI3PU3CI4	7	7.P.C 7.I.V 7.3.T 7.P.C 7.U.V 7.3.T 7.C.C 7.I.V 7.4.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	0
28	ant	Allen2007	pi21pɯ31	?	蚂蚁	Eryuan	pi₂₁pɯ₃₁	ant	74	CVTCVT	p i ₂₁ p ɯ ₃₁	1 7 8 1 7 8	AXTBYT	PI3PI3	4	4.P.C 4.I.V 4.3.T 4.P.C 4.I.V 4.3.T	1.6 3.0 1.0 1.3 3.0 1.0	0
29	ant	Allen2007	pi21pɯ21tsɿ33	?	蚂蚁	Heqi	pi₂₁pɯ₂₁t͡sɿ₃₃	ant	74	CVTCVTCVT	p i ₂₁ p ɯ ₂₁ t͡s ɿ ₃₃	1 7 8 1 7 8 2 7 8	AXTBYTBYT	PI3PI3CI4	6	6.P.C 6.I.V 6.3.T 6.P.C 6.I.V 6.3.T 6.C.C 6.I.V 6.4.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	0
30	ant	Allen2007	pi33pao33tsɿ44	?	蚂蚁	Lanping	pi₃₃pao₃₃t͡sɿ₄₄	ant	74	CVTCVTCVT	p i ₃₃ p a o ₃₃ t͡s ɿ ₄₄	1 7 8 1 7 7 8 2 7 8	AXTBYYTBYT	PI4PAU4CI5	10	10.P.C 10.I.V 10.4.T 10.P.C 10.A.V 10.U.V 10.4.T 10.C.C 10.I.V 10.5.T	1.6 3.0 1.0 1.3 3.0 3.0 1.0 1.3 3.0 1.0	0
31	ant	Allen2007	pi21pɯ31	?	蚂蚁	Qiliqiao	pi₂₁pɯ₃₁	ant	74	CVTCVT	p i ₂₁ p ɯ ₃₁	1 7 8 1 7 8	AXTBYT	PI3PI3	13	13.P.C 13.I.V 13.3.T 13.P.C 13.I.V 13.3.T	1.6 3.0 1.0 1.3 3.0 1.0	0
