# Wordlist

# META
@modified:2015-01-20 10:39

# DATA
ID	DOCULECT	CONCEPT	IPA	TOKENS	ALIGNMENT	ENTRY_IN_SOURCE	GLOSS_IN_SOURCE	SOURCE	ID_IN_SOURCE	COGID	CHINESE_GLOSS	PST	POS
4337	Zhoucheng	(rice) seedling	t͡si₂₁	t͡s i ₂₁	- t͡s i ₂₁	tsi21	(rice) seedling	Wang2006a	406	132	?	CVT	?
4338	Mazhelong	(rice) seedling	d͡zi₂₁	d͡z i ₂₁	- d͡z i ₂₁	dzi21	(rice) seedling	Wang2006a	406	132	?	CVT	?
#
5621	Tuoluo	(wasps) sting	tʰiu₄₂	tʰ iu ₄₂	tʰ iu - ₄₂	tʰiu42	(wasps) sting	Wang2006a	1793	435	?	CVT	?
5622	Gongxing	(wasps) sting	ŋaŋ₂₄	ŋ a ŋ ₂₄	ŋ a ŋ ₂₄	ŋaŋ24	(wasps) sting	Wang2006a	1793	435	?	CVcT	?
5623	Enqi	(wasps) sting	tʰiu₅₅	tʰ iu ₅₅	tʰ iu - ₅₅	tʰiu55	(wasps) sting	Wang2006a	1793	435	?	CVT	?
5624	Ega	(wasps) sting	t͡ɕʰio₄₄	t͡ɕʰ io ₄₄	t͡ɕʰ io - ₄₄	tɕʰio44	(wasps) sting	Wang2006a	1793	435	?	CVT	?
5625	Jinman	(wasps) sting	ʈʰo₅₅	ʈʰ o ₅₅	ʈʰ o - ₅₅	ʈʰo55	(wasps) sting	Wang2006a	1793	435	?	CVT	?
5626	Jinxing	(wasps) sting	t͡sʰou₄₄	t͡sʰ ou ₄₄	t͡sʰ ou - ₄₄	tsʰou44	(wasps) sting	Wang2006a	1793	435	?	CVT	?
5627	Dashi	(wasps) sting	t͡ʂʰou₄₄	t͡ʂʰ ou ₄₄	t͡ʂʰ ou - ₄₄	tʂʰou44	(wasps) sting	Wang2006a	1793	435	?	CVT	?
5628	Zhoucheng	(wasps) sting	ŋa₄₄	ŋ a ₄₄	ŋ a - ₄₄	ŋa44	(wasps) sting	Wang2006a	1793	435	?	CVT	?
5629	Mazhelong	(wasps) sting	t͡sʰo₄₄	t͡sʰ o ₄₄	t͡sʰ o - ₄₄	tsʰo44	(wasps) sting	Wang2006a	1793	435	?	CVT	?
#
5352	Tuoluo	(water flow)	gɯ₃₅	g ɯ ₃₅	g ɯ ₃₅	gɯ35	(water flow)	Wang2006a	1502	378	?	CVT	?
5353	Gongxing	(water flow)	gɯ₁₂	g ɯ ₁₂	g ɯ ₁₂	gɯ12	(water flow)	Wang2006a	1502	378	?	CVT	?
5354	Enqi	(water flow)	kɯ₂₁	k ɯ ₂₁	k ɯ ₂₁	kɯ21	(water flow)	Wang2006a	1502	378	?	CVT	?
5355	Ega	(water flow)	kɯ₂₁	k ɯ ₂₁	k ɯ ₂₁	kɯ21	(water flow)	Wang2006a	1502	378	?	CVT	?
