ID	DOCULECT	CONCEPT	RGEN	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	IPA	TOKENS
90	Ukhrul	straight	525993	1404	1003	straight	kʰə-ŋə-tar	kʰ ə ŋ ə t a r
91	Ukhrul	straight	527693	1404	1003	straight (be v.)	kʰə-mə-ra	kʰ ə m ə r a
92	Ukhrul	ten	525877	1515	806	ten	tʰə-ra	tʰ ə r a
93	Ukhrul	the ant	525813	587	365	ant	ca-liŋ	c a l i ŋ
94	Ukhrul	the armpit	526908	1886	92	armpit	rik-kʰa	r i k kʰ a
95	Ukhrul	the bamboo	526106	1927	389	bamboo	kə-ha-tʰiŋ	k ə h a tʰ i ŋ
96	Ukhrul	the belly	526796	1251	96	abdomen	moŋ-kuj	m o ŋ k u j
97	Ukhrul	the belly	525828	1251	96	belly	a-vuk	a v u k
98	Ukhrul	the belly	528736	1251	96	belly	wuk	w u k
99	Ukhrul	the belly	528737	1251	96	belly	ʔa-pʰen	ʔ a pʰ e n
100	Ukhrul	the belly	526732	1251	96	belly (exterior)	ʔa-wuk	ʔ a w u k
101	Ukhrul	the bird	525829	937	326	bird	va-naw	v a n a w
102	Ukhrul	the blood	525852	946	129	blood	ʔa-ʃi	ʔ a ʃ i
103	Ukhrul	the blood	526747	946	129	blood	ʔa-si	ʔ a s i
104	Ukhrul	the body hair (hair or fur)	525853	189	266	hair (on body)	ʔa-ha	ʔ a h a
105	Ukhrul	the body hair (hair or fur)	525815	189	266	hair (on head)	kuj-sam	k u j s a m
106	Ukhrul	the bone	526702	1394	133	bone	ʔa-ru-kuj	ʔ a r u k u j
107	Ukhrul	the branch	525836	1531	374	branch	ʔa-pʰaŋ	ʔ a pʰ a ŋ
108	Ukhrul	the branch	526667	1531	374	branch	ʔa-sa	ʔ a s a
109	Ukhrul	the breast (female)	526107	1402	94	breast	ʔa-nu	ʔ a n u
110	Ukhrul	the breast (female)	526869	1402	94	breast	a-nu	a n u
111	Ukhrul	the cloud	525830	1489	7	cloud	muja	m u j a
112	Ukhrul	the cloud	526926	1489	7	cloud	muj-a	m u j a
113	Ukhrul	the daughter	526906	1357	222	daughter	ŋə-la-naw	ŋ ə l a n a w
114	Ukhrul	the dog	526677	2009	289	dog	fu	f u
115	Ukhrul	the dream	526723	2374	699	dream	mɐŋ	m ɐ ŋ
116	Ukhrul	the dream	526829	2374	699	dream	mɐŋ-soŋ	m ɐ ŋ s o ŋ
117	Ukhrul	the dream	528284	2374	699	dream	kə-ʃi-mɐn	k ə ʃ i m ɐ n
118	Ukhrul	the dust	525961	2	45	dust	ci-fu	c i f u
119	Ukhrul	the ear	525831	1247	81	ear	kʰə-na	kʰ ə n a
120	Ukhrul	the earth (soil)	526741	1228	40	earth, dirt	ŋə-lej	ŋ ə l e j
121	Ukhrul	the egg	525820	744	450	egg (hàr 'chicken' + -ru 'water')	ha-ru	h a r u
122	Ukhrul	the egg	526632	744	450	egg	hɐr-ru	h ɐ rr u
123	Ukhrul	the eye	525832	1248	79	eye	ʔa-mik	ʔ a m i k
124	Ukhrul	the father	525837	1217	218	father	ʔa-va	ʔ a v a
125	Ukhrul	the father	526706	1217	218	father	a-va	a v a
126	Ukhrul	the feather	525853	1201	299	hair (on body)	ʔa-ha	ʔ a h a
127	Ukhrul	the feather	525815	1201	299	hair (on head)	kuj-sam	k u j s a m
128	Ukhrul	the fire	526683	221	18	fire	mej	m e j
129	Ukhrul	the fish	526763	227	351	fish	kʰaj	kʰ a j
130	Ukhrul	the flower	525822	239	377	flower	ʔa-wan	ʔ a w a n
131	Ukhrul	the flower	526686	239	377	flower	ʔa-won	ʔ a w o n
132	Ukhrul	the foot	526890	1301	103	foot, leg	ʔa-pʰej	ʔ a pʰ e j
133	Ukhrul	the forest	526768	420	50	mountain, forest	kə-pʰuŋ	k ə pʰ u ŋ
134	Ukhrul	the frog	526658	503	349	frog	kʰaj-fu	kʰ a j f u
135	Ukhrul	the fruit	526896	1507	378	fruit; peas	ʔa-tʰej	ʔ a tʰ e j
136	Ukhrul	the fruit	525805	1507	378	fruit	tʰej	tʰ e j
137	Ukhrul	the goat	528755	1502	276	goat	me	m e
138	Ukhrul	the grass	525814	606	436	grass	kʰuwa	kʰ u w a
139	Ukhrul	the grass	526638	606	436	grass	kʰu-wɐ	kʰ u w ɐ
140	Ukhrul	the hair (of the head)	525853	1040	75	hair (on body)	ʔa-ha	ʔ a h a
141	Ukhrul	the hair (of the head)	525808	1040	75	hair	sam	s a m
142	Ukhrul	the hair (of the head)	525815	1040	75	hair (on head)	kuj-sam	k u j s a m
143	Ukhrul	the hand	526865	1277	107	hand / arm	ʔa-paŋ	ʔ a p a ŋ
144	Ukhrul	the head	525823	1256	74	head	(a)-kuj	k u j
145	Ukhrul	the head	526771	1256	74	head	ʔa-kuj	ʔ a k u j
146	Ukhrul	the heart	526800	1223	144	heart	mə-|luŋ	m ə |l u ŋ
147	Ukhrul	the horn (keratinized skin)	525850	1393	263	horn	a-ŋə-ci	a ŋ ə c i
148	Ukhrul	the horn (keratinized skin)	526778	1393	263	horn	ʔa-ŋə-ci	ʔ a ŋ ə c i
149	Ukhrul	the house	526877	1252	494	house	ʃim	ʃ i m
150	Ukhrul	the house	526027	1252	494	burn down (jungle, house)	kə-tʰot	k ə tʰ o t
151	Ukhrul	the knee	526895	1371	101	knee	ʔa-kʰuk	ʔ a kʰ u k
152	Ukhrul	the leaf	525860	628	376	leaf	a-na	a n a
153	Ukhrul	the leaf	526671	628	376	leaf	ʔa-na	ʔ a n a
154	Ukhrul	the lip (the lips)	526816	478	85	lip	mor-caj	m o r c a j
155	Ukhrul	the liver	526653	1224	145	lung; liver	ʔa-pʰar	ʔ a pʰ a r
156	Ukhrul	the liver	526742	1224	145	liver	ʔa-mə-tʰin	ʔ a m ə tʰ i n
157	Ukhrul	the louse	525801	1392	356	louse	rik	r i k
158	Ukhrul	the lung	526653	688	143	lung; liver	ʔa-pʰar	ʔ a pʰ a r
159	Ukhrul	the man (male human)	525896	2106	173	man, son	mə-jar-naw	m ə j a r n a w
