ID	DOCULECT	CONCEPT	RGEN	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	IPA	TOKENS
138	Hayu	the hail	121160	609	13	hail (n)	bʊxkʊm	b ʊ x k ʊ m
139	Hayu	the hair (of the head)	121558	1040	75	hair (n)	som	s o m
140	Hayu	the hand	120429	1277	107	hand (n)	got	g o t
141	Hayu	the head	120974	1256	74	head (n)	putshi	p u tsh i
142	Hayu	the heart	120762	1223	144	heart (n)	thum	th u m
143	Hayu	the horn (keratinized skin)	121353	1393	263	horn (of an animal) (n)	rʊŋ	r ʊ ŋ
144	Hayu	the house	120245	1252	494	house, home (n)	kem	k e m
145	Hayu	the house	121529	1252	494	roof (a storey or a house) (vtt)	sʊp	s ʊ p
146	Hayu	the knee	120408	1371	101	bend (vt, vtt)	guk	g u k
147	Hayu	the knee	120363	1371	101	knee (n)	khokali	kh o k a l i
148	Hayu	the knee	120220	1371	101	bend / bow while bending (adv ?)	kuŋsit	k u ŋs i t
149	Hayu	the leaf	121381	628	376	leaf or fiber of the vine Bauhinia valhii (n)	laptsho	l a p tsh o
150	Hayu	the leaf	121423	628	376	leaf (n)	lo	l o
151	Hayu	the lip (the lips)	120225	478	85	lip (n)	kumtsiŋ	k u m ts i ŋ
152	Hayu	the liver	120815	1224	145	liver (n)	diŋ	d i ŋ
153	Hayu	the louse	121536	1392	356	louse (n)	sek	s e k
154	Hayu	the lung	120648	688	143	lung (n)	dzot	d z o t
155	Hayu	the lung	120819	688	143	lung (n)	diŋ◦dzyot	d i ŋ ◦ d z y o t
156	Hayu	the man (male human)	121498	2106	173	man, person (n)	siŋtoŋ	s i ŋ t o ŋ
157	Hayu	the man (male human)	121405	2106	173	man, male (n)	lʊ̃ːtso	l ʊ̃ː ts o
158	Hayu	the meat	120238	634	443	meat (n)	kʊn	k ʊ n
159	Hayu	the moon	120556	1313	4	moon (n)	tsoːlo	ts oː l o
160	Hayu	the mosquito	120192	1509	360	biting fly, mosquito (n)	kananaŋ	k a n a n a ŋ
161	Hayu	the mother	120152	1216	219	mother (n)	umu	u m u
