ID	DOCULECT	CONCEPT	RGEN	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	IPA	TOKENS
112	Bahing	the fruit	122359	1507	378	fruit (n df.)	piŋgutsi	p i ŋ g u ts i
113	Bahing	the fruit	122601	1507	378	fruit (n df.)	mokoloŋma	m o k o l o ŋ m a
114	Bahing	the fruit	122756	1507	378	fruit (n)	siːtsi	s iː ts i
115	Bahing	the fruit	122510	1507	378	fruit, Phyllanthus emblica (n df.)	brewatsi	b r e w a ts i
116	Bahing	the fruit	122772	1507	378	break (e.g. rope, thread), pick (flower or fruit) (vt)	sɛk-	s ɛ k
117	Bahing	the goat	122815	1502	276	goat (n)	sɔŋgara	s ɔ ŋ g a r a
118	Bahing	the grass	122055	606	436	tall grass (n)	tsinda	ts i n d a
119	Bahing	the grass	121735	606	436	thatch-grass (n)	joːri	j oː r i
120	Bahing	the hail	122512	609	13	call, hail (vt)	brett-	b r e tt
121	Bahing	the hail	122605	609	13	hail (n)	mosi, musi	mosi, musi
122	Bahing	the hair (of the head)	122621	1040	75	wash (the head or hair) (vt)	myr-	m y r
123	Bahing	the hair (of the head)	122086	1040	75	hair (of the head) (n)	tsam	ts a m
124	Bahing	the hair (of the head)	122416	1040	75	undo (e.g. a knot, the hair) (vt)	prɔk-	p r ɔ k
125	Bahing	the hand	121985	1277	107	hand (n)	gy	g y
126	Bahing	the head	122356	1256	74	head (n)	pija	p i j a
127	Bahing	the head	122036	1256	74	head, top, upper (e.g. of a valley, storey) (n)	ŋari, ŋaːri	ŋari, ŋaːri
128	Bahing	the heart	122251	1223	144	heart (n)	thymsitsi	th y ms i ts i
129	Bahing	the heart	122250	1223	144	heart, feelings (n)	thym, thymbɔp	thym, thymbɔp
130	Bahing	the hoof	121951	152	264	hoof (n)	gɛksyly	g ɛ ks y l y
131	Bahing	the horn (keratinized skin)	121997	1393	263	horn (n)	gro	g r o
132	Bahing	the house	121875	1252	494	house (n)	khim	kh i m
133	Bahing	the knee	122395	1371	101	knee (n)	poktsi	p o k ts i
134	Bahing	the knee	121838	1371	101	bend (vt)	kuk-	k u k
135	Bahing	the leaf	122817	628	376	leaf (n)	sɔphɔ	s ɔ ph ɔ
136	Bahing	the liver	122256	1224	145	liver (n)	diŋ	d i ŋ
137	Bahing	the louse	122636	1392	356	louse (n)	riŋ	r i ŋ
138	Bahing	the lung	122825	688	143	lung (n)	sœpeorœ	s œ p e o r œ
139	Bahing	the man (male human)	122623	2106	173	man (n)	myry	m y r y
140	Bahing	the man (male human)	121751	2106	173	man, male (n)	wai ̃sa	wai ̃sa
141	Bahing	the man (male human)	122398	2106	173	father, male (n)	pø	p ø
142	Bahing	the meat	122771	634	443	meat, jerky (n)	seːla	s eː l a
