ID	DOCULECT	CONCEPT	RGEN	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	IPA	TOKENS
116	Kanauri	soft	337829	1856	1035	loose / soft (adj)	kōlös	k ō l ös
117	Kanauri	straight	338902	1404	1003	level / straight (adj)	sŏllös	s ŏ ll ös
118	Kanauri	ten	338711	1515	806	ten	sai	s a i
119	Kanauri	the ant	337823	587	365	ant (n)	kȭkăṇēʻ	k ȭ k ă ṇ ēʻ
120	Kanauri	the armpit	337706	1886	92	armpit (n)	kes	k e s
121	Kanauri	the belly	338425	1251	96	stomach (n)	pēṭiṅ	p ē ṭ i ṅ
122	Kanauri	the bird	337535	937	326	bird (small), name of (n)	hicu pyā	hicu pyā
123	Kanauri	the bird	338754	937	326	bird (small), a (n)	s̱ẖalī	s̱ ẖ a l ī
124	Kanauri	the bird	338556	937	326	bird (n)	pyā	p y ā
125	Kanauri	the bird	337832	937	326	bird (kind of, small) (n)	konĕā	k o n ĕ ā
126	Kanauri	the bird	337998	937	326	bird (kind of, small) (n)	līs̱ẖöṅṭ	l īs̱ ẖ ö ṅ ṭ
127	Kanauri	the bird	337134	937	326	bird (black), a	cūṭ(h)	c ū ṭ
128	Kanauri	the bird	337954	937	326	bird (kind of, as large as a crow) (n)	lan pyā	lan pyā
129	Kanauri	the bird	337774	937	326	skin (of sheep, goats, birds) (n)	khŭl(h)	kh ŭ l
130	Kanauri	the bird	337647	937	326	bird (small, kind of) (n)	kakcūṭ(h)	k a k c ū ṭ
131	Kanauri	the bird	338654	937	326	bird (small, kind of) (n)	rītōts	r ī t ō ts
132	Kanauri	the bird	337941	937	326	bird (red), a (n)	lama pyā	lama pyā
133	Kanauri	the bird	338557	937	326	bird (little)	pya◦ts	p y a ◦ ts
134	Kanauri	the blood	338502	946	129	blood (n)	pɔ̆lāts	p ɔ̆ l ā ts
135	Kanauri	the body hair (hair or fur)	338946	189	266	hair (fine, on body or clothes) (n)	spū	s p ū
136	Kanauri	the body hair (hair or fur)	338354	189	266	hair, lock of (n)	ozrū	o z r ū
137	Kanauri	the body hair (hair or fur)	338810	189	266	hair (long, loose)	s̱ẖol krā	s̱ẖol krā
138	Kanauri	the body hair (hair or fur)	338673	189	266	hair (of goat) (n)	rŏ◦möṅ	r ŏ ◦ m ö ṅ
139	Kanauri	the body hair (hair or fur)	337863	189	266	hair (n)	krā	k r ā
140	Kanauri	the bone	337515	1394	133	bone (n)	hār◦öṅ	h ā r ◦ ö ṅ
141	Kanauri	the branch	336964	1531	374	branch / bough (n)	bradʻ	b r a dʻ
142	Kanauri	the breast (female)	338837	1402	94	breast (n)	s̱ẖṭŭgʻ	s̱ ẖ ṭ ŭ gʻ
143	Kanauri	the cloud	337627	1489	7	cloud (n)	jū	j ū
144	Kanauri	the daughter	337112	1357	222	daughter / daughter of brother's (n)	cimedʻ	c i m e dʻ
145	Kanauri	the dew	338351	1977	15	dew (n)	ōs̱ẖöṅ	ōs̱ ẖ ö ṅ
146	Kanauri	the dog	337017	2009	289	dog (large Tibetan) (n)	ca kŭī	ca kŭī
147	Kanauri	the dog	337881	2009	289	dog (n)	kŭī	k ŭ ī
148	Kanauri	the dog	337882	2009	289	dogs (n)	kŏē	k ŏ ē
149	Kanauri	the dream	338040	2374	699	dream (n)	maṅ	m a ṅ
150	Kanauri	the dream	338047	2374	699	dream (vi)	maṅ◦migʻ	m a ṅ ◦ m i gʻ
151	Kanauri	the dust	336920	2	45	dirt / dust (n)	bŏna	b ŏ n a
152	Kanauri	the dust	338552	2	45	dust (n)	pŭrcūṭiṅ	p ŭ r c ū ṭ i ṅ
