NUMBER	GLOSS	CINDEX	CGLOSS	MATCH_QUALITY
303	mad person	0206	person w / pockmarked face (noun)	5

304	lame person	0203	lame person (noun)	2

305	carpenter	0185	carpenter (noun)	2

306	official	0199	official (government) (noun)	3

307	soldier	0179	soldier (noun)	2

308	army	0	???	8

309	worker	0	???	8

310	farmer	0	???	8

311	doctor	0181	doctor (noun)	2

312	teacher	0	???	8

313	student	0	???	8

314	nationality	0	???	8

315	Chinese	0165	Chinese (Han) (noun)	3

316	autonym	0	???	8

317	grandfather	0216	grandfather (noun)	2

318	grandmother	0217	grandmother (noun)	2

319	father	0218	father (noun)	2

320	mother	0219	mother (noun)	2

321	uncle (paternal, elder)	0230	uncle <father's elder brother> (noun)	2
321	uncle (paternal, elder)	0	???	8

322	aunt (paternal, elder)	0239	aunt <mother's brother's wife> (noun)	2
322	aunt (paternal, elder)	0	???	8

323	uncle (paternal, younger)	0230	uncle <father's elder brother> (noun)	2
323	uncle (paternal, younger)	0	???	8

324	aunt (wife of younger paternal	0239	aunt <mother's brother's wife> (noun)	2

325	uncle (paternal aunt's husband	0230	uncle <father's elder brother> (noun)	2

326	aunt (paternal)	0239	aunt <mother's brother's wife> (noun)	2

327	uncle (maternal)	0230	uncle <father's elder brother> (noun)	2

328	aunt (wife of maternal uncle)	0239	aunt <mother's brother's wife> (noun)	2

329	uncle (maternal aunt's husband	0230	uncle <father's elder brother> (noun)	2

330	aunt (maternal)	0239	aunt <mother's brother's wife> (noun)	2

331	father-in-law	0245	father-in-law (noun)	2

332	mother-in-law	0246	mother-in-law (noun)	2

333	brother (elder)	0228	younger brother (noun)	5

334	sister (elder)	0227	elder sister (noun)	5

335	brother (younger)	0228	younger brother (noun)	5

336	sister (younger)	0227	elder sister (noun)	5

337	husband	0247	husband (noun)	2

338	wife	0248	wife (noun)	2

339	son	0220	son (noun)	2

340	daughter	0222	daughter (noun)	2

341	daughter-in-law	0221	daughter-in-law (noun)	2

342	son-in-law	0223	son-in-law (noun)	2

343	nephew	0234	nephew <brother's son> (noun)	3

344	niece	0	???	8

345	grandson	0224	grandson (noun)	2

346	granddaughter	0225	granddaughter (noun)	2

347	relative	0	???	8

348	house	0494	house (noun)	2

349	home	0	???	8

350	wall	0510	wall (noun)	2

351	pole	0618	pole (carrying / shoulder) (noun)	2

352	beam	0518	beam (of building) (noun)	2

353	door	0516	door (front) / door (entrance) (noun)	2

354	window	0517	window (noun)	2

355	fireplace	0	???	8

356	lime	0	???	8

357	brick	0508	brick (noun)	2

358	tile	0509	tile (noun)	2

359	board / plank	0512	plank / board (noun)	2

360	nail (tool)	0580	nail / tack (noun)	2

361	city	0	???	8

362	village	0066	village (noun)	2

363	temple	0069	temple (noun)	2

364	grave	0	???	8

365	granary	0	???	8

366	vegetable garden	0420	vegetable (noun)	5

367	enclosure	0	???	8

368	nest	0327	nest (bird) (noun)	2

369	scarf for the head / turban	0788	initially / beginning, in the	7
369	scarf for the head / turban	0474	head-cloth / turban (noun)	2

370	hat	0475	hat (noun)	2

371	hat (bamboo)	0475	hat (noun)	2

372	earring	0	???	8

373	bracelet	0487	bracelet (noun)	2

374	wristwatch	0	???	8

375	ring	0486	ring (noun)	2

376	clothes	0	???	8

377	sleeve	0469	sleeve (noun)	2

378	raincoat (of leaves, hemp fibe	0	???	8
378	raincoat (of leaves, hemp fibe	0419	hemp (noun)	7

379	pants / trousers	0471	pants / trousers (noun)	2

380	skirt	0472	skirt (noun)	2

381	legging	0	???	8

382	shoe	0479	shoe (noun)	2

383	socks	0	???	8

384	mosquito net	0360	mosquito (noun)	5

385	quilt	0	???	8

386	mat	0491	mat (noun)	2

387	pillow	0490	pillow (noun)	2

388	cloth	0473	cloth (colorful, worn on the head) (noun)	2

389	silk (cloth)	0463	silk (noun)	2

390	rice (uncooked)	0403	rice (paddy) (noun)	2

391	flour	0442	flour (noun)	2

392	rice (cooked)	0403	rice (paddy) (noun)	2

393	breakfast	0	???	8

394	lunch	0	???	8

395	dinner	0	???	8

396	gruel	0441	gruel / porridge (noun)	2

397	oil	0445	oil (animal) (noun)	2

398	salt	0061	salt (noun)	2

399	meat / flesh	0443	meat (noun)	2
399	meat / flesh	0128	flesh / muscle (noun)	2

400	dish	0554	plate / dish (noun)	2

401	soup	0451	soup (noun)	2

402	liquor	0	???	8

403	noodles	0	???	8

404	sugar	0449	sugar (noun)	2

405	bran	0457	chaff / bran (noun)	2

406	husk	0	???	8

407	feed	0460	fodder / feed (horse) (noun)	2

408	ax	0	???	8

409	knife	0549	knife (noun)	2

410	sickle	0624	sickle (noun)	2

411	flail	0	???	8

412	hoe	0617	hoe (noun)	2

413	wedge	0620	wedge (noun)	2

414	plough	1347	plough / till (verb)	2

415	rake	1132	rake (the fields)	2

416	yoke	0599	yoke (noun)	2

417	loom	0632	loom (noun)	2

418	spade	0	???	8

419	saw	0608	saw (noun)	2

420	needle	0578	needle (noun)	2

421	thread	0461	thread (noun)	2

422	rope	0619	rope / string (noun)	2

423	gun	0635	gun / rifle (noun)	2

424	cannon	0	???	8

425	bullet	0	???	8

426	gunpowder	0640	gunpowder (noun)	2

427	bow (weapon)	0636	bow (for arrow) (noun)	2

428	arrow	0637	arrow (noun)	2

429	stick	0586	rod / stick (noun)	2

430	whip	0597	whip (noun)	2

431	saddle	0588	saddle (noun)	2

432	dustpan / winnowing sieve	0	???	8
432	dustpan / winnowing sieve	1603	sieve / sift (verb)	7

433	sieve	0629	sieve / sifter (noun)	2

434	mill	0	???	8

435	pestle	1201	pestle / pound (verb)	2

436	mortar	0627	mortar (noun)	2

437	basket (bamboo, large)	0622	basket carried on the back (noun)	6
437	basket (bamboo, large)	0	???	8

438	lock	0584	lock (noun)	2

439	key	0585	key (noun)	2

440	broom	0532	broom (noun)	2

441	pot / wok	0559	kettle / pot (noun)	2
441	pot / wok	0545	wok (large, iron) / pan (noun)	2

442	lid	0547	lid / cover (noun)	2

443	barrel / pail / bucket	0	???	8
443	barrel / pail / bucket	0856	bucket (of water)	2

444	hoop	0563	hoop / band (noun)	2

445	washbasin	0	???	8

446	chopper	0633	chopper (noun)	2

447	bowl	0881	bowl (of tobacco)	2

448	chopsticks	0555	chopsticks (noun)	2

449	plate	0554	plate / dish (noun)	2

450	cup	0	???	8

451	bottle	0556	bottle (noun)	2

452	table	0524	table (noun)	2

453	chair	0	???	8

454	stool	0525	stool / bench (noun)	2

455	bed	0526	bed (noun)	2

456	ladder	0582	ladder (noun)	2

457	trunk / box	0527	chest / box / trunk (noun)	2
457	trunk / box	0529	box / case (noun)	2

458	mirror	0531	mirror (noun)	2

459	comb	0481	comb (noun)	2

460	scissors	0581	scissors (noun)	2

461	brush	0	???	8

462	soap	0530	soap (noun)	2

463	lamp	0533	light / lamp (noun)	2

