NUMBER	GLOSS	CINDEX	CGLOSS	MATCH_QUALITY
663	wrap	1142	wrap (verb)	3

664	tie (e.g. firewood)into a bund	0924	several / few, a	7

665	load (verb)	0880	load on an animal's back	6

666	stuff (hole) up	1623	rise / go up (verb)	7

667	bury (something)	1515	bury (verb)	3

668	hide	1169	hide (sthg.)	2

669	pick / select	1675	choose / pick (verb)	3
669	pick / select	0	???	8

670	pile up (e.g. earth)	1511	pile / stack up (verb)	5

671	press	1745	press / push down (verb)	2

672	hammer (nail in)	0606	hammer (noun)	2

673	light (candle)	0533	light / lamp (noun)	2

674	want	1755	want / need (verb)	2

675	get	1263	get / acquire (verb)	2

676	take back / put away	0713	back	5
676	take back / put away	1663	escape / run away (verb)	5

677	lose / misplace	1136	lose / defeated	2
677	lose / misplace	0	???	8

678	search	0	???	8

679	use	1803	use or lean on (a walking stic (verb)	2

680	play	1703	play / amuse oneself (verb)	2

681	win	1760	win (verb)	3

682	lose (a game)	1136	lose / defeated	2

683	sing	1184	sing	1

684	dance	0657	dance (noun)	2

685	celebrate new year	1362	celebrate (the New Year) (verb)	5

686	hunt	1230	hunt	1

687	surround	0	???	8

688	shoot	0380	sprout / shoot (noun)	2

689	hit (target)	1228	hit (a person)	2

690	ask / inquire	1708	ask / question (verb)	2
690	ask / inquire	0	???	8

691	answer	1389	answer / reply (verb)	2

692	borrow / lend	1443	borrow (tools) (verb)	3
692	borrow / lend	0	???	8

693	return	1386	return, cause to (verb)	2

694	give / send / deliver	1345	give (verb)	3
694	give / send / deliver	1542	send / dispatch (a person) (verb)	2
694	give / send / deliver	0	???	8

695	exchange	1419	exchange (verb)	3

696	marry (a man)	1441	marry (verb)	3

697	marry (a woman)	1441	marry (verb)	3

698	tell	1337	tell (verb)	3

699	help	1140	help	1

700	save / rescue	1451	rescue / save (verb)	3
700	save / rescue	1451	rescue / save (verb)	2

701	treat / cure	1563	bully / treat s.b. rough (verb)	6
701	treat / cure	0	???	8

702	give out / distribute	1586	make way for / give way (verb)	5
702	give out / distribute	0	???	8

703	divide	1319	divide / share (things) (verb)	2

704	owe	1569	owe (money) (verb)	3

705	pay indemnity to	1233	war, go to / battle (verb)	7

706	wait	1264	wait (verb)	3

707	encounter / meet	0	???	8
707	encounter / meet	1769	meet / come across (verb)	2

708	scold	1514	scold (verb)	3

709	fight	1796	fight / vie for (verb)	2

710	hit / beat	1228	hit (a person)	2
710	hit / beat	1220	beat / thump	2

711	escape	1663	escape / run away (verb)	2

712	chase / run after	1811	chase after (verb)	6
712	chase / run after	0782	year after next	5

713	drive away	1576	drive out / expel (verb)	5

714	rob	1570	rob / loot (verb)	2

715	steal	1686	steal (verb)	3

716	cheat / swindle	1564	deceive / cheat (verb)	3
716	cheat / swindle	0	???	8

717	laugh	1735	laugh / smile (verb)	2

718	weep	0	???	8

719	love	1126	love / like	2

720	like	1126	love / like	2

721	believe	1725	believe / trust (verb)	2

722	know	1798	know (verb)	3

723	understand	1282	understand / grasp (verb)	2

724	guess	1165	guess (a riddle)	2

725	remember	1727	recall / remember (verb)	3

726	forget	1704	forget (verb)	3

727	think	1726	think (verb)	3

728	angry	1621	angry, be / take offense (verb)	2

729	hate	1373	hate (verb)	3

730	fear	0	???	8

731	dare	1335	dare (verb)	3

732	know (a language) / can / be abl	1798	know (verb)	3
732	know (a language) / can / be abl	1195	hold, can	2
732	know (a language) / can / be abl	0	???	8

733	be / copula	1712	accustomed to, be / habit of, ha (verb)	2
733	be / copula	0	???	8

734	NEG+copula	0	???	8

735	have	1232	hit, have (the target)	2

736	NEG+have	0	???	8

737	come	1491	come (verb)	3

738	go	1334	go (to market / a fair) (verb)	2

739	return / go back	1386	return, cause to (verb)	2
739	return / go back	0713	back	5

740	arrive	1262	arrive (verb)	3

741	cross (river)	1363	cross (a bridge) (verb)	2

742	pass by	1448	pass / go by (verb)	5

743	ascend	0	???	8

744	descend	1418	land / descend (verb)	3

745	exit	0	???	8

746	enter	1447	enter (a house) (verb)	3

747	retreat	1691	back up / retreat (verb)	3

748	exist / be present	0	???	8
748	exist / be present	0684	gift / present (noun)	2

749	dry in the sun	1604	dry (clothes) in the sun (verb)	5

750	rain (verb)	0010	rain (noun)	3

751	rise (of the sun)	1567	rise / stand up (verb)	2

752	set (of the sun)	1512	set (of the sun) (verb)	3

753	blow (of wind)	1218	blow (the trumpet)	2

754	flash (of lightning)	0	???	8

755	thunder (verb)	1248	thunder (verb)	1

756	flow	1502	flow (of water) (verb)	3

757	overflow	1758	overflow / spill (verb)	2

758	float	1553	float (verb)	3

759	crack (verb)	0694	crack / rift / fissure (noun)	3

760	collapse	1657	collapse / cave in / fall down (verb)	2

761	chipped	0	???	8

762	roll (e.g. rock)	0872	roll (of cloth)	2

763	rotate / spin	0	???	8
763	rotate / spin	1313	spin (into yarn) (verb)	3

764	drop / fall	0885	drop (of oil)	2
764	drop / fall	0793	fall / autumn (noun)	2

765	break (v.i. of rope, etc.)	1293	snap / break (a stick) (verb)	2
765	break (v.i. of rope, etc.)	0	???	8

766	break	1292	break / snap (stick)	2

767	soak / immerse(e.g. seed)	1444	soak / steep (verb)	2
767	soak / immerse(e.g. seed)	1446	immerse / submerge (verb)	2

768	ladle / dredge	0551	ladle (noun)	2
768	ladle / dredge	1492	drag for / dredge up (verb)	5

769	leak	1506	leak (verb)	3

770	drip	0	???	8

771	boil	0123	sore / boil (noun)	2

772	melt	0	???	8

773	change / transform	1158	change	2
773	change / transform	0	???	8

774	birth, give	1717	birth, give to (piglets) (verb)	2
774	birth, give	1345	give (verb)	3

775	grow	1617	grow (verb)	3

776	ill / sick	1160	ill, to be	2
776	ill / sick	0	???	8

777	tremble	1303	shiver / tremble (verb)	3

778	swollen	0	???	8

779	drunk	1818	drunk, be (verb)	2

780	die	1651	die (verb)	3

781	alive	1396	alive, become / active (verb)	2

782	fly (verb)	1318	fly (verb)	1

783	bark (verb)	1432	bark (verb)	1

784	crow (verb)	1426	crow (of cocks) (verb)	2

785	lay (egg)	1562	pave / lay (verb)	3

786	hatch	1326	hatch / incubate (verb)	2

787	sting (verb)	1793	sting (of wasps) (verb)	2

788	bud (verb)	0381	bud (noun)	3

789	bloom	0	???	8

790	bear fruit	0378	fruit (noun)	5

791	wither	1272	wither (verb)	3

792	rot / spoil	1330	rot (verb)	3
792	rot / spoil	1655	damage / spoil (verb)	3

793	begin	1465	start / begin (verb)	3

794	manage	1358	manage / control (verb)	2

795	hold a meeting	0924	several / few, a	7

796	protect	1147	protect	1

797	win / triumph	1760	win (verb)	3
797	win / triumph	0	???	8

798	lose	1136	lose / defeated	2

799	oppose	1311	oppose (verb)	3

800	big	0964	big / large	2

801	small	0965	small	1

802	high / tall	0968	high / tall	1

803	low	0969	low / short	2

804	deep	0982	deep	1

805	shallow	0983	shallow	1

806	pointed	0992	pointed	1

807	round	0	???	8

808	square	0874	square (area unit for selling cloth)	2

809	long	0972	long	1

810	short	0973	short	1

811	thick	0980	thick	1

812	thin (slender)	1031	watery / thin (porridge)	2

813	thick	0980	thick	1

814	thin	1026	thin	1

815	wide	0966	wide (in diameter) / coarse	2

816	narrow	0977	narrow	1

817	far	0974	far / distant	2

818	near	0975	near	1

819	many / much	0987	many / much	1

820	little / few	0988	few / little	2
820	little / few	0924	several / few, a	2

821	straight	1003	straight	1

822	crooked	1004	curved / crooked / bent	2

823	horizontal	1001	horizontal	1

824	upright	0	???	8

825	flat / level(land)	0994	level / flat	2

826	steep	1444	soak / steep (verb)	3

827	right, just, upright	0996	right / obverse side (noun)	2
827	right, just, upright	0	???	8

828	slanting, not upright	1000	askew / awry / slanting	2
828	slanting, not upright	1519	have, do not (verb)	7

829	light	0533	light / lamp (noun)	2

830	heavy	1014	heavy	1

831	hard	1034	hard	1

832	soft	1035	soft	1

833	bright	1012	bright	1

834	dark	1013	dark	1

835	sunny	1670	clear, be (weather) / sunny (verb)	3

836	cloudy	1669	cloudy, be (sky) / overcast (verb)	2

837	red	1007	red	1

838	yellow	1008	yellow	1

839	blue	1010	blue	1

840	white	1006	white	1

841	black	1005	black	1

842	green	1009	green	1

843	multicolored	1098	multicolored / patterned (cloth)	2

844	thick	0980	thick	1

845	thin (watery)	1031	watery / thin (porridge)	2

846	full	0984	full	1

847	beautiful	1060	beautiful	1

848	ugly	1061	ugly	1

849	fat (of people)	1025	fat (pig)	2

850	fat (meat)	1025	fat (pig)	2

851	lean (meat)	1803	use or lean on (a walking stic (verb)	5

852	thin (of people)	1031	watery / thin (porridge)	2

853	clean	1085	clean	1

854	dirty	1086	dirty	1

855	clear (water)	1022	clear (water)	1

856	turbid / muddy	1023	muddy / turbid	2

857	old (of people)	1051	used / old	2

858	young	1059	young	1

859	tender	1057	tender young (plant)	5

860	good	1052	good	1

861	bad	1053	bad	1

862	fast	1016	quick / fast	2

863	slow	1017	slow	1

864	dry	1028	dry	1

865	wet	1029	wet	1

866	new	1050	new	1

867	old (things)	1051	used / old	2

868	raw	1049	uncooked / raw	2

869	cooked	1637	cooked, be (rice) / done (verb)	2

870	sharp	1020	sharp	1

871	blunt	1021	blunt / dull	2

872	early	1018	early	1

873	late	1019	late	1

874	true	1047	true	1

875	false	1048	false	1

876	expensive	1054	expensive	1

877	cheap	1055	cheap	1

878	easy	1068	easy	1

879	difficult	1067	difficult	1

880	loose / lax	1041	lax / loose / slack	2

881	tight	1040	tense / tight / taut	2

882	smooth	1037	smooth / glossy / sleek	2

883	hot	1062	hot	1

884	cold	1063	cold (weather, water)	2

885	warm	1065	warm	1

886	cool	1066	cool, pleasantly	2

887	sour	1072	sour	1

888	sweet	1073	sweet	1

889	bitter	1074	bitter	1

890	hot (spicy)	1075	hot / spicy	2

891	salty	1076	salty	1

892	fragrant	1069	fragrant (smell)	2

893	delicious	1091	tasty / delicious	2

894	stinky	0	???	8

895	fishy	0	???	8

896	full / satiated	0984	full	2
896	full / satiated	0	???	8

897	hungry	1298	hungry, be (verb)	2

898	thirsty	1478	thirsty, be (verb)	2

899	tired	1495	tired, be / fatigued (verb)	2

900	itch	1749	itch / tickle (verb)	2

901	pain / ache	0688	pain / agony (noun)	2
901	pain / ache	1666	ache (head) (verb)	3

902	right / correct	1045	right / correct	1

903	wrong / mistaken	1226	wrong, be	2
903	wrong / mistaken	0	???	8

904	intelligent	0	???	8

905	stupid	1100	stupid	1

906	diligent	0	???	8

907	lazy	1112	lazy	1

908	glad	0	???	8

909	poor	1084	poor	1

910	rich	1083	rich	1

911	one	0797	one	1

912	two	0798	two	1

913	three	0799	three	1

914	four	0800	four	1

915	five	0801	five	1

916	six	0802	six	1

917	seven	0803	seven	1

918	eight	0804	eight	1

919	nine	0805	nine	1

920	ten	0806	ten	1

921	eleven	0807	eleven	1

922	twelve	0808	twelve	1

923	thirteen	0809	thirteen	1

924	fourteen	0810	fourteen	1

925	fifteen	0811	fifteen	1

926	sixteen	0812	sixteen	1

927	seventeen	0813	seventeen	1

928	eighteen	0814	eighteen	1

929	nineteen	0815	nineteen	1

930	twenty	0816	twenty	1

931	twenty-one	0	???	8

932	thirty	0817	thirty	1

933	forty	0818	forty	1

934	fifty	0819	fifty	1

935	sixty	0820	sixty	1

936	seventy	0821	seventy	1

937	eighty	0822	eighty	1

938	ninety	0823	ninety	1

939	hundred	0824	hundred	1

940	thousand	0826	thousand	1

941	ten thousand	0827	ten thousand	1

942	hundred million	0830	ten million	5

943	zero	0	???	8

944	first	0833	first	1

945	fifth	0	???	8

946	eighth	0	???	8

947	half	0832	half	1

948	classifier for people	0835	classifier for people	1

949	classifier for e.g. bowls	0841	classifier for eggs	5

950	classifier for trees	0848	classifier for trees	1

951	classifier for animals	0841	classifier for eggs	5

952	classifier for objects with ha	0841	classifier for eggs	5

953	classifier for long objects	0841	classifier for eggs	5

954	classifier for long, thin obje	0841	classifier for eggs	5
954	classifier for long, thin obje	1031	watery / thin (porridge)	7

955	classifier for grains	0841	classifier for eggs	5

956	drop	0885	drop (of oil)	2

957	classifier for clothes	0841	classifier for eggs	5

958	pair	0866	pair (of rabbits)	2

959	fathom=6 feet	0	???	8

960	handspan	0	???	8

961	inch	0905	inch	1

962	foot (measure)	0103	foot (noun)	2

963	acre	0	???	8

964	dry measure / pint	0893	measure of weight (=1 / 2 kilogram)	5
964	dry measure / pint	0	???	8

965	dry measure / peck / =10 shēng	0893	measure of weight (=1 / 2 kilogram)	5
965	dry measure / peck / =10 shēng	1814	peck at (rice; of a chicken) (verb)	5
965	dry measure / peck / =10 shēng	0	???	8

966	tael	0894	tael (=50 grams)	2

967	catty=500 grams	0	???	8

968	monetary unit / dollar	0	???	8

969	I	0928	I	1

970	we two	0798	two	5

971	we	0930	we	1

972	we (inclusive)	0937	we (inclusive)	1

973	you (sg.)	0931	you	2

974	you two	0932	you two	1

975	you (pl.)	0933	you (pl.)	1

976	he / she	0934	he	2
976	he / she	0	???	8

977	they two	0935	they two	1

978	they	0936	they	1

979	self	0	???	8

980	others	0960	others / miscellaneous	2

981	this	0942	this	1

982	here	0944	here	1

983	that	0947	that	1

984	there	0950	there	1

985	who	0953	who	1

986	what	0954	what	1

987	which	0	???	8

988	where	0955	where	1

989	how many / much	0958	how many / how much	2
989	how many / much	0987	many / much	2

990	just now	0	???	8

991	first	0833	first	1

992	later (in time)	0	???	8

993	immediately / right away	0	???	8
993	immediately / right away	0996	right / obverse side (noun)	5

994	often	0	???	8

995	slowly	0	???	8

996	fast (adv.)	1016	quick / fast	3

997	very	0	???	8

998	most (superlative degree)	0	???	8

999	all / even	0962	all / everything	2
999	all / even	0	???	8

1000	also	0	???	8

1001	again	0	???	8

1002	certainly	0	???	8

1003	NEG	0	???	8

1004	don't	0	???	8

