ID	rn	reflex	GLOSS	gfn	srcabbr	lgid	language	srcid
94	478807	ʔa.bu	friend, wife's younger brother? (arch.)	nk.	RC-DOC	1977	Chepang	
95	478808	ʔa.bhərʔ	place (cos.) between earth and underworld	nn.	RC-DOC	1977	Chepang	
96	478809	ʔa.məy	mother-in-law (term of address) (<N)	nk.	RC-DOC	1977	Chepang	
97	478810	ʔa.ma	mother	nk.	RC-DOC	1977	Chepang	
98	478811	ʔa.ma.pa	parents	nk.	RC-DOC	1977	Chepang	
99	478812	ʔa.ya	exclamation of distress, fear	excl.	RC-DOC	1977	Chepang	
100	478813	-ʔa.la	Past Tense (with First Person) {-ʔa.ka}	fn.	RC-DOC	1977	Chepang	
101	478814	ʔa.lawʔ-	contest, tease (in song), challenge	vi.	RC-DOC	1977	Chepang	
102	478815	ʔa.limʔ	Dubitative; perhaps (arch.)	fn.	RC-DOC	1977	Chepang	
103	478816	(-)ʔa.le	Restricted Reference; only, just	fn.	RC-DOC	1977	Chepang	
104	478817	ləyʔ.ʔa.le	alone	advb.	RC-DOC	1977	Chepang	
105	478818	ʔa.saŋ	place overhead, out of reach, upper storey, a place above the sky	n.	RC-DOC	1977	Chepang	
106	478819	ʔa.sam	Partial Certainty; it should be, perhaps	fn.	RC-DOC	1977	Chepang	
107	478820	ʔa.sik	blessing (<N)	n.	RC-DOC	1977	Chepang	
108	478821	ʔa.syur.(ʔi)	rival shaman (ch.) (<N asur demon)	n.	RC-DOC	1977	Chepang	
109	478822	ʔa.himʔ	vitality, inner being, desires, thoughts	n.	RC-DOC	1977	Chepang	
110	478823	ʔa.hre	uselessly, vainly, foolishly	adv.	RC-DOC	1977	Chepang	
111	478824	ʔa.hre.be.la	tree (sp.), with yellow flowers, ripe seed used for diarrhoea, unripe for constipation: Himalayan Laburnum, Cassia fistula	n.	RC-DOC	1977	Chepang	
112	478825	ʔaʔ.taʔ	Antecedent; first; (with Negative) without	fn.	RC-DOC	1977	Chepang	
113	478826	(-)ʔaʔ.le	Restrictive Reference; only, just	fn.	RC-DOC	1977	Chepang	
