OMEGAWIKI	IPA	TOKENS	SCAID	SOURCE	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	ALIGNMENT
5993	ŋa₄₄	ŋ a ₄₄	59	Allen2007, 262	bite / 咬	ŋa44	ŋ a ₄₄
6043	sɛ₄₄	s ɛ ₄₄	154	Allen2007, 294	cut,reap / 割	sɛ44	s ɛ ₄₄
5511	wẽ₃₃	w ẽ ₃₃	272	Allen2007, 127	eye / 眼	wẽ33	w ẽ ₃₃
1487	xo₃₅	x o ₃₅	337	Allen2007, 118	flower / 花	xo35	x o ₃₅
2124	se₄₄	s e ₄₄	580	Allen2007, 116	leaf / 叶	se44	s e ₄₄
5468	mi₃₃tɯ₃₅	m i ₃₃ t ɯ ₃₅	1198	Allen2007, 88	tail / 尾巴	mi33tɯ35	m i ₃₃ t ɯ ₃₅
6040	ma₃₃	m a ₃₃	370	Allen2007, 412	full / 满	ma33	m a ₃₃
333730	ni₂₁kɛ̃₃₅	n i ₂₁ k ɛ̃ ₃₅	852	Allen2007, 155	person / 人	ni21kɛ̃35	n i ₂₁ k ɛ̃ - ₃₅ - - -
858309	zou₃₃	z o u ₃₃	1224	Allen2007, 362	there is / 有	zou33	z o u ₃₃
5990	pɔu₄₂	p ɔ u ₄₂	1252	Allen2007, 395	thin,flimsy / 薄	pɔu42	p ɔ u ₄₂
436024	t͡sɛ̃₄₂sɛ̃₂₁	t͡s ɛ̃ ₄₂ s ɛ̃ ₂₁	926	Allen2007, 28	right(side) / 右边	tsɛ̃42sɛ̃21	t͡s ɛ̃ ₄₂ s ɛ̃ ₂₁
6193	t͡ɕou₃₃	t͡ɕ o u ₃₃	787	Allen2007, 458	nine / 九	tɕou33	t͡ɕ o u ₃₃
5484	ɕĩ₅₅	ɕ ĩ ₅₅	786	Allen2007, 421	new / 新	ɕĩ55	ɕ ĩ ₅₅
7003	fɤ₄₄	f ɤ ₄₄	1030	Allen2007, 455	six / 六	fɤ44	f ɤ ₄₄
5616	sou₃₃	s o u ₃₃	423	Allen2007, 135	hand / 手	sou33	s o u ₃₃
6519	t͡sʰɛ̃₃₃	t͡sʰ ɛ̃ ₃₃	1047	Allen2007, 288	sleep / 睡	tsʰɛ̃33	t͡sʰ ɛ̃ ₃₃
6051	t͡sʰɿ₅₅	t͡sʰ ɿ ₅₅	1106	Allen2007, 264	spit / 吐（痰）	tsʰɿ55	t͡sʰ ɿ ₅₅
1173416	t͡ɕʰuɛ₅₅	t͡ɕʰ u ɛ ₅₅	9	Allen2007, 499	all / 都	tɕʰuɛ55	t͡ɕʰ u ɛ ₅₅
5987	ji₃₁	j i ₃₁	1000	Allen2007, 425	sharp(knife) / 快(刀)	ji31	j i ₃₁
630453	mɔ₄₄t͡sɿ₃₃	m ɔ ₄₄ t͡s ɿ ₃₃	714	Allen2007, 80	mosquito / 蚊子	mɔ44tsɿ33	m ɔ - ₄₄ t͡s ɿ ₃₃
5481	ji₃₁pɛ₂₁	j i ₃₁ p ɛ ₂₁	211	Allen2007, 20	earth / 地	ji31pɛ21	j i ₃₁ p ɛ ₂₁
619975	kʲɛ₃₅	kʲ ɛ ₃₅	867	Allen2007, 293	plant(seed) / 栽种	kʲɛ35/tɕɛ̃42	kʲ ɛ ₃₅
5456	na₅₅	n a ₅₅	1468	Allen2007, 478	you(2 p.p.) / 你们	na55	n a ₅₅
332000	y₃₃	y ₃₃	745	Allen2007, 130	mouth / 嘴	y33	y ₃₃
5990	mɔu₄₂	m ɔ u ₄₂	1250	Allen2007, 393	fine,thin / 细	mɔu42	m ɔ u ₄₂
5491	a₅₅le₃₁xɔ₄₄	a ₅₅ l e ₃₁ x ɔ ₄₄	1401	Allen2007, 489	what / 什么	a55le31xɔ44	a ₅₅ l e ₃₁ x ɔ ₄₄
5475	ɕĩ₅₅	ɕ ĩ ₅₅	436	Allen2007, 149	heart / 心	ɕĩ55	ɕ ĩ ₅₅
1149393	na₅₅	n a ₅₅	1204	Allen2007, 486	that / 那	na55	n a ₅₅
3258	tʰu₃₃	tʰ u ₃₃	838	Allen2007, 171	road / 路	tʰu33	tʰ u ₃₃
5459	nɔ₃₁	n ɔ ₃₁	1260	Allen2007, 477	you(2 p.s.) / 你	nɔ31	n ɔ ₃₁
2300	kʲɛ₂₁	kʲ ɛ ₂₁	684	Allen2007, 201	meat / 肉	kʲɛ21	kʲ ɛ ₂₁
411	sua₄₄	s u a ₄₄	75	Allen2007, 145	blood / 血	sua44	s u a ₄₄
5981	kɯ₃₃	k ɯ ₃₃	473	Allen2007, 87	horn / 角	kɯ33	k ɯ ₃₃
471303	kã₅₅t͡sɔ₄₂sou₃₃	k ã ₅₅ t͡s ɔ ₄₂ s o u ₃₃	553	Allen2007, 291	labour / 劳动	kã55tsɔ42sou33	k ã ₅₅ t͡s ɔ - ₄₂ s o u ₃₃
6071	t͡ɕi₄₄	t͡ɕ i ₄₄	875	Allen2007, 275	pull / 拉	tɕi44/tɕẽ35	t͡ɕ i ₄₄
5729	mi₃₅wã₄₄	m i ₃₅ w ã ₄₄	703	Allen2007, 3	moon / 月亮	mi35wã44	m i ₃₅ w ã ₄₄ - - -
5991	ẽ₃₃	ẽ ₃₃	174	Allen2007, 261	drink / 喝	ẽ33	ẽ ₃₃
5946	t͡sɿ₃₃pa₄₄	t͡s ɿ ₃₃ p a ₄₄	1305	Allen2007, 131	tooth / 牙	tsɿ33pa44	t͡s ɿ ₃₃ p a ₄₄
5622	kũã₃₃t͡sʰɛ̃₃₃	k ũ ã ₃₃ t͡sʰ ɛ̃ ₃₃	289	Allen2007, 285	fall down / 跌倒	kũã33tsʰɛ̃33	k ũ ã ₃₃ t͡sʰ ɛ̃ ₃₃
