# Wordlist

# DATA
ID	ABVD	ALIGNMENT	BORROWED	BORROWING	CHINESE	COGID	CONCEPT	DOCULECT	DUPLICATES	ENTRY_IN_SOURCE	GLOSS_IN_SOURCE	HANZI	IELEX	IPA	MORPHEME_STRUCTURE	NOTE	OMEGAWIKI	PARADIGM_1	PARADIGM_2	PARADIGM_3	PARADIGM_4	POS	SCAID	SOURCE	SUBGROUP	SWADESH_1952	SWADESH_1955	TOKENS	TOWEROFBABEL	WOLD	STEDT_TAXON_NAME	STEDT_RN	REFLEX	LGID	GFN	SRCID	SRCABBR	RGEN	STEDT_GLOSS
19711						0	the stone (a piece of)	Yi_Wuding						ȵi̱²									0	STEDT/TBL	Northern Loloish			ȵ i̱ ²			Yi (Wuding)	56378	ȵi̱²	1835	n	0379.38	TBL	364424	pit / stone
20196						0	the stone (a piece of)	Queyu_Xinlong						ɕe⁵⁵tye⁵⁵ʃə⁵⁵rə⁵⁵									0	STEDT/TBL	Qiangic			ɕ e ⁵⁵ ◦ t y e ⁵⁵ ◦ ʃ ə ⁵⁵ ◦ r ə ⁵⁵			Queyu (Xinlong)	7945	ɕe⁵⁵tye⁵⁵ʃə⁵⁵rə⁵⁵	1808	n	0379.13	TBL	364399	pit / stone
20518						0	the stone (a piece of)	Nung						luŋ⁵⁵									0	STEDT/TBL	Nungic			l u ŋ ⁵⁵			Nung	24843	luŋ⁵⁵	1817	n	0379.21	TBL	364407	pit / stone
20753						0	the stone (a piece of)	Namuyi						sɿ⁵⁵pu³¹quo³¹									0	STEDT/TBL	Qiangic			s ɿ ⁵⁵ ◦ p u ³¹ ◦ q u o ³¹			Namuyi	72853	sɿ⁵⁵pu³¹quo³¹	1844	n	0379.46	TBL	364432	pit / stone
20991						0	the stone (a piece of)	Gazhuo						ŋ³⁵ma³³									0	STEDT/TBL	Northern Loloish			ŋ ³⁵ ◦ m a ³³			Gazhuo	74674	ŋ³⁵ma³³	1845	n	0379.47	TBL	364433	pit / stone
21007						0	the stone (a piece of)	Yi_Sani						n̩⁴⁴									0	STEDT/TBL	Central Loloish			n̩ ⁴⁴			Yi (Sani)	58310	n̩⁴⁴	1836	n	0379.39	TBL	364425	pit / stone
21516						0	the stone (a piece of)	Darang_Taraon						lɯm⁵⁵									0	STEDT/TBL	Deng			l ɯ m ⁵⁵			Darang [Taraon]	26324	lɯm⁵⁵	1818	n	0379.22	TBL	364408	pit / stone
21640						0	the stone (a piece of)	rGyalrong_Maerkang						wui mo									0	STEDT/TBL	rGyalrong			w u i _ m o			rGyalrong (Maerkang)	4105	wui mo	1806	n	0379.11	TBL	364397	pit / stone
22061						0	the stone (a piece of)	Bai_Jianchuan						uɑ̱²¹									0	STEDT/TBL	Bai			u ɑ̱ ²¹			Bai (Jianchuan)	76368	uɑ̱²¹	1846	n	0379.48	TBL	364434	pit / stone
22069						0	the stone (a piece of)	Qiang_Mawo						zuə									0	STEDT/TBL	Qiangic			z u ə			Qiang (Mawo)	86459	zuə	1852	n	0379.08	TBL	364394	pit / stone
22086						0	the stone (a piece of)	Tibetan_Lhasa						khəm¹³tshi⁵²									0	STEDT/TBL	Tibetan			kh ə m ¹³ ◦ tsh i ⁵²			Tibetan (Lhasa)	20928	khəm¹³tshi⁵²	1815	n	0379.02	TBL	364437	pit / stone
22159						0	the stone (a piece of)	Tibetan_Xiahe						ȵoŋ ȵoŋ									0	STEDT/TBL	Tibetan			ȵ o ŋ _ ȵ o ŋ			Tibetan (Xiahe)	60135	ȵoŋ ȵoŋ	1837	n	0379.04	TBL	364390	pit / stone
22417						0	the stone (a piece of)	Kaman_Miju						lɯm³⁵									0	STEDT/TBL	Deng			l ɯ m ³⁵			Kaman [Miju]	27746	lɯm³⁵	1819	n	0379.23	TBL	364409	pit / stone
22637						0	the stone (a piece of)	Muya						ndʐɐ³³bu⁵⁵									0	STEDT/TBL	Qiangic			n ◦ dʐ ɐ ³³ ◦ b u ⁵⁵			Muya	11696	ndʐɐ³³bu⁵⁵	1810	n	0379.15	TBL	364401	pit / stone
23285						0	the stone (a piece of)	Lisu						e⁵⁵sɯ⁵⁵									0	STEDT/TBL	Central Loloish			e ⁵⁵ ◦ s ɯ ⁵⁵			Lisu	61898	e⁵⁵sɯ⁵⁵	1838	n	0379.40	TBL	364426	pit / stone
23315						0	the stone (a piece of)	Tujia						lu⁵⁵ka⁵⁵									0	STEDT/TBL	Tujia			l u ⁵⁵ ◦ k a ⁵⁵			Tujia	78322	lu⁵⁵ka⁵⁵	1847	n	0379.49	TBL	364435	pit / stone
23350						0	the stone (a piece of)	Bokar						a mɯ									0	STEDT/TBL	Western Tani			a _ m ɯ			Bokar	29224	a mɯ	1820	n	0379.24	TBL	364410	pit / stone
23450						0	the stone (a piece of)	Tibetan_Lhasa						nəŋ¹³tsi⁵⁵									0	STEDT/TBL	Tibetan			n ə ŋ ¹³ ◦ ts i ⁵⁵			Tibetan (Lhasa)	20927	nəŋ¹³tsi⁵⁵	1815	n	0379.02	TBL	364388	pit / stone
23886						0	the stone (a piece of)	Guiqiong						kui⁵⁵jɑ̃³¹									0	STEDT/TBL	Qiangic			k u i ⁵⁵ ◦ j ɑ̃ ∼ ³¹			Guiqiong	13623	kui⁵⁵jɑ̃³¹	1811	n	0379.16	TBL	364402	pit / stone
23981						0	the stone (a piece of)	Tibetan_Written						tshi gu									0	STEDT/TBL	Tibetan			tsh i _ g u			Tibetan (Written)	459	tshi gu	1804	n	0379.01	TBL	364387	pit / stone
24307						0	the stone (a piece of)	Tibetan_Alike						naŋ ɣȵaŋ									0	STEDT/TBL	Tibetan			n a ŋ _ ɣ ȵ a ŋ			Tibetan (Alike)	79813	naŋ ɣȵaŋ	1848	n	0379.05	TBL	364391	pit / stone
24492						0	the stone (a piece of)	Tibetan_Batang						tshɑʔ⁵³									0	STEDT/TBL	Tibetan			tsh ɑ ʔ ⁵³			Tibetan (Batang)	39765	tshɑʔ⁵³	1826	n	0379.03	TBL	364389	pit / stone
24520						0	the stone (a piece of)	Hani_Lüchun						a⁵⁵nɯ̱³³									0	STEDT/TBL	Southern Loloish			a ⁵⁵ ◦ n ɯ̱ ³³			Hani (Lüchun)	63738	a⁵⁵nɯ̱³³	1839	n	0379.41	TBL	364427	pit / stone
24592						0	the stone (a piece of)	Pumi_Jiulong						phʐɿ⁵⁵									0	STEDT/TBL	Qiangic			phʐ ɿ ⁵⁵			Pumi (Jiulong)	2448	phʐɿ⁵⁵	1805	n	0379.10	TBL	364396	pit / stone
24613						0	the stone (a piece of)	Yidu						ɑ³¹m⁵⁵									0	STEDT/TBL	Deng			ɑ ³¹ m ⁵⁵			Yidu	31102	ɑ³¹m⁵⁵	1821	n	0379.25	TBL	364411	pit / stone
24813						0	the stone (a piece of)	Zhaba_Daofu_County						vʑʌ¹³									0	STEDT/TBL	Qiangic			vʑ ʌ ¹³			Zhaba (Daofu County)	9774	vʑʌ¹³	1809	n	0379.14	TBL	364400	pit / stone
25020						0	the stone (a piece of)	Xumi						phiæ⁵³									0	STEDT/TBL	Qiangic			ph i æ ⁵³			Xumi	15286	phiæ⁵³	1812	n	0379.17	TBL	364403	pit / stone
25021						0	the stone (a piece of)	Xumi						qõ⁵³									0	STEDT/TBL	Qiangic			q õ ∼ ⁵³			Xumi	15287	qõ⁵³	1812	n	0379.17	TBL	364438	pit / stone
25397						0	the stone (a piece of)	Karen						*									0	STEDT/TBL	Karenic			*			Karen	81394	*	1849	n	0379.50	TBL	364436	pit / stone
25568						0	the stone (a piece of)	Nusu_Central						dʐi³¹									0	STEDT/TBL	Northern Loloish			dʐ i ³¹			Nusu (Central)	48852	dʐi³¹	1831	n	0379.34	TBL	364420	pit / stone
#
10283	-	j i e n ⁴⁴ - - - - - - - -			太阳	499	the sun	Dashi		jien44	sun	-	sun (164)	jien₄₄		-	5850					Noun	1162	Wang2006a, 2	Bai	sun(157)	sun(82)	j i e n ⁴⁴	sun(39)	1.52	Dashi								
10284	-	-			太阳	0	the sun	Zhaozhuang		mi⁴⁴pʰi³³pʰi³³	太阳	-	sun (164)	mi⁴⁴pʰi³³pʰi³³		-	5850					Noun	0	-	Bai	sun(157)	sun(82)	m i ⁴⁴ pʰ i ³³ pʰ i ³³	sun(39)	1.52	Zhaozhuang								
10285	-	ɲ i - - ⁴⁴ - - - - - - - -			太阳	499	the sun	Ega		ɲi44	sun	-	sun (164)	ɲi₄₄		-	5850					Noun	1163	Wang2006a, 2	Bai	sun(157)	sun(82)	ɲ i ⁴⁴	sun(39)	1.52	Ega								
10286	-	ɲ i - - ⁵⁵ - - - - - - - -			太阳	499	the sun	Enqi		ɲi55	sun	-	sun (164)	ɲi₅₅		-	5850					Noun	1163	Wang2006a, 2	Bai	sun(157)	sun(82)	ɲ i ⁵⁵	sun(39)	1.52	Enqi								
10287	-	ɲ i - - ⁴⁴ pʰ - - - - i - ³¹			太阳	499	the sun	Eryuan		ɲi44pʰi31	sun / 太阳	-	sun (164)	ɲi₄₄pʰi₃₁		-	5850					Noun	1165	Allen2007, 2	Bai	sun(157)	sun(82)	ɲ i ⁴⁴ pʰ i ³¹	sun(39)	1.52	Eryuan								
10288	-	ɲ i - - ²⁴ - - - - - - - -			太阳	499	the sun	Gongxing		ɲi24	sun	-	sun (164)	ɲi₂₄		-	5850					Noun	1163	Wang2006a, 2	Bai	sun(157)	sun(82)	ɲ i ²⁴	sun(39)	1.52	Gongxing								
10289	-	j ĩ ∼ - ⁴⁴ pʰ - - - - ĩ ∼ ³¹			太阳	499	the sun	Heqi		jĩ44pʰĩ31	sun / 太阳	-	sun (164)	jĩ₄₄pʰĩ₃₁		-	5850					Noun	1165	Allen2007, 2	Bai	sun(157)	sun(82)	j ĩ ∼ ⁴⁴ pʰ ĩ ∼ ³¹	sun(39)	1.52	Heqi								
10290	-	j ĩ ∼ - ⁴⁴ pʰ - - - - ĩ ∼ ³¹			太阳	499	the sun	Jianchuan		jĩ44pʰĩ31	sun / 太阳	-	sun (164)	jĩ₄₄pʰĩ₃₁		-	5850					Noun	1165	Allen2007, 2	Bai	sun(157)	sun(82)	j ĩ ∼ ⁴⁴ pʰ ĩ ∼ ³¹	sun(39)	1.52	Jianchuan								
10291	-	ɲ i - - ⁵⁵ - - - - - - - -			太阳	499	the sun	Jinman		ɲi55	sun	-	sun (164)	ɲi₅₅		-	5850					Noun	1163	Wang2006a, 2	Bai	sun(157)	sun(82)	ɲ i ⁵⁵	sun(39)	1.52	Jinman								
10292	-	j i e n ⁴⁴ - - - - - - - -			太阳	499	the sun	Jinxing		jien44	sun	-	sun (164)	jien₄₄		-	5850					Noun	1162	Wang2006a, 2	Bai	sun(157)	sun(82)	j i e n ⁴⁴	sun(39)	1.52	Jinxing								
10293	-	ɲ i - - ⁵⁵ - - - - - - - -			太阳	499	the sun	Luobenzhuo		ɲi55	sun / 太阳	-	sun (164)	ɲi₅₅		-	5850					Noun	1163	Allen2007, 2	Bai	sun(157)	sun(82)	ɲ i ⁵⁵	sun(39)	1.52	Luobenzhuo								
10294	-	ɲ i ɛ - ⁴⁴ - - - - - - - -			太阳	499	the sun	Mazhelong		ɲiɛ44	sun	-	sun (164)	ɲiɛ₄₄		-	5850					Noun	1173	Wang2006a, 2	Bai	sun(157)	sun(82)	ɲ i ɛ ⁴⁴	sun(39)	1.52	Mazhelong								
10295	-	m i - - ⁴⁴ pʰ - - - - i - ³¹			太阳	499	the sun	Qiliqiao		mi44pʰi31	sun / 太阳	-	sun (164)	mi₄₄pʰi₃₁		-	5850					Noun	1165	Allen2007, 2	Bai	sun(157)	sun(82)	m i ⁴⁴ pʰ i ³¹	sun(39)	1.52	Qiliqiao								
10296	-	n i - - ⁴⁴ t͡sʰ o u ⁴⁴ t͡s ɿ - ³³			太阳	499	the sun	Xiangyun		ni44tsʰou44tsɿ33	sun / 太阳	-	sun (164)	ni₄₄t͡sʰou₄₄t͡sɿ₃₃		-	5850					Noun	1176	Allen2007, 2	Bai	sun(157)	sun(82)	n i ⁴⁴ t͡sʰ o u ⁴⁴ t͡s ɿ ³³	sun(39)	1.52	Xiangyun								
10297	-	ɲ i - - ⁴⁴ pʰ - - - - i - ³¹			太阳	499	the sun	Yunlong		ɲi44pʰi31	sun / 太阳	-	sun (164)	ɲi₄₄pʰi₃₁		-	5850					Noun	1165	Allen2007, 2	Bai	sun(157)	sun(82)	ɲ i ⁴⁴ pʰ i ³¹	sun(39)	1.52	Yunlong								
10298	-	m i - - ⁴⁴ - - - - - - - -			太阳	499	the sun	Zhoucheng		mi44	sun	-	sun (164)	mi₄₄		-	5850					Noun	1178	Wang2006a, 2	Bai	sun(157)	sun(82)	m i ⁴⁴	sun(39)	1.52	Zhoucheng								
10299	-	-			太阳	0	the sun	Cone_Tibetan		-	-	-	sun (164)	-		-	5850					Noun	0	-	Bodic	sun(157)	sun(82)	-	sun(39)	1.52	Cone_Tibetan								
10300	-	-			太阳	0	the sun	Lhasa_Tibetan		-	-	-	sun (164)	-		-	5850					Noun	0	-	Bodic	sun(157)	sun(82)	-	sun(39)	1.52	Lhasa_Tibetan								
10301	-	-			太阳	501	the sun	Old_Tibetan		ɲi.ma	sun	日	sun (164)	ɲi.ma		-	5850					Noun	0	-	Bodic	sun(157)	sun(82)	ɲ i m a	sun(39)	1.52	Old_Tibetan								
10302	-	-			太阳	0	the sun	Achang_Lianghe		-	-	-	sun (164)	-		-	5850					Noun	0	-	Burmish	sun(157)	sun(82)	-	sun(39)	1.52	Achang_Lianghe								
10303	-	-			太阳	0	the sun	Achang_Longchuan		-	-	-	sun (164)	-		-	5850					Noun	0	-	Burmish	sun(157)	sun(82)	-	sun(39)	1.52	Achang_Longchuan								
10304	-	-			太阳	0	the sun	Achang_Luxi		-	-	-	sun (164)	-		-	5850					Noun	0	-	Burmish	sun(157)	sun(82)	-	sun(39)	1.52	Achang_Luxi								
10305	-	-			太阳	0	the sun	Atsi		-	-	-	sun (164)	-		-	5850					Noun	0	-	Burmish	sun(157)	sun(82)	-	sun(39)	1.52	Atsi								
10306	-	-			太阳	0	the sun	Bola		-	-	-	sun (164)	-		-	5850					Noun	0	-	Burmish	sun(157)	sun(82)	-	sun(39)	1.52	Bola								
10307	-	-			太阳	501	the sun	Burmese	9035 (to sit)	ne	sun	日	sun (164)	ne		-	5850					Noun	0	-	Burmish	sun(157)	sun(82)	n e	sun(39)	1.52	Burmese								
10308	-	-			太阳	0	the sun	Hpun		-	-	-	sun (164)	-		-	5850					Noun	0	-	Burmish	sun(157)	sun(82)	-	sun(39)	1.52	Hpun								
10309	-	-			太阳	0	the sun	Lashi		-	-	-	sun (164)	-		-	5850					Noun	0	-	Burmish	sun(157)	sun(82)	-	sun(39)	1.52	Lashi								
10310	-	-			太阳	0	the sun	Maru		-	-	-	sun (164)	-		-	5850					Noun	0	-	Burmish	sun(157)	sun(82)	-	sun(39)	1.52	Maru								
10311	-	-			太阳	0	the sun	Old_Burmese		-	-	-	sun (164)	-		-	5850					Noun	0	-	Burmish	sun(157)	sun(82)	-	sun(39)	1.52	Old_Burmese								
10312	-	-			太阳	0	the sun	Xiandau		-	-	-	sun (164)	-		-	5850					Noun	0	-	Burmish	sun(157)	sun(82)	-	sun(39)	1.52	Xiandau								
10313	-	-			太阳	0	the sun	Dumi		-	-	-	sun (164)	-		-	5850					Noun	0	-	Kiranti	sun(157)	sun(82)	-	sun(39)	1.52	Dumi								
10314	-	-			太阳	502	the sun	Khaling		noɔ̄m	sun	日	sun (164)	noɔ̄m		-	5850					Noun	0	-	Kiranti	sun(157)	sun(82)	n o ɔ̄ m	sun(39)	1.52	Khaling								
10315	-	-			太阳	502	the sun	Limbu		nam	sun	日	sun (164)	nam		-	5850					Noun	0	-	Kiranti	sun(157)	sun(82)	n a m	sun(39)	1.52	Limbu								
10316	-	-			太阳	0	the sun	Wambule		-	-	-	sun (164)	-		-	5850					Noun	0	-	Kiranti	sun(157)	sun(82)	-	sun(39)	1.52	Wambule								
10317	-	-			太阳	0	the sun	Yakkha		-	-	-	sun (164)	-		-	5850					Noun	0	-	Kiranti	sun(157)	sun(82)	-	sun(39)	1.52	Yakkha								
10318	-	-			太阳	0	the sun	Yamphu		-	-	-	sun (164)	-		-	5850					Noun	0	-	Kiranti	sun(157)	sun(82)	-	sun(39)	1.52	Yamphu								
10319	-	-			太阳	0	the sun	Dulong		-	-	-	sun (164)	-		-	5850					Noun	0	-	Nungish	sun(157)	sun(82)	-	sun(39)	1.52	Dulong								
10320	-	-			太阳	0	the sun	Jingpo		-	-	-	sun (164)	-		-	5850					Noun	0	-	SAL	sun(157)	sun(82)	-	sun(39)	1.52	Jingpo								
10321	-	-			太阳	0	the sun	Beijing		-	-	-	sun (164)	-		-	5850					Noun	0	-	Sinitic	sun(157)	sun(82)	-	sun(39)	1.52	Beijing								
10322	-	-			太阳	0	the sun	Caijia		-	-	-	sun (164)	-		-	5850					Noun	0	-	Sinitic	sun(157)	sun(82)	-	sun(39)	1.52	Caijia								
10323	-	-			太阳	0	the sun	Changsha		-	-	-	sun (164)	-		-	5850					Noun	0	-	Sinitic	sun(157)	sun(82)	-	sun(39)	1.52	Changsha								
10325	-	-			太阳	0	the sun	Guangzhou		-	-	-	sun (164)	-		-	5850					Noun	0	-	Sinitic	sun(157)	sun(82)	-	sun(39)	1.52	Guangzhou								
10326	-	-			太阳	0	the sun	Meixian		-	-	-	sun (164)	-		-	5850					Noun	0	-	Sinitic	sun(157)	sun(82)	-	sun(39)	1.52	Meixian								
10327	-	-			太阳	503	the sun	Old_Chinese		*njit	sun	日	sun (164)	*njit		-	5850					Noun	0	-	Sinitic	sun(157)	sun(82)	n j i t	sun(39)	1.52	Old_Chinese								
10328	-	-			太阳	0	the sun	Xiamen		-	-	-	sun (164)	-		-	5850					Noun	0	-	Sinitic	sun(157)	sun(82)	-	sun(39)	1.52	Xiamen								
10329	-	-			太阳	0	the sun	Guiqiong		-	-	-	sun (164)	-		-	5850					Noun	0	-	rGyalrongic	sun(157)	sun(82)	-	sun(39)	1.52	Guiqiong								
10330	-	-			太阳	500	the sun	Japhug		ʁmbɣi	sun	日	sun (164)	ʁmbɣi		-	5850					Noun	0	-	rGyalrongic	sun(157)	sun(82)	ʁ m b ɣ i	sun(39)	1.52	Japhug								
10331	-	-			太阳	0	the sun	Khroskyabs_Wobzi		-	-	-	sun (164)	-		-	5850					Noun	0	-	rGyalrongic	sun(157)	sun(82)	-	sun(39)	1.52	Khroskyabs_Wobzi								
10332	-	-			太阳	0	the sun	Muya		-	-	-	sun (164)	-		-	5850					Noun	0	-	rGyalrongic	sun(157)	sun(82)	-	sun(39)	1.52	Muya								
10333	-	-			太阳	0	the sun	Stau		-	-	-	sun (164)	-		-	5850					Noun	0	-	rGyalrongic	sun(157)	sun(82)	-	sun(39)	1.52	Stau								
10334	-	-			太阳	500	the sun	Tangut		be²	sun	日	sun (164)	be²		-	5850					Noun	0	-	rGyalrongic	sun(157)	sun(82)	b e ²	sun(39)	1.52	Tangut								
10335	-	-			太阳	0	the sun	Zbu		-	-	-	sun (164)	-		-	5850					Noun	0	-	rGyalrongic	sun(157)	sun(82)	-	sun(39)	1.52	Zbu								
13141						0	the sun	Guzhang			太陽	日頭		ŋ⁴¹ ta			5850						0								Guzhang								
13401						0	the sun	Ganzhou		iʔ5 thəw2	sun (160)			iʔ⁶tʰəw³			5850						0					i ʔ ⁶ tʰ ə w ³			Ganzhou								
13628						0	the sun	Caijia									5850						0								Caijia								
13888						0	the sun	Jixi				日頭		ȵieʔ³² tˈi⁴⁴			5850						0								Jixi								
14148						0	the sun	Changshan									5850						0								Changshan								
14408						0	the sun	Qimen			太阳	日 头		i³³ the⁵⁵			5850						0								Qimen								
14668						0	the sun	Dancun				日頭		ŋit³³ hau²¹			5850						0								Dancun								
14800						0	the sun	Qimen			太阳	太阳		thɑ²² ȵiɔ̃⁵⁵									0								Qimen								
14854						0	the sun	Tibetan_Written						ȵi ma									0	STEDT/TBL	Tibetan			ȵ i _ m a			Tibetan (Written)	3	ȵi ma	1804	n	0002.01	TBL	345041	sun
15106						0	the sun	Lyuzu						ȵi³³mi⁵³									0	STEDT/TBL	Qiangic			ȵ i ³³ ◦ m i ⁵³			Lyuzu	16755	ȵi³³mi⁵³	1813	n	0002.18	TBL	345058	sun
15107						0	the sun	Lyuzu						ȵi³³me⁵³									0	STEDT/TBL	Qiangic			ȵ i ³³ ◦ m e ⁵³			Lyuzu	16756	ȵi³³me⁵³	1813	n	0002.18	TBL	345091	sun
15563						0	the sun	Yi_Xide						ho³³bu³³									0	STEDT/TBL	Northern Loloish			h o ³³ ◦ b u ³³			Yi (Xide)	50243	ho³³bu³³	1832	n	0002.35	TBL	345075	sun
16178						0	the sun	Pumi_Jiulong						bi³⁵									0	STEDT/TBL	Qiangic			b i ³⁵			Pumi (Jiulong)	2050	bi³⁵	1805	n	0002.10	TBL	345050	sun
16325						0	the sun	Jingpho						tʃan³³									0	STEDT/TBL	Jingpho			tʃ a n ³³			Jingpho	18617	tʃan³³	1814	n	0002.19	TBL	345059	sun
16471						0	the sun	Motuo_Menba						ŋam									0	STEDT/TBL	Bodic			ŋ a m			Motuo Menba	84346	ŋam	1851	n	0002.07	TBL	345047	sun
16886						0	the sun	Yi_Weishan						ɑ⁵⁵m̩²¹ɣɯ⁵⁵									0	STEDT/TBL	Northern Loloish			ɑ ⁵⁵ m̩ ²¹ ◦ ɣ ɯ ⁵⁵			Yi (Weishan)	52247	ɑ⁵⁵m̩²¹ɣɯ⁵⁵	1833	n	0002.36	TBL	345076	sun
17006						0	the sun	Jinuo						njɯ⁴²ɔ³³									0	STEDT/TBL	Central Loloish			n j ɯ ⁴² ɔ ³³			Jinuo	68797	njɯ⁴²ɔ³³	1842	n	0002.44	TBL	345084	sun
17325						0	the sun	rGyalrong_Maerkang						kə jɑm									0	STEDT/TBL	rGyalrong			k ə _ j ɑ m			rGyalrong (Maerkang)	3718	kə jɑm	1806	n	0002.11	TBL	345051	sun
18171						0	the sun	Yi_Nanhua						mə²¹ȵi³³									0	STEDT/TBL	Northern Loloish			m ə ²¹ ◦ ȵ i ³³			Yi (Nanhua)	54141	mə²¹ȵi³³	1834	n	0002.37	TBL	345077	sun
18230						0	the sun	Naxi						ȵi³³me³³									0	STEDT/TBL	Naxi			ȵ i ³³ ◦ m e ³³			Naxi	70616	ȵi³³me³³	1843	n	0002.45	TBL	345085	sun
18563						0	the sun	Daofu						ɣbə									0	STEDT/TBL	rGyalrongic			ɣ ◦ b ə			Daofu	5570	ɣbə	1807	n	0002.12	TBL	345052	sun
18900						0	the sun	Pumi_Lanping						by⁵⁵									0	STEDT/TBL	Qiangic			b y ⁵⁵			Pumi (Lanping)	88001	by⁵⁵	1853	n	0002.09	TBL	345049	sun
19005						0	the sun	Dulong						nɑm⁵³									0	STEDT/TBL	Nungic			n ɑ m ⁵³			Dulong	22611	nɑm⁵³	1816	n	0002.20	TBL	345060	sun
19370						0	the sun	Tibetan_Batang						nɪ¹³mɑ⁵⁵									0	STEDT/TBL	Tibetan			n ɪ ¹³ ◦ m ɑ ⁵⁵			Tibetan (Batang)	39357	nɪ¹³mɑ⁵⁵	1826	n	0002.03	TBL	345043	sun
19422						0	the sun	Yi_Wuding						ȵi¹¹dʑi¹¹									0	STEDT/TBL	Northern Loloish			ȵ i ¹¹ ◦ dʑ i ¹¹			Yi (Wuding)	55996	ȵi¹¹dʑi¹¹	1835	n	0002.38	TBL	345078	sun
19783						0	the sun	Dulong						nam³¹luŋ⁵⁵									0	STEDT/TBL	Nungic			n a m ³¹ ◦ l u ŋ ⁵⁵			Dulong	22612	nam³¹luŋ⁵⁵	1816	n	0002.20	TBL	345092	sun
19903						0	the sun	Queyu_Xinlong						pu⁵⁵									0	STEDT/TBL	Qiangic			p u ⁵⁵			Queyu (Xinlong)	7551	pu⁵⁵	1808	n	0002.13	TBL	345053	sun
20280						0	the sun	Nung						ɹɯ³¹sɑʔ⁵³									0	STEDT/TBL	Nungic			ɹ ɯ ³¹ ◦ s ɑ ʔ ⁵³			Nung	24462	ɹɯ³¹sɑʔ⁵³	1817	n	0002.21	TBL	345061	sun
20324						0	the sun	Tibetan_Lhasa						ȵi¹³mə⁵⁵									0	STEDT/TBL	Tibetan			ȵ i ¹³ ◦ m ə ⁵⁵			Tibetan (Lhasa)	20472	ȵi¹³mə⁵⁵	1815	n	0002.02	TBL	345042	sun
20485						0	the sun	Qiang_Mawo						mu juχ									0	STEDT/TBL	Qiangic			m u _ j u χ			Qiang (Mawo)	86052	mu juχ	1852	n	0002.08	TBL	345048	sun
20608						0	the sun	Lahu_Lancang						mv⁵³ni³³									0	STEDT/TBL	Central Loloish			m v ⁵³ ◦ n i ³³			Lahu (Lancang)	66968	mv⁵³ni³³	1841	n	0002.43	TBL	345083	sun
20642						0	the sun	Lisu						mɯ³¹mi³³									0	STEDT/TBL	Central Loloish			m ɯ ³¹ ◦ m i ³³			Lisu	61514	mɯ³¹mi³³	1838	n	0002.40	TBL	345080	sun
20711						0	the sun	Gazhuo						m̩³¹tsha³³									0	STEDT/TBL	Northern Loloish			m̩ ³¹ ◦ tsh a ³³			Gazhuo	74291	m̩³¹tsha³³	1845	n	0002.47	TBL	345087	sun
20733						0	the sun	Yi_Sani						lo¹¹tsz̊³³mɒ³³									0	STEDT/TBL	Central Loloish			l o ¹¹ tsz̊ ³³ ◦ m ɒ ³³			Yi (Sani)	57932	lo¹¹tsz̊³³mɒ³³	1836	n	0002.39	TBL	345079	sun
21111						0	the sun	Zhaba_Daofu_County						ȵʌ⁵⁵mi⁵⁵									0	STEDT/TBL	Qiangic			ȵ ʌ ⁵⁵ ◦ m i ⁵⁵			Zhaba (Daofu County)	9363	ȵʌ⁵⁵mi⁵⁵	1809	n	0002.14	TBL	345054	sun
21244						0	the sun	Darang_Taraon						ɹɯn⁵³									0	STEDT/TBL	Deng			ɹ ɯ n ⁵³			Darang [Taraon]	25947	ɹɯn⁵³	1818	n	0002.22	TBL	345062	sun
21774						0	the sun	Bai_Jianchuan						ɲi̱³³phĩ²¹									0	STEDT/TBL	Bai			ɲ i̱ ³³ ◦ ph ĩ ∼ ²¹			Bai (Jianchuan)	75971	ɲi̱³³phĩ²¹	1846	n	0002.48	TBL	345088	sun
21902						0	the sun	Tibetan_Xiahe						ȵə ma									0	STEDT/TBL	Tibetan			ȵ ə _ m a			Tibetan (Xiahe)	59741	ȵə ma	1837	n	0002.04	TBL	345044	sun
22480						0	the sun	Muya						nə̱²⁴									0	STEDT/TBL	Qiangic			n ə̱ ²⁴			Muya	11293	nə̱²⁴	1810	n	0002.15	TBL	345055	sun
23044						0	the sun	Tujia						lau²¹tshi²¹									0	STEDT/TBL	Tujia			l a u ²¹ ◦ tsh i ²¹			Tujia	77944	lau²¹tshi²¹	1847	n	0002.49	TBL	345089	sun
23061						0	the sun	Bokar						doŋ ȵi									0	STEDT/TBL	Western Tani			d o ŋ _ ȵ i			Bokar	28809	doŋ ȵi	1820	n	0002.24	TBL	345064	sun
23325						0	the sun	Cuona_Menba						plaŋ⁵³									0	STEDT/TBL	Bodic			p l a ŋ ⁵³			Cuona Menba	82574	plaŋ⁵³	1850	n	0002.06	TBL	345046	sun
23545						0	the sun	Namuyi						ȵi⁵⁵mi⁵⁵									0	STEDT/TBL	Qiangic			ȵ i ⁵⁵ ◦ m i ⁵⁵			Namuyi	72453	ȵi⁵⁵mi⁵⁵	1844	n	0002.46	TBL	345086	sun
23587						0	the sun	Guiqiong						mĩ³tshə⁵⁵									0	STEDT/TBL	Qiangic			m ĩ ∼ ³ ◦ tsh ə ⁵⁵			Guiqiong	13225	mĩ³tshə⁵⁵	1811	n	0002.16	TBL	345056	sun
