# Wordlist

# DATA
ID	ABVD	ALIGNMENT	BORROWED	BORROWING	CHINESE	COGID	CONCEPT	DOCULECT	DUPLICATES	ENTRY_IN_SOURCE	GLOSS_IN_SOURCE	HANZI	IELEX	IPA	MORPHEME_STRUCTURE	NOTE	OMEGAWIKI	PARADIGM_1	PARADIGM_2	PARADIGM_3	PARADIGM_4	POS	SCAID	SOURCE	SUBGROUP	SWADESH_1952	SWADESH_1955	TOKENS	TOWEROFBABEL	WOLD	STEDT_TAXON_NAME	STEDT_RN	REFLEX	LGID	GFN	SRCID	SRCABBR	RGEN	STEDT_GLOSS
23663						0	I [first person singular]	Tujia						ŋa³⁵									0	STEDT/TBL	Tujia			ŋ a ³⁵			Tujia	78871	ŋa³⁵	1847	pron	0928.49	TBL	392764	I
23725						0	I [first person singular]	Bokar						ŋoː									0	STEDT/TBL	Western Tani			ŋ oː			Bokar	29799	ŋoː	1820	pron	0928.24	TBL	392739	I
23977						0	I [first person singular]	Darang_Taraon						xɑŋ³⁵									0	STEDT/TBL	Deng			x ɑ ŋ ³⁵			Darang [Taraon]	26873	xɑŋ³⁵	1818	pron	0928.22	TBL	392737	I
24230						0	I [first person singular]	Guiqiong						ŋə³⁵									0	STEDT/TBL	Qiangic			ŋ ə ³⁵			Guiqiong	14189	ŋə³⁵	1811	pron	0928.16	TBL	392731	I
24331						0	I [first person singular]	Lisu						ŋuɑ³³									0	STEDT/TBL	Central Loloish			ŋ u ɑ ³³			Lisu	62459	ŋuɑ³³	1838	pron	0928.40	TBL	392755	I
24581						0	I [first person singular]	Tibetan_Lhasa						ŋa¹³									0	STEDT/TBL	Tibetan			ŋ a ¹³			Tibetan (Lhasa)	21560	ŋa¹³	1815	pron	0928.02	TBL	392717	I
24693						0	I [first person singular]	Tibetan_Alike						ŋæ									0	STEDT/TBL	Tibetan			ŋ æ			Tibetan (Alike)	80380	ŋæ	1848	pron	0928.05	TBL	392720	I
25391						0	I [first person singular]	Xumi						ŋa⁵⁵									0	STEDT/TBL	Qiangic			ŋ a ⁵⁵			Xumi	15852	ŋa⁵⁵	1812	pron	0928.17	TBL	392768	I
#
1	above (175)	-			-	0	above	Dashi		-	-	-	-	-		-	7064					Function word	0	-	Bai	-	-	-	-	12081	Dashi								
2	above (175)	-			-	0	above	Zhaozhuang		-	-	-	-	-		-	7064					Function word	0	-	Bai	-	-	-	-	12081	Zhaozhuang								
3	above (175)	-			-	0	above	Ega		-	-	-	-	-		-	7064					Function word	0	-	Bai	-	-		-	12081	Ega								
4	above (175)	-			-	0	above	Enqi		-	-	-	-	-		-	7064					Function word	0	-	Bai	-	-	-	-	12081	Enqi								
5	above (175)	-			-	0	above	Eryuan		-	-	-	-	-		-	7064					Function word	0	-	Bai	-	-	-	-	12081	Eryuan								
6	above (175)	-			-	0	above	Gongxing		-	-	-	-	-		-	7064					Function word	0	-	Bai	-	-	-	-	12081	Gongxing								
7	above (175)	-			-	0	above	Heqi		-	-	-	-	-		-	7064					Function word	0	-	Bai	-	-	-	-	12081	Heqi								
8	above (175)	-			-	0	above	Jianchuan		-	-	-	-	-		-	7064					Function word	0	-	Bai	-	-		-	12081	Jianchuan								
9	above (175)	-			-	0	above	Jinman		-	-	-	-	-		-	7064					Function word	0	-	Bai	-	-	-	-	12081	Jinman								
10	above (175)	-			-	0	above	Jinxing		-	-	-	-	-		-	7064					Function word	0	-	Bai	-	-	-	-	12081	Jinxing								
11	above (175)	-			-	0	above	Luobenzhuo		-	-	-	-	-		-	7064					Function word	0	-	Bai	-	-	-	-	12081	Luobenzhuo								
12	above (175)	-			-	0	above	Mazhelong		-	-	-	-	-		-	7064					Function word	0	-	Bai	-	-	-	-	12081	Mazhelong								
13	above (175)	-			-	0	above	Qiliqiao		-	-	-	-	-		-	7064					Function word	0	-	Bai	-	-	-	-	12081	Qiliqiao								
14	above (175)	-			-	0	above	Xiangyun		-	-	-	-	-		-	7064					Function word	0	-	Bai	-	-	-	-	12081	Xiangyun								
15	above (175)	-			-	0	above	Yunlong		-	-	-	-	-		-	7064					Function word	0	-	Bai	-	-	-	-	12081	Yunlong								
16	above (175)	-			-	0	above	Zhoucheng		-	-	-	-	-		-	7064					Function word	0	-	Bai	-	-	-	-	12081	Zhoucheng								
17	above (175)	-			-	0	above	Cone_Tibetan		-	-	-	-	-		-	7064					Function word	0	-	Bodic	-	-	-	-	12081	Cone_Tibetan								
18	above (175)	-			-	0	above	Lhasa_Tibetan		-	-	-	-	-		-	7064					Function word	0	-	Bodic	-	-		-	12081	Lhasa_Tibetan								
19	above (175)	-			-	0	above	Old_Tibetan		-	-	-	-	steŋ		-	7064					Function word	0	-	Bodic	-	-	-	-	12081	Old_Tibetan								
20	above (175)	-			-	0	above	Achang_Lianghe		-	-	-	-			-	7064					Function word	0	-	Burmish	-	-		-	12081	Achang_Lianghe								
21	above (175)	-			-	0	above	Achang_Longchuan		-	-	-	-			-	7064					Function word	0	-	Burmish	-	-	-	-	12081	Achang_Longchuan								
22	above (175)	-			-	0	above	Achang_Luxi		-	-	-	-	-		-	7064					Function word	0	-	Burmish	-	-	-	-	12081	Achang_Luxi								
23	above (175)	-			-	0	above	Atsi		-	-	-	-	-		-	7064					Function word	0	-	Burmish	-	-	-	-	12081	Atsi								
24	above (175)	-			-	0	above	Bola		-	-	-	-	-		-	7064					Function word	0	-	Burmish	-	-	-	-	12081	Bola								
25	above (175)	-			-	0	above	Burmese		-	-	-	-	-		-	7064					Function word	0	-	Burmish	-	-	-	-	12081	Burmese								
26	above (175)	-			-	0	above	Hpun		-	-	-	-	-		-	7064					Function word	0	-	Burmish	-	-	-	-	12081	Hpun								
27	above (175)	-			-	0	above	Lashi		-	-	-	-	-		-	7064					Function word	0	-	Burmish	-	-	-	-	12081	Lashi								
28	above (175)	-			-	0	above	Maru		-	-	-	-	-		-	7064					Function word	0	-	Burmish	-	-	-	-	12081	Maru								
29	above (175)	-			-	0	above	Old_Burmese		-	-	-	-	-		-	7064					Function word	0	-	Burmish	-	-	-	-	12081	Old_Burmese								
30	above (175)	-			-	0	above	Xiandau		-	-	-	-	-		-	7064					Function word	0	-	Burmish	-	-	-	-	12081	Xiandau								
31	above (175)	-			-	0	above	Dumi		-	-	-	-	-		-	7064					Function word	0	-	Kiranti	-	-	-	-	12081	Dumi								
32	above (175)	-			-	0	above	Khaling		-	-	-	-	-		-	7064					Function word	0	-	Kiranti	-	-	-	-	12081	Khaling								
33	above (175)	-			-	0	above	Limbu		-	-	-	-	-		-	7064					Function word	0	-	Kiranti	-	-	-	-	12081	Limbu								
34	above (175)	-			-	0	above	Wambule		-	-	-	-	-		-	7064					Function word	0	-	Kiranti	-	-	-	-	12081	Wambule								
35	above (175)	-			-	0	above	Yakkha		-	-	-	-	-		-	7064					Function word	0	-	Kiranti	-	-	-	-	12081	Yakkha								
36	above (175)	-			-	0	above	Yamphu		-	-	-	-	-		-	7064					Function word	0	-	Kiranti	-	-	-	-	12081	Yamphu								
37	above (175)	-			-	0	above	Dulong		-	-	-	-	-		-	7064					Function word	0	-	Nungish	-	-	-	-	12081	Dulong								
38	above (175)	-			-	0	above	Jingpo		-	-	-	-	-		-	7064					Function word	0	-	SAL	-	-	-	-	12081	Jingpo								
39	above (175)	-			-	0	above	Beijing		-	-	-	-	-		-	7064					Function word	0	-	Sinitic	-	-	-	-	12081	Beijing								
40	above (175)	-			-	0	above	Caijia		-	-	-	-	-		-	7064					Function word	0	-	Sinitic	-	-	-	-	12081	Caijia								
41	above (175)	-			-	0	above	Changsha		-	-	-	-	-		-	7064					Function word	0	-	Sinitic	-	-	-	-	12081	Changsha								
