# Wordlist

# DATA
ID	POS	CONCEPT	LGID	RGEN	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	DOCULECT	SRCID	SRCABBR	ID_IN_SOURCE	IPA	TOKENS	SOURCE	TAXON_NAME_IN_SOURCE	SUBGROUP
64091	prep	above	1839	382687	over / above	la³¹ȵi⁵⁵	Hani_Lüchun	0731.41	TBL	64091	la³¹ȵi⁵⁵	l a ³¹ ◦ ȵ i ⁵⁵	STEDT/TBL	Hani (Lüchun)	Southern Loloish
6385	prep	above	1807	382658	over / above	rə nkhvɛ	Daofu	0731.12	TBL	6385	rə nkhvɛ	r ə _ n ◦ kh v ɛ	STEDT/TBL	Daofu	rGyalrongic
88768	prep	above	1853	382655	over / above	to⁵⁵ni¹³	Pumi_Lanping	0731.09	TBL	88768	to⁵⁵ni¹³	t o ⁵⁵ ◦ n i ¹³	STEDT/TBL	Pumi (Lanping)	Qiangic
40138	prep	above	1826	382649	over / above	ja¹³tɕøʔ⁵³	Tibetan_Batang	0731.03	TBL	40138	ja¹³tɕøʔ⁵³	j a ¹³ ◦ tɕ ø ʔ ⁵³	STEDT/TBL	Tibetan (Batang)	Tibetan
73208	prep	above	1844	382692	over / above	læ³³kæ³¹	Namuyi	0731.46	TBL	73208	læ³³kæ³¹	l æ ³³ ◦ k æ ³¹	STEDT/TBL	Namuyi	Qiangic
83304	prep	above	1850	382652	over / above	*	Cuona_Menba	0731.06	TBL	83304	*	*	STEDT/TBL	Cuona Menba	Bodic
8311	prep	above	1808	382659	over / above	je¹³ntɕhə⁵⁵	Queyu_Xinlong	0731.13	TBL	8311	je¹³ntɕhə⁵⁵	j e ¹³ n ◦ tɕh ə ⁵⁵	STEDT/TBL	Queyu (Xinlong)	Qiangic
23374	prep	above	1816	382666	over / above	lɯ³¹kɑ⁵⁵pɑŋ⁵⁵	Dulong	0731.20	TBL	23374	lɯ³¹kɑ⁵⁵pɑŋ⁵⁵	l ɯ ³¹ ◦ k ɑ ⁵⁵ ◦ p ɑ ŋ ⁵⁵	STEDT/TBL	Dulong	Nungic
75029	prep	above	1845	382693	over / above	*	Gazhuo	0731.47	TBL	75029	*	*	STEDT/TBL	Gazhuo	Northern Loloish
58667	prep	above	1836	382685	over / above	æ⁵⁵qe⁵⁵	Yi_Sani	0731.39	TBL	58667	æ⁵⁵qe⁵⁵	æ ⁵⁵ ◦ q e ⁵⁵	STEDT/TBL	Yi (Sani)	Central Loloish
10146	prep	above	1809	382660	over / above	ʌ¹³tʂhɿ³³	Zhaba_Daofu_County	0731.14	TBL	10146	ʌ¹³tʂhɿ³³	ʌ ¹³ ◦ tʂh ɿ ³³	STEDT/TBL	Zhaba (Daofu County)	Qiangic
26676	prep	above	1818	382668	over / above	*	Darang_Taraon	0731.22	TBL	26676	*	*	STEDT/TBL	Darang [Taraon]	Deng
76737	prep	above	1846	382694	over / above	mə⁵⁵tõ³³	Bai_Jianchuan	0731.48	TBL	76737	mə⁵⁵tõ³³	m ə ⁵⁵ ◦ t õ ∼ ³³	STEDT/TBL	Bai (Jianchuan)	Bai
28101	prep	above	1819	382669	over / above	*	Kaman_Miju	0731.23	TBL	28101	*	*	STEDT/TBL	Kaman [Miju]	Deng
52999	prep	above	1833	382682	over / above	m̩²¹ɕi⁵⁵	Yi_Weishan	0731.36	TBL	52999	m̩²¹ɕi⁵⁵	m̩ ²¹ ◦ ɕ i ⁵⁵	STEDT/TBL	Yi (Weishan)	Northern Loloish
12074	prep	above	1810	382661	over / above	jɐ̃³³tɕhø⁵³	Muya	0731.15	TBL	12074	jɐ̃³³tɕhø⁵³	j ɐ̃ ∼ ³³ ◦ tɕh ø ⁵³	STEDT/TBL	Muya	Qiangic
12075	prep	above	1810	382698	over / above	tə³³to²⁴	Muya	0731.15	TBL	12075	tə³³to²⁴	t ə ³³ ◦ t o ²⁴	STEDT/TBL	Muya	Qiangic
56738	prep	above	1835	382684	over / above	thɑ̱⁵⁵dɑ̱²	Yi_Wuding	0731.38	TBL	56738	thɑ̱⁵⁵dɑ̱²	th ɑ̱ ⁵⁵ ◦ d ɑ̱ ²	STEDT/TBL	Yi (Wuding)	Northern Loloish
62259	prep	above	1838	382686	over / above	gɑ̱³¹si̱³³	Lisu	0731.40	TBL	62259	gɑ̱³¹si̱³³	g ɑ̱ ³¹ ◦ s i̱ ³³	STEDT/TBL	Lisu	Central Loloish
78674	prep	above	1847	382695	over / above	*	Tujia	0731.49	TBL	78674	*	*	STEDT/TBL	Tujia	Tujia
21350	prep	above	1815	382697	over / above	khoŋ¹³la	Tibetan_Lhasa	0731.02	TBL	21350	khoŋ¹³la	kh o ŋ ¹³ ◦ l a	STEDT/TBL	Tibetan (Lhasa)	Tibetan
29599	prep	above	1820	382670	over / above	jan dap	Bokar	0731.24	TBL	29599	jan dap	j a n _ d a p	STEDT/TBL	Bokar	Western Tani
13989	prep	above	1811	382662	over / above	*	Guiqiong	0731.16	TBL	13989	*	*	STEDT/TBL	Guiqiong	Qiangic
60494	prep	above	1837	382650	over / above	jan tɕhar	Tibetan_Xiahe	0731.04	TBL	60494	jan tɕhar	j a n _ tɕh a r	STEDT/TBL	Tibetan (Xiahe)	Tibetan
80178	prep	above	1848	382651	over / above	*	Tibetan_Alike	0731.05	TBL	80178	*	*	STEDT/TBL	Tibetan (Alike)	Tibetan
31454	prep	above	1821	382671	over / above	*	Yidu	0731.25	TBL	31454	*	*	STEDT/TBL	Yidu	Deng
15654	prep	above	1812	382663	over / above	dʑi³³lɛ³³tʂõ⁵⁵	Xumi	0731.17	TBL	15654	dʑi³³lɛ³³tʂõ⁵⁵	dʑ i ³³ ◦ l ɛ ³³ ◦ tʂ õ ∼ ⁵⁵	STEDT/TBL	Xumi	Qiangic
81746	prep	above	1849	382696	over / above	*	Karen	0731.50	TBL	81746	*	*	STEDT/TBL	Karen	Karenic
#
21599	num	all	1815	394576	all / everything	kaŋ¹³ka⁵⁵	Tibetan_Lhasa	0962.02	TBL	21599	kaŋ¹³ka⁵⁵	k a ŋ ¹³ ◦ k a ⁵⁵	STEDT/TBL	Tibetan (Lhasa)	Tibetan
49446	num	all	1831	394558	all / everything	tshɯ⁵⁵	Nusu_Central	0962.34	TBL	49446	tshɯ⁵⁵	tsh ɯ ⁵⁵	STEDT/TBL	Nusu (Central)	Northern Loloish
66133	num	all	1840	394566	all / everything	*	Hani_Mojiang	0962.42	TBL	66133	*	*	STEDT/TBL	Hani (Mojiang)	Southern Loloish
55127	num	all	1834	394561	all / everything	ŋ²¹ɕɑ³³	Yi_Nanhua	0962.37	TBL	55127	ŋ²¹ɕɑ³³	ŋ ²¹ ◦ ɕ ɑ ³³	STEDT/TBL	Yi (Nanhua)	Northern Loloish
1093	num	all	1804	394525	all / everything	mthaɦ dag	Tibetan_Written	0962.01	TBL	1093	mthaɦ dag	m ◦ th a ɦ _ d a g	STEDT/TBL	Tibetan (Written)	Tibetan
1094	num	all	1804	394575	all / everything	thams tɕad	Tibetan_Written	0962.01	TBL	1094	thams tɕad	th a ms _ tɕ a d	STEDT/TBL	Tibetan (Written)	Tibetan
17769	num	all	1813	394542	all / everything	*	Lyuzu	0962.18	TBL	17769	*	*	STEDT/TBL	Lyuzu	Qiangic
