rn	reflex	gloss	gfn	srcabbr	lgid	language	srcid
80852	ɕĩ⁵⁵ tɕʰuæ̱⁴⁴	heartbeat		ZYS-Bai	309	Bai (Jianchuan)	9.3.1
80759	ko̱⁴⁴ tsv̱ˌ⁴² te̱⁴⁴	heel		ZYS-Bai	309	Bai (Jianchuan)	6.2.6.1
80910	ɯ̱²¹ pʰu³¹	hiccup		ZYS-Bai	309	Bai (Jianchuan)	11.2
80717	tõ̱²¹ ko⁵⁵ tse̱⁴⁴ ne̱²¹	hips		ZYS-Bai	309	Bai (Jianchuan)	5.8.1
80639	ka̱²¹ kʰɯ³³	hold in mouth	v.	ZYS-Bai	309	Bai (Jianchuan)	3.7.14
80766	pã̱²¹	hoof		ZYS-Bai	309	Bai (Jianchuan)	6.2.6.8
80573	kv̱ˌ⁴⁴ «tsã̱²¹»	horn		ZYS-Bai	309	Bai (Jianchuan)	2.10
80712	kõ³¹ tõ³¹	hunchback		ZYS-Bai	309	Bai (Jianchuan)	5.5.6
80632	fv̱ˌ⁴⁴ tɕi⁵⁵ kʰa̱⁴⁴	hungry	be v.	ZYS-Bai	309	Bai (Jianchuan)	3.7.9
80890	?	hymen		ZYS-Bai	309	Bai (Jianchuan)	10.4.3
80918	sṽ̩³¹ ko³¹	injury and infection		ZYS-Bai	309	Bai (Jianchuan)	12.0
80735	sɯ³³ kʰv̱ˌ⁴⁴ tsɿ³³	inner elbow / crook of elbow		ZYS-Bai	309	Bai (Jianchuan)	6.1.4.2
80764	ko̱⁴⁴ to̱⁴² pe̱⁴²	instep		ZYS-Bai	309	Bai (Jianchuan)	6.2.6.6
80866	tsõ̱²¹	intestines / bowels		ZYS-Bai	309	Bai (Jianchuan)	9.11
80583	ŋuĩ³³ kæ⁵⁵ ɕĩ⁵⁵	iris		ZYS-Bai	309	Bai (Jianchuan)	3.4.2.1
80819	jõ³³	itch / be itchy	v.	ZYS-Bai	309	Bai (Jianchuan)	8.2.3.10
80839	sɯ³³ tse̱⁴⁴ ko̱⁴⁴ tse̱⁴⁴	joint		ZYS-Bai	309	Bai (Jianchuan)	8.9
80858	jao⁵⁵ tsɿ³³	kidney		ZYS-Bai	309	Bai (Jianchuan)	9.6
80657	tɕui̱²¹	kiss	v.	ZYS-Bai	309	Bai (Jianchuan)	3.9.5
80750	kʰuæ³¹ tsɿ³³ te̱⁴⁴	knee		ZYS-Bai	309	Bai (Jianchuan)	6.2.2
80751	kʰuæ³¹ tsɿ³³ te̱⁴⁴ kʰo³³	knee cap / patella		ZYS-Bai	309	Bai (Jianchuan)	6.2.2.1
80784	ko̱⁴⁴ tse̱⁴⁴ tsɿ³³	knuckle (joint of digit)		ZYS-Bai	309	Bai (Jianchuan)	7.3
80541	kʰuæ³¹ pi⁵⁵	lap		ZYS-Bai	309	Bai (Jianchuan)	1.8
80867	to̱⁴² tsõ̱²¹	large intestine		ZYS-Bai	309	Bai (Jianchuan)	9.11.1
80917	so³¹	laugh		ZYS-Bai	309	Bai (Jianchuan)	11.9
80743	pi⁵⁵ sɯ³³	left hand		ZYS-Bai	309	Bai (Jianchuan)	6.1.7.5
80746	kʰuæ³¹ pi⁵⁵ pʰo̱⁴⁴	leg		ZYS-Bai	309	Bai (Jianchuan)	6.2
80801	kʰuã³³ ma̱²¹ tsɿ³³	body hair		ZYS-Bai	309	Bai (Jianchuan)	8.1.3.3
80651	tsɿ³³	lick	v.	ZYS-Bai	309	Bai (Jianchuan)	3.8.4
80834	tɕĩ⁵⁵ mĩ̱⁴² tɕĩ⁵⁵ ɣɯ³³	ligament (bone to bone)		ZYS-Bai	309	Bai (Jianchuan)	8.6
80727	sɯ³³ ko̱⁴⁴	limbs		ZYS-Bai	309	Bai (Jianchuan)	6.0
80540	sɯ³³ sɯ³³ ko̱⁴⁴ ko̱⁴⁴	limbs / arms and legs		ZYS-Bai	309	Bai (Jianchuan)	1.7
80539	sɯ³³ ko̱⁴⁴	limbs / arms and legs		ZYS-Bai	309	Bai (Jianchuan)	1.7
80769	ko̱⁴⁴ kʰe̱⁴⁴	limp	v.	ZYS-Bai	309	Bai (Jianchuan)	6.2.8
80607	pi̱²¹ ɕĩ̱²¹	liquid mucus		ZYS-Bai	309	Bai (Jianchuan)	3.5.6
80855	kã⁵⁵	liver		ZYS-Bai	309	Bai (Jianchuan)	9.5
80708	ɣæ³³ to̱⁴² ko̱⁴² tɕi⁵⁵	lower back		ZYS-Bai	309	Bai (Jianchuan)	5.5.2
80673	ɣæ³³ jĩ⁵⁵ ŋṽ̩³³ kv̱ˌ⁴⁴	lower jaw / mandible		ZYS-Bai	309	Bai (Jianchuan)	3.13.1
80654	ɣæ³³ tɕui³³ pe̱²¹ «jo̱²¹»	lower lip		ZYS-Bai	309	Bai (Jianchuan)	3.9.2
80845	pʰia̱⁴⁴	lung		ZYS-Bai	309	Bai (Jianchuan)	9.2
80876	tsɿ³³ jĩ̱²¹	male		ZYS-Bai	309	Bai (Jianchuan)	10.3
80882	tu³³ ma̱²¹ tsɿ³³	male pubic hair		ZYS-Bai	309	Bai (Jianchuan)	10.3.6
80804	ɕa̱⁴⁴	mane (of horse, lion)		ZYS-Bai	309	Bai (Jianchuan)	8.1.6
80844	kua̱⁴⁴ ɕuĩ³³	marrow		ZYS-Bai	309	Bai (Jianchuan)	9.1.2
80831	kua̱⁴⁴ ɕuĩ³³	marrow		ZYS-Bai	309	Bai (Jianchuan)	8.4.3
80872	sɿ³³ so³¹	meconium / baby shit		ZYS-Bai	309	Bai (Jianchuan)	9.12.2
80895	sua̱⁴⁴	menstrual blood		ZYS-Bai	309	Bai (Jianchuan)	10.4.7
80781	ʔṽ̩⁵⁵ ɕĩ⁵⁵ mĩ̱⁴² kʰo³³	middle toe		ZYS-Bai	309	Bai (Jianchuan)	7.2.3
80773	ʔṽ̩⁵⁵ ɕĩ⁵⁵ mĩ̱⁴² kʰo³³	middle finger		ZYS-Bai	309	Bai (Jianchuan)	7.1.2
80700	pa̱⁴²	milk		ZYS-Bai	309	Bai (Jianchuan)	5.4.3
80938	mĩ³³ no³³	mind / locus of thought		ZYS-Bai	309	Bai (Jianchuan)	14.1
80937	no³³ kʰv̩³¹	mind / locus of thought		ZYS-Bai	309	Bai (Jianchuan)	14.1
80660	to̱⁴² ŋæ̱²¹ kʰo³³	molar		ZYS-Bai	309	Bai (Jianchuan)	3.10.2
80812	sɯ̱⁴⁴ ɕɯ̱⁴²	mole		ZYS-Bai	309	Bai (Jianchuan)	8.2.3.3
80797	ɣu̱²¹ tsɿ³³ fe̱⁴⁴	moustache		ZYS-Bai	309	Bai (Jianchuan)	8.1.2.3
80622	ne̱²¹	mouth		ZYS-Bai	309	Bai (Jianchuan)	3.7
80621	tɕui³³ kæ⁵⁵ kʰo³³	mouth		ZYS-Bai	309	Bai (Jianchuan)	3.7
80838	kæ̱²¹	muscle		ZYS-Bai	309	Bai (Jianchuan)	8.8
80649	ɣa35	mute / dumb		ZYS-Bai	309	Bai (Jianchuan)	3.8.3
80785	kæ̱⁴⁴	nail		ZYS-Bai	309	Bai (Jianchuan)	7.4
80680	to̱⁴² ko̱⁴² tɕi⁵⁵	nape of neck		ZYS-Bai	309	Bai (Jianchuan)	4.1.3
80676	ku̱²¹ tsɿ³³ te̱⁴⁴	neck / throat		ZYS-Bai	309	Bai (Jianchuan)	4.0
80675	kv̱ˌ⁴² lv̱ˌ⁴² mi̱⁴²	neck / throat		ZYS-Bai	309	Bai (Jianchuan)	4.0
