lexicon.rn	analysis	user_an	other_an	lexicon.reflex	lexicon.gloss	lexicon.gfn	languagenames.lgid	languagenames.language	languagegroups.grpid	languagegroups.grpno	languagegroups.grp	citation	languagenames.srcabbr	lexicon.srcid	lexicon.semkey	chapters.chaptertitle	num_notes
189853				tɕa⁵³poʴ³³	maize		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	193.52	3.1.5	Fruits and vegetables	0
200869				tɕe³³	knife		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	409.52	5.5	Cooking Implements	0
202756				tɕe³³bua¹¹	chopper		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	446.52	6.9.3	Chop, slice	0
207193				tɕih⁵³	eat		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	533.52	1.5.3.2	Five	0
197758				tɕok³³	house		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	348.52	5.11.9.1	Kinds of dwellings	0
197809				tɕok³³	home		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	349.52	5.11.9.6	General	0
195208				tɕok³³a³³tɔk³³	host		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	298.52	4.4.2	Clans and neighbors	0
198013				tɕok³³weȶ³³	door		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	353.52	5.11.9.3	Parts of the structure	0
183070				tɕok³³θaŋ³³	outside		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	60.52	9.2.7	Extent	0
219943				tɕo³³	bark	v	1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	783.52	2.1.11.1	Bark (of dog)	0
190006				tɕua⁵³	taro		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	196.52	3.1.5.1	Leafy vegetables	0
188425				tɕuoŋ³³kə³³ɹa³³	mosquito		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	165.52	2.2.6	Insects, Arachnids, and Worms	0
218362				tɕuȶ³³lək³³	set (of the sun)		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	752.52	6.17	Putting	0
218311				tɕə³³puaŋ³³	rise (of the sun)		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	751.52	1.1.4	Wake/Conscious/Alert	0
209182				u³³	walk		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	572.52	6.7.4	Regular, Cyclic, Smoothly	0
217597				u³³	come		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	737.52	6.7.1	Inward	0
217648				u³³	go		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	738.52	6.7.2	Outward	0
217699				u³³duȶ¹¹	return / go back		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	739.52	6.2.2.1	Assorted action verbs	0
209386				u³³kə³³luɛ³³	go through (a hole)		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	576.52	6.7.2	Outward	0
217852				u³³kə³³luɛ³³	pass by		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	742.52	6.7.10	Move with something else	0
229837	m,m,2504			va³³se³³ȵih⁵³	they two		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	977.52	4.1	Pronouns	0
