ID	DOCULECT	CONCEPT	IPA	TOKENS	SOURCE	GLOSS_IN_SOURCE	NOTE	POS
48	Bunan	smooth	dʑami	dʑ a m i	Widmer2014	smooth	Comment (by Widmer2014): «WT 'jam po»	adj
125	Bunan	soft	lomna	l o m n a	Widmer2014	soft (solid)		adj
221	Bunan	straight	tsukna	ts u k n a	Widmer2014	straight, directly		adv (manner)
204	Bunan	ten	tɕuj	tɕ u j	Widmer2014	ten	Comment (by Widmer2014): «ZZ cu / PTB *ts(y)i(y) ~ *tsyay»	num (G)
229	Bunan	that	tʰadzu	tʰ a dz u	Widmer2014	that		dem
92	Bunan	the ant	kurkuʈik	k u r k u ʈ i k	Widmer2014	ant	Comment (by Widmer2014): «WT -»	n
45	Bunan	the barley (tibetan or highland)	dzat	dz a t	Widmer2014	barley	Comment (by Widmer2014): «ZZ zad / PTB *zəy»	n
39	Bunan	the belly	dan	d a n	Widmer2014	belly, stomach	Comment (by Widmer2014): «WT dang ga ~ dang kha (ArTBL))»	n
159	Bunan	the bird	pjatsi	p j a ts i	Widmer2014	bird	Comment (by Widmer2014): «WT bya / PTB *bja»	n
33	Bunan	the blood	ɕu	ɕ u	Widmer2014	blood	Comment (by Widmer2014): «- / PTB *s-hywəy»	n
161	Bunan	the body hair (hair or fur)	pu	p u	Widmer2014	body hair	Comment (by Widmer2014): «WT spu»	n
177	Bunan	the bone	ruspa	r u s p a	Widmer2014	bone	Comment (by Widmer2014): «WT rus pa / PTB *rus»	n
117	Bunan	the branch	laŋgjak	l a ŋ g j a k	Widmer2014	branch	Comment (by Widmer2014): «WT yal ga ~ *yal gag / PTB *gak»	n
129	Bunan	the breast (female)	mama	m a m a	Widmer2014	breast (female)	Comment (by Widmer2014): «WT nu ma»	n
219	Bunan	the child (young human)	tsitsi	ts i ts i	Widmer2014	child		n
41	Bunan	the cloud	du	d u	Widmer2014	cloud, fog	Comment (by Widmer2014): «ZZ du»	n
47	Bunan	the dew	dzilpa	dz i l p a	Widmer2014	dew	Comment (by Widmer2014): «WT zil pa ~ *gzil pa»	n
102	Bunan	the dog	kʰju	kʰ j u	Widmer2014	dog	Comment (by Widmer2014): «WT khyi (bu) / PTB *kʷəy»	n
131	Bunan	the dream	maŋs	m a ŋ s	Widmer2014	dream		n
226	Bunan	the dust	tul	t u l	Widmer2014	dust	Comment (by Widmer2014): «WT rdul / ZZ tur / PTB *tul ~ *dul»	n
173	Bunan	the ear	retsi	r e ts i	Widmer2014	ear	Comment (by Widmer2014): «ZZ ratse»	n
136	Bunan	the earth (soil)	mijul	m i j u l	Widmer2014	earth	Comment (by Widmer2014): «WT mi yul»	n
51	Bunan	the earthworm	ɖampakbu	ɖ a m p a k b u	Widmer2014	earth worm	Comment (by Widmer2014): «WT 'bu / WT 'dam pa»	n
107	Bunan	the egg	kʰwartum	kʰ w a r t u m	Widmer2014	egg		n
137	Bunan	the eye	mik	m i k	Widmer2014	eye	Comment (by Widmer2014): «- / WT mig ~ dmyig / PTB *mik ~ *myak»	n
6	Bunan	the father	awa	a w a	Widmer2014	father	Comment (by Widmer2014): «WT a pha ~ a pa / PTB *pʷa»	n
