shùkŏu嗽口	294
shuō说	305
shūzhuō书桌	133
sī撕	281
sĭ死	318
sōu餿	383
suàn蒜	82
suànpan算盘	156
sùcai素菜	100
sūnnǚ孙女	233
sūnz孙子	232
suŏ锁	149
tā他	404
tāde他的	414
tái抬	266
tài太	441
táijiē台阶	128
tàiyang太阳	1
tāmen他們	406
tán弹	282
tāng湯	100
táng糖	106
tăng躺	288
tàng烫	380
tàng趟	433
tányú痰盂	156
tánz罈子	143
tănz毯子	137
tào套	275
táohuā桃花	65
táopăo逃跑	291
táor桃儿	83
tăoyàn討厌	334
tí提	263
tì替	450
tián填	283
tiăn舔	256
tiānjĭng天井	130
tiānqi天气	8
tiāo挑	290
tiào跳	285
tiáogēng調羹	141
tiě鉄	26
tīng听	252
tīz梯子	165
tíz蹄子	63
tóng銅	26
tŏng捅	280
tŏngtong統統	443
tón头	191
tóufa头发	191
tóuyūn头暈	331
tŭ土	31
tuī推	267
tuìshăi退色	249
tūn吞	256
tuō托	264
tuō拖	269
tuō脫	292
tuōxie拖鞋	116
tuóz駝子	208
tūz秃子	207
tùz兔子	35
túzhanġ图章	186
wāi歪	357
wàigōng外公	217
wàiháng外行	399
wàimian外面	235
wàipó外婆	218
wàiehenġ外甥	232
wàisūn外孙	233
wān弯	360
wăn晚	375
wănfàn晚饭	93
wàngji忘記	340
wánpí頑皮	396
wánr玩儿	322
wănshang晚上	22
wàz袜子	118
wěiba尾巴	64wéijīn围巾	117
wéizuĭr围咀儿	120|
wēn温	381
wén闻	252
wèn問	306
wénz蚊子	60
Wŏ我	403
wŏde我的	408
wŏmen我們	405
wōniú蝸牛	54
wù雾	3wŭfàn午饭	93
wúgōng蜈蚣	62
wūguī烏龟	54
wūyā烏鴉	38
wūz屋子	122
xī錫	28
xī吸	264
xī稀	365
x洗	293
xì細	350
xiā虾	52
xià下	434
xiàkè下課	321
xiàmian下面	236
xián鹹	383
xián閑	387
xiàn綫	148
xiāng香	382
xiăng想	337
xiàng巷	179
xiàng向	452
xiāngfáng廂房	123
xiāngjiāo香蕉	89
xiàngjiāo橡胶	170
xiăngniàn想念	339
xiàngpiàn相片	187
xiàngpíquānr橡皮圈儿	185
xiàngrikuí向日葵	75
xiāngxia乡下	239
xiāngxìn相信	338
xiāngz箱子	135
xiànr餡儿	98
xiántán閑谈	306
xiànzài现在	436
xiăo小	346
xiào笑	313
xiăochuánr小船儿	178
xiăodāor小刀儿	164
xiăogūz小姑子	228
xiăoháir小孩儿	203
xiăohuŏz小伙子	203
xiăojīr小鸡儿	48
xiăomĭ小米	72
xiăomuzhĭ小姆指	198
xiăoqi小气	394
xiăoshūz小叔子	227
xiăotōur小偷儿	211
xiăoxin小心	338
xiàwŭ下午	21
xiàyŭ下雨	246
xiāz瞎子	205
xié鞋	115
xié斜	359
xièdù泻肚	332
xífù媳妇	229
xīgài膝盖	200
xīgua西瓜	91
xĭhuan喜欢	333
xìn信	184
xìnfēngr信封儿	184
xīng星	2
xìnghuā杏花	66
xìnzhĭ信紙	185
xĭque喜鹊	38
xīshài蟋蟀	58
xiūxi休息	325
xiùz袖子	121
xíz蓆子	138
xĭzăo冼澡	295
xuănzé选择	304
xué学	322
xuě雪	5
xuéxiào学校	180
xuēz靴子	117
yăba哑吧	206
yàn雁	37
yàn釅	364
yáng羊	46
yăng痒	386
yānjī閹鸡	47
yănjinġ眼睛	192
yàntai硯台	182
yànz燕子	37
yăo咬	254
yào要	340
yàoshi钥匙	149
yáshuā牙刷	153
yāz鸭子	49
yèjiān夜间	29
yéye爷爷	212
yìbădāo一把刀	428
yìbĭshēngyi一笔生意	432
yíchuànpútao一串葡萄	423
yìcóngcăo一丛草	422
yíding一定	446
yìdĭngzhàngz一頂帳子	427
yídùnfàn一頓飯	424
yìduŏhuār一朵花儿	423
yīfu衣服	110
yífù姨父	219
yìgēnzhēn一根針	428
yígerén一个人	420
yíjiànshìqing一件事情	431
yĭjinġ已經	438
yìkeshù一棵树	422
yìkŏushuĭ一口水	425
yíliàngchē一辆車	430
yímŭ姨母	220
yíng赢	324
yìng硬	365
yīnggāi应該	341
yínghuŏchóng萤火虫	58
yīngtao櫻桃	86
yīntiān阴天	9
yínz銀子	25
yìpíngjiŭ一瓶酒	425
yìqĭ一起	443
yíshànmén一扇门	430
yíshī逍失	345
yìshuāngxié一双鞋	426
yítàoyīfu一套衣服	426
yìtiáobèiz一条被子	427
yìtiáoyú一条魚	421
yìtóuniú一头牛	420
yíxiàng一向	437
yĭz椅子	132
yìzhīchuán一只船	431
yìzhījī一只鸡	421
yìzhìyān一支烟	424
yízuòfángz一座房子	429
yízuòqiáo一座挢	429
yòu又	444
yóujú邮局	173
yóupiào邮票	174
yòushŏu右手	197
yóuyŏnġ游泳	323
yòuz柚子	85
yŭ雨	3
yuán园	355
yuándàn元旦（正月初一）	22
yuànz院子	129
yuèliang月亮	1yùmĭ玉米	74
yùn熨	296
yùxiān預先	437
zăi宰	300
zài再	444
zài在	450
zánmen咱们	405
zăo早	374
zăochén早晨	19
zăofàn早鈑	92
zăor枣儿	88
záoz凿子	161
zénme怎么	418
zhāi摘	262
zhăi窄	352
zhàn站	286
zhàngfu丈夫	222
zhàngmŭ丈母	221
zhàngren丈人	220
zhàngz帐子	139
zhăo找	261
zhào罩	274
zhāoliáng：着凉	330
zhàoxiàng照相	323
zhăyăn眨眼	251
zhé折（折叠）	278
zhèbian这边	413
zhège这个	410
zhème这么	414
zhēn针	147
zhèng正	356
zhèngfáng：正房	123
zhěngqí整齐	369
zhěntou枕头	138zhèr这儿	412
zhèxie这些	411
zhí直	358
zhĭ紙	182
zhīdao知道	336
zhíde値得	342
zhījia指甲	199
zhínü姪女	231
zhír姪儿	231
zhíshuăng直爽	393
zhĭyān紙烟	109
zhīzhu蜘蛛	61
zhòng重	362
zhòngdì种地	315
zhōngjiān中间	237
zhōngqiūjié中秋节	23
zhōngwŭ中午	20
zhōu粥	94
zhuāng装	279
zhuāyăng抓痒	328
zhuăz爪子	64
zhūgān猪肝	101
zhuīz錐子	163
zhūjuàn猪圈	243
shuōz桌子	131
zhūròu猪肉	101
zhūshétou猪舌头	102
zhūyóu猪油	104
zhūz竹子	169
zhùz柱子	125
