OMEGAWIKI	GLOSS_IN_SOURCE	IPA	COGID	HANZI
5540	-	nɯrɤɣo	-	-
858309	-	nɯreri	-	-
5500	-	%rkɯn	-	-
5510	ear	tɯ-rna	1	耳
5523	rain	tɯmɯ	1	雨
264	ash	%tʰɤfkɤlɤɣi	1	灰
961244	-	jit	-	-
6660	-		-	-
5622	-	atɤr	-	-
5616	hand	tɯ-jaʁ	1	手
5648	-	tɯ-mgɯr	-	-
5662	-	tɤɲi	-	-
1675	-	xɕɤj	-	-
5639	cold	mɯɕtaʁ	1	寒
5617	-	mɯjphɤt, qioʁ	-	-
966	dog	khɯna	1	犬
869106	-	armbat	-	-
5624	grease	tɯ-kri	3	脂
6685	-	ɣurʑa	-	-
5650	-	%ŋɤn	-	-
5672	foot	tɯ-mi	1	足
161806	-	sɤnbaʁ	-	-
3633	stone	rdɤstaʁ	1	石
5665	-	tɯ-mi	-	-
6746	-	xtɯt	-	-
478515	-	rɤʑi	-	-
475820	-	xtɕɤr	-	-
7709	-	ɣɤwu	-	-
5729	moon	tɯ-sla	1	月
7755	-	%stoŋtsu	-	-
471303	-	ta-ma	-	-
479132	-	sqa	-	-
479387	-	nɯʁrɯʁra	-	-
3854	tree	si	1	木
6811	-	tɤ-rmbja	-	-
5876	-	nɤre	-	-
5850	sun	ʁmbɣi	1	日
1837	-	tɤ-jpɣom	-	-
5825	white	wɣrum	1	白
7800	-	ngo	-	-
5823	neck	tɯ-mke	1	頸
5827	eat	ndza	1	食
5946	tooth	tɯ-ɕɣa	1	牙
5980	louse	zrɯɣ	1	蝨
5993	bite	mtsɯɣ	1	噬
5989	dry	rom	1	乾
5951	-	taqaβ	-	-
5983	bone	ɕɤrɯ	1	骨
5981	horn	ta-ʁrɯ	1	角
5991	drink	tsʰi	1	飲
5992	breasts	tɯ-nɯ	1	乳
496633	-	mŋɤm	-	-
5995	name	tɤ-rmi	1	名
5997	-	arqhi	-	-
5990	-	mba	-	-
5994	-	astu	-	-
5918	knee	tɯ-χpɯm	1	膝
5984	round	artɯm	1	圓
5999	hear	mtsʰɤm	1	聞
5998	-	ɯ-sŋɯro (lɤt)	-	-
5987	-	mtɕoʁ	-	-
