NUMBER	ENGLISH	CONCEPTICON_ID	TBL_ID	SRCID	SRCGLOSS
#<<<
169	the tree	906	372	122065	tree, Eurya acuminata (n df.)
169	the tree	906	372	122172	tree, Bokehmeria rugulosa (n df.)
169	the tree	906	372	121918	tree (n df.)
169	the tree	906	372	122264	tree (n)
169	the tree	906	372	122295	tree (n)
169	the tree	906	372	122364	tree (n df.)
169	the tree	906	372	122569	tree (n df.)
169	the tree	906	372	122816	tree (n df.)
169	the tree	906	372	122390	tree, Bauhinia purpurea (n df.)
169	the tree	906	372	122809	tree, Lyonia ovalifolia (n df.)
169	the tree	906	372	122584	tree, Callicarpa arborea (n df.)
169	the tree	906	372	122592	tree, Bœhmeria platyphylla (n df.)
169	the tree	906	372	122865	tree, Nep. paḍ, bark (?) used to make tumplines (n df.)
169	the tree	906	372	122107	tree, Engelhardtia spicata (n df.)
169	the tree	906	372	122114	tree, Schima wallichii (n df.)
169	the tree	906	372	122137	tree, Nep. sahaj (n df.)
169	the tree	906	372	122808	tree, Shorea robusta (n df.)
169	the tree	906	372	122724	tree, Alstonia sp. (n df.)
169	the tree	906	372	122814	tree, Nep. Harrā (n df.)
169	the tree	906	372	122105	tree, Nep. kābro (n df.)
169	the tree	906	372	122523	tree (?= broŋk Berchemia floribunda) (n df.)
169	the tree	906	372	122140	tree, Bauhinia variegata (n)
169	the tree	906	372	122562	tree, Nep mowa (n df.)
#>>>
#<<<
170	the water	948	47	121797	water (baby talk) (n)
170	the water	948	47	122559	water (n)
#>>>
171	the wheat	1077	410	122112	wheat (n)
172	the wife	1199	248	122566	wife (n)
173	the wind	960	9	122156	wind (n)
174	the wing	1257	298		???
175	the wolf	522	324		???
176	the woman	962	174	122571	woman (n)
#<<<
177	the wood (material)	1803	511	122755	wood (n)
177	the wood (material)	1803	511	122070	rot (of stone or wood) (v)
#>>>
178	the year	1226	777	122241	year (bound m)
#<<<
179	there	1937	950	121834	on the other side, there (adv)
179	there	1937	950	122889	there, over there (adv)
#>>>
180	thick	1244	980	122192	thick (v)
181	thin (object)	2307	981		???
#<<<
182	this	1214	942	121687	this, he, she (demon)
182	this	1214	942	121688	these (demon)
#>>>
#<<<
183	thou [second person singular]	1215	931	121970	you (sg.) (pron)
183	thou [second person singular]	1215	931	121973	you (pl.) (pron)
183	thou [second person singular]	1215	931	121828	you (pron)
