# Wordlist

# DATA
ID	DOCULECT	CONCEPT_PINYIN	HANZI	ENTRY_IN_SOURCE	BEIDA_ID	IPA	TOKENS	NOTE
31790	Wenzhou	bié-dì 819	別來	*bi¹²lɛ³¹	819	bi¹²lɛ³¹	b i ¹² l ɛ ³¹	[*]
31791	Changsha	bié-dì 819	別的	pʰie²⁴ti⁰	819	pʰie²⁴ti⁰	pʰ i e ²⁴ t i ⁰	
31792	Nanchang	bié-dì 819	別個	pʰiɛt⁵kɔ⁰	819	pʰiɛt⁵kɔ⁰	pʰ i ɛ t ⁵ k ɔ ⁰	
31793	Meixian	bié-dì 819	別個	pʰiɛt⁴kɛ⁴²	819	pʰiɛt⁴kɛ⁴²	pʰ i ɛ t ⁴ k ɛ ⁴²	
31794	Guangzhou	bié-dì 819	第二樣	tɐi²²ji²²jœŋ²²₃₅	819	tɐi²²ji²²jœŋ²²₃₅	t ɐ i ²² j i ²² j œ ŋ ²²₃₅	
31795	Yangjiang	bié-dì 819	第二樣	tɐi⁴⁵⁴ji⁴⁵⁴jiɛŋ⁴⁵⁴	819	tɐi⁴⁵⁴ji⁴⁵⁴jiɛŋ⁴⁵⁴	t ɐ i ⁴⁵⁴ j i ⁴⁵⁴ j i ɛ ŋ ⁴⁵⁴	
31796	Xiamen	bié-dì 819	別項	pat⁵₃₂haŋ³³	819	pat⁵₃₂haŋ³³	p a t ⁵₃₂ h a ŋ ³³	
31797	Xiamen	bié-dì 819	別款	[2] pat⁵₃₂kʰuan⁵¹	819	pat⁵₃₂kʰuan⁵¹	p a t ⁵₃₂ kʰ u a n ⁵¹	[2]
31798	Chaozhou	bié-dì 819	別樣	pak⁴₂₁ĩẽ¹¹	819	pak⁴₂₁ĩẽ¹¹	p a k ⁴₂₁ ĩ ẽ ∼ ¹¹	
31799	Chaozhou	bié-dì 819	別個	[2] pak⁴₂₁kai⁵⁵	819	pak⁴₂₁kai⁵⁵	p a k ⁴₂₁ k a i ⁵⁵	[2]
31800	Fuzhou	bié-dì 819	別樣	peiʔ⁴yɔŋ²⁴²	819	peiʔ⁴yɔŋ²⁴²	p e i ʔ ⁴ y ɔ ŋ ²⁴²	
#
14087	Beijing	bà-bà 425	爸爸	pa⁵¹pa⁰	425	pa⁵¹pa⁰	p a ⁵¹ p a ⁰	
14088	Beijing	bà-bà 425	爹	[2] tie⁵⁵	425	tie⁵⁵	t i e ⁵⁵	[2]
14089	Jinan	bà-bà 425	爸爸	pa²¹pa⁰	425	pa²¹pa⁰	p a ²¹ p a ⁰	
14090	Shenyang	bà-bà 425	爸爸	pa⁴¹pa⁰	425	pa⁴¹pa⁰	p a ⁴¹ p a ⁰	
14091	Shenyang	bà-bà 425	爹	[2] tie³³	425	tie³³	t i e ³³	[2]
14092	Xian	bà-bà 425	爸	pɑ⁴⁵	425	pɑ⁴⁵	p ɑ ⁴⁵	
14093	Xian	bà-bà 425	達	[2] tɑ²⁴	425	tɑ²⁴	t ɑ ²⁴	[2]
14094	Chengdu	bà-bà 425	爸爸	pa³¹pa³¹₄₄	425	pa³¹pa³¹₄₄	p a ³¹ p a ³¹₄₄	
14095	Kunming	bà-bà 425	爸爸	pa³¹pa³¹₄₄	425	pa³¹pa³¹₄₄	p a ³¹ p a ³¹₄₄	
14096	Hefei	bà-bà 425	伯伯	pɐʔ⁴pɐʔ⁴	425	pɐʔ⁴pɐʔ⁴	p ɐ ʔ ⁴ p ɐ ʔ ⁴	
14097	Yangzhou	bà-bà 425	爸爸	pɑ⁵⁵₃₄pɑ⁵⁵	425	pɑ⁵⁵₃₄pɑ⁵⁵	p ɑ ⁵⁵₃₄ p ɑ ⁵⁵	
14098	Yangzhou	bà-bà 425	爹爹	[2] tiɑ³¹tiɑ³¹	425	tiɑ³¹tiɑ³¹	t i ɑ ³¹ t i ɑ ³¹	[2]
14099	Suzhou	bà-bà 425	爹爹	tiɒ⁴⁴tiɒ⁴⁴₂₁	425	tiɒ⁴⁴tiɒ⁴⁴₂₁	t i ɒ ⁴⁴ t i ɒ ⁴⁴₂₁	
14100	Suzhou	bà-bà 425	爺	[2] iɒ²⁴	425	iɒ²⁴	i ɒ ²⁴	[2]
14101	Wenzhou	bà-bà 425	阿大	a²³da¹¹	425	a²³da¹¹	a ²³ d a ¹¹	
14102	Wenzhou	bà-bà 425	阿伯	[2] a²³pa²³,a²³pa⁴⁴	425	a²³pa²³	a ²³ p a ²³	[2]
14103	Changsha	bà-bà 425	爹爹	tie³³tie³³	425	tie³³tie³³	t i e ³³ t i e ³³	
14104	Changsha	bà-bà 425	爺	[2] ie¹³	425	ie¹³	i e ¹³	[2]
14105	Nanchang	bà-bà 425	爹爹	tiɛ⁴²tiɛ⁰	425	tiɛ⁴²tiɛ⁰	t i ɛ ⁴² t i ɛ ⁰	
14106	Nanchang	bà-bà 425	伯伯	[2] pak⁵pak⁰	425	pak⁵pak⁰	p a k ⁵ p a k ⁰	[2]
14107	Nanchang	bà-bà 425	爺	[3] ia⁵⁵	425	ia⁵⁵	i a ⁵⁵	[3]
14108	Meixian	bà-bà 425	阿爸	a⁴⁴pa⁴⁴	425	a⁴⁴pa⁴⁴	a ⁴⁴ p a ⁴⁴	
14109	Meixian	bà-bà 425	爺	[2] ja¹²	425	ja¹²	j a ¹²	[2]
14110	Guangzhou	bà-bà 425	爸爸	pa⁵⁵₂₁pa⁵⁵	425	pa⁵⁵₂₁pa⁵⁵	p a ⁵⁵₂₁ p a ⁵⁵	
14111	Guangzhou	bà-bà 425	老逗	[2] *lou²³tɐu²²	425	lou²³tɐu²²	l o u ²³ t ɐ u ²²	[2][*]
14112	Yangjiang	bà-bà 425	阿爸	a³³pa²⁴	425	a³³pa²⁴	a ³³ p a ²⁴	
14113	Yangjiang	bà-bà 425	阿爺	[2] a³³jɛ⁴⁴³	425	a³³jɛ⁴⁴³	a ³³ j ɛ ⁴⁴³	[2]
14114	Yangjiang	bà-bà 425	阿爹	[3] a³³tɛ³³	425	a³³tɛ³³	a ³³ t ɛ ³³	[3]
14115	Xiamen	bà-bà 425	阿爸	a³³pa⁵⁵	425	a³³pa⁵⁵	a ³³ p a ⁵⁵	
14116	Xiamen	bà-bà 425	老父	[2] lau³³₁₁pe³³	425	lau³³₁₁pe³³	l a u ³³₁₁ p e ³³	[2]
14117	Chaozhou	bà-bà 425	阿爸	a³³₂₃pa³³	425	a³³₂₃pa³³	a ³³₂₃ p a ³³	
14118	Chaozhou	bà-bà 425	阿爹	[2] a³³₂₃tie³³	425	a³³₂₃tie³³	a ³³₂₃ t i e ³³	[2]
14119	Chaozhou	bà-bà 425	阿父	[3] a³³₂₃pe³⁵	425	a³³₂₃pe³⁵	a ³³₂₃ p e ³⁵	[3]
14120	Fuzhou	bà-bà 425	依 爹	*i⁴⁴tie⁴⁴	425	i⁴⁴tie⁴⁴	i ⁴⁴ t i e ⁴⁴	[*]
14121	Fuzhou	bà-bà 425	依 爺	[2] *i⁴⁴ie⁵²	425	i⁴⁴ie⁵²	i ⁴⁴ i e ⁵²	[2][*]
14122	Fuzhou	bà-bà 425	郞 罷	[3] **louŋ⁵²₃₁ma²⁴²(p-)	425	louŋ⁵²₃₁ma²⁴²	l o u ŋ ⁵²₃₁ m a ²⁴²	[3][*]
#
22237	Beijing	bàn 607	拌	pan⁵¹	607	pan⁵¹	p a n ⁵¹	
22238	Jinan	bàn 607	拌	pæ̃²¹	607	pæ̃²¹	p æ̃ ∼ ²¹	
22239	Shenyang	bàn 607	拌	pan⁴¹	607	pan⁴¹	p a n ⁴¹	
22240	Xian	bàn 607	拌	pæ̃⁴⁵	607	pæ̃⁴⁵	p æ̃ ∼ ⁴⁵	
22241	Chengdu	bàn 607	拌	pan¹³	607	pan¹³	p a n ¹³	
22242	Chengdu	bàn 607	和	[2] xo¹³,xo⁵³	607	xo¹³	x o ¹³	[2]
22243	Kunming	bàn 607	拌	pã¹³	607	pã¹³	p ã ∼ ¹³	
22244	Hefei	bàn 607	拌	pʊ̃⁵³	607	pʊ̃⁵³	p ʊ̃ ∼ ⁵³	
22245	Yangzhou	bàn 607	拌	põ⁵⁵	607	põ⁵⁵	p õ ∼ ⁵⁵	
22246	Yangzhou	bàn 607	和	[2] xo⁵⁵	607	xo⁵⁵	x o ⁵⁵	[2]
22247	Suzhou	bàn 607	拌	bø³¹	607	bø³¹	b ø ³¹	
22248	Wenzhou	bàn 607	拌	bø²⁴	607	bø²⁴	b ø ²⁴	
22249	Changsha	bàn 607	拌	põ²¹	607	põ²¹	p õ ∼ ²¹	
22250	Nanchang	bàn 607	拌	pʰɔn³¹	607	pʰɔn³¹	pʰ ɔ n ³¹	
22251	Meixian	bàn 607	!	vɔ⁴⁴	607	vɔ⁴⁴	v ɔ ⁴⁴	
22252	Guangzhou	bàn 607	!	kʰau⁵⁵	607	kʰau⁵⁵	kʰ a u ⁵⁵	
22253	Yangjiang	bàn 607	!	kʰau⁴⁴³	607	kʰau⁴⁴³	kʰ a u ⁴⁴³	
22254	Xiamen	bàn 607	盤	*pũã²⁴	607	pũã²⁴	p ũ ã ∼ ²⁴	[*]
22255	Chaozhou	bàn 607		@tsʰiəu³³	607	@tsʰiəu³³	@ tsʰ i ə u ³³	
22256	Fuzhou	bàn 607	調	teu⁵²	607	teu⁵²	t e u ⁵²	
#
