ID	DOCULECT	CONCEPT	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	CHINESE_GLOSS_IN_SOURCE	ALT_IPA	ALT_GLOSS	ALT_SOURCE	ALT_CHARS	ALT_CHINESE_GLOSS	IPA	HANZI	SOURCE	TOKENS	COGIDS	ALIGNMENT	NOTE	RANK
203	Changsha	all	98	962	all	!	tɕʰyẽ∼¹³+pu¹¹	all	Liu2007	全 部	全部	xa²¹	!	BeijingDaxue1964	x a ²¹	760			239
390	Chengdu	all	98	962	all	都	tɕʰyan⁵⁵/²¹+pu²¹/²¹³	all	Liu2007	全 部	全部	təu⁴⁴	都	BeijingDaxue1964	t ə u ⁴⁴	3	t ə u ⁴⁴		239
580	Fuzhou	all	98	962	all	都	ko²¹/²¹²+louŋ²¹/⁵³+ŋa²⁴²	all	Liu2007	個 郎 下	全部	tu⁴⁴	都	BeijingDaxue1964	t u ⁴⁴	3	t u - ⁴⁴		239
785	Guangzhou	all	98	962	all	曬	tsʰyn²¹+pou²²	all	Liu2007	全 部	全部	ʃai³³	曬	BeijingDaxue1964	ʃ a i ³³	663			239
985	Jinan	all	98	962	all	都	tɕʰyæ̃∼⁵³+pu³¹	all	Liu2007	全 部	全部	tou²¹³	都	BeijingDaxue1964	t o u ²¹³	3	t o u ²¹³		239
1179	Meixian	all	98	962	all	都	tɕʰien¹¹+pʰu⁵³	all	Liu2007	全 部	全部	tu⁴⁴	都	BeijingDaxue1964	t u ⁴⁴	3	t u - ⁴⁴		239
1369	Nanchang	all	98	962	all	都	tɕʰyon²⁴+pu⁰	all	Liu2007	全 部	全部	tu⁴²	都	BeijingDaxue1964	t u ⁴²	3	t u - ⁴²		239
1561	Suzhou	all	98	962	all	才	ziɪ¹³+bu²¹/²³¹	all	Liu2007	全 部	全部	zɛ²⁴	才	BeijingDaxue1964	z ɛ ²⁴	899			239
1774	Wenzhou	all	98	962	all	惡	jy²⁴/³⁴¹+bu²²/²⁴	all	Liu2007	全 部	全部	o²³	惡	BeijingDaxue1964	o ²³	984			239
1961	Xiamen	all	98	962	all	攏	tsuan²²/²⁴+pɔ²²	all	Liu2007	全 部	全部	lɔŋ⁵¹₅₅	攏	BeijingDaxue1964	l ɔ ŋ ⁵¹₅₅	1058			239
3067	Chaozhou	all														0			239
6	Beijing	bad	1292	1053	bad	壞	xai⁵¹	bad	Liu2007	壞	壞	xuai⁵¹	壞	BeijingDaxue1964	x u a i ⁵¹	10	x u a i ⁵¹		128
7	Beijing	bad	1292	1053	bad	賴						lai⁵¹	賴	BeijingDaxue1964	l a i ⁵¹	11			128
206	Changsha	bad	1292	1053	bad	壞	fai¹¹ / kuai⁴¹	bad / bad	Liu2007 / Liu2007	壞 / 拐	壞 / 壞	fai²¹	壞	BeijingDaxue1964	f a i ²¹	10	f - a i ²¹		128
394	Chengdu	bad	1292	1053	bad	壞	xuai²¹³	bad	Liu2007	壞	壞	xuai¹³	壞	BeijingDaxue1964	x u a i ¹³	10	x u a i ¹³		128
583	Fuzhou	bad	1292	1053	bad	! □	pʰai³² / ŋai⁵³	bad / bad	Liu2007 / Liu2007	痞 / 呆	壞 / 壞	pʰai³¹	! □	BeijingDaxue1964	pʰ a i ³¹	503 0			128
584	Fuzhou	bad	1292	1053	bad	!						ŋai⁵²	!	BeijingDaxue1964	ŋ a i ⁵²	1142			128
788	Guangzhou	bad	1292	1053	bad	壞	uai²²	bad	Liu2007	壞	壞	wai²²	壞	BeijingDaxue1964	w a i ²²	10	w - a i ²²		128
989	Jinan	bad	1292	1053	bad	壞	xuɛ³¹	bad	Liu2007	壞	壞	xuɛ²¹	壞	BeijingDaxue1964	x u ɛ ²¹	10	x u ɛ - ²¹		128
990	Jinan	bad	1292	1053	bad	孬						nɔ²¹³	孬	BeijingDaxue1964	n ɔ ²¹³	764			128
1182	Meixian	bad	1292	1053	bad	壞	fai⁵³ / pe³¹	bad / bad	Liu2007 / Liu2007	壞 / 鄙	壞 / 壞	fai⁴²	壞	BeijingDaxue1964	f a i ⁴²	10	f - a i ⁴²		128
1372	Nanchang	bad	1292	1053	bad	壞	fai²¹	bad	Liu2007	壞	壞	fai³¹	壞	BeijingDaxue1964	f a i ³¹	10	f - a i ³¹		128
1565	Suzhou	bad	1292	1053	bad	壞	tɕʰiʏ⁴⁴ / uɑ⁴¹²	bad / bad	Liu2007 / Liu2007	恘 / 壞	壞 / 壞	uɒ⁵¹³	壞	BeijingDaxue1964	u ɒ ⁵¹³	10	- u ɒ - ⁵¹³		128
1566	Suzhou	bad	1292	1053	bad	! □						tɕʰiʏ⁴⁴	! □	BeijingDaxue1964	tɕʰ i ʏ ⁴⁴	503 0			128
1777	Wenzhou	bad	1292	1053	bad	毛	mə³⁴¹	bad	Liu2007	毛	壞	mɜ³¹	毛	BeijingDaxue1964	m ɜ ³¹	989			128
1964	Xiamen	bad	1292	1053	bad	! □	pʰai⁵³	bad	Liu2007	否	壞	pʰãĩ∼⁵¹	! □	BeijingDaxue1964	pʰ ã ĩ ∼ ⁵¹	503 0			128
1965	Xiamen	bad	1292	1053	bad							mãĩ∼⁵¹		BeijingDaxue1964	m ã ĩ ∼ ⁵¹	976			128
3169	Chaozhou	bad														0			128
10	Beijing	below, under	1485	732	*under, below	底下	ɕia⁵¹+tʰou¹ / ɕia⁵¹+piar¹	under / under	Hou2004 / Hou2004	下头 / 下边	下面 / 下面	ti²¹⁴₂₁ɕia⁰	底下	BeijingDaxue1964	t i ²¹⁴₂₁ ɕ i a ⁰	15 16	t i ²¹⁴₂₁ ◦ ɕ i a ⁰	**remove**: remove to be safe, @lingulist, 6/2/2017, 10:04:47 AM	206
11	Beijing	below, under	1485	732	*under, below	下頭						ɕia⁵¹tʰou⁰	下頭	BeijingDaxue1964	ɕ i a ⁵¹ tʰ o u ⁰	16 17	ɕ i a ⁵¹ ◦ tʰ o u ⁰		206
209	Changsha	below, under	1485	732	*under, below	下頭	ɕia¹¹+miẽ∼⁰ / tɕio²⁴+xa¹¹ / ti⁴¹+xa¹¹ / ɕia¹¹+təu⁰	under / under / under / under	Hou2004 / Hou2004 / Hou2004 / Hou2004	下面 / 脚下 / 底下 / 下头	下面 / 下面 / 下面 / 下面	xa²¹təu⁰	下頭	BeijingDaxue1964	x a ²¹ t ə u ⁰	16 17	x - a ²¹ ◦ t ə u ⁰		206
397	Chengdu	below, under	1485	732	*under, below	底下	ɕia¹³+tʰəu³¹/⁵⁵ / ɕia¹³+pian⁵⁵ / ɕia¹³+mian¹³ / ti⁵³+ɕia¹³	under / under / under / under	Hou2004 / Hou2004 / Hou2004 / Hou2004	下头 / 下边 / 下面 / 底下	下面 / 下面 / 下面 / 下面	ti⁵³ɕia¹³₃₁	底下	BeijingDaxue1964	t i ⁵³ ɕ i a ¹³₃₁	15 16	t i ⁵³ ◦ ɕ i a ¹³₃₁		206
398	Chengdu	below, under	1485	732	*under, below	下頭						ɕia¹³tʰəu³¹	下頭	BeijingDaxue1964	ɕ i a ¹³ tʰ ə u ³¹	16 17	ɕ i a ¹³ ◦ tʰ ə u ³¹		206
587	Fuzhou	below, under	1485	732	*under, below	下底	a²⁴²/³²+lɛ³²	under	Hou2004	下底	下面	a²⁴²₃₁lɛ³¹	下底	BeijingDaxue1964	a ²⁴²₃₁ l ɛ ³¹	16 15	- - a ²⁴²₃₁ ◦ l ɛ ³¹		206
791	Guangzhou	below, under	1485	732	*under, below	下便	ha²²+pin²² / ha²²+tɐi⁵⁵	under / under	Hou2004 / Hou2004	下便 / 下低	下面 / 下面	ha²²pin²²	下便	BeijingDaxue1964	h a ²² p i n ²²	16 666	h - a ²² ◦ p i n ²²		206
993	Jinan	below, under	1485	732	*under, below	下邊兒	ɕia²¹/⁵⁴⁴+tʰou⁰ / ɕia²¹+piɛr⁰ / ti⁵⁵/²¹³+ɕia⁰	under / under / under	Hou2004 / Hou2004 / Hou2004	下头 / 下边 / 底下	下面 / 下面 / 下面	ɕia²¹pɛr⁰	下邊兒	BeijingDaxue1964	ɕ i a ²¹ p ɛ/r ⁰	16 765 766	ɕ i a ²¹ ◦ p ɛ/r ⁰		206
1185	Meixian	below, under	1485	732	*under, below	下背	ha⁴⁴/³⁵+poi⁵³	under	Hou2004	下背	下面	ha²⁴pɔi⁴²	下背	BeijingDaxue1964	h a ²⁴ p ɔ i ⁴²	16 802	h - a ²⁴ ◦ p ɔ i ⁴²		206
