ID	DOCULECT	CONCEPT	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	CHINESE_GLOSS_IN_SOURCE	IPA	HANZI	SOURCE	TOKENS
1858	Suzhou	all	98	962	all // all	都 // 全部	zɛ²⁴ // ziɪ¹³+bu²¹/²³¹	才 // 全 部	BeijingDaxue1964, Liu2007	z ɛ ²⁴
2090	Wenzhou	all	98	962	all // all	都 // 全部	o²³ // jy²⁴/³⁴¹+bu²²/²⁴	惡 // 全 部	BeijingDaxue1964, Liu2007	o ²³
2322	Xiamen	all	98	962	all // all	都 // 全部	lɔŋ⁵¹₅₅ // tsuan²²/²⁴+pɔ²²	攏 // 全 部	BeijingDaxue1964, Liu2007	l ɔ ŋ ⁵¹₅₅
5	Beijing	bad	1292	1053	bad // bad // bad	壞 // 壞 // 壞	xuai⁵¹ // lai⁵¹ // xai⁵¹	壞 // 賴 // 壞	BeijingDaxue1964, BeijingDaxue1964, Liu2007	x u a i ⁵¹
237	Changsha	bad	1292	1053	bad // bad // bad	壞 // 壞 // 壞	fai²¹ // fai¹¹ // kuai⁴¹	壞 // 壞 // 拐	BeijingDaxue1964, Liu2007, Liu2007	f a i ²¹
469	Chengdu	bad	1292	1053	bad // bad	壞 // 壞	xuai¹³ // xuai²¹³	壞 // 壞	BeijingDaxue1964, Liu2007	x u a i ¹³
701	Fuzhou	bad	1292	1053	bad // bad // bad // bad	壞 // 壞 // 壞 // 壞	pʰai³¹ // ŋai⁵² // pʰai³² // ŋai⁵³	! □ // ! // 痞 // 呆	BeijingDaxue1964, BeijingDaxue1964, Liu2007, Liu2007	pʰ a i ³¹
933	Guangzhou	bad	1292	1053	bad // bad	壞 // 壞	wai²² // uai²²	壞 // 壞	BeijingDaxue1964, Liu2007	w a i ²²
1165	Jinan	bad	1292	1053	bad // bad // bad	壞 // 壞 // 壞	xuɛ²¹ // nɔ²¹³ // xuɛ³¹	壞 // 孬 // 壞	BeijingDaxue1964, BeijingDaxue1964, Liu2007	x u ɛ ²¹
1397	Meixian	bad	1292	1053	bad // bad // bad	壞 // 壞 // 壞	fai⁴² // fai⁵³ // pe³¹	壞 // 壞 // 鄙	BeijingDaxue1964, Liu2007, Liu2007	f a i ⁴²
1629	Nanchang	bad	1292	1053	bad // bad	壞 // 壞	fai³¹ // fai²¹	壞 // 壞	BeijingDaxue1964, Liu2007	f a i ³¹
1861	Suzhou	bad	1292	1053	bad // bad // bad // bad	壞 // 壞 // 壞 // 壞	uɒ⁵¹³ // tɕʰiʏ⁴⁴ // tɕʰiʏ⁴⁴ // uɑ⁴¹²	壞 // ! □ // 恘 // 壞	BeijingDaxue1964, BeijingDaxue1964, Liu2007, Liu2007	u ɒ ⁵¹³
2093	Wenzhou	bad	1292	1053	bad // bad	壞 // 壞	mɜ³¹ // mə³⁴¹	毛 // 毛	BeijingDaxue1964, Liu2007	m ɜ ³¹
2325	Xiamen	bad	1292	1053	bad // bad // bad	壞 // 壞 // 壞	pʰãĩ∼⁵¹ // mãĩ∼⁵¹ // pʰai⁵³	! □ //  // 否	BeijingDaxue1964, BeijingDaxue1964, Liu2007	pʰ ã ĩ ∼ ⁵¹
9	Beijing	below, under	1485	732	*under, below // *under, below // under // under	下面 // 下面 // 下面 // 下面	ti²¹⁴₂₁ɕia⁰ // ɕia⁵¹tʰou⁰ // ɕia⁵¹+tʰou¹ // ɕia⁵¹+piar¹	底下 // 下頭 // 下头 // 下边	BeijingDaxue1964, BeijingDaxue1964, Hou2004, Hou2004	t i ²¹⁴₂₁ ɕ i a ⁰
241	Changsha	below, under	1485	732	*under, below // under // under // under // under	下面 // 下面 // 下面 // 下面 // 下面	xa²¹təu⁰ // ɕia¹¹+miẽ∼⁰ // tɕio²⁴+xa¹¹ // ti⁴¹+xa¹¹ // ɕia¹¹+təu⁰	下頭 // 下面 // 脚下 // 底下 // 下头	BeijingDaxue1964, Hou2004, Hou2004, Hou2004, Hou2004	x a ²¹ t ə u ⁰
473	Chengdu	below, under	1485	732	*under, below // *under, below // under // under // under // under	下面 // 下面 // 下面 // 下面 // 下面 // 下面	ti⁵³ɕia¹³₃₁ // ɕia¹³tʰəu³¹ // ɕia¹³+tʰəu³¹/⁵⁵ // ɕia¹³+pian⁵⁵ // ɕia¹³+mian¹³ // ti⁵³+ɕia¹³	底下 // 下頭 // 下头 // 下边 // 下面 // 底下	BeijingDaxue1964, BeijingDaxue1964, Hou2004, Hou2004, Hou2004, Hou2004	t i ⁵³ ɕ i a ¹³₃₁
705	Fuzhou	below, under	1485	732	*under, below // under	下面 // 下面	a²⁴²₃₁lɛ³¹ // a²⁴²/³²+lɛ³²	下底 // 下底	BeijingDaxue1964, Hou2004	a ²⁴²₃₁ l ɛ ³¹
937	Guangzhou	below, under	1485	732	*under, below // under // under	下面 // 下面 // 下面	ha²²pin²² // ha²²+pin²² // ha²²+tɐi⁵⁵	下便 // 下便 // 下低	BeijingDaxue1964, Hou2004, Hou2004	h a ²² p i n ²²
