ID	NUMBER	GLOSS	TBL_ID	CONCEPTICON_ID	OTHER_ID	OTHER_GLOSS	OTHER_CHINESE	SOURCE
148	148	one	797	1493	170	one	一	Liu2007
149	149	the otter	317	15				!!!
150	150	outside	714	762	470	外面	out, outside	BeijingDaxue1964
151	151	the pig	284	1337	32	pig	猪	Hou2004
152	152	to plant (vegetals, rice)	1774	1486				!!!
153	153	to play	1703	1413	644	玩兒	play	BeijingDaxue1964
154	154	to pull	1568	1455	538	拉	pull	BeijingDaxue1964
155	155	to push	1689	1452	534	推	push	BeijingDaxue1964
156	156	the rain	10	658	5	雨	rain	BeijingDaxue1964
157	157	the rainbow	11	1733	14	虹	rainbow	BeijingDaxue1964
158	158	red	1007	156	52	red	紅	Liu2007
159	159	to reside (live)	1452	1099				!!!
160	160	the rice plant	439	2026	137	稻子	rice plant	BeijingDaxue1964
161	161	right	711	1019	173	rightside	右邊	Liu2007
162	162	the river	30	666	50	river	江	Liu2007
163	163	the road	38	667	77		path	Liu2007
164	164	the root	375	670	40	root	根	Liu2007
165	165	the rope	619	1218	296	繩子	rope	BeijingDaxue1964
166	166	round	990	1395	709	圓	circular, round	BeijingDaxue1964
167	167	to run	1544	1519	568	跑	run	BeijingDaxue1964
168	168	the salt	61	1274	166	salt	鹽	Liu2007
169	169	salty	1076	1091	766	鹹	salty	BeijingDaxue1964
170	170	the sand	44	671	107	sand	沙子	Liu2007
171	171	to scratch	1530	1436	656	抓癢	scratch (to relieve itch)	BeijingDaxue1964
172	172	the sea	32	1474	45	sea	海	Liu2007
173	173	to see	1471	1409	500	看	look, see	BeijingDaxue1964
174	174	the seed	405	714	193	seed	種籽	Liu2007
175	175	seven	803	1704	169	seven	七	Hou2004
176	176	sharp	1020	1396	746	快(鋒利)	sharp (knife)	BeijingDaxue1964
177	177	the sheep	275	1331	91		sheep, goat	BejingDaxue1964
178	178	to shoot (an arrow)	1611	1172				!!!
179	179	short	973	1645	697	短	short	BeijingDaxue1964
180	180	the shoulder	90	1482				!!!
181	181	shy	1365	487	805	害羞	shy	BeijingDaxue1964
182	182	the sickle	624	341	332	鐮刀	sickle (tool)	BeijingDaxue1964
183	183	to sing	1184	1261	12	sing	唱	Liu2007
184	184	six	802	1703	168	six	六	Hou2004
185	185	the skin	120	763	93	skin	皮膚	Liu2007
186	186	the sky	1	1732	136	sky	天空	Liu2007
187	187	to sleep	1646	1585	650	睡覺	sleep	BeijingDaxue1964
188	188	small	965	1246	692	小	small	BeijingDaxue1964
189	189	to smell (perceive odor) [transitive]	1707	1586	504	聞	smell (something)	BeijingDaxue1964
190	190	the smoke	19	778	165			Liu2007
191	191	smooth	1037	1234	95	smooth	平	Liu2007
192	192	the snake	347	730	123	蛇	snake	BeijingDaxue1964
193	193	the snow	12	784	9	雪	snow	BeijingDaxue1964
194	194	soft	1035	1856	731	軟	soft, flexible	BeijingDaxue1964
195	195	the son	220	1620	457	兒子	son	BeijingDaxue1964
196	196	the sparrow	336	1854	77	麻雀	sparrow	BeijingDaxue1964
197	197	the spider	361	843	121	蜘蛛	spider	BeijingDaxue1964
198	198	to spit	1688	1440	141	spit	吐	Liu2007
199	199	to stand	1784	1442	185	stand	站	Liu2007
200	200	the star	5	1430	3	星	star	BeijingDaxue1964
201	201	to steal	1686	713				!!!
202	202	the stick	586	1295	43	stick	棍子	Liu2007
203	203	the stone (a piece of)	0043	857	59	石頭	stone	BeijingDaxue1964
204	204	straight	1003	1404	716	直	straight, erect	BeijingDaxue1964
205	205	the sun	2	1343	1	太陽	sun	BeijingDaxue1964
206	206	the tail	267	1220	128	尾巴	tail	BeijingDaxue1964
207	207	ten	806	1515	172	ten	十	Hou2004
208	208	that	947	78	823	那些	those	BeijingDaxue1964
209	209	there	950	1937	827	那邊	that side, there	BeijingDaxue1964
210	210	thick	980	1244	702	厚	thick	BeijingDaxue1964
211	211	the thigh	100	800	399	大腿	thigh (upper leg)	BeijingDaxue1964
212	212	thin (object)	981	2307	6		thin	Liu2007
213	213	to think (reflect)	1726	1415	155	think	想	Liu2007
214	214	this	942	1214	822	這些	these	BeijingDaxue1964
215	215	thou [second person singular]	931	1215	807	你	you (second person singular)	BeijingDaxue1964
216	216	three	799	492	104	three	三	Liu2007
217	217	to throw	1687	1456	564	扔	throw, throw away	BeijingDaxue1964
218	218	the thunder	8	1150	494	打雷	thunder	BeijingDaxue1964
219	219	the tiger	304	846	63	老虎	tiger	BeijingDaxue1964
220	220	today	738	1283	29	今天	today	BeijingDaxue1964
221	221	tomorrow	742	1329	30	明天	tomorrow	BeijingDaxue1964
222	222	the tongue	139	1205	388	舌頭	tongue	BeijingDaxue1964
223	223	the tooth (front)	137	1380	164	tooth	牙齒	Liu2007
224	224	the tree	372	906	119	tree	樹	Liu2007
225	225	twenty	816	1710	175	twenty	二十	Hou2004
226	226	two	798	1498	31	two	二	Liu2007
227	227	to vomit	1535	1278	91	vomit	嘔吐	Liu2007
228	228	to walk	1815	1443	567	走	walk, go (on foot), leave	BeijingDaxue1964
229	229	the water	47	948	123	water	水	Liu2007
230	230	we [first person plural inclusive]	930	1131	810	咱們	we (first person plural inclusive)	BeijingDaxue1964
231	231	wet	1029	1726	726	濕	wet	BeijingDaxue1964
232	232	what	954	1236	831	什麽	what	BeijingDaxue1964
233	233	the wheat	410	1077	141	麥子	wheat	BeijingDaxue1964
234	234	where	955	1237	834	哪邊	which place, where	BeijingDaxue1964
235	235	white	1006	1335	1	white	白	Liu2007
236	236	who	953	1235	830	誰	who	BeijingDaxue1964
237	237	the wife	248	1199	445	妻子	wife	BeijingDaxue1964
238	238	the wind	9	960	4	風	wind	BeijingDaxue1964
239	239	the wing	298	1257	125	翅膀	wing	BeijingDaxue1964
240	240	to wipe	1163	1454				!!!
241	241	the wolf	324	522	66	狼	wolf	BeijingDaxue1964
242	242	the woman	174	962	402	女人	woman	BeijingDaxue1964
243	243	the wood (material)	511	1803	336	木頭	wood	BeijingDaxue1964
244	244	to sow (broadcast, scatter seeds)	1597	748				!!!
245	245	the year	777	1226	88	year	年	Liu2007
246	246	yellow	1008	1424	58	yellow	黃	Liu2007
247	247	yesterday	739	1174	33	昨天	yesterday	BeijingDaxue1964
248	248	you [second person plural]	933	1213	811	你們	you (second person plural)	BeijingDaxue1964
249	249	young	1059	1207	779	年輕	young	BeijingDaxue1964
250	250	the shit	151	676	658	拉(拉屎)	defecate, shit	BeijingDaxue1964
