# Wordlist

# META
@tree:(((((Beijing,Shenyang),Jinan),Xian),((((Changsha,Nanchang),((((((Chaozhou,Xiamen),Fuzhou),Meixian),(Guangzhou,Yangjiang)),Wenzhou),Suzhou)),(Hefei,Yangzhou)),Kunming)),Chengdu);

# DATA
ID	DOCULECT	CONCEPT	HANZI	ENTRY_IN_SOURCE	BEIDA_ID	IPA	TOKENS	NOTE	GLOSS_IN_SOURCE	COGID	ALIGNMENT
16269	Kunming	above	上首	ʂã¹³ʂəu⁵³	471	ʂã¹³ʂəu⁵³	ʂ ã ∼ ¹³ ʂ ə u ⁵³		top, top side // top	107	ʂ ã ∼ ¹³ ʂ ə u ⁵³
16270	Hefei	above	割 頭	*kɐʔ⁴tʰɯ⁰	471	kɐʔ⁴tʰɯ⁰	k ɐ ʔ ⁴ tʰ ɯ ⁰	[*]	top, top side // top	225	k ɐ ʔ ⁴ tʰ ɯ ⁰
16271	Hefei	above	上頭	[2] ʂɑ̃⁵³tʰɯ⁰	471	ʂɑ̃⁵³tʰɯ⁰	ʂ ɑ̃ ∼ ⁵³ tʰ ɯ ⁰	[2]	top, top side // top	106	ʂ ɑ̃ ∼ ⁵³ tʰ - ɯ ⁰
16272	Yangzhou	above	高頭	kɔ³¹tʰɤɯ⁰	471	kɔ³¹tʰɤɯ⁰	k ɔ ³¹ tʰ ɤ ɯ ⁰		top, top side // top	1101	k ɔ - ³¹ tʰ ɤ ɯ ⁰
#
34737	Kunming	all	都	tu⁴⁴	884	tu⁴⁴	t u ⁴⁴		all	993	t u - ⁴⁴
34732	Beijing	all	全	[2] tɕʰyan³⁵	884	tɕʰyan³⁵	tɕʰ y a n ³⁵	[2]	all	195	tɕʰ y a n ³⁵
34734	Shenyang	all	都	tou³³	884	tou³³	t o u ³³		all	993	t o u ³³
34736	Chengdu	all	都	təu⁴⁴	884	təu⁴⁴	t ə u ⁴⁴		all	993	t ə u ⁴⁴
34740	Suzhou	all	才	*zɛ²⁴	884	zɛ²⁴	z ɛ ²⁴	[*]	all	463	z ɛ ²⁴
34744	Meixian	all	都	tu⁴⁴	884	tu⁴⁴	t u ⁴⁴		all	993	t u - ⁴⁴
34731	Beijing	all	都	tou⁵⁵	884	tou⁵⁵	t o u ⁵⁵		all	993	t o u ⁵⁵
34733	Jinan	all	都	tou²¹³	884	tou²¹³	t o u ²¹³		all	993	t o u ²¹³
34741	Wenzhou	all	惡	*o²³	884	o²³	o ²³	[*]	all	447	o ²³
34742	Changsha	all	!	xa²¹	884	xa²¹	x a ²¹		all	2	x - - a - ²¹ - - - - - -
34743	Nanchang	all	都	tu⁴²	884	tu⁴²	t u ⁴²		all	993	t u - ⁴²
34745	Guangzhou	all	曬	*ʃai³³	884	ʃai³³	ʃ a i ³³	[*]	all	566	ʃ a i - ³³
34746	Yangjiang	all	都	tou³³	884	tou³³	t o u ³³		all	993	t o u ³³
34749	Fuzhou	all	都	tu⁴⁴	884	tu⁴⁴	t u ⁴⁴		all	993	t u - ⁴⁴
34735	Xian	all	都	tou²¹	884	tou²¹	t o u ²¹		all	993	t o u ²¹
34747	Xiamen	all	攏	lɔŋ⁵¹₅₅	884	lɔŋ⁵¹₅₅	l ɔ ŋ ⁵¹₅₅		all	514	l ɔ ŋ ⁵¹₅₅
34738	Hefei	all	都	tu²¹²	884	tu²¹²	t u ²¹²		all	993	t u - ²¹²
34739	Yangzhou	all	都	tu³¹	884	tu³¹	t u ³¹		all	993	t u - ³¹
31553	Beijing	all	大〔家〕夥兒	ta⁵¹(tɕia⁰)xuor²¹⁴	813	ta⁵¹xuor²¹⁴	t a ⁵¹ x u o r ²¹⁴		all, everybody	318	t a ⁵¹ x u o r ²¹⁴
31554	Jinan	all	大夥兒	ta²¹xuər⁵⁵	813	ta²¹xuər⁵⁵	t a ²¹ x u ə r ⁵⁵		all, everybody	319	t a ²¹ x u ə r ⁵⁵
31555	Shenyang	all	大夥兒	ta⁴¹xuər²¹³	813	ta⁴¹xuər²¹³	t a ⁴¹ x u ə r ²¹³		all, everybody	319	t a ⁴¹ x u ə r ²¹³
31556	Xian	all	大家	tɑ⁴⁵tɕiɑ⁰	813	tɑ⁴⁵tɕiɑ⁰	t ɑ ⁴⁵ tɕ i ɑ ⁰		all, everybody	320	t ɑ - ⁴⁵ tɕ i ɑ ⁰
31557	Chengdu	all	大家	ta¹³tɕia⁴⁴	813	ta¹³tɕia⁴⁴	t a ¹³ tɕ i a ⁴⁴		all, everybody	320	t a - ¹³ tɕ i a ⁴⁴
31558	Kunming	all	大家	ta¹³tɕia⁴⁴	813	ta¹³tɕia⁴⁴	t a ¹³ tɕ i a ⁴⁴		all, everybody	320	t a - ¹³ tɕ i a ⁴⁴
31559	Hefei	all	大家	ta⁵³tɕia²¹²	813	ta⁵³tɕia²¹²	t a ⁵³ tɕ i a ²¹²		all, everybody	320	t a - ⁵³ tɕ i a ²¹²
31560	Yangzhou	all	大家	tɑ⁵⁵kɑ⁰	813	tɑ⁵⁵kɑ⁰	t ɑ ⁵⁵ k ɑ ⁰		all, everybody	320	t ɑ - ⁵⁵ k - ɑ ⁰
31561	Suzhou	all	大家	dɒ³¹₂₂kɒ⁴⁴	813	dɒ³¹₂₂kɒ⁴⁴	d ɒ ³¹₂₂ k ɒ ⁴⁴		all, everybody	320	d ɒ - ³¹₂₂ k - ɒ ⁴⁴
31562	Wenzhou	all	大家人	da¹¹ko⁴⁴naŋ⁰	813	da¹¹ko⁴⁴naŋ⁰	d a ¹¹ k o ⁴⁴ n a ŋ ⁰		all, everybody	321	d a - ¹¹ k o ⁴⁴ n - a ŋ ⁰
31563	Changsha	all	大家	tai²¹ka³³	813	tai²¹ka³³	t a i ²¹ k a ³³		all, everybody	320	t a i ²¹ k - a ³³
31564	Nanchang	all	大家	tʰai³¹ka⁴²	813	tʰai³¹ka⁴²	tʰ a i ³¹ k a ⁴²		all, everybody	320	tʰ a i ³¹ k - a ⁴²
31565	Nanchang	all	大間	[2] *tʰai³¹kan⁰	813	tʰai³¹kan⁰	tʰ a i ³¹ k a n ⁰	[2][*]	all, everybody	327	tʰ a i ³¹ k a n ⁰
31566	Meixian	all	齊家	tsʰɛ¹²ka⁴⁴	813	tsʰɛ¹²ka⁴⁴	tsʰ ɛ ¹² k a ⁴⁴		all, everybody	1124	tsʰ ɛ ¹² k a ⁴⁴
31567	Guangzhou	all	大家	tai²²ka⁵³	813	tai²²ka⁵³	t a i ²² k a ⁵³		all, everybody	320	t a i ²² k - a ⁵³
31568	Guangzhou	all	大眾	[2] tai²²tʃʊŋ³³	813	tai²²tʃʊŋ³³	t a i ²² tʃ ʊ ŋ ³³	[2]	all, everybody	322	t a i ²² tʃ ʊ ŋ ³³
31569	Yangjiang	all	大家	tai⁴⁵⁴ka³³	813	tai⁴⁵⁴ka³³	t a i ⁴⁵⁴ k a ³³		all, everybody	320	t a i ⁴⁵⁴ k - a ³³
31570	Xiamen	all	大家	tai³³₁₁ke³³	813	tai³³₁₁ke³³	t a i ³³₁₁ k e ³³		all, everybody	320	t a i ³³₁₁ k - e ³³
31571	Chaozhou	all	大家	tai³⁵₂₁ke³³	813	tai³⁵₂₁ke³³	t a i ³⁵₂₁ k e ³³		all, everybody	320	t a i ³⁵₂₁ k - e ³³
31572	Fuzhou	all	大家人	tai²⁴²₄₄a⁴⁴(k-)nøyŋ⁵²	813	tai²⁴²₄₄a⁴⁴nøyŋ⁵²	t a i ²⁴²₄₄ a ⁴⁴ n ø y ŋ ⁵²		all, everybody	321	t a i ²⁴²₄₄ - a ⁴⁴ n ø y ŋ ⁵²
31573	Fuzhou	all	各人	[2] kɔʔ²³₃₁nøyŋ⁵²	813	kɔʔ²³₃₁nøyŋ⁵²	k ɔ ʔ ²³₃₁ n ø y ŋ ⁵²	[2]	all, everybody	244	k ɔ ʔ ²³₃₁ n ø y ŋ ⁵²
34748	Chaozhou	all	攏	loŋ⁵³	884	loŋ⁵³	l o ŋ ⁵³		all	514	l o ŋ ⁵³
#
28597	Beijing	bad	壞	xuai⁵¹	751	xuai⁵¹	x u a i ⁵¹		bad	306	x u a i ⁵¹
28598	Beijing	bad	賴	[2] lai⁵¹	751	lai⁵¹	l a i ⁵¹	[2]	bad	952	l a i ⁵¹
28599	Jinan	bad	壞	xuɛ²¹	751	xuɛ²¹	x u ɛ ²¹		bad	306	x u - ɛ ²¹
28600	Jinan	bad	孬	[2] nɔ²¹³	751	nɔ²¹³	n ɔ ²¹³	[2]	bad	377	n ɔ ²¹³
28601	Shenyang	bad	壞	xuai⁴¹	751	xuai⁴¹	x u a i ⁴¹		bad	306	x u a i ⁴¹
28602	Xian	bad	壞	xuæ⁴³	751	xuæ⁴³	x u æ ⁴³		bad	306	x u - æ ⁴³
28603	Xian	bad	瞎	[2] xɑ²¹	751	xɑ²¹	x ɑ ²¹	[2]	bad	712	x ɑ ²¹
28604	Chengdu	bad	壞	xuai¹³	751	xuai¹³	x u a i ¹³		bad	306	x u a i ¹³
28605	Kunming	bad	壞	xuɛ¹³	751	xuɛ¹³	x u ɛ ¹³		bad	306	x u - ɛ ¹³
28606	Hefei	bad	壞	xuɛ⁵³	751	xuɛ⁵³	x u ɛ ⁵³		bad	306	x u - ɛ ⁵³
28607	Yangzhou	bad	壞	xuɛ⁵⁵	751	xuɛ⁵⁵	x u ɛ ⁵⁵		bad	306	x u - ɛ ⁵⁵
28608	Suzhou	bad	壞	uɒ⁵¹³,ɦuɒ³¹	751	uɒ⁵¹³	u ɒ ⁵¹³		bad	306	- u - ɒ ⁵¹³
