# Wordlist

# META
@modified:2015-01-20 10:39

# DATA
ID	GLOSS_IN_SOURCE	SOURCE	ENTRY_IN_SOURCE	POS	CHINESE_GLOSS	DOCULECT	IPA	CONCEPT	ID_IN_SOURCE	PST
122	bed	Wang2006a	(ŋu22ti22tɕʰu42qʰa44)	?	?	Ega	ŋu₂₂ti₂₂t͡ɕʰu₄₂qʰa₄₄	bed	526	CVTCVTCVTCVT
123	bed	Wang2006a	(ũ42fi22tɕʰu42)	?	?	Jinman	ũ₄₂fi₂₂t͡ɕʰu₄₂	bed	526	VTCVTCVT
124	bed	Wang2006a	tsõ21	?	?	Jinxing	t͡sõ₂₁	bed	526	CVT
125	bed	Wang2006a	(kʰo33)	?	?	Dashi	kʰo₃₃	bed	526	CVT
126	bed	Wang2006a	tso21	?	?	Zhoucheng	t͡so₂₁	bed	526	CVT
127	bed	Wang2006a	(tɕʰyi21)	?	?	Mazhelong	t͡ɕʰyi₂₁	bed	526	CVT
128	bed	Allen2007	tsõũ21	?	床	Jianchuan	t͡sõũ₂₁	bed	226	CVT
129	bed	Allen2007	tʂɔ31	?	床	Eryuan	t͡ʂɔ₃₁	bed	226	CVT
130	bed	Allen2007	tsɔ̃ũ21	?	床	Heqi	t͡sɔ̃ũ₂₁	bed	226	CVT
131	bed	Allen2007	tsɔ33	?	床	Lanping	t͡sɔ₃₃	bed	226	CVT
132	bed	Allen2007	tso21	?	床	Qiliqiao	t͡so₂₁	bed	226	CVT
133	bed	Allen2007	kʰɤ31	?	床	Yunlong	kʰɤ₃₁	bed	226	CVT
134	bed	Allen2007	pʰẽ31	?	床	Xiangyun	pʰẽ₃₁	bed	226	CVT
135	bed	Allen2007	ɴ̣33tĩ33ʧʰʊ31qʰã42	?	床	Luobenzhuo	ɴ̣₃₃tĩ₃₃ʧʰʊ₃₁qʰã₄₂	bed	226	cTCVTCVTCVT
#
136	bee	Wang2006a	fɚ̃55	?	?	Tuoluo	fɚ̃₅₅	bee	367	CVT
137	bee	Wang2006a	pfuŋ55	?	?	Gongxing	pfuŋ₅₅	bee	367	CCVcT
138	bee	Wang2006a	fo24	?	?	Enqi	fo₂₄	bee	367	CVT
