OMEGAWIKI	IPA	TOKENS	SCAID	SOURCE	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	ALIGNMENT
5468	mæ̃₃₁qua₅₅	m æ̃ ₃₁ q u a ₅₅	1197	Allen2007, 88	tail / 尾巴	mæ̃31qua55	m æ̃ ₃₁ q u a ₅₅
6040	mĩɛ̃₃₃	m ĩ ɛ̃ ₃₃	374	Allen2007, 412	full / 满	mĩɛ̃33	m ĩ ɛ̃ ₃₃
333730	ɲi₃₁qao₅₅	ɲ i ₃₁ q a o ₅₅	852	Allen2007, 155	person / 人	ɲi31qao55	ɲ i ₃₁ q a o ₅₅ - - -
858309	ʥi₃₃	ʥ i ₃₃	1218	Allen2007, 362	there is / 有	ʥi33	ʥ i ₃₃
5990	pɔ₄₄	p ɔ ₄₄	1251	Allen2007, 395	thin,flimsy / 薄	pɔ44	p ɔ ₄₄
436024	cã₄₄ɕi₃₃	c ã ₄₄ ɕ i ₃₃	926	Allen2007, 28	right(side) / 右边	cã44ɕi33	c ã ₄₄ ɕ i ₃₃
6193	t͡ɕi₃₃	t͡ɕ i ₃₃	788	Allen2007, 458	nine / 九	tɕi33	t͡ɕ i ₃₃
5484	sẽ₅₅	s ẽ ₅₅	786	Allen2007, 421	new / 新	sẽ55	s ẽ ₅₅
7003	fɔ₄₄	f ɔ ₄₄	1030	Allen2007, 455	six / 六	fɔ44	f ɔ ₄₄
5616	ɕi₃₃	ɕ i ₃₃	421	Allen2007, 135	hand / 手	ɕi33	ɕ i ₃₃
6519	ɴ̣₃₃ti₃₁	ɴ̣ ₃₃ t i ₃₁	1051	Allen2007, 288	sleep / 睡	ɴ̣33ti31	ɴ̣ ₃₃ t i ₃₁
6051	fe₅₅tʰao₃₁	f e ₅₅ tʰ a o ₃₁	1107	Allen2007, 264	spit / 吐（痰）	fe55tʰao31	f e ₅₅ tʰ a o ₃₁
1173416	da₅₅t͡ɕã₃₁	d a ₅₅ t͡ɕ ã ₃₁	3	Allen2007, 499	all / 都	da55tɕã31	d a ₅₅ t͡ɕ ã ₃₁
5987	ʑi₄₄	ʑ i ₄₄	1004	Allen2007, 425	sharp(knife) / 快(刀)	ʑi44	ʑ i ₄₄
630453	mo₅₅t͡ɕi₄₄	m o ₅₅ t͡ɕ i ₄₄	714	Allen2007, 80	mosquito / 蚊子	mo55tɕi44	m o - ₅₅ t͡ɕ i ₄₄
5481	t͡ɕĩ₄₄pa₄₂	t͡ɕ ĩ ₄₄ p a ₄₂	202	Allen2007, 20	earth / 地	tɕĩ44pa42	t͡ɕ ĩ ₄₄ p a ₄₂
619975	t͡ɕõ₄₂	t͡ɕ õ ₄₂	861	Allen2007, 293	plant(seed) / 栽种	tɕõ42	t͡ɕ õ ₄₂
5456	ɲi₅₅t͡ɕa₃₁	ɲ i ₅₅ t͡ɕ a ₃₁	1472	Allen2007, 478	you(2 p.p.) / 你们	ɲi55tɕa31	ɲ i ₅₅ t͡ɕ a ₃₁
332000	t͡ɕo₄₄qo₄₄	t͡ɕ o ₄₄ q o ₄₄	739	Allen2007, 130	mouth / 嘴	tɕo44qo44	t͡ɕ o ₄₄ q o ₄₄ - - -
5990	mɔ̃₄₄	m ɔ̃ ₄₄	1244	Allen2007, 393	fine,thin / 细	mɔ̃44	m ɔ̃ ₄₄
5491	a₅₅xã₄₂	a ₅₅ x ã ₄₂	1396	Allen2007, 489	what / 什么	a55xã42	a ₅₅ x ã ₄₂
5475	sẽ₅₅	s ẽ ₅₅	436	Allen2007, 149	heart / 心	sẽ55	s ẽ ₅₅
1149393	tɔ₅₅wã₅₅	t ɔ ₅₅ w ã ₅₅	1208	Allen2007, 486	that / 那	tɔ55wã55	t ɔ ₅₅ w ã ₅₅
3258	tao₄₂cʰɤ₃₃	t a o ₄₂ cʰ ɤ ₃₃	848	Allen2007, 171	road / 路	tao42cʰɤ33	t a o ₄₂ cʰ ɤ ₃₃
5459	nɔ₄₄	n ɔ ₄₄	1260	Allen2007, 477	you(2 p.s.) / 你	nɔ44	n ɔ ₄₄
2300	qa₂₁	q a ₂₁	684	Allen2007, 201	meat / 肉	qa21	q a ₂₁
411	sua₅₅	s u a ₅₅	75	Allen2007, 145	blood / 血	sua55	s u a ₅₅
5981	qõ₅₅	q õ ₅₅	473	Allen2007, 87	horn / 角	qõ55	q õ ₅₅
471303	t͡sɤ₃₃t͡sɤ₃₃ɕi₅₅	t͡s ɤ ₃₃ t͡s ɤ ₃₃ ɕ i ₅₅	553	Allen2007, 291	labour / 劳动	tsɤ33tsɤ33ɕi55	t͡s ɤ ₃₃ t͡s ɤ - ₃₃ ɕ - i ₅₅
6071	t͡ɕã₄₄	t͡ɕ ã ₄₄	875	Allen2007, 275	pull / 拉	tɕã44	t͡ɕ ã ₄₄
5729	ɲo₃₃ɴɔ₃₁	ɲ o ₃₃ ɴ ɔ ₃₁	708	Allen2007, 3	moon / 月亮	ɲo33ɴɔ31	ɲ o ₃₃ ɴ ɔ ₃₁
5991	ɯ̃₃₃	ɯ̃ ₃₃	174	Allen2007, 261	drink / 喝	ɯ̃33	ɯ̃ ₃₃
5946	t͡ɕo₃₃pa₅₅	t͡ɕ o ₃₃ p a ₅₅	1305	Allen2007, 131	tooth / 牙	tɕo33pa55	t͡ɕ o ₃₃ p a ₅₅
5622	tu₅₅xa₄₄	t u ₅₅ x a ₄₄	285	Allen2007, 285	fall down / 跌倒	tu55xa44	t u ₅₅ x a ₄₄
