CONCEPT	OMEGAWIKI	CHINESE	POS	WOLD	ABVD	IELex	SWADESH_1952	SWADESH_1955	TowerOfBabel
the moon	5729	月亮	Noun	1.53	moon (129)	moon (102)	-	moon(54)	moon(18)
the mosquito	630453	-	Noun	3832	mosquito (109)	-	-	-	-
the mother	5463	母亲	Noun	2.36	mother (59)	mother (103)	mother(97)	-	-
the mountain	2421	山	Noun	1.22	-	mountain (104)	mountain(98)	mountain(55)	mountain(107)
the mouth	332000	嘴	Noun	4.24	mouth (30)	mouth (105)	mouth(99)	mouth(56)	mouth(33)
the nail (fingernail or claw)	828575	爪子	Noun	-	-	fingernail (50)	-	claw (nail)(13)	claw (nail)(19)
the name	5995	名字	Noun	18.28	name (63)	name (106)	name(100)	name(57)	name(10)
narrow	5566	窄	Adjective	12.62	narrow (158)	narrow (107)	narrow(101)	-	-
near	869106	近	Adverb	12.43	near (179)	near (108)	near(102)	-	near(95)
the neck	5823	脖子	Noun	4.28	neck (25)	neck (109)	neck(103)	neck(58)	neck(48)
the needle (for sewing)	5951	-	Noun	6.36	needle (68)	-	-	-	-
new	5484	新	Adjective	14.13	new (163)	new (110)	new(104)	new(59)	new(23)
the night	5486	晚上	Noun	14.42	night (167)	night (111)	night(105)	night(60)	night(86)
nine	6193	-	Function word	13.09	Nine (205)	-	-	-	-
the nose	5471	鼻子	Noun	4.23	nose (27)	nose (112)	nose(106)	nose(61)	nose(31)
not	5495	不	Function word	24.06	no, not (195)	not (113)	not(107)	not(62)	not(32)
old (of person)	5482	老	Adjective	14.15	old (162)	old (114)	old(108)	-	-
one	6244	一	Function word	13.01	One (197)	one (115)	one(109)	one(63)	one(21)
to open	513017	-	Verb	12.24	to open, uncover (92)	-	-	-	-
other	1406403	-	Function word	24.11	other (190)	other (116)	other(110)	-	-
painful	496633	-	Adjective	-	painful, sick (160)	-	-	-	-
the person	333730	人	Noun	2.1	person/human being (53)	person (117)	person(111)	person(64)	person(83)
to plant (grow)	619975	-	Verb	8531	to plant // to grow (84 // 86)	-	-	-	-
to play	6010	玩	Verb	16.26	-	play (118)	to play(112)	-	-
to pull	6071	拉	Verb	9.33	-	pull (119)	to pull(113)	-	-
to push	6068	推	Verb	10.67	-	push (120)	to push(114)	-	-
the rain	3100	雨	Noun	1.75	rain (133)	rain (121)	-	rain(65)	rain(45)
the mouse or rat	6233,6237	-	Noun	3.63,3.63	rat (102)	-	-	-	-
red	1333710	红	Adjective	15.66	red (149)	red (122)	red(116)	red(66)	red(91)
to reside (live)	478515	-	Verb	7.11	to live, be alive (76)	-	-	-	-
right	436024	右边	Adjective	12.41	-	rightside (124)	right (hand)(118)	-	-
the river	3253	江	Noun	1.36	-	river (125)	river(119)	-	-
the road	3258	路	Noun	10.71	road/path (6)	road (126)	road (or trail)(120)	road(67)	road(64)
the roof	344031	-	Noun	7.51	thatch/roof (62)	-	-	-	-
the root	3269	根	Noun	8.54	root (115)	root (127)	root(121)	root(68)	root(55)
the rope	5465	绳子	Noun	9.19	rope (65)	rope (128)	rope(122)	-	-
rotten (of fruits)	7031	腐烂	Adjective	5125	rotten (112)	rotten (129)	rotten (especially log)(123)	-	-
round	5984	圆	Adjective	12.81	-	round (130)	-	round(69)	round(94)
to rub	6062	擦	Verb	9.31	-	rub (131)	to rub(124)	-	-
the salt	5599	盐	Noun	5.81	salt (125)	salt (132)	salt(125)	-	salt(66)
the sand	3305	沙子	Noun	1215	sand (121)	sand (133)	sand(126)	sand(70)	sand(103)
to say	6075	说	Verb	18.22	to say (64)	say (134)	say(127)	say(71)	say(67)
to scratch	6047	抓	Verb	4.8541	to scratch (77)	scratch (135)	to scratch (as with fingernails to relieve itch)(128)	-	-
to see	6003	看见	Verb	15.51	to see (46)	see (137)	see(130)	see(72)	see(87)
the seed	3361	种子	Noun	8311	-	seed (138)	seed(131)	seed(73)	seed(69)
seven	7004	-	Function word	13.07	Seven (203)	-	-	-	-
to sew	6073	缝	Verb	6.35	to sew (67)	sew (139)	to sew(132)	-	-
sharp	5987	锋利	Adjective	15.78	sharp (81)	sharp (140)	sharp (as knife)(133)	-	-
to shoot (an arrow)	522875	-	Verb	20.62	to shoot (70)	-	-	-	-
short	6746	短	Adjective	12.59	short (154)	short (141)	short(134)	-	short(104)
the shoulder	6186	-	Noun	4.3	shoulder (19)	-	-	-	-
shy	155571	-	Adjective	-	shy, ashamed (161)	-	-	-	-
sick	7800	-	Adjective	4.84	painful, sick (160)	-	-	-	-
to sing	5540	唱	Verb	18.12	-	sing (142)	to sing(135)	-	-
to sit	6022	坐	Verb	12.13	to sit (51)	sit (143)	sit(136)	sit(74)	sit(54)
six	7003	-	Function word	13.06	Six (202)	-	-	-	-
the skin	3430	皮肤	Noun	4.12	skin (12)	skin (144)	skin (person's)(137)	skin(75)	skin(60)
the sky	7039	天空	Noun	1.51	sky (128)	sky (145)	sky(138)	-	-
to sleep	6519	睡	Verb	4.61	to sleep (48)	sleep (146)	sleep(139)	sleep(76)	sleep(73)
small	5509	小	Adjective	12.56	small (152)	small (147)	small(140)	small(77)	small(110)
to smell (perceive odor) [transitive]	6520	闻	Verb	15.22	to sniff, smell (29)	smell (148)	to smell (perceive odor)(141)	-	-
the smoke	3451	烟	Noun	1.83	smoke (145)	smoke (149)	smoke (of fire)(142)	smoke(78)	smoke(40)
smooth	5487	平	Adjective	15.77	-	smooth (150)	smooth(143)	-	-
the snake	3388	蛇	Noun	3.85	snake (106)	snake (151)	snake(144)	-	snake(85)
the snow	3455	雪	Noun	1.76	-	snow (152)	snow(145)	-	-
some	5499	-	Function word	13181	-	some (153)	some(146)	-	-
the spider	3588	-	Noun	3818	spider (110)	-	-	-	-
to spit	6051	吐	Verb	4.56	to spit (36)	spit (154)	to spit(147)	-	-
to split	6048	撕裂	Verb	9.27	to split (80)	split (155)	to split(148)	-	-
to squeeze	6017	压	Verb	9343	to squeeze (88)	squeeze (156)	to squeeze(149)	-	-
to stab	6045	刺	Verb	9223	to stab, pierce (71)	stab (157)	to stab (or stick)(150)	-	-
to stand	6053	站	Verb	12.15	to stand (52)	stand (158)	to stand(151)	stand(79)	stand(41)
the star	6041	星星	Noun	1.54	star (130)	star (159)	star(152)	star(80)	star(46)
to steal	336072	-	Verb	21.51	to steal (73)	-	-	-	-
the stick	5662	棍子	Noun	-	stick/wood (79)	stick (160)	stick (of wood)(153)	-	-
the stone (a piece of)	3633	石头	Noun	1.44	stone (120)	stone (161)	stone(154)	stone(81)	stone(9)
straight	5994	直	Adjective	12.73	-	straight (162)	straight(155)	-	-
to suck	6027	吮	Verb	5.16	to suck (42)	suck (163)	to suck(156)	-	-
the sun	5850	太阳	Noun	1.52	-	sun (164)	sun(157)	sun(82)	sun(39)
to swell	6454	肿	Verb	-	to swell (87)	swell (165)	to swell(158)	-	-
to swim	6050	游泳	Verb	10.35	to swim (9)	swim (166)	to swim(159)	swim(83)	swim(78)
the tail	5468	尾巴	Noun	4.18	tail (105)	tail (167)	tail(160)	tail(84)	tail(27)
ten	6312	-	Function word	13.1	Ten (206)	-	-	-	-
that	1149393	那	Function word	24.08	that (178)	that (168)	that(161)	that(85)	that(36)
there	858309	那儿	Function word	24.1	-	there (169)	there(162)	-	-
they [third person plural]	352331	他们	Function word	2.96	they (187)	they (170)	they(163)	-	-
