Doculect	CONCEPT	HANZI	IPA	NOTE
Rucheng	where	□□	lai2 ʨi1	
Rucheng	where	□样地方	lai2 iaŋ6 ti6 faŋ1	
Rucheng	where	□样□□	lai2 iaŋ6 tu6 tiaŋ1	
Rucheng	white	白	po̞6	
Rucheng	who	□个	lai2 kɛi5	
Rucheng	wide	宽	k'ua1	
Rucheng	the wife	夫娘	fu1 ɲiaŋ6	
Rucheng	the wind	风	fuŋ1	
Rucheng	the wing	翅膀	ʨi5 pa6	
Rucheng	the woman	女人	ɲy3 ɲin6	
Rucheng	the wood (material)	木头	mu5 təu6	
Rucheng	the work	做事	ʦu5 sɿ6	
Rucheng	the worm	□子	ɕya3 ʨi3	
Rucheng	to yawn	□□	xuai1 ɕia5	
Rucheng	the year	年	ɲia2	
Rucheng	yellow	黄	uaŋ2	
Rucheng	you [second person plural]	□□	ŋ1 no̞3	
Rucheng	you [second person plural]	□几	ŋ1 ʨi3	
