# Wordlist

# DATA
ID	GFN	CONCEPT	LGID	RGEN	STEDT_GLOSS	REFLEX	DOCULECT	SRCID	SRCABBR	STEDT_RN	IPA	TOKENS
4801		old (of person)	1806	399442	old / elderly	kə mtʂo	rGyalrong (Maerkang)	1058.11	TBL	4801	kə mtʂo	k ə _ m ◦ tʂ o
38737		old (of person)	1825	399459	old / elderly	mɔŋ³¹	Achang (Xiandao)	1058.29	TBL	38737	mɔŋ³¹	m ɔ ŋ ³¹
71723		old (of person)	1843	399475	old / elderly	mu⁵⁵	Naxi	1058.45	TBL	71723	mu⁵⁵	m u ⁵⁵
40479		old (of person)	1826	399435	old / elderly	gɛ⁵⁵po⁵³	Tibetan (Batang)	1058.03	TBL	40479	gɛ⁵⁵po⁵³	g ɛ ⁵⁵ ◦ p o ⁵³
6757		old (of person)	1807	399443	old / elderly	gə dar	Daofu	1058.12	TBL	6757	gə dar	g ə _ d a r
73542		old (of person)	1844	399476	old / elderly	vu³³dʐɿ⁵³	Namuyi	1058.46	TBL	73542	vu³³dʐɿ⁵³	v u ³³ ◦ dʐ ɿ ⁵³
8651		old (of person)	1808	399444	old / elderly	ga¹³rge⁵⁵	Queyu (Xinlong)	1058.13	TBL	8651	ga¹³rge⁵⁵	g a ¹³ r ◦ g e ⁵⁵
17861		old (of person)	1813	399448	old / elderly	tho³³mo⁵³	Lyuzu	1058.18	TBL	17861	tho³³mo⁵³	th o ³³ ◦ m o ⁵³
42397		old (of person)	1827	399460	old / elderly	maŋ²¹	Atsi [Zaiwa]	1058.30	TBL	42397	maŋ²¹	m a ŋ ²¹
44230		old (of person)	1828	399461	old / elderly	mɔ̃³⁵	Langsu (Luxi)	1058.31	TBL	44230	mɔ̃³⁵	m ɔ̃ ∼ ³⁵
77096		old (of person)	1846	399477	old / elderly	ku³³	Bai (Jianchuan)	1058.48	TBL	77096	ku³³	k u ³³
12432		old (of person)	1810	399446	old / elderly	ndæ³³ndæ⁵³	Muya	1058.15	TBL	12432	ndæ³³ndæ⁵³	n ◦ d æ ³³ n ◦ d æ ⁵³
46026		old (of person)	1829	399462	old / elderly	mɔ̃³¹	Bola (Luxi)	1058.32	TBL	46026	mɔ̃³¹	m ɔ̃ ∼ ³¹
51390		old (of person)	1832	399465	old / elderly	mo²¹su³³	Yi (Xide)	1058.35	TBL	51390	mo²¹su³³	m o ²¹ ◦ s u ³³
80497		old (of person)	1848	399437	old / elderly	rgi	Tibetan (Alike)	1058.05	TBL	80497	rgi	r ◦ g i
68031		old (of person)	1841	399473	old / elderly	tɕhɔ³³mɔ⁵³	Lahu (Lancang)	1058.43	TBL	68031	tɕhɔ³³mɔ⁵³	tɕh ɔ ³³ ◦ m ɔ ⁵³
47829		old (of person)	1830	399463	old / elderly	maŋ³³tso⁵⁵	Leqi (Luxi)	1058.33	TBL	47829	maŋ³³tso⁵⁵	m a ŋ ³³ ◦ ts o ⁵⁵
78985		old (of person)	1847	399478	old / elderly	lau⁵⁵	Tujia	1058.49	TBL	78985	lau⁵⁵	l a u ⁵⁵
15987		old (of person)	1812	399447	old / elderly	lɛ³³mɪ⁵⁵	Xumi	1058.17	TBL	15987	lɛ³³mɪ⁵⁵	l ɛ ³³ ◦ m ɪ ⁵⁵
82061		old (of person)	1849	399479	old / elderly	bua³¹	Karen	1058.50	TBL	82061	bua³¹	b u a ³¹
83632		old (of person)	1850	399438	old / elderly	kat³⁵to⁵³	Cuona Menba	1058.06	TBL	83632	kat³⁵to⁵³	k a t ³⁵ ◦ t o ⁵³
19704		old (of person)	1814	399449	old / elderly	a³¹sak³¹kă³¹pa³¹	Jingpho	1058.19	TBL	19704	a³¹sak³¹kă³¹pa³¹	a ³¹ ◦ s a k ³¹ k ă ³¹ ◦ p a ³¹
85459		old (of person)	1851	399439	old / elderly	gat bu	Motuo Menba	1058.07	TBL	85459	gat bu	g a t _ b u
10495		old (of person)	1809	399445	old / elderly	ga³³gi⁵⁵	Zhaba (Daofu County)	1058.14	TBL	10495	ga³³gi⁵⁵	g a ³³ ◦ g i ⁵⁵
53339		old (of person)	1833	399466	old / elderly	mu²¹ta²¹	Yi (Weishan)	1058.36	TBL	53339	mu²¹ta²¹	m u ²¹ ◦ t a ²¹
87190		old (of person)	1852	399440	old / elderly	dɑp	Qiang (Mawo)	1058.08	TBL	87190	dɑp	d ɑ p
21707		old (of person)	1815	399434	old / elderly	kɛ̃¹³pa⁵⁵	Tibetan (Lhasa)	1058.02	TBL	21707	kɛ̃¹³pa⁵⁵	k ɛ̃ ∼ ¹³ ◦ p a ⁵⁵
55226		old (of person)	1834	399467	old / elderly	tshɑ³³mɑ²¹	Yi (Nanhua)	1058.37	TBL	55226	tshɑ³³mɑ²¹	tsh ɑ ³³ ◦ m ɑ ²¹
89098		old (of person)	1853	399441	old / elderly	ʂɑ¹³ti⁵⁵	Pumi (Lanping)	1058.09	TBL	89098	ʂɑ¹³ti⁵⁵	ʂ ɑ ¹³ ◦ t i ⁵⁵
23706		old (of person)	1816	399450	old / elderly	bɹiŋ⁵⁵	Dulong	1058.20	TBL	23706	bɹiŋ⁵⁵	b ɹ i ŋ ⁵⁵
57082		old (of person)	1835	399468	old / elderly	mɒ⁵⁵	Yi (Wuding)	1058.38	TBL	57082	mɒ⁵⁵	m ɒ ⁵⁵
25511		old (of person)	1817	399451	old / elderly	ʈhi³¹mɑŋ³¹	Nung	1058.21	TBL	25511	ʈhi³¹mɑŋ³¹	ʈh i ³¹ ◦ m ɑ ŋ ³¹
64420		old (of person)	1839	399471	old / elderly	tsho⁵⁵mo³¹mo³¹	Hani (Lüchun)	1058.41	TBL	64420	tsho⁵⁵mo³¹mo³¹	tsh o ⁵⁵ ◦ m o ³¹ ◦ m o ³¹
59001		old (of person)	1836	399469	old / elderly	mo¹¹	Yi (Sani)	1058.39	TBL	59001	mo¹¹	m o ¹¹
26989		old (of person)	1818	399452	old / elderly	tɑ³¹pɑɯ⁵⁵	Darang [Taraon]	1058.22	TBL	26989	tɑ³¹pɑɯ⁵⁵	t ɑ ³¹ ◦ p ɑ ɯ ⁵⁵
60815		old (of person)	1837	399436	old / elderly	lo lon	Tibetan (Xiahe)	1058.04	TBL	60815	lo lon	l o _ l o n
