ID	reflex	GLOSS	gfn	srcabbr	lgid	language	srcid
313403	bil?³	seal a container tightly	v	PB-CLDB	1778	Tiddim	93
313405	bil¹	ear		PB-CLDB	1778	Tiddim	94
313406	bil¹ ba?³	ear ring		PB-CLDB	1778	Tiddim	95
313407	bil¹ khem²	ear wax		PB-CLDB	1778	Tiddim	96
313408	bil¹ ngeːk¹	ear lobe		PB-CLDB	1778	Tiddim	97
313409	bil¹ pi¹	rabbit		PB-CLDB	1778	Tiddim	98
313410	bil¹ tep³	ear wig		PB-CLDB	1778	Tiddim	99
313411	bing¹	solid		PB-CLDB	1778	Tiddim	100
313412	bing¹ > bin³	have an obstruction [of a pipe or a hole]	v	PB-CLDB	1778	Tiddim	101
313413	bit³ > bi?³	completely sealed so as to be leak proof [of roof;	vi	PB-CLDB	1778	Tiddim	102
313414	biː³ > bik³	kindle by touching with a torch or burning embers	v	PB-CLDB	1778	Tiddim	103
313415	bok³ > bo?³	crawl; prostrate	v	PB-CLDB	1778	Tiddim	104
313417	bom¹	bunch		PB-CLDB	1778	Tiddim	105
313418	bot³ > bo?³	pull out weeds or hair	v	PB-CLDB	1778	Tiddim	106
313420	boː¹ (tui¹)	semen		PB-CLDB	1778	Tiddim	107
313421	boːk¹	clusterous	vi	PB-CLDB	1778	Tiddim	108
313422	boːk²	swollen	vi	PB-CLDB	1778	Tiddim	109
313423	boːk³ > bo?³	gather around (of insects) = bo:m3	v	PB-CLDB	1778	Tiddim	110
313424	boːl²	make	v	PB-CLDB	1778	Tiddim	111
313426	boːm¹	small basket		PB-CLDB	1778	Tiddim	112
313427	boːm²	big basket with large holes		PB-CLDB	1778	Tiddim	113
313428	boːm³ > bop³	gather around (of insects) = bo:k3	v	PB-CLDB	1778	Tiddim	114
313430	boːng²	cattle		PB-CLDB	1778	Tiddim	115
313431	boːng² buːk¹	cattle pen		PB-CLDB	1778	Tiddim	116
313432	boːng² pi¹	cow		PB-CLDB	1778	Tiddim	117
313433	boːng² tal²	ox		PB-CLDB	1778	Tiddim	118
313435	bu¹	nest		PB-CLDB	1778	Tiddim	119
313436	bu?³	rice		PB-CLDB	1778	Tiddim	120
313438	bu?³ ciːm³	rice gruel		PB-CLDB	1778	Tiddim	121
313439	bu?³ huːm³	rice with husk		PB-CLDB	1778	Tiddim	122
313440	bu?³ si?³	cooked rice		PB-CLDB	1778	Tiddim	123
313441	bu?³ tang¹	dehusked rice		PB-CLDB	1778	Tiddim	124
313442	bu?³ tei³	rice ladle		PB-CLDB	1778	Tiddim	125
313443	bu?³ tiːm²	rice gruel		PB-CLDB	1778	Tiddim	126
313444	bu?³ tu¹	rice straw		PB-CLDB	1778	Tiddim	127
313445	bu?³ vaːi²	rice husk		PB-CLDB	1778	Tiddim	128
313446	bu?³ vuːi²	rice flour		PB-CLDB	1778	Tiddim	129
313447	bu?³ vuːi³	ears of paddy		PB-CLDB	1778	Tiddim	130
313448	bua³ > buak³	spill [of non-countables]	v	PB-CLDB	1778	Tiddim	131
313449	buai¹	confused	vi	PB-CLDB	1778	Tiddim	132
313450	buak¹ > bua?³	throw liquid at something	v	PB-CLDB	1778	Tiddim	133
313451	bual²	in water	vi	PB-CLDB	1778	Tiddim	134
313452	bual³	lake		PB-CLDB	1778	Tiddim	135
313453	buan²	muddy	vi	PB-CLDB	1778	Tiddim	136
313454	buk³	hide from somebody	vi	PB-CLDB	1778	Tiddim	137
313455	bul?³	wear on limbs [eg. shoes; bangles; wrist-watch]	v	PB-CLDB	1778	Tiddim	138
313457	bul¹	stump		PB-CLDB	1778	Tiddim	139
313458	bum²	perform voodoo	v	PB-CLDB	1778	Tiddim	140
313459	bun³ > but³	empty a container by turning it up side down while	v	PB-CLDB	1778	Tiddim	141
313460	bung²	measure of weight (= eight pi2s)		PB-CLDB	1778	Tiddim	142
313461	bup³	fit together two hollow cup-like objects	v	PB-CLDB	1778	Tiddim	143
313462	bup³	whole		PB-CLDB	1778	Tiddim	144
313464	bup³ laːk¹	contract		PB-CLDB	1778	Tiddim	145
313465	buː¹ > buːt¹	build a nest	v	PB-CLDB	1778	Tiddim	146
313466	buː³ > buk³	hide oneself	v	PB-CLDB	1778	Tiddim	147
313467	buːi³ > bui?³	maimed	vi	PB-CLDB	1778	Tiddim	148
313469	buːk¹	hut		PB-CLDB	1778	Tiddim	149
313470	buːk²	hookah		PB-CLDB	1778	Tiddim	150
313471	ci¹	body		PB-CLDB	1778	Tiddim	151
313474	ci¹	clan		PB-CLDB	1778	Tiddim	152
313475	ci² kal¹	measure of weight (approx. one-seventieth of a kil		PB-CLDB	1778	Tiddim	153
313476	ci³	salt		PB-CLDB	1778	Tiddim	154
313477	ci³ khum¹	sugar		PB-CLDB	1778	Tiddim	155
313478	ci³ tak³	diligent		PB-CLDB	1778	Tiddim	156
313479	cia?³	return home	v	PB-CLDB	1778	Tiddim	157
313480	cia³	as much		PB-CLDB	1778	Tiddim	158
313482	ciak²	noisy	vi	PB-CLDB	1778	Tiddim	159
313483	cial¹	storey (of a building)		PB-CLDB	1778	Tiddim	160
313484	cial¹ ma¹ sa¹	ground floor		PB-CLDB	1778	Tiddim	161
313485	cial²	ask somebody to work [for the asker]; hire	v	PB-CLDB	1778	Tiddim	162
313486	ciam²	promise; vow	v	PB-CLDB	1778	Tiddim	163
313487	ciam³ > ciap³	taste	v	PB-CLDB	1778	Tiddim	164
313488	ciam³ nuːi²	humerous		PB-CLDB	1778	Tiddim	165
313490	ciang¹	stick		PB-CLDB	1778	Tiddim	166
313492	ciang¹ kang²	twigs		PB-CLDB	1778	Tiddim	167
313493	ciang¹ kot³	yoke placed across shoulders (for carrying objects		PB-CLDB	1778	Tiddim	168
313494	ciang¹ tum¹	rod		PB-CLDB	1778	Tiddim	169
313495	ciang²	basket (variety)		PB-CLDB	1778	Tiddim	170
313496	ciang² > cian³	pile up	v	PB-CLDB	1778	Tiddim	171
313498	cik³	fountain		PB-CLDB	1778	Tiddim	172
313499	cik³ in²	when		PB-CLDB	1778	Tiddim	173
313502	cik³ piː¹	swamp		PB-CLDB	1778	Tiddim	174
313503	cik³ te?¹	when		PB-CLDB	1778	Tiddim	175
313504	cil¹ (tang²)	testicle		PB-CLDB	1778	Tiddim	176
313506	cil²	tread out (as grain)	v	PB-CLDB	1778	Tiddim	177
313508	cil² (phuan¹)	spittle		PB-CLDB	1778	Tiddim	178
313509	cil² sia¹	spit	v	PB-CLDB	1778	Tiddim	179
313510	cim¹	bored	vi	PB-CLDB	1778	Tiddim	180
313511	cim³ > cip³	collapse	v	PB-CLDB	1778	Tiddim	181
313512	cin¹	finger nail		PB-CLDB	1778	Tiddim	182
313514	cing¹ > cin¹	guard; look after	v	PB-CLDB	1778	Tiddim	183
313515	cing² > cin³	enough; accumulate as a liquid due to an obstructi	vi	PB-CLDB	1778	Tiddim	184
313516	cing² > cin³	tend cattle	v	PB-CLDB	1778	Tiddim	185
313517	cing?³	generous		PB-CLDB	1778	Tiddim	186
313518	cip³ > ci?¹	close tightly	v	PB-CLDB	1778	Tiddim	187
313519	ciː³ > ci?³	say	v	PB-CLDB	1778	Tiddim	188
313520	ciːk³	concentrated; strong	vi	PB-CLDB	1778	Tiddim	189
313521	ciːl¹	thrifty; stingy	vi	PB-CLDB	1778	Tiddim	190
313522	ciːm²	clear; transparent		PB-CLDB	1778	Tiddim	191
313524	ciːm²	wise; clever; clever in mind		PB-CLDB	1778	Tiddim	192
313526	ciːm³ > cip³	mushy	vi	PB-CLDB	1778	Tiddim	193
313527	ciːn¹	rain incessantly for a long time	v	PB-CLDB	1778	Tiddim	194
313528	ciːng¹	stick		PB-CLDB	1778	Tiddim	195
313530	ciːng² > ciːn³	barren; be impotent	vi	PB-CLDB	1778	Tiddim	196
313531	ciːng² > ciːn³	cultivate	v	PB-CLDB	1778	Tiddim	197
313532	ciːng² > ciːn³	imitate	v	PB-CLDB	1778	Tiddim	198
313533	ciːp¹	strong in taste; tightly twined [of ropes]	vi	PB-CLDB	1778	Tiddim	199
313534	da?³	sad	vi	PB-CLDB	1778	Tiddim	200
313535	dai¹	shallow; have a bad name or loose reputation	vi	PB-CLDB	1778	Tiddim	201
313536	dai²	shallow as a plate or plate-like container	vi	PB-CLDB	1778	Tiddim	202
313538	dam²	cool		PB-CLDB	1778	Tiddim	203
313539	dam²	healthy	vi	PB-CLDB	1778	Tiddim	204
313541	dang¹	other		PB-CLDB	1778	Tiddim	205
313543	dang²	palate		PB-CLDB	1778	Tiddim	206
313544	dang² taːk²	thirsty		PB-CLDB	1778	Tiddim	207
313546	daːi²	fence		PB-CLDB	1778	Tiddim	208
313548	daːi² nom²	dew		PB-CLDB	1778	Tiddim	209
313549	daːi³ > dai?³	quiet	vi	PB-CLDB	1778	Tiddim	210
313550	daːk¹	peep out; raise; look up; look beyond	v	PB-CLDB	1778	Tiddim	211
313551	daːk²	bell		PB-CLDB	1778	Tiddim	212
313553	daːl¹	prevent; protect	v	PB-CLDB	1778	Tiddim	213
313554	daːm³ > dap³	moist due to lack of sunshine	vi	PB-CLDB	1778	Tiddim	214
313555	daːn	punishment		PB-CLDB	1778	Tiddim	215
313557	daːn³	custom; habit; manner		PB-CLDB	1778	Tiddim	216
313558	daːng² > daːn³	a little away from [= not to be too close]; be	be v.	PB-CLDB	1778	Tiddim	217
313559	daːng³ > dat³	pale	vi	PB-CLDB	1778	Tiddim	218
313560	daːt³ mei¹	flashlight		PB-CLDB	1778	Tiddim	219
313561	de?³	sting	v	PB-CLDB	1778	Tiddim	220
313562	dei?³ go?³	covet non-edible things		PB-CLDB	1778	Tiddim	221
313563	dei¹	partition off; separate	v	PB-CLDB	1778	Tiddim	222
313564	dei³	room		PB-CLDB	1778	Tiddim	223
313565	dei³ > dei?³	like; want	v	PB-CLDB	1778	Tiddim	224
