462#	language	Hakha
421	to be hard	ʔɑ.hɑ
422	to be soft	ʔɑ.nem
423	to be smooth	ʔɑ.mel
424	to be rough	r̥ɑʔ
425	to be fast	rɑŋ
426	to be slow	nuɑ
427	to be strong	tʰon
428	to be weak	der
429	to be tired	bɑ
430	to be ill	jɔ
431	to be blind	ʔɑ.mi.ʔɑ.sɔi
432	to be deaf	n̥ɑ.ʃe
433	to be bald	ʔɑ.lə.ŋɑu
434	to be good	tʰɑ
435	to be bad	sʰiɑ
436	to be correct	ɑ.m̥ɑn
437	to be wrong	pɑl
438	when (past)	ze.ti.ʔɑ.kʰɑn
439	when (future)	ze.ti.kʰɑ
440	where	kʰɔi.kɑ.ʔɑ
441	who	ʔɑ.ho
442	what	ze.dɑ
443	how many	ze.zɛ
444	I	ke.mɑ
445	you(S)	nɑŋ.mɑ
446	he, she	ʔɑ.mɑ
447	we (pl)	kɑŋ.mɑ
448	you(pl)	nɑŋ.mɑ
449	they	ʔɑŋ.mɑ
450	to take	ʔɑ.lɑʔ
451	to put, place	ʃiɑ
452	to be lost	klau
453	to bend	kɔi
454	to lift	swae
455	to do, make	ʔɑ.sʰə
456	don't do it	ti.ɬɑ
457	to be difficult	hɑr
458	to be easy	fɔi
459	to be loose	lɔn
460	to be tight	ʔɑ.te
461	to set free	ʔɑ.tʰlɑ
462	to squeeze	ʔɑ.su
from old lists	north	
from old lists	south	
from old lists	liquor	
from old lists	duck	
from old lists	paper	
from old lists	to scratch something	
from old lists	to be burning up (the house is burning)	
from old lists	cold (person feels cold)	
from old lists	enemy	
from old lists	papaya (fruit)	
from old lists	jackfruit (fruit)	
from old lists	coconut (fruit)	
from old lists	peanut	
from old lists	lungs	
from old lists	buttocks	
from old lists	foot	
from old lists	window	
from old lists	coconutshell ladle	
from old lists	candle	
from old lists	to wink	
from old lists	to answer	
from old lists	to be different	
from old lists	naked	
from old lists	half a quantity	
from old lists	disgusting	
from old lists	to sharpen	
