rn	reflex	gloss	gfn	srcabbr	lgid	language	srcid
238765	theba	chair	n	GEM-CNL	252	Angami (Khonoma)	
238784	mi◦zhü	charcoal		GEM-CNL	252	Angami (Khonoma)	
238785	thezhü	charcoal		GEM-CNL	252	Angami (Khonoma)	
238803	me◦li	cheap		GEM-CNL	252	Angami (Khonoma)	
238832	peuma	chief	n	GEM-CNL	252	Angami (Khonoma)	
238858	chüsi	chillie		GEM-CNL	252	Angami (Khonoma)	
238889	kevi-kedale	choose		GEM-CNL	252	Angami (Khonoma)	
238917	kemesa	clean	v	GEM-CNL	252	Angami (Khonoma)	
238954	ko	climb	v	GEM-CNL	252	Angami (Khonoma)	
238955	li	climb	v	GEM-CNL	252	Angami (Khonoma)	
238987	terhobavü	clock	n	GEM-CNL	252	Angami (Khonoma)	
239002	kwe	cloth		GEM-CNL	252	Angami (Khonoma)	
239070	bula	coat		GEM-CNL	252	Angami (Khonoma)	
239098	meku	cold		GEM-CNL	252	Angami (Khonoma)	
239099	si	cold		GEM-CNL	252	Angami (Khonoma)	
239145	tsutu	comb	n	GEM-CNL	252	Angami (Khonoma)	
239171	vo◦rü	come	v	GEM-CNL	252	Angami (Khonoma)	
239219	cha	cook3	v	GEM-CNL	252	Angami (Khonoma)	
239244	thetsa	cotton		GEM-CNL	252	Angami (Khonoma)	
239245	chotsa	cotton		GEM-CNL	252	Angami (Khonoma)	
239279	prü	count	v	GEM-CNL	252	Angami (Khonoma)	
239306	ra	country		GEM-CNL	252	Angami (Khonoma)	
239374	ke◦re	creeper		GEM-CNL	252	Angami (Khonoma)	
239375	ke◦ro	creeper		GEM-CNL	252	Angami (Khonoma)	
239404	keregwi	crooked		GEM-CNL	252	Angami (Khonoma)	
239441	khremo	cruel		GEM-CNL	252	Angami (Khonoma)	
239455	kra	cry (weep)	v	GEM-CNL	252	Angami (Khonoma)	
239520	tehi	cup	n	GEM-CNL	252	Angami (Khonoma)	
239597	pro	cut (generic)	v	GEM-CNL	252	Angami (Khonoma)	
239660	du	cut (with axe)	v	GEM-CNL	252	Angami (Khonoma)	
239681	melo	dance	v	GEM-CNL	252	Angami (Khonoma)	
239682	rezhü	dance	v	GEM-CNL	252	Angami (Khonoma)	
239726	jie	dao		GEM-CNL	252	Angami (Khonoma)	
239762	zi	dark		GEM-CNL	252	Angami (Khonoma)	
239805	su	deep		GEM-CNL	252	Angami (Khonoma)	
239839	pomare	dear (expensive)		GEM-CNL	252	Angami (Khonoma)	
239866	meda	deceive		GEM-CNL	252	Angami (Khonoma)	
239895	ke	descend		GEM-CNL	252	Angami (Khonoma)	
239926	niü	desire	v	GEM-CNL	252	Angami (Khonoma)	
239927	cha	desire	v	GEM-CNL	252	Angami (Khonoma)	
239962	re	difficult		GEM-CNL	252	Angami (Khonoma)	
239990	ti	dig		GEM-CNL	252	Angami (Khonoma)	
239991	ho	dig		GEM-CNL	252	Angami (Khonoma)	
240027	kerhu	dirty		GEM-CNL	252	Angami (Khonoma)	
240064	makhu	dish	n	GEM-CNL	252	Angami (Khonoma)	
240102	dzürhedu	ditch		GEM-CNL	252	Angami (Khonoma)	
240133	keza	divide	v	GEM-CNL	252	Angami (Khonoma)	
240167	chi	do		GEM-CNL	252	Angami (Khonoma)	
240216	kikha	door		GEM-CNL	252	Angami (Khonoma)	
240277	mho	dream	n	GEM-CNL	252	Angami (Khonoma)	
240303	kra	drink	v	GEM-CNL	252	Angami (Khonoma)	
240345	keba	drum	n	GEM-CNL	252	Angami (Khonoma)	
240374	kesa	dry	adj	GEM-CNL	252	Angami (Khonoma)	
240403	popo	each		GEM-CNL	252	Angami (Khonoma)	
240424	kise	early		GEM-CNL	252	Angami (Khonoma)	
240460	nisu	earring		GEM-CNL	252	Angami (Khonoma)	
240461	mereni	earring		GEM-CNL	252	Angami (Khonoma)	
240483	me◦li	easy		GEM-CNL	252	Angami (Khonoma)	
240513	kemetho	empty		GEM-CNL	252	Angami (Khonoma)	
240542	ta	end	n	GEM-CNL	252	Angami (Khonoma)	
240574	vite chizo	enough		GEM-CNL	252	Angami (Khonoma)	
240605	ler	enter		GEM-CNL	252	Angami (Khonoma)	
240640	pete	every		GEM-CNL	252	Angami (Khonoma)	
240673	pe◦mhe	extinguish		GEM-CNL	252	Angami (Khonoma)	
240725	krü	fall	v	GEM-CNL	252	Angami (Khonoma)	
240776	tiche	false		GEM-CNL	252	Angami (Khonoma)	
240810	chacha	far		GEM-CNL	252	Angami (Khonoma)	
240852	mhai	fast (quick)		GEM-CNL	252	Angami (Khonoma)	
240915	lo	fat	adj	GEM-CNL	252	Angami (Khonoma)	
240988	du	fell	v	GEM-CNL	252	Angami (Khonoma)	
241011	chakha	fence	n	GEM-CNL	252	Angami (Khonoma)	
241038	terha	fern		GEM-CNL	252	Angami (Khonoma)	
241054	ro◦ki	fever		GEM-CNL	252	Angami (Khonoma)	
241086	petsa	few		GEM-CNL	252	Angami (Khonoma)	
241118	le	field		GEM-CNL	252	Angami (Khonoma)	
241157	chedesi	fig		GEM-CNL	252	Angami (Khonoma)	
241191	therhechi	fight	v	GEM-CNL	252	Angami (Khonoma)	
241231	tsule	fill	v	GEM-CNL	252	Angami (Khonoma)	
241265	ngule	find	v	GEM-CNL	252	Angami (Khonoma)	
241305	chite	finish	v	GEM-CNL	252	Angami (Khonoma)	
241351	kemezhe	flat		GEM-CNL	252	Angami (Khonoma)	
241379	kilo	floor		GEM-CNL	252	Angami (Khonoma)	
241380	kinu	floor		GEM-CNL	252	Angami (Khonoma)	
241400	thu	flour		GEM-CNL	252	Angami (Khonoma)	
241419	kru	flow	v	GEM-CNL	252	Angami (Khonoma)	
241442	nipu	flower	n	GEM-CNL	252	Angami (Khonoma)	
241443	nhapu	flower	n	GEM-CNL	252	Angami (Khonoma)	
241504	pro	fly	v	GEM-CNL	252	Angami (Khonoma)	
241535	asa◦me◦dzi	follow		GEM-CNL	252	Angami (Khonoma)	
241567	mhacha	food		GEM-CNL	252	Angami (Khonoma)	
241596	kenuama	fool	n	GEM-CNL	252	Angami (Khonoma)	
241633	nha	forest		GEM-CNL	252	Angami (Khonoma)	
241634	ketsa	forest		GEM-CNL	252	Angami (Khonoma)	
241666	rekramo	forget		GEM-CNL	252	Angami (Khonoma)	
241695	kre	forgive		GEM-CNL	252	Angami (Khonoma)	
241795	rosi	fruit		GEM-CNL	252	Angami (Khonoma)	
241837	chu	full		GEM-CNL	252	Angami (Khonoma)	
241838	tsu	full		GEM-CNL	252	Angami (Khonoma)	
241871	tize	garden	n	GEM-CNL	252	Angami (Khonoma)	
241899	chemere	garlic		GEM-CNL	252	Angami (Khonoma)	
241915	kangu	gather	v	GEM-CNL	252	Angami (Khonoma)	
241950	ngu◦le	get	v	GEM-CNL	252	Angami (Khonoma)	
241985	kevü	ginger		GEM-CNL	252	Angami (Khonoma)	
242009	tsü	give		GEM-CNL	252	Angami (Khonoma)	
242059	ni	glad	v.i.	GEM-CNL	252	Angami (Khonoma)	
242094	vo	go		GEM-CNL	252	Angami (Khonoma)	
242177	kepenapfü	God		GEM-CNL	252	Angami (Khonoma)	
242213	ke◦vi	good		GEM-CNL	252	Angami (Khonoma)	
242261	mekwü	gourd		GEM-CNL	252	Angami (Khonoma)	
242290	nha	grass		GEM-CNL	252	Angami (Khonoma)	
242335	mokhru	grave	n	GEM-CNL	252	Angami (Khonoma)	
242363	kezha	great		GEM-CNL	252	Angami (Khonoma)	
242364	kedi	great		GEM-CNL	252	Angami (Khonoma)	
242409	ge	grind		GEM-CNL	252	Angami (Khonoma)	
242469	sitsa	gum (of tree)		GEM-CNL	252	Angami (Khonoma)	
242495	mi◦si	gun		GEM-CNL	252	Angami (Khonoma)	
242523	the	half		GEM-CNL	252	Angami (Khonoma)	
242555	kemeth	hard		GEM-CNL	252	Angami (Khonoma)	
242592	tsure	hat, helmet		GEM-CNL	252	Angami (Khonoma)	
242624	retse	hate	v	GEM-CNL	252	Angami (Khonoma)	
242625	metse	hate	v	GEM-CNL	252	Angami (Khonoma)	
242690	mi◦pu	hearth		GEM-CNL	252	Angami (Khonoma)	
242717	mesi	heavy		GEM-CNL	252	Angami (Khonoma)	
242762	kre	help	v	GEM-CNL	252	Angami (Khonoma)	
242763	yash	help	v	GEM-CNL	252	Angami (Khonoma)	
242792	haki	here		GEM-CNL	252	Angami (Khonoma)	
242793	hatsa	here		GEM-CNL	252	Angami (Khonoma)	
242836	kevale	hide		GEM-CNL	252	Angami (Khonoma)	
242875	kerekre	high		GEM-CNL	252	Angami (Khonoma)	
242916	vü	hit	v	GEM-CNL	252	Angami (Khonoma)	
242967	kajü	hoe	n	GEM-CNL	252	Angami (Khonoma)	
242995	tele	hold	v	GEM-CNL	252	Angami (Khonoma)	
243057	pilhito	hop	v	GEM-CNL	252	Angami (Khonoma)	
243075	mhamedo	hope	v	GEM-CNL	252	Angami (Khonoma)	
243098	le	hot		GEM-CNL	252	Angami (Khonoma)	
243143	ki	house		GEM-CNL	252	Angami (Khonoma)	
243190	kidi	how		GEM-CNL	252	Angami (Khonoma)	
243191	kikidi	how		GEM-CNL	252	Angami (Khonoma)	
243229	merü	hungry		GEM-CNL	252	Angami (Khonoma)	
243264	pha	husk	n	GEM-CNL	252	Angami (Khonoma)	
243289	deri	if		GEM-CNL	252	Angami (Khonoma)	
243329	nu	in		GEM-CNL	252	Angami (Khonoma)	
243394	leshekethudzü	ink		GEM-CNL	252	Angami (Khonoma)	
243436	kemekrüshi	join	v	GEM-CNL	252	Angami (Khonoma)	
243483	sidzü	juice		GEM-CNL	252	Angami (Khonoma)	
243507	pru◦shi	jump	v	GEM-CNL	252	Angami (Khonoma)	
243508	kevashi	jump	v	GEM-CNL	252	Angami (Khonoma)	
243537	nha	jungle		GEM-CNL	252	Angami (Khonoma)	
243577	lele	keep	v	GEM-CNL	252	Angami (Khonoma)	
243616	kuzokekha	key		GEM-CNL	252	Angami (Khonoma)	
243664	dukri	kill	v	GEM-CNL	252	Angami (Khonoma)	
243708	kemha	kind (sort)		GEM-CNL	252	Angami (Khonoma)	
243734	kedima	king		GEM-CNL	252	Angami (Khonoma)	
243766	lichaki	kitchen		GEM-CNL	252	Angami (Khonoma)	
243783	tsukwe	knife	n	GEM-CNL	252	Angami (Khonoma)	
243847	pele	knot (in string)	n	GEM-CNL	252	Angami (Khonoma)	
243865	si	know	v	GEM-CNL	252	Angami (Khonoma)	
243910	khaya	ladder		GEM-CNL	252	Angami (Khonoma)	
243958	rehe	lame		GEM-CNL	252	Angami (Khonoma)	
243989	mi◦tubu	lamp		GEM-CNL	252	Angami (Khonoma)	
244020	kiji	land	n	GEM-CNL	252	Angami (Khonoma)	
244062	de	language		GEM-CNL	252	Angami (Khonoma)	
244088	meno◦te	late		GEM-CNL	252	Angami (Khonoma)	
244113	nü	laugh	v	GEM-CNL	252	Angami (Khonoma)	
244149	de	law		GEM-CNL	252	Angami (Khonoma)	
244178	remechi	lazy		GEM-CNL	252	Angami (Khonoma)	
244233	nhanie	leaf	n	GEM-CNL	252	Angami (Khonoma)	
244277	sile	learn	v	GEM-CNL	252	Angami (Khonoma)	
244308	shohosi	lemon	v	GEM-CNL	252	Angami (Khonoma)	
244327	leshe	letter		GEM-CNL	252	Angami (Khonoma)	
244346	zhü	lie down	v	GEM-CNL	252	Angami (Khonoma)	
244377	tijü	lie (deceive)	v	GEM-CNL	252	Angami (Khonoma)	
