NUMBER	GLOSS				SEMANTIC_TAG	TBL_ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE	DEFINITION
52	the feather	羽	*[ɢ]ʷ(r)aʔ		animal, product	299	1201	The body	羽毛	A branching, hair-like structure that grows on the skin of birds and protects them against coldness and water and allows their wings to create lift.
53	to fight				action	1234	1423	Warfare and hunting	打架	To be involved in a physical confrontation.
54	the fire	火 	*[qʷʰ]ˤəjʔ		nature	18	221	The physical world	火	The state of combustion in which inflammable material burns, producing heat, flames and often smoke.
55	firewood	蒸 	*təŋ 		object, utility	534	10	The physical world	柴	Wood intended to be burned.
56	the fish	魚	*[r.ŋ]a		animal	351	227	Animals	鱼	A cold-blooded vertebrate animal that lives in water that moves with the help of fins and breathes using gills (Pisces).
57	five	五	*C.ŋˤaʔ 		number	801	493	Quantity	五	The fifth natural number (5).
58	the flea	蚤	 *tsˤuʔ		animal	355	232	Animals	跳蚤	Any of the wingless insects composing the order Siphonaptera; most are ectoparasites of mammals and birds. (Source: MGH)
59	to float	泛 	*pʰ(r)[o]m-s		process	1553	1574	Motion	漂流	Of an object or substance, to be supported by a liquid of greater density than the object so as that part of the object or substance remains above the surface.
59	to float	游	*[N-]ru		process	1553	1574	Motion	漂流	Of an object or substance, to be supported by a liquid of greater density than the object so as that part of the object or substance remains above the surface.
59	to float	浮	*m.b(r)u		process	1553	1574	Motion	漂流	Of an object or substance, to be supported by a liquid of greater density than the object so as that part of the object or substance remains above the surface.
60	to flow	流	*ru		process	1502	2003	Motion	流	To move as a fluid from one position to another (e.g. of people).
61	the flower	華	*N-qʷʰˤra		plant	377	239	Agriculture and vegetation	花	The reproductive structure of angiosperm plants, consisting of stamens and carpels surrounded by petals and sepals all borne on the receptacle.
62	to fly (move through air)	飛	*Cə.pə[r]		action	1318	1441	Motion	飞	To move autonomously through the air, without any part of the object or object's enclosure touching anything attached to the ground.
63	the fog	霧	 *kə.m(r)[o]k-s		nature	16	249	The physical world	雾	Water droplets or, rarely, ice crystals suspended in the air in sufficient concentration to reduce visibility appreciably.
64	the foot	脚	*[k]ak		body	103	1301	The body	脚	The part of a human’s body below the ankle that is used in order to stand and walk.
64	the foot	足	*[ts]ok		body	103	1301	The body	脚	The part of a human’s body below the ankle that is used in order to stand and walk.
65	the forest	林	*[r]əm		nature	50	420	The physical world	森林	A vegetation community dominated by trees and other woody shrubs, growing close enough together that the tree tops touch or overlap, creating various degrees of shade on the forest floor.
66	forget	忘	*maŋ		action	1704	1523	Cognition	忘记	To lose memory of something.
67	four	四	*s.li[j]-s		number	800	1500	Quantity	四	The cardinal number occurring after three and before five, represented in Roman numerals as IV, in Arabic numerals as 4.
68	the fox	狐	*[g]ʷˤa		animal	325	1312	Animals	狐狸	A carnivorous relatively small canine of the species Vulpes Vulpes.
69	the frog	鼃	*qʷˤre		animal	349	503	Animals	青蛙	Any insectivorous anuran amphibian of the family Ranidae, such as Rana temporaria of Europe, having a short squat tailless body with a moist smooth skin and very long hind legs specialized for hopping.
70	the front (front side)				location	712	2194	Spatial relations	額頭	The forward part or surface, as of a building.
71	the frost	霜	*[s]raŋ		nature	14	2034	Sense perception	霜	A deposit of interlocking ice crystals formed by direct sublimation on objects. (Source: MGH)
72	the fruit	實	*mə.li[t]		nature, food	378	1507	Food and drink	水果	A botanical fruit that can be eaten raw used as food
73	full	滿	*mˤ[o][n]ʔ 		characterisation, state	984	1429	Quantity	满	Containing the most or maximum amount possible in the given available space.
73	full	充  	*tʰuŋ		characterisation, state	984	1429	Quantity	满	Containing the most or maximum amount possible in the given available space.
74	to give	畀	*pi[t]-s		action	1345	1447	Possession	给	To transfer the possession or holding (of an object) to another person.
75	the goat				animal	276	1502	Animals	山羊	A common four-legged animal (Capra) that is related to sheep and bred by humans for its coat and milk.
