196	to drink	1401	1370	547505	drink
197	to eat	1336	1198	546776	eat
198	to fight	1423	1234		???
199	to float	1574	1553		???
200	to flow	2003	1502		???
201	to fly (move through air)	1441	1318	546397	fly
201	to fly (move through air)	1441	1318	547574	fly
202	to forget	1523	1704	546329	forget
203	to give	1447	1345	546587	give
204	to hear	1408	1682	547620	hear
205	to hide (conceal)	602	1169		???
206	to hold	1448	1709	546438	hold, catch
206	to hold	1448	1709	547550	hold, keep
207	to hunt	1435	1230	546407	drive, help someone walk
207	to hunt	1435	1230	546574	hunt, rush
208	to kill	1417	1602	547368	kill, extinguish
209	to knead	274	1594	547176	knead
210	to know (something)	1410	1398	546793	know
210	to know (something)	1410	1398	547441	know
211	to laugh	1355	1735	547352	laugh
212	to learn	504	1742	547536	learn
213	to lick	319	1674	546417	lick
213	to lick	319	1674	546447	lick
214	to lie down	215	1661	546350	lie down
214	to lie down	215	1661	546835	false, a lie
215	to marry (a man marries a woman)	2164	1578		???
216	to plant (vegetals, rice)	1486	1774	547585	grow, produce
217	to play	1413	1703		???
218	to pull	1455	1568	546961	pull
218	to pull	1455	1568	547032	pull
218	to pull	1455	1568	547328	pull
219	to push	1452	1689	546577	push
220	to reside (live)	1099	1452		???
221	to run	1519	1544	546374	run, go away
221	to run	1519	1544	546355	run
222	to scratch	1436	1530		???
223	to see	1409	1471	546856	see
224	to shoot (an arrow)	1172	1611	546875	seed, sprout
225	to sing	1261	1184		???
226	to sleep	1585	1646	546666	sleep
226	to sleep	1585	1646	546760	sleep
227	to smell (perceive odor) [transitive]	1586	1707	546306	smell
227	to smell (perceive odor) [transitive]	1586	1707	547407	smell
227	to smell (perceive odor) [transitive]	1586	1707	547458	smell
228	to sow (broadcast, scatter seeds)	748	1597	546344	to sow, to plough
228	to sow (broadcast, scatter seeds)	748	1597	546875	seed, sprout
229	to spit	1440	1688	547532	spit
230	to stand	1442	1784	547567	stand
231	to steal	713	1686		???
232	to think (reflect)	1415	1726	546660	think, understand
232	to think (reflect)	1415	1726	547398	think
233	to throw	1456	1687	547160	throw
234	to vomit	1278	1535		???
235	to walk	1443	1815	546682	go
235	to walk	1443	1815	547612	walk
236	to wipe	1454	1163	547062	wipe
236	to wipe	1454	1163	547388	wipe
237	today	1283	738	547327	day, everyday
237	today	1283	738	547520	today
238	tomorrow	1329	742	547178	tomorrow
239	twenty	1710	816	546317	twenty
240	two	1498	798	547164	two
241	we [first person plural inclusive]	1131	930		???
242	wet	1726	1029	546386	get wet
242	wet	1726	1029	546659	wet
242	wet	1726	1029	547524	wet
243	what	1236	954	546943	what, that
243	what	1236	954	546944	what
244	where	1237	955	546672	where
245	white	1335	1006	547382	white
246	who	1235	953	546704	who, that
246	who	1235	953	546705	who
246	who	1235	953	546710	who
247	yellow	1424	1008	547029	yellow
248	yesterday	1174	739	547145	yesterday
249	you [second person plural]	1213	933		???
250	young	1207	1059	547455	young
