rn	reflex	gloss	gfn	srcabbr	lgid	language	srcid
544362	sali-ɕya	wife's younger sister		SK-TBLUP	2110	Darma	726
544361	sak-ɕi-mo	breathe	v.	SK-TBLUP	2110	Darma	725
544360	sak-sa	sand		SK-TBLUP	2110	Darma	724
544359	sak	breath		SK-TBLUP	2110	Darma	723
544358	sa-pha, pu-pa	straw		SK-TBLUP	2110	Darma	722
544357	hrɯp	ribs		SK-TBLUP	2110	Darma	721
544356	hrəti	temple		SK-TBLUP	2110	Darma	720
544355	hrə-ci-mo	awake	v.	SK-TBLUP	2110	Darma	719
544354	hruŋ-ɕi-mo	obey	v.	SK-TBLUP	2110	Darma	718
544353	hruŋ-mo	protect	v.	SK-TBLUP	2110	Darma	717
544352	hruk-cɛ	louse (egg)		SK-TBLUP	2110	Darma	716
544351	hrui	cotton		SK-TBLUP	2110	Darma	715
544350	hru-mo	ask	v.	SK-TBLUP	2110	Darma	714
544349	hrɔk-mo	graze	v.	SK-TBLUP	2110	Darma	713
544348	hrok-ga-mo	accompany	v.	SK-TBLUP	2110	Darma	712
544347	hrɔ-mo	graze (to cause)	v.	SK-TBLUP	2110	Darma	711
544346	hro-hrun-kən	sibling		SK-TBLUP	2110	Darma	710
544345	hrɔ-bɚ-ti	frost		SK-TBLUP	2110	Darma	709
544344	hro	snow		SK-TBLUP	2110	Darma	708
544343	hrithi-hrithi-ɕya	couple		SK-TBLUP	2110	Darma	707
544342	hrithi	husband		SK-TBLUP	2110	Darma	706
544341	hrin-ɕya	younger sister; husband or wife's younger brother's wife		SK-TBLUP	2110	Darma	705
544340	hri-sɯ	anger		SK-TBLUP	2110	Darma	704
544339	hri-ra-ni	avalanche		SK-TBLUP	2110	Darma	703
544338	hri-mo	write	v.	SK-TBLUP	2110	Darma	702
544337	hri-mo	set (sun)	v.	SK-TBLUP	2110	Darma	701
544336	hri-mo	back-bite	v.	SK-TBLUP	2110	Darma	700
544335	hri-jya	a day before yesterday		SK-TBLUP	2110	Darma	699
544334	hri-ca-mo	stand up	v.	SK-TBLUP	2110	Darma	698
544333	hri	louse		SK-TBLUP	2110	Darma	697
544332	hrɛ-mo	bring	v.	SK-TBLUP	2110	Darma	696
544331	hre, darti	earth		SK-TBLUP	2110	Darma	695
544330	hre	field		SK-TBLUP	2110	Darma	694
544329	hra-mo	come	v.	SK-TBLUP	2110	Darma	693
544328	hra-mo	ashamed of	v.	SK-TBLUP	2110	Darma	692
544327	rɯm-mo	knit	v.	SK-TBLUP	2110	Darma	691
544326	rɯm	root		SK-TBLUP	2110	Darma	690
544325	rɯb-mo	stitch (torn clothes)	v.	SK-TBLUP	2110	Darma	689
544324	rəŋ-mo	sell	v.	SK-TBLUP	2110	Darma	688
544323	rəŋ	feather (wing)		SK-TBLUP	2110	Darma	687
544322	rəŋ	arm		SK-TBLUP	2110	Darma	686
544321	rəm-mo, rən-mo	weave	v.	SK-TBLUP	2110	Darma	685
544320	rəju	ear		SK-TBLUP	2110	Darma	684
