ID	CONCEPT	OMEGAWIKI	CHINESE	POS	WOLD	ABVD	IELEX	SWADESH_1952	SWADESH_1955	TOWEROFBABEL	SUBGROUP	DOCULECT	ENTRY_IN_SOURCE	IPA	TOKENS	ALIGNMENT	NOTE	GLOSS_IN_SOURCE	HANZI	COGID	SOURCE	SCAID
119	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Bai	Qiliqiao	-	-	-	-	-	-	-	0	-	0
120	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Bai	Xiangyun	-	-	-	-	-	-	-	0	-	0
121	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Bai	Yunlong	-	-	-	-	-	-	-	0	-	0
122	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Bai	Zhoucheng	-	-	-	-	-	-	-	0	-	0
123	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Bodic	Cone_Tibetan	-	-	-	-	-	-	-	0	-	0
124	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Bodic	Lhasa_Tibetan	-	-	-	-	-	-	-	0	-	0
125	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Bodic	Old_Tibetan	-	-	-	-	-	-	-	0	-	0
126	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Burmish	Achang_Lianghe	-	-	-	-	-	-	-	0	-	0
127	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Burmish	Achang_Longchuan	-	-	-	-	-	-	-	0	-	0
128	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Burmish	Achang_Luxi	-	-	-	-	-	-	-	0	-	0
129	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Burmish	Atsi	-	-	-	-	-	-	-	0	-	0
130	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Burmish	Bola	-	-	-	-	-	-	-	0	-	0
131	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Burmish	Burmese	-	-	-	-	-	-	-	0	-	0
132	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Burmish	Hpun	-	-	-	-	-	-	-	0	-	0
133	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Burmish	Lashi	-	-	-	-	-	-	-	0	-	0
134	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Burmish	Maru	-	-	-	-	-	-	-	0	-	0
135	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Burmish	Old_Burmese	-	-	-	-	-	-	-	0	-	0
136	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Burmish	Xiandau	-	-	-	-	-	-	-	0	-	0
137	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Kiranti	Dumi	-	-	-	-	-	-	-	0	-	0
138	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Kiranti	Khaling	-	-	-	-	-	-	-	0	-	0
139	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Kiranti	Limbu	-	-	-	-	-	-	-	0	-	0
140	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Kiranti	Wambule	-	-	-	-	-	-	-	0	-	0
141	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Kiranti	Yakkha	-	-	-	-	-	-	-	0	-	0
142	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Kiranti	Yamphu	-	-	-	-	-	-	-	0	-	0
143	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Nungish	Dulong	-	-	-	-	-	-	-	0	-	0
144	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	SAL	Jingpo	-	-	-	-	-	-	-	0	-	0
145	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Sinitic	Beijing	-	-	-	-	-	-	-	0	-	0
146	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Sinitic	Caijia	-	-	-	-	-	-	-	0	-	0
147	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Sinitic	Changsha	-	-	-	-	-	-	-	0	-	0
148	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Sinitic	Ganzhou	-	-	-	-	-	-	-	0	-	0
149	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Sinitic	Guangzhou	-	-	-	-	-	-	-	0	-	0
150	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Sinitic	Meixian	-	-	-	-	-	-	-	0	-	0
151	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Sinitic	Old_Chinese	-	-	-	-	-	-	-	0	-	0
152	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Sinitic	Xiamen	-	-	-	-	-	-	-	0	-	0
153	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	rGyalrongic	Guiqiong	-	-	-	-	-	-	-	0	-	0
154	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	rGyalrongic	Japhug	-	-	-	-	-	-	-	0	-	0
155	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	rGyalrongic	Khroskyabs_Wobzi	-	-	-	-	-	-	-	0	-	0
156	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	rGyalrongic	Muya	-	-	-	-	-	-	-	0	-	0
157	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	rGyalrongic	Stau	-	-	-	-	-	-	-	0	-	0
158	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	rGyalrongic	Tangut	-	-	-	-	-	-	-	0	-	0
159	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	rGyalrongic	Zbu	-	-	-	-	-	-	-	0	-	0
#
160	the ashes	264	灰	Noun	1.84	ashes (146)	ashes (5)	ashes(4)	ashes(2)	ashes(43)	Bai	Dashi	-	-	-	-	-	-	-	0	-	0
161	the ashes	264	灰	Noun	1.84	ashes (146)	ashes (5)	ashes(4)	ashes(2)	ashes(43)	Bai	Zhaozhuang	-	-	-	-	-	-	-	0	-	0
162	the ashes	264	灰	Noun	1.84	ashes (146)	ashes (5)	ashes(4)	ashes(2)	ashes(43)	Bai	Ega	-	-	-	-	-	-	-	0	-	0
163	the ashes	264	灰	Noun	1.84	ashes (146)	ashes (5)	ashes(4)	ashes(2)	ashes(43)	Bai	Enqi	-	-	-	-	-	-	-	0	-	0
164	the ashes	264	灰	Noun	1.84	ashes (146)	ashes (5)	ashes(4)	ashes(2)	ashes(43)	Bai	Eryuan	-	-	-	-	-	-	-	0	-	0
165	the ashes	264	灰	Noun	1.84	ashes (146)	ashes (5)	ashes(4)	ashes(2)	ashes(43)	Bai	Gongxing	-	-	-	-	-	-	-	0	-	0
166	the ashes	264	灰	Noun	1.84	ashes (146)	ashes (5)	ashes(4)	ashes(2)	ashes(43)	Bai	Heqi	-	-	-	-	-	-	-	0	-	0
167	the ashes	264	灰	Noun	1.84	ashes (146)	ashes (5)	ashes(4)	ashes(2)	ashes(43)	Bai	Jianchuan	-	-	-	-	-	-	-	0	-	0
168	the ashes	264	灰	Noun	1.84	ashes (146)	ashes (5)	ashes(4)	ashes(2)	ashes(43)	Bai	Jinman	-	-	-	-	-	-	-	0	-	0
169	the ashes	264	灰	Noun	1.84	ashes (146)	ashes (5)	ashes(4)	ashes(2)	ashes(43)	Bai	Jinxing	-	-	-	-	-	-	-	0	-	0
170	the ashes	264	灰	Noun	1.84	ashes (146)	ashes (5)	ashes(4)	ashes(2)	ashes(43)	Bai	Luobenzhuo	-	-	-	-	-	-	-	0	-	0
171	the ashes	264	灰	Noun	1.84	ashes (146)	ashes (5)	ashes(4)	ashes(2)	ashes(43)	Bai	Mazhelong	-	-	-	-	-	-	-	0	-	0
172	the ashes	264	灰	Noun	1.84	ashes (146)	ashes (5)	ashes(4)	ashes(2)	ashes(43)	Bai	Qiliqiao	-	-	-	-	-	-	-	0	-	0
