small	5509	Adjective	small (152)	small (147)
the ear	5510	Noun	ear (43)	ear (37)
the eye	5511	Noun	eye (45)	eye (41)
the belly	5516	Noun	belly (14)	belly (11)
the house	5517	Noun	house (61)	-
the head	5527	Noun	head (24)	head (72)
the wing	5528	Noun	wing (100)	wing (199)
to sing	5540	Verb	-	sing (142)
narrow	5566	Adjective	narrow (158)	narrow (107)
the salt	5599	Noun	salt (125)	salt (132)
the hand	5616	Noun	hand (1)	hand (70)
to vomit	5617	Verb	to vomit (35)	vomit (184)
to fall	5622	Verb	to fall (95)	fall (42)
the fat (grease)	5624	Noun	fat/grease (104)	fat (44)
cold (of temperature)	5639	Adjective	cold (139)	cold (24)
the back	5648	Noun	back (13)	back (7)
bad	5650	Adjective	bad, evil (165)	bad (8)
the stick	5662	Noun	stick/wood (79)	stick (160)
the leg	5665	Noun	leg/foot (4)	leg (93)
the foot	5672	Noun	leg/foot (4)	foot (59)
the moon	5729	Noun	moon (129)	moon (102)
the neck	5823	Noun	neck (25)	neck (109)
white	5825	Adjective	white (148)	white (194)
to eat	5827	Verb	to eat (37)	eat (39)
the sun	5850	Noun	-	sun (164)
to laugh	5876	Verb	to laugh (33)	laugh (90)
the knee	5918	Noun	-	knee (87)
the tooth (front)	5946	Noun	tooth (31)	tooth (180)
the needle (for sewing)	5951	Noun	needle (68)	-
the louse	5980	Noun	louse (108)	louse (98)
the horn (keratinized skin)	5981	Noun	-	horn (79)
the bone	5983	Noun	bone (15)	bone (18)
round	5984	Adjective	-	round (130)
sharp	5987	Adjective	sharp (81)	sharp (140)
dry	5989	Adjective	dry (140)	dry (34)
thin	5990	Adjective	thin (156)	thin (172)
to drink	5991	Verb	to drink (40)	drink (33)
the breast	5992	Noun	breast (18)	breast (19)
to bite	5993	Verb	to bite (41)	bite (14)
straight	5994	Adjective	-	straight (162)
the name	5995	Noun	name (63)	name (106)
far	5997	Adverb	far (180)	far (43)
to breathe	5998	Verb	to breathe (28)	breathe (20)
to hear	5999	Verb	to hear (44)	hear (73)
to see	6003	Verb	to see (46)	see (137)
to know	6004	Verb	to know, be knowledgeable (20)	know (88)
to lie, rest	6005	Verb	-	lie (94)
to play	6010	Verb	-	play (118)
to squeeze	6017	Verb	to squeeze (88)	squeeze (156)
to think (reflect)	6021	Verb	to think (21)	think (173)
to sit	6022	Verb	to sit (51)	sit (143)
to kill	6023	Verb	to kill (74)	kill (86)
to dig	6024	Verb	to dig (90)	dig (30)
to fear (be afraid)	6025	Verb	to fear (22)	fear (46)
to count	6026	Verb	to count (196)	count (26)
to suck	6027	Verb	to suck (42)	suck (163)
to be alive	6028	Verb	to live, be alive (76)	live (95)
to fight	6030	Verb	-	fight (49)
yellow	6031	Adjective	yellow (150)	yellow (206)
green	6032	Adjective	green (151)	green (67)
full	6040	Adjective	-	full (63)
the star	6041	Noun	star (130)	star (159)
to freeze	6042	Verb	-	freeze (61)
to cut	6043	Verb	to cut, hack (78)	cut (27)
to hit	6044	Verb	to hit (72)	hit (77)
to stab	6045	Verb	to stab, pierce (71)	stab (157)
to hunt	6046	Verb	to hunt (69)	hunt (81)
to scratch	6047	Verb	to scratch (77)	scratch (135)
to split	6048	Verb	to split (80)	split (155)
to swim	6050	Verb	to swim (9)	swim (166)
to spit	6051	Verb	to spit (36)	spit (154)
to fly (move through air)	6052	Verb	to fly (101)	fly (57)
to stand	6053	Verb	to stand (52)	stand (158)
to walk	6054	Verb	to walk (5)	walk (185)
to turn (around)	6055	Verb	to turn (8)	turn (182)
to come	6056	Verb	to come (7)	come (25)
to give	6059	Verb	-	give (64)
to hold	6060	Verb	to hold (89)	hold (78)
to rub	6062	Verb	-	rub (131)
to push	6068	Verb	-	push (120)
to wash	6069	Verb	-	wash (187)
to pull	6071	Verb	-	pull (119)
to throw	6072	Verb	to throw (94)	throw (177)
to sew	6073	Verb	to sew (67)	sew (139)
to say	6075	Verb	to say (64)	say (134)
the shoulder	6186	Noun	shoulder (19)	-
nine	6193	Function word	Nine (205)	-
below, under	6199	Function word	below (176)	-
the mouse or rat	6233,6237	Noun	rat (102)	-
one	6244	Function word	One (197)	one (115)
to die	6245	Verb	to die, be dead (75)	die (29)
two	6248	Function word	Two (198)	two (183)
four	6253	Function word	Four (200)	four (60)
the fruit	6280	Noun	fruit (117)	fruit (62)
ten	6312	Function word	Ten (206)	-
the branch	6343	Noun	branch (113)	-
female	6393	Adjective	woman/female (55)	-
male	6396	Adjective	man/male (54)	-
the man	6397	Noun	man/male (54)	man (99)
to swell	6454	Verb	to swell (87)	swell (165)
to float	6457	Verb	-	float (54)
and	6464	Function word	and (192)	and (3)
to sleep	6519	Verb	to sleep (48)	sleep (146)
to smell (perceive odor) [transitive]	6520	Verb	to sniff, smell (29)	smell (148)
hundred	6685	Function word	One Hundred (209)	-
short	6746	Adjective	short (154)	short (141)
the lightning	6811	Noun	lightning (135)	-
six	7003	Function word	Six (202)	-
seven	7004	Function word	Seven (203)	-
eight	7005	Function word	Eight (204)	-
twenty	7013	Function word	Twenty (207)	-
correct (right)	7026	Adjective	right // correct, true (3 // 166)	right (123)
wet	7027	Adjective	wet (141)	wet (190)
rotten (of fruits)	7031	Adjective	rotten (112)	rotten (129)
the sky	7039	Noun	sky (128)	sky (145)
above	7064	Function word	above (175)	-
to choose	7084	Verb	to choose (85)	-
the child (descendant)	7413	Noun	child (56)	child (22)
to cry	7709	Verb	to cry (34)	-
sick	7800	Adjective	painful, sick (160)	-
to buy	8061	Verb	to buy (91)	-
to the dream	8448	Verb	to dream (50)	-
to grow	154737	Verb	to grow (86)	-
shy	155571	Adjective	shy, ashamed (161)	-
three	156096	Function word	Three (199)	three (176)
five	156104	Function word	Five (201)	five (53)
to hide (conceal)	161806	Verb	to hide (171)	-
the mouth	332000	Noun	mouth (30)	mouth (105)
the person	333730	Noun	person/human being (53)	person (117)
to steal	336072	Verb	to steal (73)	-
the egg	340828	Noun	egg (98)	egg (40)
the roof	344031	Noun	thatch/roof (62)	-
they [third person plural]	352331	Function word	they (187)	they (170)
right	436024	Adjective	-	rightside (124)
to yawn	441371	Verb	to yawn (47)	-
good	443659	Adjective	good (164)	good (65)
the hair	446278	Noun	hair (26)	hair (69)
to work	471303	Verb	to work (83)	-
to reside (live)	478515	Verb	to live, be alive (76)	-
to cook	479132	Verb	to cook (39)	-
to climb	479387	Verb	to climb (172)	-
painful	496633	Adjective	painful, sick (160)	-
the thunder	509787	Noun	thunder (134)	-
to open	513017	Verb	to open, uncover (92)	-
to shoot (an arrow)	522875	Verb	to shoot (70)	-
to plant (grow)	619975	Verb	to plant // to grow (84 // 86)	-
the mosquito	630453	Noun	mosquito (109)	-
the wood (material)	741520	Noun	stick/wood (79)	-
the nail (fingernail or claw)	828575	Noun	-	fingernail (50)
to tie (together)	844574	Verb	to tie up, fasten (66)	tie (178)
there	858309	Function word	-	there (169)
near	869106	Adverb	near (179)	near (108)
the intestines	950344	Noun	intestines (16)	-
to flow	961244	Verb	to flow (123)	flow (55)
that	1149393	Function word	that (178)	that (168)
all	1173416	Function word	all (191)	all (2)
here	1287831	Function word	-	here (76)
to burn [transitive]	1299599	Verb	to burn (144)	burn (21)
red	1333710	Adjective	red (149)	red (122)
black	1341728	Adjective	black (147)	black (15)
to blow	1375415	Verb	to blow (137)	blow (17)
other	1406403	Function word	other (190)	other (116)
to lie down	1425860	Verb	to lie down (49)	-
left	1499731	Adjective	left (2)	left (92)
to chew	1510493	Verb	to chew (38)	-
blunt	1511061	Adjective	dull, blunt (82)	dull (35)
