# Wordlist

# DATA
ID	IPA	SOURCE	TOWEROFBABEL	SUBGROUP	WOLD	CONCEPT	ENTRY_IN_SOURCE	CHINESE	SWADESH_1952	POS	NOTE	SCAID	SWADESH_1955	HANZI	DOCULECT	BORROWING	ALIGNMENT	IELEX	ABVD	OMEGAWIKI	GLOSS_IN_SOURCE	COGID	TOKENS
5087	ŋa²	-	I(3)	rGyalrongic	2.91	I [first person singular]	ŋa²	我	I(78)	Function word	-	0	I(42)	吾	Tangut		-	I (1)	I (182)	5450	I	2	ŋ a ²
5088	-	-	I(3)	rGyalrongic	2.91	I [first person singular]	-	我	I(78)	Function word	-	0	I(42)	-	Zbu		-	I (1)	I (182)	5450	-	0	-
#
1	-	-	-	Bai	12081	above	-	-	-	Function word	-	0	-	-	Dashi		-	-	above (175)	7064	-	0	-
2	-	-	-	Bai	12081	above	-	-	-	Function word	-	0	-	-	Zhaozhuang		-	-	above (175)	7064	-	0	-
3	-	-	-	Bai	12081	above	-	-	-	Function word	-	0	-	-	Ega		-	-	above (175)	7064	-	0	-
4	-	-	-	Bai	12081	above	-	-	-	Function word	-	0	-	-	Enqi		-	-	above (175)	7064	-	0	-
5	-	-	-	Bai	12081	above	-	-	-	Function word	-	0	-	-	Eryuan		-	-	above (175)	7064	-	0	-
6	-	-	-	Bai	12081	above	-	-	-	Function word	-	0	-	-	Gongxing		-	-	above (175)	7064	-	0	-
7	-	-	-	Bai	12081	above	-	-	-	Function word	-	0	-	-	Heqi		-	-	above (175)	7064	-	0	-
8	-	-	-	Bai	12081	above	-	-	-	Function word	-	0	-	-	Jianchuan		-	-	above (175)	7064	-	0	-
9	-	-	-	Bai	12081	above	-	-	-	Function word	-	0	-	-	Jinman		-	-	above (175)	7064	-	0	-
10	-	-	-	Bai	12081	above	-	-	-	Function word	-	0	-	-	Jinxing		-	-	above (175)	7064	-	0	-
11	-	-	-	Bai	12081	above	-	-	-	Function word	-	0	-	-	Luobenzhuo		-	-	above (175)	7064	-	0	-
12	-	-	-	Bai	12081	above	-	-	-	Function word	-	0	-	-	Mazhelong		-	-	above (175)	7064	-	0	-
13	-	-	-	Bai	12081	above	-	-	-	Function word	-	0	-	-	Qiliqiao		-	-	above (175)	7064	-	0	-
14	-	-	-	Bai	12081	above	-	-	-	Function word	-	0	-	-	Xiangyun		-	-	above (175)	7064	-	0	-
15	-	-	-	Bai	12081	above	-	-	-	Function word	-	0	-	-	Yunlong		-	-	above (175)	7064	-	0	-
16	-	-	-	Bai	12081	above	-	-	-	Function word	-	0	-	-	Zhoucheng		-	-	above (175)	7064	-	0	-
17	-	-	-	Bodic	12081	above	-	-	-	Function word	-	0	-	-	Cone_Tibetan		-	-	above (175)	7064	-	0	-
18	-	-	-	Bodic	12081	above	-	-	-	Function word	-	0	-	-	Lhasa_Tibetan		-	-	above (175)	7064	-	0	-
19	-	-	-	Bodic	12081	above	-	-	-	Function word	-	0	-	-	Old_Tibetan		-	-	above (175)	7064	-	0	-
20	-	-	-	Burmish	12081	above	-	-	-	Function word	-	0	-	-	Achang_Lianghe		-	-	above (175)	7064	-	0	-
21	-	-	-	Burmish	12081	above	-	-	-	Function word	-	0	-	-	Achang_Longchuan		-	-	above (175)	7064	-	0	-
22	-	-	-	Burmish	12081	above	-	-	-	Function word	-	0	-	-	Achang_Luxi		-	-	above (175)	7064	-	0	-
23	-	-	-	Burmish	12081	above	-	-	-	Function word	-	0	-	-	Atsi		-	-	above (175)	7064	-	0	-
24	-	-	-	Burmish	12081	above	-	-	-	Function word	-	0	-	-	Bola		-	-	above (175)	7064	-	0	-
25	-	-	-	Burmish	12081	above	-	-	-	Function word	-	0	-	-	Burmese		-	-	above (175)	7064	-	0	-
