# Wordlist

# DATA
ID	IPA	SOURCE	TOWEROFBABEL	SUBGROUP	WOLD	CONCEPT	ENTRY_IN_SOURCE	CHINESE	SWADESH_1952	POS	NOTE	SCAID	SWADESH_1955	HANZI	DOCULECT	BORROWING	ALIGNMENT	IELEX	ABVD	OMEGAWIKI	GLOSS_IN_SOURCE	COGID	TOKENS
5355	-	-	-	Bai	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Zhaozhuang		-	lake (89)	lake (126)	2061	-	0	-
5356	li₂₁bɯ₂₂	Wang2006a, 31	-	Bai	1.33	the lake	(li21bɯ22)	湖	lake(84)	Noun	-	555	-	-	Ega		l i ₂₁ b ɯ ₂₂	lake (89)	lake (126)	2061	lake	349	l i ₂₁ b ɯ ₂₂
5357	qo₂₁	Wang2006a, 31	-	Bai	1.33	the lake	qo21	湖	lake(84)	Noun	-	554	-	-	Enqi		q o ₂₁	lake (89)	lake (126)	2061	lake	349	q o ₂₁
5358	kɔ₂₁	Allen2007, 16	-	Bai	1.33	the lake	kɔ21	湖	lake(84)	Noun	-	554	-	-	Eryuan		k ɔ ₂₁	lake (89)	lake (126)	2061	lake / 湖	349	k ɔ ₂₁
5359	qao₁₂	Wang2006a, 31	-	Bai	1.33	the lake	qao12	湖	lake(84)	Noun	-	558	-	-	Gongxing		q a o ₁₂	lake (89)	lake (126)	2061	lake	349	q a o ₁₂
5360	kɔ₂₁	Allen2007, 16	-	Bai	1.33	the lake	kɔ21	湖	lake(84)	Noun	-	554	-	-	Heqi		k ɔ ₂₁	lake (89)	lake (126)	2061	lake / 湖	349	k ɔ ₂₁
5361	ko₂₁	Allen2007, 16	-	Bai	1.33	the lake	ko21	湖	lake(84)	Noun	-	554	-	-	Jianchuan		k o ₂₁	lake (89)	lake (126)	2061	lake / 湖	349	k o ₂₁
5362	lu₂₁bɯ̃₂₂	Wang2006a, 31	-	Bai	1.33	the lake	(lu21bɯ̃22)	湖	lake(84)	Noun	-	555	-	-	Jinman		l u ₂₁ b ɯ̃ ₂₂	lake (89)	lake (126)	2061	lake	349	l u ₂₁ b ɯ̃ ₂₂
5363	kou₂₁	Wang2006a, 31	-	Bai	1.33	the lake	kou21	湖	lake(84)	Noun	-	558	-	-	Jinxing		k o u ₂₁	lake (89)	lake (126)	2061	lake	349	k o u ₂₁
5364	lu₃₁bɯ₃₃	Allen2007, 16	-	Bai	1.33	the lake	lu31bɯ33	湖	lake(84)	Noun	-	555	-	-	Luobenzhuo		l u ₃₁ b ɯ ₃₃	lake (89)	lake (126)	2061	lake / 湖	349	l u ₃₁ b ɯ ₃₃
5365	ɕu₃₃tu₃₃	Wang2006a, 31	-	Bai	1.33	the lake	(ɕu33tu33/pen33)	湖	lake(84)	Noun	-	565	-	-	Mazhelong		ɕ u ₃₃ t u ₃₃	lake (89)	lake (126)	2061	lake	349	ɕ u ₃₃ t u ₃₃
5366	kɔ₂₁	Allen2007, 16	-	Bai	1.33	the lake	kɔ21	湖	lake(84)	Noun	-	554	-	-	Qiliqiao		k ɔ ₂₁	lake (89)	lake (126)	2061	lake / 湖	349	k ɔ ₂₁
5367	pɯ₃₃	Allen2007, 16	-	Bai	1.33	the lake	pɯ33	湖	lake(84)	Noun	-	568	-	-	Xiangyun		p ɯ ₃₃	lake (89)	lake (126)	2061	lake / 湖	349	p ɯ ₃₃
5368	kao₂₁kao₂₁	Allen2007, 16	-	Bai	1.33	the lake	kao21kao21	湖	lake(84)	Noun	-	569	-	-	Yunlong		k a o ₂₁ k a o ₂₁	lake (89)	lake (126)	2061	lake / 湖	349	k a o ₂₁ k a o ₂₁
5369	pɛ₂₁	Wang2006a, 31	-	Bai	1.33	the lake	(pɛ21)	湖	lake(84)	Noun	-	568	-	-	Zhoucheng		p ɛ ₂₁	lake (89)	lake (126)	2061	lake	349	p ɛ ₂₁
5370	-	-	-	Bodic	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Cone_Tibetan		-	lake (89)	lake (126)	2061	-	0	-
5371	-	-	-	Bodic	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Lhasa_Tibetan		-	lake (89)	lake (126)	2061	-	0	-
5372	-	-	-	Bodic	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Old_Tibetan		-	lake (89)	lake (126)	2061	-	0	-
5373	-	-	-	Burmish	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Achang_Lianghe		-	lake (89)	lake (126)	2061	-	0	-
5374	-	-	-	Burmish	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Achang_Longchuan		-	lake (89)	lake (126)	2061	-	0	-
5375	-	-	-	Burmish	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Achang_Luxi		-	lake (89)	lake (126)	2061	-	0	-
5376	-	-	-	Burmish	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Atsi		-	lake (89)	lake (126)	2061	-	0	-
5377	-	-	-	Burmish	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Bola		-	lake (89)	lake (126)	2061	-	0	-
5378	-	-	-	Burmish	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Burmese		-	lake (89)	lake (126)	2061	-	0	-
5379	-	-	-	Burmish	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Hpun		-	lake (89)	lake (126)	2061	-	0	-
5380	-	-	-	Burmish	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Lashi		-	lake (89)	lake (126)	2061	-	0	-
5381	-	-	-	Burmish	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Maru		-	lake (89)	lake (126)	2061	-	0	-
5382	-	-	-	Burmish	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Old_Burmese		-	lake (89)	lake (126)	2061	-	0	-
5383	-	-	-	Burmish	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Xiandau		-	lake (89)	lake (126)	2061	-	0	-
5384	-	-	-	Kiranti	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Dumi		-	lake (89)	lake (126)	2061	-	0	-
5385	-	-	-	Kiranti	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Khaling		-	lake (89)	lake (126)	2061	-	0	-
5386	-	-	-	Kiranti	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Limbu		-	lake (89)	lake (126)	2061	-	0	-
5387	-	-	-	Kiranti	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Wambule		-	lake (89)	lake (126)	2061	-	0	-
5388	-	-	-	Kiranti	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Yakkha		-	lake (89)	lake (126)	2061	-	0	-
5389	-	-	-	Kiranti	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Yamphu		-	lake (89)	lake (126)	2061	-	0	-
5390	-	-	-	Nungish	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Dulong		-	lake (89)	lake (126)	2061	-	0	-
5391	-	-	-	SAL	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Jingpo		-	lake (89)	lake (126)	2061	-	0	-
5392	-	-	-	Sinitic	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Beijing		-	lake (89)	lake (126)	2061	-	0	-
5393	-	-	-	Sinitic	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Caijia		-	lake (89)	lake (126)	2061	-	0	-
5394	-	-	-	Sinitic	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Changsha		-	lake (89)	lake (126)	2061	-	0	-
5395	-	-	-	Sinitic	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Ganzhou		-	lake (89)	lake (126)	2061	-	0	-
5396	-	-	-	Sinitic	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Guangzhou		-	lake (89)	lake (126)	2061	-	0	-
5397	-	-	-	Sinitic	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Meixian		-	lake (89)	lake (126)	2061	-	0	-
5398	*[g]ˤa	-	-	Sinitic	1.33	the lake	*[g]ˤa	湖	lake(84)	Noun	-	0	-	湖	Old_Chinese		-	lake (89)	lake (126)	2061	lake	349	gˤ a
5399	-	-	-	Sinitic	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Xiamen		-	lake (89)	lake (126)	2061	-	0	-
5400	-	-	-	rGyalrongic	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Guiqiong		-	lake (89)	lake (126)	2061	-	0	-
5401	mtshu	-	-	rGyalrongic	1.33	the lake	%mtshu	湖	lake(84)	Noun	-	0	-	-	Japhug	1	-	lake (89)	lake (126)	2061	-	348	m tsʰ u
5402	-	-	-	rGyalrongic	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Khroskyabs_Wobzi		-	lake (89)	lake (126)	2061	-	0	-
5403	-	-	-	rGyalrongic	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Muya		-	lake (89)	lake (126)	2061	-	0	-
5404	-	-	-	rGyalrongic	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Stau		-	lake (89)	lake (126)	2061	-	0	-
5405	-	-	-	rGyalrongic	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Tangut		-	lake (89)	lake (126)	2061	-	0	-
5406	-	-	-	rGyalrongic	1.33	the lake	-	湖	lake(84)	Noun	-	0	-	-	Zbu		-	lake (89)	lake (126)	2061	-	0	-
#
5460	ɕui₃₃kuo₃₃	Wang2006a, 376	leaf(50)	Bai	8.56	the leaf	[ɕui33kuo33]	叶子	leaf(86)	Noun	-	577	leaf(46)	-	Dashi		ɕ u i ₃₃ k u o ₃₃	leaf (91)	leaf (114)	2124	leaf	350	ɕ u i ₃₃ k u o ₃₃
5461	-	-	leaf(50)	Bai	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Zhaozhuang		-	leaf (91)	leaf (114)	2124	-	0	-
5462	d͡ʑi₄₂lɛ₂₁	Wang2006a, 376	leaf(50)	Bai	8.56	the leaf	(dʑi42lɛ21)	叶子	leaf(86)	Noun	-	578	leaf(46)	-	Ega		d͡ʑ i ₄₂ l ɛ ₂₁	leaf (91)	leaf (114)	2124	leaf	350	d͡ʑ i ₄₂ l ɛ ₂₁
5463	qʰo₅₅	Wang2006a, 376	leaf(50)	Bai	8.56	the leaf	qʰo55	叶子	leaf(86)	Noun	-	579	leaf(46)	-	Enqi		qʰ o ₅₅	leaf (91)	leaf (114)	2124	leaf	350	qʰ o ₅₅
5464	ʂe₄₄	Allen2007, 116	leaf(50)	Bai	8.56	the leaf	ʂe44	叶子	leaf(86)	Noun	-	580	leaf(46)	-	Eryuan		ʂ e ₄₄	leaf (91)	leaf (114)	2124	leaf / 叶	350	ʂ e ₄₄
5465	-	-	leaf(50)	Bai	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Gongxing		-	leaf (91)	leaf (114)	2124	-	0	-
5466	sʰe₄₄	Allen2007, 116	leaf(50)	Bai	8.56	the leaf	sʰe44	叶子	leaf(86)	Noun	-	580	leaf(46)	-	Heqi		sʰ e ₄₄	leaf (91)	leaf (114)	2124	leaf / 叶	350	sʰ e ₄₄
5467	se₄₄	Allen2007, 116	leaf(50)	Bai	8.56	the leaf	se44	叶子	leaf(86)	Noun	-	580	leaf(46)	-	Jianchuan		s e ₄₄	leaf (91)	leaf (114)	2124	leaf / 叶	350	s e ₄₄
5468	-	-	leaf(50)	Bai	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Jinman		-	leaf (91)	leaf (114)	2124	-	0	-
5469	kʰou₃₃	Wang2006a, 376	leaf(50)	Bai	8.56	the leaf	kʰou33	叶子	leaf(86)	Noun	-	583	leaf(46)	-	Jinxing		kʰ o u ₃₃	leaf (91)	leaf (114)	2124	leaf	350	kʰ o u ₃₃
5470	ʂɛ₄₄	Allen2007, 116	leaf(50)	Bai	8.56	the leaf	ʂɛ44	叶子	leaf(86)	Noun	-	580	leaf(46)	-	Luobenzhuo		ʂ ɛ ₄₄	leaf (91)	leaf (114)	2124	leaf / 叶	350	ʂ ɛ ₄₄
5471	kʰo₃₃	Wang2006a, 376	leaf(50)	Bai	8.56	the leaf	kʰo33	叶子	leaf(86)	Noun	-	579	leaf(46)	-	Mazhelong		kʰ o ₃₃	leaf (91)	leaf (114)	2124	leaf	350	kʰ o ₃₃
5472	se₄₄	Allen2007, 116	leaf(50)	Bai	8.56	the leaf	se44	叶子	leaf(86)	Noun	-	580	leaf(46)	-	Qiliqiao		s e ₄₄	leaf (91)	leaf (114)	2124	leaf / 叶	350	s e ₄₄
5473	se₄₄	Allen2007, 116	leaf(50)	Bai	8.56	the leaf	se44	叶子	leaf(86)	Noun	-	580	leaf(46)	-	Xiangyun		s e ₄₄	leaf (91)	leaf (114)	2124	leaf / 叶	350	s e ₄₄
5474	sɛ₄₄	Allen2007, 116	leaf(50)	Bai	8.56	the leaf	sɛ44	叶子	leaf(86)	Noun	-	580	leaf(46)	-	Yunlong		s ɛ ₄₄	leaf (91)	leaf (114)	2124	leaf / 叶	350	s ɛ ₄₄
5475	ɕyi₃₃li₅₅ta₂₁ko₃₃	Wang2006a, 376	leaf(50)	Bai	8.56	the leaf	(ɕyi33li55ta21ko33)	叶子	leaf(86)	Noun	-	591	leaf(46)	-	Zhoucheng		ɕ y i ₃₃ l i ₅₅ t a ₂₁ k o ₃₃	leaf (91)	leaf (114)	2124	leaf	350	ɕ y i ₃₃ l i ₅₅ t a ₂₁ k o ₃₃
5476	-	-	leaf(50)	Bodic	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Cone_Tibetan		-	leaf (91)	leaf (114)	2124	-	0	-
5477	-	-	leaf(50)	Bodic	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Lhasa_Tibetan		-	leaf (91)	leaf (114)	2124	-	0	-
5478	lo.ma	-	leaf(50)	Bodic	8.56	the leaf	lo.ma	叶子	leaf(86)	Noun	-	0	leaf(46)	葉	Old_Tibetan		-	leaf (91)	leaf (114)	2124	leaf	352	l o m a
5479	-	-	leaf(50)	Burmish	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Achang_Lianghe		-	leaf (91)	leaf (114)	2124	-	0	-
5480	-	-	leaf(50)	Burmish	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Achang_Longchuan		-	leaf (91)	leaf (114)	2124	-	0	-
5481	-	-	leaf(50)	Burmish	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Achang_Luxi		-	leaf (91)	leaf (114)	2124	-	0	-
5482	-	-	leaf(50)	Burmish	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Atsi		-	leaf (91)	leaf (114)	2124	-	0	-
5483	-	-	leaf(50)	Burmish	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Bola		-	leaf (91)	leaf (114)	2124	-	0	-
5484	rwak	-	leaf(50)	Burmish	8.56	the leaf	rwak	叶子	leaf(86)	Noun	-	0	leaf(46)	葉	Burmese		-	leaf (91)	leaf (114)	2124	leaf	351	r w a k
5485	-	-	leaf(50)	Burmish	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Hpun		-	leaf (91)	leaf (114)	2124	-	0	-
5486	-	-	leaf(50)	Burmish	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Lashi		-	leaf (91)	leaf (114)	2124	-	0	-
5487	-	-	leaf(50)	Burmish	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Maru		-	leaf (91)	leaf (114)	2124	-	0	-
5488	-	-	leaf(50)	Burmish	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Old_Burmese		-	leaf (91)	leaf (114)	2124	-	0	-
5489	-	-	leaf(50)	Burmish	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Xiandau		-	leaf (91)	leaf (114)	2124	-	0	-
5490	-	-	leaf(50)	Kiranti	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Dumi		-	leaf (91)	leaf (114)	2124	-	0	-
5491	sāːphʌm	-	leaf(50)	Kiranti	8.56	the leaf	sāːphʌm	叶子	leaf(86)	Noun	-	0	leaf(46)	葉	Khaling		-	leaf (91)	leaf (114)	2124	leaf	355	s āː pʰ ʌ m
5492	tɛtla	-	leaf(50)	Kiranti	8.56	the leaf	tɛtla	叶子	leaf(86)	Noun	-	0	leaf(46)	葉	Limbu		-	leaf (91)	leaf (114)	2124	leaf	353	t ɛ t l a
5493	-	-	leaf(50)	Kiranti	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Wambule		-	leaf (91)	leaf (114)	2124	-	0	-
5494	-	-	leaf(50)	Kiranti	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Yakkha		-	leaf (91)	leaf (114)	2124	-	0	-
5495	-	-	leaf(50)	Kiranti	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Yamphu		-	leaf (91)	leaf (114)	2124	-	0	-
5496	-	-	leaf(50)	Nungish	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Dulong		-	leaf (91)	leaf (114)	2124	-	0	-
5497	-	-	leaf(50)	SAL	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Jingpo		-	leaf (91)	leaf (114)	2124	-	0	-
5498	-	-	leaf(50)	Sinitic	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Beijing		-	leaf (91)	leaf (114)	2124	-	0	-
5499	-	-	leaf(50)	Sinitic	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Caijia		-	leaf (91)	leaf (114)	2124	-	0	-
5500	-	-	leaf(50)	Sinitic	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Changsha		-	leaf (91)	leaf (114)	2124	-	0	-
5501	-	-	leaf(50)	Sinitic	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Ganzhou		-	leaf (91)	leaf (114)	2124	-	0	-
5502	-	-	leaf(50)	Sinitic	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Guangzhou		-	leaf (91)	leaf (114)	2124	-	0	-
5503	-	-	leaf(50)	Sinitic	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Meixian		-	leaf (91)	leaf (114)	2124	-	0	-
5504	*l[a]p	-	leaf(50)	Sinitic	8.56	the leaf	*l[a]p	叶子	leaf(86)	Noun	-	0	leaf(46)	葉	Old_Chinese		-	leaf (91)	leaf (114)	2124	leaf	354	l a p
5505	-	-	leaf(50)	Sinitic	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Xiamen		-	leaf (91)	leaf (114)	2124	-	0	-
5506	-	-	leaf(50)	rGyalrongic	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Guiqiong		-	leaf (91)	leaf (114)	2124	-	0	-
5507	tɤ-jwaʁ	-	leaf(50)	rGyalrongic	8.56	the leaf	tɤ-jwaʁ	叶子	leaf(86)	Noun	-	0	leaf(46)	葉	Japhug		-	leaf (91)	leaf (114)	2124	leaf	351	t ɤ ◦ j w a ʁ
5508	-	-	leaf(50)	rGyalrongic	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Khroskyabs_Wobzi		-	leaf (91)	leaf (114)	2124	-	0	-
5509	-	-	leaf(50)	rGyalrongic	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Muya		-	leaf (91)	leaf (114)	2124	-	0	-
5510	-	-	leaf(50)	rGyalrongic	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Stau		-	leaf (91)	leaf (114)	2124	-	0	-
5511	bạ²	-	leaf(50)	rGyalrongic	8.56	the leaf	bạ²	叶子	leaf(86)	Noun	-	0	leaf(46)	葉	Tangut		-	leaf (91)	leaf (114)	2124	leaf	351	b ạ ²
5512	-	-	leaf(50)	rGyalrongic	8.56	the leaf	-	叶子	leaf(86)	Noun	-	0	leaf(46)	-	Zbu		-	leaf (91)	leaf (114)	2124	-	0	-
#
5566	kou₄₄	Wang2006a, 1829	-	Bai	4.35	the leg	kou44	脚	leg(88)	Noun	-	607	-	-	Dashi		k o u ₄₄	leg (93)	leg/foot (4)	5665	leg	357	k o u ₄₄
5567	-	-	-	Bai	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Zhaozhuang		-	leg (93)	leg/foot (4)	5665	-	0	-
5568	qʰua₄₂	Wang2006a, 1829	-	Bai	4.35	the leg	qʰua42	脚	leg(88)	Noun	-	607	-	-	Ega		qʰ u a ₄₂	leg (93)	leg/foot (4)	5665	leg	357	qʰ u a ₄₂
5569	qʰuæ₄₃	Wang2006a, 1829	-	Bai	4.35	the leg	qʰuæ43	脚	leg(88)	Noun	-	607	-	-	Enqi		qʰ u æ ₄₃	leg (93)	leg/foot (4)	5665	leg	357	qʰ u æ ₄₃
5570	-	-	-	Bai	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Eryuan		-	leg (93)	leg/foot (4)	5665	-	0	-
5571	qʰuæ₄₂	Wang2006a, 1829	-	Bai	4.35	the leg	qʰuæ42	脚	leg(88)	Noun	-	607	-	-	Gongxing		qʰ u æ ₄₂	leg (93)	leg/foot (4)	5665	leg	357	qʰ u æ ₄₂
5572	-	-	-	Bai	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Heqi		-	leg (93)	leg/foot (4)	5665	-	0	-
5573	-	-	-	Bai	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Jianchuan		-	leg (93)	leg/foot (4)	5665	-	0	-
5574	ko₄₄'foot'	Wang2006a, 1829	-	Bai	4.35	the leg	ko44['foot']	脚	leg(88)	Noun	-	611	-	-	Jinman		k o ₄₄ 'f oo t '	leg (93)	leg/foot (4)	5665	leg	357	k o ₄₄ 'f oo t '
5575	kou₄₄	Wang2006a, 1829	-	Bai	4.35	the leg	kou44	脚	leg(88)	Noun	-	607	-	-	Jinxing		k o u ₄₄	leg (93)	leg/foot (4)	5665	leg	357	k o u ₄₄
5576	-	-	-	Bai	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Luobenzhuo		-	leg (93)	leg/foot (4)	5665	-	0	-
5577	kʰuɚ₂₁	Wang2006a, 1829	-	Bai	4.35	the leg	kʰuɚ21/ko44	脚	leg(88)	Noun	-	607	-	-	Mazhelong		kʰ u ɚ ₂₁	leg (93)	leg/foot (4)	5665	leg	357	kʰ u ɚ ₂₁
5578	-	-	-	Bai	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Qiliqiao		-	leg (93)	leg/foot (4)	5665	-	0	-
5579	-	-	-	Bai	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Xiangyun		-	leg (93)	leg/foot (4)	5665	-	0	-
5580	-	-	-	Bai	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Yunlong		-	leg (93)	leg/foot (4)	5665	-	0	-
5581	ko₄₄	Wang2006a, 1829	-	Bai	4.35	the leg	ko44	脚	leg(88)	Noun	-	615	-	-	Zhoucheng		k o ₄₄	leg (93)	leg/foot (4)	5665	leg	357	k o ₄₄
5582	-	-	-	Bodic	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Cone_Tibetan		-	leg (93)	leg/foot (4)	5665	-	0	-
5583	-	-	-	Bodic	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Lhasa_Tibetan		-	leg (93)	leg/foot (4)	5665	-	0	-
5584	-	-	-	Bodic	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Old_Tibetan		-	leg (93)	leg/foot (4)	5665	-	0	-
5585	-	-	-	Burmish	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Achang_Lianghe		-	leg (93)	leg/foot (4)	5665	-	0	-
5586	-	-	-	Burmish	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Achang_Longchuan		-	leg (93)	leg/foot (4)	5665	-	0	-
5587	-	-	-	Burmish	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Achang_Luxi		-	leg (93)	leg/foot (4)	5665	-	0	-
5588	-	-	-	Burmish	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Atsi		-	leg (93)	leg/foot (4)	5665	-	0	-
5589	-	-	-	Burmish	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Bola		-	leg (93)	leg/foot (4)	5665	-	0	-
5590	-	-	-	Burmish	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Burmese		-	leg (93)	leg/foot (4)	5665	-	0	-
5591	-	-	-	Burmish	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Hpun		-	leg (93)	leg/foot (4)	5665	-	0	-
5592	-	-	-	Burmish	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Lashi		-	leg (93)	leg/foot (4)	5665	-	0	-
5593	-	-	-	Burmish	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Maru		-	leg (93)	leg/foot (4)	5665	-	0	-
5594	-	-	-	Burmish	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Old_Burmese		-	leg (93)	leg/foot (4)	5665	-	0	-
5595	-	-	-	Burmish	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Xiandau		-	leg (93)	leg/foot (4)	5665	-	0	-
5596	-	-	-	Kiranti	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Dumi		-	leg (93)	leg/foot (4)	5665	-	0	-
5597	-	-	-	Kiranti	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Khaling		-	leg (93)	leg/foot (4)	5665	-	0	-
5598	-	-	-	Kiranti	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Limbu		-	leg (93)	leg/foot (4)	5665	-	0	-
5599	-	-	-	Kiranti	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Wambule		-	leg (93)	leg/foot (4)	5665	-	0	-
5600	-	-	-	Kiranti	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Yakkha		-	leg (93)	leg/foot (4)	5665	-	0	-
5601	-	-	-	Kiranti	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Yamphu		-	leg (93)	leg/foot (4)	5665	-	0	-
5602	-	-	-	Nungish	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Dulong		-	leg (93)	leg/foot (4)	5665	-	0	-
5603	-	-	-	SAL	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Jingpo		-	leg (93)	leg/foot (4)	5665	-	0	-
5604	-	-	-	Sinitic	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Beijing		-	leg (93)	leg/foot (4)	5665	-	0	-
5605	-	-	-	Sinitic	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Caijia		-	leg (93)	leg/foot (4)	5665	-	0	-
5606	-	-	-	Sinitic	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Changsha		-	leg (93)	leg/foot (4)	5665	-	0	-
5607	-	-	-	Sinitic	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Ganzhou		-	leg (93)	leg/foot (4)	5665	-	0	-
5608	-	-	-	Sinitic	4.35	the leg	-	脚	leg(88)	Noun	-	0	-	-	Guangzhou		-	leg (93)	leg/foot (4)	5665	-	0	-
