# Wordlist

# DATA
ID	ABVD	ALIGNMENT	BORROWED	BORROWING	CHINESE	COGID	CONCEPT	CONCEPTID	DOCULECT	DUPLICATES	ENTRY_IN_SOURCE	GLOSS_IN_SOURCE	HANZI	ID_IN_SOURCE	IELEX	IPA	LGID	MORPHEME_STRUCTURE	NOTE	OMEGAWIKI	PARADIGM_1	PARADIGM_2	PARADIGM_3	PARADIGM_4	POS	RGEN	SCAID	SOURCE	SRCABBR	SRCID	SUBGROUP	SWADESH_1952	SWADESH_1955	TAXON_NAME_IN_SOURCE	TOKENS	TOWEROFBABEL	WOLD
24693						0	I [first person singular]	1	Tibetan_Alike		ŋæ	I		80380		ŋæ	1848								pron	392720	0	STEDT/TBL	TBL	0928.05	Tibetan			Tibetan (Alike)	ŋ æ		
25391						0	I [first person singular]	1	Xumi		ŋa⁵⁵	I		15852		ŋa⁵⁵	1812								pron	392768	0	STEDT/TBL	TBL	0928.17	Qiangic			Xumi	ŋ a ⁵⁵		
#
19	above (175)	-			-	0	above	2	Old_Tibetan		-	-	-		-	steŋ			-	7064					Function word		0	-			Bodic	-	-	Old_Tibetan	s t e ŋ	-	12081
45	above (175)	-			-	5	above	2	Old_Chinese		*[d]aŋʔ-s	above	上		-	*[d]aŋʔ-s			-	7064					Function word		0	-			Sinitic	-	-	Old_Chinese	d a ŋ ʔ ◦ s	-	12081
48	above (175)	-			-	4	above	2	Japhug		ɯ-taʁ	-	-		-	ɯ-taʁ			-	7064					Function word		0	-			rGyalrongic	-	-	Japhug	ɯ ◦ t a ʁ	-	12081
12993						0	above	2	Guzhang			上面	高頭			kau⁵⁵ ta			b	7064							0							Guzhang			
13470						0	above	2	Guzhang			上面	皮頭			fɤ¹³ ta											0							Guzhang			
13471						0	above	2	Guzhang			上面	X頭			tsɪ⁵⁵ ta											0							Guzhang			
13740						0	above	2	Jixi				以上			ɨ²¹³ ɕiõ²²				7064							0							Jixi			
